name,key,site,event_id,src_frame,score
SHW__NBassett_v1_LS_f16050.png,SHW__NBassett_v1_LS,SHW,37,16050,93.6
TON__FernRidgeRd_v1_LS_f21342.png,TON__FernRidgeRd_v1_LS,TON,0,21342,82.0
TON__AquaCultureRd_v1_LS_f19296.png,TON__AquaCultureRd_v1_LS,TON,3,19296,68.3
TON__AquaCultureRd_v1_LS_f8232.png,TON__AquaCultureRd_v1_LS,TON,2,8232,66.1
TON__ChipsRd_v1_LS_f3582.png,TON__ChipsRd_v1_LS,TON,0,3582,65.8
SHB__RedFoxLn_v1_LS_f36282.png,SHB__RedFoxLn_v1_LS,SHB,60,36282,65.2
TON__AquaCultureRd_v1_LS_f4146.png,TON__AquaCultureRd_v1_LS,TON,0,4146,64.2
SHW__SIron_v1_LS_f3930.png,SHW__SIron_v1_LS,SHW,4,3930,62.5
TON__OikosRd_v1_LS_f4236.png,TON__OikosRd_v1_LS,TON,5,4236,59.1
MAS__N25thRdBlue_v1_LS_f6570.png,MAS__N25thRdBlue_v1_LS,MAS,6,6570,58.1
TON__AquaCultureRd_v1_LS_f5394.png,TON__AquaCultureRd_v1_LS,TON,1,5394,57.9
SHW__SHog_v1_LS_f6990.png,SHW__SHog_v1_LS,SHW,5,6990,57.7
SHB__WolfCreekRd_v1_LS_f3954.png,SHB__WolfCreekRd_v1_LS,SHB,6,3954,57.2
SHB__NShelbyRdpink_v1_LS_f9114.png,SHB__NShelbyRdpink_v1_LS,SHB,20,9114,56.8
SHB__EagleCreekDrEtc_v1_LS_f21612.png,SHB__EagleCreekDrEtc_v1_LS,SHB,24,21612,55.6
SHB__RedFoxLn_v1_LS_f39474.png,SHB__RedFoxLn_v1_LS,SHB,63,39474,55.2
MAS__N25thRdOrange_v1_LS_f7782.png,MAS__N25thRdOrange_v1_LS,MAS,8,7782,54.8
SHB__WolfCreekRd_v1_LS_f8826.png,SHB__WolfCreekRd_v1_LS,SHB,18,8826,54.6
TON__OikosRd_v1_LS_f1362.png,TON__OikosRd_v1_LS,TON,0,1362,53.2
SHW__SBassett_v1_LS_f13998.png,SHW__SBassett_v1_LS,SHW,22,13998,53.0
SHW__SBassett_v1_LS_f10182.png,SHW__SBassett_v1_LS,SHW,18,10182,52.8
MAS__N25thBlue_v2_LS_f390.png,MAS__N25thBlue_v2_LS,MAS,0,390,52.5
SHW__SBassett_v1_LS_f9006.png,SHW__SBassett_v1_LS,SHW,16,9006,52.5
SHB__RedFoxLn_v1_LS_f54798.png,SHB__RedFoxLn_v1_LS,SHB,78,54798,52.1
SHW__NIron_v1_LS_f2346.png,SHW__NIron_v1_LS,SHW,5,2346,51.2
MAS__N25thRdOrange_v2_LS_f2700.png,MAS__N25thRdOrange_v2_LS,MAS,0,2700,51.1
SHW__NIron_v1_LS_f14526.png,SHW__NIron_v1_LS,SHW,27,14526,51.0
SHB__NShelbyRdgreen_v1_LS_f750.png,SHB__NShelbyRdgreen_v1_LS,SHB,0,750,50.9
SHW__WhoopieCatDam_v1_LS_f192.png,SHW__WhoopieCatDam_v1_LS,SHW,0,192,50.4
SHW__NBassett_v1_LS_f12234.png,SHW__NBassett_v1_LS,SHW,32,12234,50.3
SHW__SHog_v1_LS_f3816.png,SHW__SHog_v1_LS,SHW,1,3816,50.2
TON__OikosRd_v1_LS_f15186.png,TON__OikosRd_v1_LS,TON,15,15186,50.0
SHB__RedFoxLn_v1_LS_f8586.png,SHB__RedFoxLn_v1_LS,SHB,10,8586,49.6
SHB__RedFoxLn_v1_LS_f56562.png,SHB__RedFoxLn_v1_LS,SHB,80,56562,49.4
SHW__SBassett_v1_LS_f18300.png,SHW__SBassett_v1_LS,SHW,29,18300,49.4
SHW__SIron_v1_LS_f8100.png,SHW__SIron_v1_LS,SHW,7,8100,49.4
SHB__NWolfCreekblue_v1_LS_f68016.png,SHB__NWolfCreekblue_v1_LS,SHB,150,68016,49.1
SHW__SHog_v1_LS_f15204.png,SHW__SHog_v1_LS,SHW,17,15204,48.6
SHB__RedFoxLn_v1_LS_f41712.png,SHB__RedFoxLn_v1_LS,SHB,64,41712,48.5
SHW__LowerRichland_v1_LS_f48444.png,SHW__LowerRichland_v1_LS,SHW,132,48444,48.5
SHB__OverlookDr_v1_LS_f22002.png,SHB__OverlookDr_v1_LS,SHB,32,22002,48.3
SHB__RedFoxLn_v1_LS_f66492.png,SHB__RedFoxLn_v1_LS,SHB,99,66492,48.0
MAS__NMarseilles_v2_LS_f4902.png,MAS__NMarseilles_v2_LS,MAS,0,4902,47.9
SHW__NBassett_v1_LS_f26382.png,SHW__NBassett_v1_LS,SHW,57,26382,47.8
SHW__SHog_v1_LS_f7686.png,SHW__SHog_v1_LS,SHW,6,7686,47.8
MAS__WMarseilles_v1_LS_f30456.png,MAS__WMarseilles_v1_LS,MAS,44,30456,47.7
SHB__NShelbyRdblue_v1_LS_f8574.png,SHB__NShelbyRdblue_v1_LS,SHB,14,8574,47.6
SHB__NShelbyRdblue_v1_LS_f3354.png,SHB__NShelbyRdblue_v1_LS,SHB,5,3354,47.3
SHB__OverlookDr_v1_LS_f22716.png,SHB__OverlookDr_v1_LS,SHB,34,22716,47.3
TON__GiantCityRd_v1_LS_f3882.png,TON__GiantCityRd_v1_LS,TON,13,3882,47.2
MAS__N2379Rd_v1_LS_f23568.png,MAS__N2379Rd_v1_LS,MAS,15,23568,47.1
MAS__N2379Rd_v1_LS_f126.png,MAS__N2379Rd_v1_LS,MAS,0,126,47.0
