video,site,unique_deer
AquaCultureRd_TON_12.03.25_LS,TON,3
ChipsRd_TON_12.03.25_LS,TON,1
EMarseilles_MAS_12.22.25_LS_V1,MAS,1
EMarseilles_MAS_12.22.25_LS_V2,MAS,0
EagleCreekDrEtc_SHB_12.11.2025_LS,SHB,44
FernRidgeRd_TON_12.03.25_LS,TON,19
GiantCityRd_TON_12.03.25_LS,TON,8
GolfDr_SHB_12.11.2025,SHB,12
Melvin_SHW_01.18.2026_LS,SHW,5
N25thBlue_MAS_12.22.25_LS_V2,MAS,3
N25thRdBlue_MAS_12.22.25_LS_V1,MAS,0
N25thRdOrange_MAS_12.22.25_LS_V1,MAS,1
N25thRdOrange_MAS_12.22.25_LS_V2,MAS,0
NIron_SHW_01.18.2026_LS,SHW,4
NMarseillesRd_MAS_12.22.25_LS_V1,MAS,7
NMarseilles_MAS_12.22.25_LS_V2,MAS,3
NShelbyRd(blue)_SHB_12.11.2025_LS,SHB,27
NShelbyRd(green)_SHB_12.11.2025,SHB,2
NShelbyRd(pink)_SHB_12.11.2025_LS,SHB,4
NWolfCreek(blue)_SHB_12.11.2025,SHB,30
NWolfCreek(orange)_SHB_12.11.2025_LS,SHB,9
NatureTrail_TON_12.03.25_LS,TON,15
OikosRd_TON_12.03.25_LS,TON,2
Robinson_SHW_01.18.2026_LS,SHW,7
SBassett_SHW_01.18.2026_LS,SHW,11
SHog_SHW_01.18.2026_LS,SHW,9
SIron_SHW_01.18.2026_LS,SHW,1
TouchofNatureRd_TON_12.03.25_LS,TON,2
Upper40_TON_12.03.25_LS,TON,1
UpperRichland_SHW_01.18.2026_LS,SHW,0
WhoopieCatDam_SHW_01.18.2026_LS,SHW,1
WolfCreekRd_SHB_12.11.2025_LS,SHB,4
