frame,time_s,n_blobs,peak_score
12,0.2,1,19.2
24,0.4,1,19.4
30,0.5,2,19.7
102,1.7,1,19.6
108,1.8,1,20.0
114,1.9,1,20.3
126,2.1,4,25.3
132,2.2,2,19.8
138,2.3,3,20.6
144,2.4,2,19.3
150,2.5,1,19.1
156,2.6,1,19.1
162,2.7,3,19.7
168,2.8,3,20.2
174,2.9,1,19.9
180,3.0,1,21.0
228,3.8,1,20.1
306,5.1,1,19.3
330,5.5,3,22.2
336,5.6,1,19.2
348,5.8,1,19.3
354,5.9,4,20.3
360,6.0,1,19.6
366,6.1,3,20.0
372,6.2,3,20.7
378,6.3,3,20.3
384,6.4,5,22.5
390,6.5,4,21.0
396,6.6,7,21.0
402,6.7,5,20.2
408,6.8,1,19.4
414,6.9,7,20.7
420,7.0,11,20.3
426,7.1,13,20.4
432,7.2,14,20.3
438,7.3,8,20.0
444,7.4,6,20.3
450,7.5,9,20.1
456,7.6,6,20.0
462,7.7,10,20.9
468,7.8,5,19.7
474,7.9,9,25.9
480,8.0,10,21.0
486,8.1,11,20.2
492,8.2,13,20.8
498,8.3,13,21.3
504,8.4,11,20.6
510,8.5,11,20.7
516,8.6,10,22.9
522,8.7,10,20.8
528,8.8,5,21.2
534,8.9,8,22.6
540,9.0,6,24.6
546,9.1,8,21.8
552,9.2,10,24.8
558,9.3,5,24.0
564,9.4,6,23.0
570,9.5,9,20.7
576,9.6,11,24.1
582,9.7,8,24.6
588,9.8,6,23.9
594,9.9,7,21.9
600,10.0,4,23.1
606,10.1,6,22.5
612,10.2,3,21.3
618,10.3,9,21.6
624,10.4,3,20.0
630,10.5,3,25.3
636,10.6,3,20.7
642,10.7,2,19.8
648,10.8,6,24.6
654,10.9,9,20.9
660,11.0,5,20.1
666,11.1,3,19.9
672,11.2,5,29.1
678,11.3,8,20.1
684,11.4,4,24.6
690,11.5,5,20.4
696,11.6,5,21.6
702,11.7,1,19.8
708,11.8,8,20.3
714,11.9,6,22.5
720,12.0,5,19.5
726,12.1,1,20.3
