video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
EMarseilles_MAS_12.22.25_LS.mp4,0,0,132,0.0,2.2,2.2,23,48,29.3,366,191,640,512
EMarseilles_MAS_12.22.25_LS.mp4,1,216,240,3.6,4.0,0.4,5,216,26.4,595,176,640,205
EMarseilles_MAS_12.22.25_LS.mp4,2,474,522,7.9,8.71,0.8,2,474,20.0,0,45,611,188
EMarseilles_MAS_12.22.25_LS.mp4,3,624,666,10.41,11.11,0.7,2,666,21.2,266,172,457,210
EMarseilles_MAS_12.22.25_LS.mp4,4,834,1008,13.91,16.81,2.9,9,906,20.6,0,106,553,512
EMarseilles_MAS_12.22.25_LS.mp4,5,1146,1488,19.11,24.81,5.7,14,1146,23.6,0,0,640,512
EMarseilles_MAS_12.22.25_LS.mp4,6,1572,2070,26.22,34.52,8.3,41,1962,23.7,0,87,640,512
EMarseilles_MAS_12.22.25_LS.mp4,7,2172,2394,36.22,39.92,3.7,14,2172,25.3,16,379,587,512
EMarseilles_MAS_12.22.25_LS.mp4,8,2466,2496,41.12,41.62,0.5,5,2466,24.8,0,414,640,512
EMarseilles_MAS_12.22.25_LS.mp4,9,2694,2736,44.93,45.63,0.7,2,2694,20.7,0,289,164,492
EMarseilles_MAS_12.22.25_LS.mp4,10,2796,3246,46.63,54.13,7.5,55,2820,34.5,0,70,640,512
EMarseilles_MAS_12.22.25_LS.mp4,11,3378,3738,56.33,62.34,6.0,34,3384,29.2,0,6,640,512
EMarseilles_MAS_12.22.25_LS.mp4,12,3798,4494,63.34,74.94,11.61,78,3906,32.0,0,0,640,512
EMarseilles_MAS_12.22.25_LS.mp4,13,4560,11364,76.04,189.51,113.47,1044,10692,45.2,0,0,640,512
EMarseilles_MAS_12.22.25_LS.mp4,14,11460,11814,191.11,197.02,5.9,40,11748,26.6,0,0,640,512
