frame,time_s,n_blobs,peak_score
0,0.0,12,26.3
6,0.1,12,27.3
12,0.2,12,27.4
18,0.3,10,25.8
24,0.4,13,24.2
30,0.5,14,24.2
36,0.6,13,24.9
42,0.7,10,28.7
48,0.8,11,29.3
54,0.9,10,29.1
60,1.0,7,27.6
66,1.1,6,28.3
72,1.2,6,28.8
78,1.3,4,24.6
84,1.4,5,24.5
90,1.5,5,25.3
96,1.6,3,24.3
102,1.7,6,24.3
108,1.8,5,28.1
114,1.9,4,26.7
120,2.0,4,23.6
126,2.1,3,23.9
132,2.2,2,21.4
216,3.6,3,26.4
222,3.7,1,25.5
228,3.8,2,25.7
234,3.9,2,21.4
240,4.0,1,23.1
474,7.9,1,20.0
522,8.71,1,19.0
624,10.41,1,20.0
666,11.11,1,21.2
732,12.21,1,20.2
834,13.91,1,19.5
858,14.31,1,19.3
870,14.51,1,19.8
888,14.81,1,20.3
906,15.11,2,20.6
918,15.31,2,20.4
930,15.51,1,20.2
978,16.31,3,19.8
1008,16.81,2,20.1
1080,18.01,1,19.8
1146,19.11,3,23.6
1152,19.21,4,20.7
1164,19.41,3,20.5
1206,20.11,1,18.8
1224,20.41,1,21.5
1230,20.51,1,18.9
1284,21.41,1,20.3
1308,21.81,3,20.4
1326,22.11,1,22.1
1368,22.81,1,19.0
1404,23.41,2,19.2
1410,23.51,1,20.6
1464,24.41,1,20.7
1488,24.81,1,19.1
1572,26.22,1,20.5
1614,26.92,1,18.1
1620,27.02,1,20.3
1638,27.32,1,19.5
1668,27.82,1,20.0
1716,28.62,1,20.2
1728,28.82,2,19.7
1734,28.92,1,20.7
1740,29.02,1,19.0
1746,29.12,1,18.7
1800,30.02,2,20.2
1806,30.12,1,19.5
1830,30.52,1,19.4
1836,30.62,2,21.6
1842,30.72,2,22.3
1848,30.82,1,22.4
1854,30.92,1,19.6
1872,31.22,3,21.6
1878,31.32,2,19.9
1890,31.52,3,19.6
1896,31.62,1,21.4
1902,31.72,1,18.9
1908,31.82,1,20.2
1914,31.92,1,19.2
1926,32.12,2,22.5
1932,32.22,2,20.3
1938,32.32,2,19.8
1950,32.52,3,20.2
1956,32.62,3,21.5
1962,32.72,5,23.7
1980,33.02,4,20.5
1986,33.12,2,19.8
2004,33.42,3,20.2
2016,33.62,2,21.0
2028,33.82,1,18.9
2040,34.02,2,20.4
2046,34.12,2,21.2
2052,34.22,2,22.3
2058,34.32,3,21.4
2064,34.42,2,20.4
2070,34.52,2,20.8
2172,36.22,1,25.3
2202,36.72,1,18.8
2208,36.82,2,21.4
2244,37.42,1,19.4
2298,38.32,1,19.7
2310,38.52,1,19.9
2316,38.62,1,20.7
2346,39.12,1,19.8
2352,39.22,1,20.5
2358,39.32,2,20.3
2364,39.42,1,22.3
2376,39.62,1,24.3
2388,39.82,1,21.0
2394,39.92,1,19.4
2466,41.12,1,24.8
2478,41.32,1,21.0
2484,41.42,1,21.0
2490,41.52,2,23.0
2496,41.62,1,19.7
2604,43.43,2,22.8
2694,44.93,1,20.7
2736,45.63,1,19.7
2796,46.63,1,20.6
2802,46.73,2,26.5
2808,46.83,1,27.3
2814,46.93,1,33.5
2820,47.03,1,34.5
2826,47.13,1,29.9
2832,47.23,1,29.6
2880,48.03,1,19.5
2892,48.23,1,21.6
2904,48.43,1,20.9
2922,48.73,1,20.2
2934,48.93,2,22.8
2940,49.03,1,19.8
2946,49.13,1,20.7
2952,49.23,3,20.2
2958,49.33,1,19.9
2964,49.43,7,23.5
2970,49.53,4,22.2
2976,49.63,3,19.3
2982,49.73,4,21.2
2988,49.83,6,21.2
2994,49.93,6,22.1
3000,50.03,2,21.6
3006,50.13,7,21.1
3012,50.23,4,21.3
3018,50.33,4,22.1
3024,50.43,3,19.7
3030,50.53,2,20.7
3036,50.63,2,22.7
3042,50.73,1,21.7
3048,50.83,3,20.8
3054,50.93,1,19.6
3060,51.03,2,19.3
3066,51.13,1,19.9
3072,51.23,2,20.3
3078,51.33,1,19.9
3084,51.43,1,19.3
3090,51.53,1,20.3
3102,51.73,1,20.9
3144,52.43,2,21.4
3150,52.53,2,22.6
3156,52.63,2,22.4
3162,52.73,2,22.8
3168,52.83,1,20.0
3174,52.93,5,21.7
3180,53.03,5,22.4
3186,53.13,6,21.6
3192,53.23,1,19.6
3198,53.33,1,19.8
3204,53.43,3,21.3
3222,53.73,1,20.7
3228,53.83,2,21.5
3234,53.93,4,23.5
3240,54.03,4,23.8
3246,54.13,2,23.7
3378,56.33,1,19.6
3384,56.43,1,29.2
3390,56.53,1,16.6
3414,56.93,1,25.1
3420,57.03,1,20.5
3426,57.13,5,21.7
3432,57.23,1,19.3
3438,57.33,1,19.9
3444,57.43,3,20.9
3450,57.53,2,23.1
3468,57.83,1,20.8
3474,57.93,1,19.6
3492,58.23,1,21.2
3498,58.33,3,19.3
3504,58.43,1,20.7
3516,58.63,1,19.8
3546,59.13,1,20.9
3582,59.74,1,20.0
3600,60.04,1,19.9
3606,60.14,2,18.7
3612,60.24,1,19.4
3618,60.34,1,22.3
3630,60.54,1,19.8
3636,60.64,2,21.8
3642,60.74,1,21.8
3648,60.84,3,22.7
3654,60.94,1,21.7
3660,61.04,3,22.4
3666,61.14,1,21.8
3672,61.24,4,21.0
3678,61.34,2,20.0
3684,61.44,8,22.9
3702,61.74,7,22.2
3738,62.34,1,20.4
3798,63.34,1,19.2
3810,63.54,1,23.5
3864,64.44,1,21.7
3870,64.54,2,21.2
3894,64.94,2,20.0
3906,65.14,1,32.0
3912,65.24,1,19.7
3918,65.34,1,27.3
3924,65.44,1,23.0
3930,65.54,1,30.7
3936,65.64,1,20.0
3942,65.74,2,19.8
3954,65.94,1,17.9
3966,66.14,2,23.1
3972,66.24,2,25.5
3978,66.34,1,18.8
3984,66.44,2,22.9
3996,66.64,1,28.3
4002,66.74,1,21.3
4026,67.14,2,23.7
4038,67.34,2,21.7
4050,67.54,9,29.8
4056,67.64,1,23.7
4062,67.74,3,21.3
4068,67.84,3,22.1
4074,67.94,5,20.3
4080,68.04,4,21.8
4086,68.14,1,19.7
4092,68.24,3,20.8
4098,68.34,5,21.5
4104,68.44,17,23.4
4110,68.54,5,22.8
4116,68.64,3,21.4
4122,68.74,1,21.5
4128,68.84,5,20.5
4134,68.94,3,24.9
4152,69.24,1,22.2
4164,69.44,1,21.4
4170,69.54,2,20.8
4212,70.24,1,21.4
4218,70.34,3,21.3
4224,70.44,6,22.3
4230,70.54,5,23.7
4236,70.64,4,21.8
4242,70.74,4,21.4
4248,70.84,2,21.5
4254,70.94,7,22.6
4260,71.04,1,19.4
4272,71.24,2,19.7
4278,71.34,3,21.6
4284,71.44,4,21.7
4290,71.54,5,21.6
4296,71.64,15,21.0
4302,71.74,6,21.4
4308,71.84,4,21.5
4314,71.94,3,21.5
4320,72.04,10,21.1
4326,72.14,1,21.3
4332,72.24,8,22.6
4338,72.34,8,22.6
4344,72.44,6,24.5
4350,72.54,6,22.3
4356,72.64,1,21.4
4362,72.74,1,20.1
4368,72.84,2,19.5
4374,72.94,7,22.6
4380,73.04,2,21.9
4386,73.14,3,22.9
4398,73.34,1,19.2
4404,73.44,1,19.4
4416,73.64,2,19.7
4422,73.74,3,22.3
4428,73.84,1,20.6
4434,73.94,1,20.4
4440,74.04,1,20.2
4446,74.14,1,20.3
4458,74.34,3,22.0
4494,74.94,1,23.7
4560,76.04,2,21.3
4572,76.24,2,22.1
4584,76.45,1,21.0
4638,77.35,2,20.8
4644,77.45,1,18.9
4650,77.55,2,19.8
4656,77.65,3,20.3
4662,77.75,3,20.1
4668,77.85,3,20.0
4680,78.05,4,20.9
4686,78.15,2,19.9
4692,78.25,3,21.0
4698,78.35,3,20.3
4710,78.55,1,19.8
4716,78.65,1,20.7
4734,78.95,1,28.5
4746,79.15,3,31.4
4752,79.25,3,20.3
4764,79.45,1,20.0
4776,79.65,3,26.3
4782,79.75,4,20.2
4788,79.85,4,20.3
4794,79.95,10,22.2
4800,80.05,10,23.5
4806,80.15,11,22.6
4812,80.25,5,21.4
4818,80.35,8,22.6
4824,80.45,13,24.2
4830,80.55,7,21.6
