video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
N2379Rd_MAS_12.22.25_LS.mp4,0,0,504,0.0,8.4,8.4,85,126,47.0,0,0,640,512
N2379Rd_MAS_12.22.25_LS.mp4,1,2976,3132,49.62,52.23,2.6,25,3126,28.3,0,88,640,512
N2379Rd_MAS_12.22.25_LS.mp4,2,3222,3234,53.73,53.93,0.2,3,3234,24.9,0,421,158,487
N2379Rd_MAS_12.22.25_LS.mp4,3,5772,5946,96.25,99.15,2.9,21,5862,25.5,0,6,640,512
N2379Rd_MAS_12.22.25_LS.mp4,4,6048,6072,100.85,101.25,0.4,3,6048,22.4,170,445,328,512
N2379Rd_MAS_12.22.25_LS.mp4,5,6246,6270,104.15,104.55,0.4,2,6270,21.8,141,506,565,512
N2379Rd_MAS_12.22.25_LS.mp4,6,6372,6534,106.25,108.95,2.7,17,6414,24.8,63,434,633,512
N2379Rd_MAS_12.22.25_LS.mp4,7,7218,7398,120.36,123.36,3.0,15,7218,24.8,26,418,640,512
N2379Rd_MAS_12.22.25_LS.mp4,8,7506,7518,125.16,125.36,0.2,2,7506,23.6,238,366,341,376
N2379Rd_MAS_12.22.25_LS.mp4,9,7752,7794,129.26,129.96,0.7,4,7770,22.5,12,397,603,512
N2379Rd_MAS_12.22.25_LS.mp4,10,7908,7980,131.86,133.07,1.2,5,7926,23.8,47,476,243,512
N2379Rd_MAS_12.22.25_LS.mp4,11,8136,8322,135.67,138.77,3.1,13,8262,26.8,0,242,579,512
N2379Rd_MAS_12.22.25_LS.mp4,12,8460,8520,141.07,142.07,1.0,3,8472,20.9,139,430,480,512
N2379Rd_MAS_12.22.25_LS.mp4,13,8700,8778,145.07,146.37,1.3,4,8742,21.2,50,351,564,512
N2379Rd_MAS_12.22.25_LS.mp4,14,9252,9282,154.28,154.78,0.5,2,9252,22.0,30,509,266,512
N2379Rd_MAS_12.22.25_LS.mp4,15,9366,25770,156.18,429.71,273.53,2631,23568,47.1,0,0,640,512
N2379Rd_MAS_12.22.25_LS.mp4,16,25842,26076,430.91,434.81,3.9,33,25914,22.2,0,92,640,512
