frame,time_s,n_blobs,peak_score
390,6.5,1,31.7
396,6.6,1,27.0
402,6.7,1,30.7
408,6.8,1,31.3
414,6.9,1,26.5
420,7.0,1,29.4
426,7.1,1,28.8
432,7.2,1,29.1
438,7.3,1,26.0
756,12.6,2,21.5
762,12.7,1,20.3
894,14.9,1,18.6
1494,24.91,1,22.3
1500,25.01,1,20.4
1506,25.11,1,19.7
1554,25.91,1,19.8
1560,26.01,1,20.8
1572,26.21,1,25.8
1578,26.31,1,28.9
1584,26.41,1,25.0
1590,26.51,1,21.6
1596,26.61,1,25.7
1710,28.51,1,26.3
1716,28.61,1,20.8
1728,28.81,1,28.7
1734,28.91,1,23.9
1740,29.01,1,22.4
1746,29.11,1,21.0
1764,29.41,1,21.2
1770,29.51,1,20.3
1776,29.61,1,21.5
1782,29.71,1,21.8
1830,30.51,2,26.6
1842,30.71,2,27.4
1848,30.81,2,29.6
1854,30.91,2,27.4
1860,31.01,3,30.9
1866,31.11,4,26.8
1872,31.21,2,27.3
1878,31.31,1,21.7
2100,35.01,1,21.9
2106,35.11,1,21.4
2112,35.21,1,21.9
2118,35.31,2,21.4
2124,35.41,1,19.9
2130,35.51,5,21.9
2136,35.61,4,20.5
2142,35.71,6,26.2
2148,35.81,2,19.8
2154,35.91,1,19.7
2160,36.01,5,22.1
2172,36.21,7,21.9
2178,36.31,6,21.9
2184,36.41,8,23.5
2190,36.51,7,23.8
2196,36.61,4,26.0
2202,36.71,3,23.5
2208,36.81,1,21.4
2220,37.01,1,19.3
2226,37.11,1,20.1
2238,37.31,2,19.9
2244,37.41,3,23.9
2250,37.51,1,19.4
2256,37.61,1,19.8
2262,37.71,1,19.3
2268,37.81,1,20.4
2280,38.01,1,19.5
2286,38.11,1,19.8
2292,38.21,1,20.0
2298,38.31,1,19.0
2304,38.41,1,20.3
2322,38.71,1,17.9
2406,40.11,1,31.5
2412,40.21,1,22.6
2418,40.31,1,27.2
2430,40.51,1,24.1
2784,46.41,1,21.9
2982,49.71,1,23.7
3156,52.61,1,21.3
3168,52.81,1,28.3
3678,61.32,1,19.4
3690,61.52,1,19.3
3750,62.52,1,20.0
3858,64.32,1,18.9
3864,64.42,1,19.7
3924,65.42,1,20.0
4068,67.82,1,19.5
4086,68.12,1,19.6
4332,72.22,1,20.6
4830,80.52,1,19.7
4938,82.32,1,20.8
4962,82.72,1,25.2
4998,83.32,1,20.7
5064,84.42,1,22.7
5070,84.52,1,30.7
5166,86.12,4,21.4
5172,86.22,3,20.8
5178,86.32,1,23.3
5190,86.52,1,19.7
5196,86.62,2,26.9
5202,86.72,3,23.7
5208,86.82,1,21.7
5226,87.12,3,20.6
5232,87.22,2,24.2
5238,87.32,2,22.8
5244,87.42,2,24.2
5250,87.52,1,21.2
5256,87.62,1,23.0
5262,87.72,1,22.6
5274,87.92,1,20.6
5352,89.22,1,25.3
5472,91.22,1,29.3
5478,91.32,1,27.8
5484,91.42,1,27.4
5490,91.52,1,22.5
5496,91.62,2,21.6
5514,91.92,1,26.3
5526,92.12,1,20.6
5544,92.42,1,20.2
5556,92.62,2,22.9
5562,92.72,2,27.5
5634,93.92,1,19.6
5688,94.82,1,19.8
5712,95.22,2,22.8
5802,96.72,2,22.9
5808,96.82,1,20.6
5832,97.22,1,28.5
5838,97.32,1,20.3
5886,98.12,1,19.8
5892,98.22,1,20.2
6138,102.33,1,20.6
6282,104.73,1,21.3
