video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
N25thBlue_MAS_12.22.25_LS.mp4,0,0,1512,0.0,25.2,25.2,218,390,52.5,0,0,640,512
N25thBlue_MAS_12.22.25_LS.mp4,1,1584,2256,26.4,37.6,11.2,73,1632,30.5,0,0,640,512
N25thBlue_MAS_12.22.25_LS.mp4,2,2364,2556,39.4,42.6,3.2,10,2502,23.4,0,90,640,512
N25thBlue_MAS_12.22.25_LS.mp4,3,2868,6732,47.8,112.2,64.4,579,4194,41.6,0,0,640,512
N25thBlue_MAS_12.22.25_LS.mp4,4,6792,6966,113.2,116.1,2.9,28,6840,29.1,0,0,640,512
N25thBlue_MAS_12.22.25_LS.mp4,5,7062,7206,117.7,120.1,2.4,15,7122,33.6,13,257,581,414
N25thBlue_MAS_12.22.25_LS.mp4,6,7434,7692,123.9,128.2,4.3,20,7614,27.2,54,177,640,512
N25thBlue_MAS_12.22.25_LS.mp4,7,7758,7848,129.3,130.8,1.5,4,7848,23.2,401,508,632,512
N25thBlue_MAS_12.22.25_LS.mp4,8,8130,8196,135.5,136.6,1.1,7,8142,25.1,0,174,456,213
N25thBlue_MAS_12.22.25_LS.mp4,9,8268,8766,137.8,146.1,8.3,78,8340,27.3,0,67,640,512
N25thBlue_MAS_12.22.25_LS.mp4,10,8886,11400,148.1,190.01,41.9,394,11274,36.1,0,0,640,512
N25thBlue_MAS_12.22.25_LS.mp4,11,11466,12528,191.11,208.81,17.7,161,12408,30.6,0,26,640,512
N25thBlue_MAS_12.22.25_LS.mp4,12,12588,12606,209.81,210.11,0.3,4,12600,30.1,18,214,171,233
N25thBlue_MAS_12.22.25_LS.mp4,13,12708,12744,211.81,212.41,0.6,2,12708,20.7,0,15,17,212
N25thBlue_MAS_12.22.25_LS.mp4,14,12828,17538,213.81,292.31,78.5,639,14478,38.3,0,0,640,512
N25thBlue_MAS_12.22.25_LS.mp4,15,17664,17748,294.41,295.81,1.4,4,17670,21.3,0,173,606,512
N25thBlue_MAS_12.22.25_LS.mp4,16,18060,18066,301.01,301.11,0.1,2,18066,19.7,133,508,489,512
N25thBlue_MAS_12.22.25_LS.mp4,17,18306,19218,305.11,320.31,15.2,126,18348,38.0,0,85,640,512
N25thBlue_MAS_12.22.25_LS.mp4,18,19278,23040,321.31,384.01,62.7,585,20640,44.5,0,0,640,512
N25thBlue_MAS_12.22.25_LS.mp4,19,23118,23130,385.31,385.51,0.2,2,23130,19.7,199,509,450,512
N25thBlue_MAS_12.22.25_LS.mp4,20,23196,23244,386.61,387.41,0.8,2,23196,21.1,225,496,551,512
N25thBlue_MAS_12.22.25_LS.mp4,21,23454,23502,390.91,391.71,0.8,2,23502,21.3,291,509,572,512
N25thBlue_MAS_12.22.25_LS.mp4,22,23676,24408,394.61,406.81,12.2,71,23838,28.2,0,29,640,512
N25thBlue_MAS_12.22.25_LS.mp4,23,24486,24792,408.11,413.21,5.1,49,24690,28.7,30,55,640,512
