frame,time_s,n_blobs,peak_score
0,0.0,16,25.3
6,0.1,14,26.4
12,0.2,20,26.1
18,0.3,20,26.1
24,0.4,17,26.5
30,0.5,19,26.0
36,0.6,20,26.8
42,0.7,13,26.4
48,0.8,10,27.0
54,0.9,10,27.4
60,1.0,11,25.2
66,1.1,9,25.1
72,1.2,5,24.9
78,1.3,7,23.5
84,1.4,11,21.5
90,1.5,6,24.1
96,1.6,7,21.5
102,1.7,4,21.2
108,1.8,4,21.7
114,1.9,4,20.2
120,2.0,4,21.7
126,2.1,3,20.1
132,2.2,8,21.9
138,2.3,5,21.2
144,2.4,3,21.5
150,2.5,10,21.2
156,2.6,5,20.9
162,2.7,6,21.4
168,2.8,11,24.7
174,2.9,8,24.9
180,3.0,6,41.7
186,3.1,5,36.4
192,3.2,12,34.3
198,3.3,8,34.6
204,3.4,16,35.5
210,3.5,17,34.1
216,3.6,19,34.2
222,3.7,20,35.1
228,3.8,26,32.0
234,3.9,32,33.4
240,4.0,29,34.4
246,4.1,24,45.4
252,4.2,18,37.7
258,4.3,17,38.9
264,4.4,13,37.7
270,4.5,15,35.4
276,4.6,18,27.0
282,4.7,15,28.5
288,4.8,21,41.3
294,4.9,16,40.3
300,5.0,17,38.5
306,5.1,17,37.3
312,5.2,19,40.6
318,5.3,23,40.5
324,5.4,16,26.3
330,5.5,19,27.0
336,5.6,27,40.3
342,5.7,22,46.3
348,5.8,27,41.5
354,5.9,28,48.2
360,6.0,33,47.5
366,6.1,33,46.2
372,6.2,29,44.5
378,6.3,44,50.4
384,6.4,41,50.0
390,6.5,40,52.5
396,6.6,39,48.3
402,6.7,40,46.8
408,6.8,45,45.0
414,6.9,39,44.6
420,7.0,45,42.3
426,7.1,40,47.1
432,7.2,38,41.3
438,7.3,52,44.4
444,7.4,45,36.2
450,7.5,39,41.2
456,7.6,42,39.0
462,7.7,44,40.5
468,7.8,42,37.5
474,7.9,39,34.7
480,8.0,39,32.1
486,8.1,28,29.1
492,8.2,29,25.3
498,8.3,31,27.4
504,8.4,48,25.8
510,8.5,42,25.4
516,8.6,32,24.4
522,8.7,47,28.3
528,8.8,45,26.6
534,8.9,52,27.8
540,9.0,59,30.8
546,9.1,46,28.3
552,9.2,59,26.8
558,9.3,51,25.6
564,9.4,40,27.6
570,9.5,50,26.9
576,9.6,48,28.4
582,9.7,44,28.0
588,9.8,36,26.9
594,9.9,42,27.7
600,10.0,29,25.2
606,10.1,34,26.5
612,10.2,31,26.0
618,10.3,37,26.7
624,10.4,23,25.5
630,10.5,30,26.7
636,10.6,15,26.4
642,10.7,17,25.8
648,10.8,20,23.5
654,10.9,19,22.4
660,11.0,19,25.9
666,11.1,22,23.4
672,11.2,25,23.0
678,11.3,18,23.3
684,11.4,21,24.5
690,11.5,13,26.3
696,11.6,15,24.0
702,11.7,12,24.5
708,11.8,10,24.9
714,11.9,15,25.8
