video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
N25thRdBlue_MAS_12.22.25_LS.mp4,0,0,408,0.0,6.8,6.8,53,6,29.6,0,301,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,1,474,576,7.9,9.6,1.7,6,474,21.3,59,322,166,368
N25thRdBlue_MAS_12.22.25_LS.mp4,2,732,1182,12.2,19.7,7.5,29,1062,28.4,0,222,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,3,1254,2328,20.9,38.8,17.9,139,2094,29.9,0,102,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,4,2424,2448,40.4,40.8,0.4,5,2442,20.7,0,36,563,295
N25thRdBlue_MAS_12.22.25_LS.mp4,5,2514,2604,41.9,43.4,1.5,6,2562,23.8,0,439,331,512
N25thRdBlue_MAS_12.22.25_LS.mp4,6,2706,7782,45.1,129.7,84.6,793,6570,58.1,0,0,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,7,7866,8412,131.1,140.2,9.1,63,8130,27.3,0,0,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,8,8484,13248,141.4,220.8,79.4,701,11622,41.8,0,0,640,512
N25thRdBlue_MAS_12.22.25_LS.mp4,9,13398,13584,223.3,226.4,3.1,12,13446,29.9,0,124,621,512
N25thRdBlue_MAS_12.22.25_LS.mp4,10,13680,13722,228.0,228.7,0.7,3,13680,21.1,0,507,378,512
N25thRdBlue_MAS_12.22.25_LS.mp4,11,13824,13896,230.4,231.6,1.2,6,13860,21.8,8,319,633,512
N25thRdBlue_MAS_12.22.25_LS.mp4,12,14244,14286,237.4,238.1,0.7,3,14286,21.1,26,102,620,314
N25thRdBlue_MAS_12.22.25_LS.mp4,13,14364,14826,239.4,247.1,7.7,55,14502,32.8,0,180,626,512
N25thRdBlue_MAS_12.22.25_LS.mp4,14,14976,15384,249.6,256.4,6.8,58,15012,28.7,0,351,640,512
