frame,time_s,n_blobs,peak_score
0,0.0,30,29.4
6,0.1,29,29.6
12,0.2,29,29.0
18,0.3,23,28.9
24,0.4,25,28.5
30,0.5,20,27.6
36,0.6,23,28.8
42,0.7,23,28.1
48,0.8,18,27.0
54,0.9,16,26.9
60,1.0,19,26.7
66,1.1,15,26.7
72,1.2,16,27.4
78,1.3,14,27.2
84,1.4,13,27.8
90,1.5,9,24.3
96,1.6,8,25.0
102,1.7,7,23.9
108,1.8,4,23.7
114,1.9,3,23.2
120,2.0,2,22.0
126,2.1,2,21.3
132,2.2,2,20.6
138,2.3,2,21.1
144,2.4,1,19.2
150,2.5,2,22.9
156,2.6,2,21.0
162,2.7,3,21.7
168,2.8,2,19.6
186,3.1,2,22.3
192,3.2,2,21.9
198,3.3,3,21.6
204,3.4,3,21.2
210,3.5,3,21.7
216,3.6,3,21.4
222,3.7,1,21.2
228,3.8,6,24.3
234,3.9,2,19.9
240,4.0,3,22.7
246,4.1,4,20.8
252,4.2,2,21.5
258,4.3,2,20.1
264,4.4,3,22.1
270,4.5,3,24.3
276,4.6,3,24.5
282,4.7,2,23.2
288,4.8,2,22.0
294,4.9,2,20.4
300,5.0,1,21.3
306,5.1,1,22.4
312,5.2,1,20.6
360,6.0,1,21.5
408,6.8,1,19.4
474,7.9,1,21.3
498,8.3,1,20.8
510,8.5,1,20.8
528,8.8,1,20.3
564,9.4,2,20.4
576,9.6,2,20.0
732,12.2,1,24.1
762,12.7,1,20.2
792,13.2,1,19.6
822,13.7,1,19.2
858,14.3,1,19.9
864,14.4,1,19.3
870,14.5,2,21.3
876,14.6,1,20.0
882,14.7,3,19.9
888,14.8,2,19.4
894,14.9,2,19.7
900,15.0,2,20.0
906,15.1,1,20.2
966,16.1,2,21.5
972,16.2,1,19.8
978,16.3,1,19.2
1014,16.9,1,19.4
1026,17.1,1,26.0
1056,17.6,1,25.7
1062,17.7,2,28.4
1068,17.8,3,25.2
1074,17.9,1,20.3
1086,18.1,1,19.0
1092,18.2,2,19.4
1146,19.1,1,19.1
1164,19.4,1,18.7
1170,19.5,1,20.0
1176,19.6,1,19.1
1182,19.7,1,19.4
1254,20.9,1,18.7
1260,21.0,1,19.2
1266,21.1,1,19.2
1272,21.2,1,18.5
1284,21.4,2,26.1
1302,21.7,2,19.6
1326,22.1,1,19.8
1362,22.7,1,23.8
1368,22.8,1,23.2
1374,22.9,1,22.3
1386,23.1,1,24.1
1392,23.2,3,22.6
1398,23.3,1,20.2
1404,23.4,1,20.1
1416,23.6,1,23.1
1422,23.7,1,20.3
1428,23.8,1,22.1
1452,24.2,1,21.0
1458,24.3,1,24.6
1464,24.4,1,22.4
1470,24.5,2,24.5
1476,24.6,2,24.7
1482,24.7,1,21.7
1488,24.8,1,21.9
1494,24.9,1,19.7
1500,25.0,2,19.5
1506,25.1,1,19.0
1560,26.0,1,19.8
1572,26.2,1,18.6
1578,26.3,1,19.4
1584,26.4,1,21.8
1590,26.5,1,19.7
1596,26.6,1,19.6
1620,27.0,2,21.3
1632,27.2,1,19.1
1638,27.3,3,24.3
1644,27.4,4,24.5
1650,27.5,8,24.1
1656,27.6,5,24.7
1662,27.7,9,23.8
1668,27.8,8,22.5
1674,27.9,6,23.9
1680,28.0,7,23.3
1686,28.1,11,23.0
1692,28.2,13,21.3
1698,28.3,12,22.9
1704,28.4,21,22.8
1710,28.5,16,25.3
1716,28.6,13,22.6
1722,28.7,12,24.2
1728,28.8,13,24.1
1734,28.9,8,25.7
1740,29.0,8,22.1
1746,29.1,5,20.4
1752,29.2,6,22.0
1758,29.3,8,23.6
1764,29.4,7,22.0
1770,29.5,8,23.5
1776,29.6,17,21.9
1782,29.7,13,23.2
1788,29.8,15,25.4
1794,29.9,14,26.5
1800,30.0,14,25.8
1806,30.1,10,24.4
1812,30.2,13,24.1
1818,30.3,6,24.2
1824,30.4,4,21.9
1830,30.5,9,20.3
1836,30.6,17,22.8
1842,30.7,20,26.4
1848,30.8,16,25.4
1854,30.9,12,23.4
1860,31.0,15,23.9
1866,31.1,20,24.9
1872,31.2,23,24.1
1878,31.3,18,26.1
1884,31.4,19,25.9
1890,31.5,11,24.8
1896,31.6,11,23.9
1902,31.7,13,24.1
1908,31.8,3,21.2
1914,31.9,14,23.6
1920,32.0,13,23.7
1926,32.1,17,25.8
1932,32.2,22,27.7
1938,32.3,17,24.4
1944,32.4,15,24.4
1950,32.5,13,23.3
1956,32.6,24,24.8
1962,32.7,27,25.1
1968,32.8,17,25.3
1974,32.9,25,25.1
1980,33.0,13,22.8
1986,33.1,20,26.0
1992,33.2,13,25.2
1998,33.3,6,22.0
2004,33.4,2,23.0
2010,33.5,6,21.1
2016,33.6,6,21.4
2022,33.7,9,25.5
2028,33.8,5,24.7
2034,33.9,3,25.0
2040,34.0,6,24.5
2046,34.1,3,23.0
2052,34.2,2,22.0
2064,34.4,6,24.4
2070,34.5,5,25.7
2076,34.6,9,21.4
2082,34.7,3,21.6
2088,34.8,5,22.9
2094,34.9,6,29.9
2100,35.0,5,28.4
2106,35.1,9,27.1
2112,35.2,7,25.3
2118,35.3,3,21.6
2124,35.4,6,26.4
2136,35.6,3,21.8
2142,35.7,5,25.7
2148,35.8,7,22.8
2154,35.9,8,24.2
2160,36.0,12,25.7
2166,36.1,6,23.7
2172,36.2,18,25.0
2178,36.3,6,22.3
2184,36.4,17,24.2
2190,36.5,5,22.4
2196,36.6,7,23.7
2202,36.7,6,23.1
2208,36.8,4,20.7
2238,37.3,1,19.1
2244,37.4,3,20.9
2250,37.5,1,19.6
2262,37.7,4,24.1
2268,37.8,5,22.6
2274,37.9,8,25.5
2292,38.2,6,20.3
2304,38.4,1,20.9
2322,38.7,5,23.6
2328,38.8,1,20.0
2424,40.4,2,20.2
2430,40.5,1,20.4
2436,40.6,1,20.0
2442,40.7,1,20.7
2448,40.8,2,20.6
2514,41.9,1,20.1
2544,42.4,2,22.2
2550,42.5,1,21.2
2556,42.6,1,22.3
2562,42.7,1,23.8
2604,43.4,2,23.1
2706,45.1,1,19.8
2712,45.2,4,20.3
2760,46.0,1,18.6
2778,46.3,1,20.8
2796,46.6,1,21.0
2802,46.7,1,20.5
2808,46.8,3,21.6
2814,46.9,3,20.6
2820,47.0,1,20.8
2826,47.1,2,20.7
2832,47.2,4,22.9
2838,47.3,1,18.3
2850,47.5,1,19.9
2862,47.7,2,26.2
2874,47.9,1,21.6
2880,48.0,1,19.9
2886,48.1,2,21.7
2892,48.2,4,20.2
2898,48.3,5,28.6
2904,48.4,12,24.3
2910,48.5,12,22.2
2916,48.6,38,29.0
2922,48.7,33,25.3
2928,48.8,25,28.8
2934,48.9,7,24.3
2940,49.0,3,22.1
2946,49.1,3,24.9
2952,49.2,4,24.8
2958,49.3,6,26.8
2964,49.4,5,23.6
2970,49.5,3,24.3
2976,49.6,4,23.8
2982,49.7,3,21.2
2988,49.8,3,21.9
2994,49.9,4,23.6
3000,50.0,2,20.5
3006,50.1,3,20.5
3012,50.2,1,28.0
3018,50.3,4,22.5
3024,50.4,3,27.2
3030,50.5,1,30.8
3036,50.6,3,23.1
3042,50.7,3,24.3
3048,50.8,1,23.1
3054,50.9,2,22.9
3060,51.0,4,21.1
3066,51.1,1,21.6
3072,51.2,2,22.3
3078,51.3,3,22.0
3084,51.4,3,21.4
3090,51.5,3,24.1
3096,51.6,3,24.8
3102,51.7,3,21.9
3108,51.8,3,24.3
3114,51.9,2,20.6
3120,52.0,4,20.6
3126,52.1,1,19.6
3138,52.3,2,19.7
3150,52.5,4,22.1
3156,52.6,2,21.4
3162,52.7,6,22.4
3168,52.8,4,22.7
3174,52.9,5,22.5
3180,53.0,10,26.0
3186,53.1,9,25.4
3192,53.2,5,23.4
3198,53.3,6,23.9
3204,53.4,10,23.3
3210,53.5,11,25.1
3216,53.6,9,25.2
3222,53.7,8,23.5
3228,53.8,3,22.8
3234,53.9,1,22.0
3240,54.0,1,19.2
3246,54.1,4,20.8
3252,54.2,2,21.8
3258,54.3,4,22.6
3264,54.4,5,20.3
3276,54.6,8,24.4
3282,54.7,7,22.0
3288,54.8,16,24.3
3294,54.9,16,23.9
3300,55.0,15,24.2
3306,55.1,18,26.1
3312,55.2,8,23.6
3318,55.3,13,26.8
3324,55.4,5,22.7
3330,55.5,10,22.9
3336,55.6,4,21.4
3342,55.7,4,27.1
3348,55.8,5,24.8
3354,55.9,1,19.6
3360,56.0,3,24.3
3366,56.1,5,26.2
3372,56.2,5,23.1
3378,56.3,9,23.2
3384,56.4,4,25.7
3390,56.5,4,25.0
3396,56.6,6,25.1
3402,56.7,5,26.4
3408,56.8,3,24.4
3414,56.9,3,21.5
3420,57.0,2,20.7
3426,57.1,4,23.8
3432,57.2,7,23.3
3438,57.3,6,23.8
3444,57.4,2,19.3
3450,57.5,1,21.1
3456,57.6,1,21.9
3462,57.7,2,20.6
3468,57.8,1,20.2
3474,57.9,1,21.2
3480,58.0,1,22.2
3504,58.4,2,20.1
3510,58.5,1,19.8
3516,58.6,2,22.1
3522,58.7,4,22.0
3528,58.8,2,22.6
3534,58.9,4,22.4
3540,59.0,6,21.7
3546,59.1,5,23.7
3552,59.2,4,21.8
3558,59.3,3,20.4
3564,59.4,9,28.0
3570,59.5,2,19.8
3576,59.6,2,22.8
3582,59.7,2,19.8
3588,59.8,3,21.4
3594,59.9,5,20.2
3600,60.0,4,20.7
3606,60.1,2,20.5
3612,60.2,1,19.5
3660,61.0,1,19.2
3666,61.1,2,20.8
3672,61.2,2,20.8
3678,61.3,5,20.7
3684,61.4,11,23.9
3690,61.5,6,23.9
3696,61.6,3,23.0
3702,61.7,5,22.6
3708,61.8,3,23.5
3714,61.9,3,21.8
3720,62.0,6,26.7
3726,62.1,5,25.3
3732,62.2,4,25.9
3738,62.3,5,24.7
3744,62.4,4,30.8
3750,62.5,4,35.8
3756,62.6,4,27.2
3762,62.7,3,29.4
3768,62.8,4,29.4
3774,62.9,3,29.4
3780,63.0,4,29.2
3786,63.1,3,25.2
3792,63.2,3,24.3
3798,63.3,3,24.8
3804,63.4,2,25.4
3810,63.5,3,25.2
3816,63.6,5,25.5
3822,63.7,2,24.0
3828,63.8,2,24.3
3834,63.9,1,23.8
3840,64.0,1,23.6
3846,64.1,2,25.6
3852,64.2,1,25.5
3858,64.3,1,25.7
3864,64.4,1,25.1
3870,64.5,1,25.7
3876,64.6,1,19.9
3894,64.9,1,22.0
3900,65.0,1,19.5
3906,65.1,2,20.5
3912,65.2,4,19.9
3918,65.3,3,22.9
3924,65.4,2,22.6
3930,65.5,1,20.9
3936,65.6,3,22.7
3942,65.7,2,22.2
3948,65.8,4,23.8
3954,65.9,2,27.4
3960,66.0,3,27.3
3966,66.1,4,26.9
3972,66.2,5,27.0
3978,66.3,4,25.7
3984,66.4,7,27.6
3990,66.5,9,24.7
3996,66.6,7,23.6
4002,66.7,7,24.8
4008,66.8,6,28.4
4014,66.9,6,27.9
4020,67.0,9,25.8
4026,67.1,6,24.2
4032,67.2,4,22.4
4038,67.3,3,22.3
4044,67.4,3,22.5
4050,67.5,2,23.8
4056,67.6,4,21.8
4062,67.7,2,22.8
4068,67.8,2,22.3
4074,67.9,2,23.6
4080,68.0,2,24.1
4086,68.1,4,23.0
4092,68.2,3,22.3
4098,68.3,4,22.1
4104,68.4,4,23.2
4110,68.5,2,23.1
4116,68.6,1,22.9
4122,68.7,3,24.4
4128,68.8,1,21.0
4134,68.9,4,22.9
4140,69.0,2,25.5
4146,69.1,5,24.5
4152,69.2,3,25.1
4158,69.3,4,23.5
4164,69.4,5,21.5
4170,69.5,5,23.2
4176,69.6,14,26.1
4182,69.7,7,23.9
4188,69.8,17,24.6
4194,69.9,17,25.3
4200,70.0,24,24.8
4206,70.1,31,26.0
4212,70.2,24,24.7
4218,70.3,28,24.6
4224,70.4,32,28.0
4230,70.5,12,24.1
4236,70.6,8,23.8
4242,70.7,3,22.2
4248,70.8,5,23.7
4254,70.9,3,21.9
4260,71.0,2,19.7
4266,71.1,5,20.4
4272,71.2,10,22.8
4278,71.3,8,26.6
4284,71.4,11,27.3
4290,71.5,14,23.7
4296,71.6,10,24.1
4302,71.7,12,22.5
4308,71.8,12,26.0
4314,71.9,11,24.6
4320,72.0,17,24.0
4326,72.1,15,24.1
4332,72.2,16,23.3
4338,72.3,12,24.3
4344,72.4,10,23.4
4350,72.5,6,24.3
4356,72.6,11,25.1
4362,72.7,8,24.0
4368,72.8,15,25.6
4374,72.9,14,24.5
4380,73.0,14,24.0
4386,73.1,14,25.8
4392,73.2,19,25.1
4398,73.3,14,24.8
4404,73.4,11,27.4
4410,73.5,15,26.1
4416,73.6,12,25.3
4422,73.7,5,24.9
4428,73.8,4,23.1
4434,73.9,9,22.8
4440,74.0,5,21.9
4446,74.1,4,21.1
4452,74.2,5,22.4
4458,74.3,8,21.8
4464,74.4,6,21.4
4470,74.5,5,23.8
4476,74.6,7,28.7
4482,74.7,9,30.6
4488,74.8,12,30.5
4494,74.9,6,30.5
4500,75.0,17,29.3
4506,75.1,13,29.0
4512,75.2,21,28.4
4518,75.3,10,26.5
4524,75.4,15,29.0
4530,75.5,21,29.0
4536,75.6,16,29.3
4542,75.7,14,27.7
4548,75.8,25,28.6
4554,75.9,24,29.0
4560,76.0,32,29.4
4566,76.1,33,28.1
4572,76.2,36,26.7
4578,76.3,39,27.8
4584,76.4,41,28.2
4590,76.5,47,28.1
4596,76.6,54,26.7
4602,76.7,51,26.9
4608,76.8,55,26.4
4614,76.9,53,26.3
4620,77.0,45,27.2
4626,77.1,39,30.8
4632,77.2,32,31.3
4638,77.3,26,29.4
4644,77.4,19,30.3
4650,77.5,33,27.3
4656,77.6,25,27.7
4662,77.7,23,30.4
4668,77.8,15,27.9
4674,77.9,19,27.4
4680,78.0,26,26.0
4686,78.1,18,27.4
4692,78.2,14,26.6
4698,78.3,14,28.0
4704,78.4,9,25.8
4710,78.5,15,29.0
4716,78.6,8,27.0
4722,78.7,8,24.1
4728,78.8,3,22.0
4734,78.9,6,21.8
4740,79.0,4,23.7
4746,79.1,6,25.6
4752,79.2,4,25.6
4758,79.3,5,25.5
4764,79.4,3,26.8
4770,79.5,2,19.5
4776,79.6,3,26.6
4782,79.7,1,19.4
4794,79.9,1,24.7
4800,80.0,1,17.5
4812,80.2,2,24.9
4818,80.3,1,20.2
4824,80.4,1,20.7
4830,80.5,2,18.7
4836,80.6,1,21.5
4848,80.8,4,22.1
4854,80.9,4,21.2
4860,81.0,10,21.8
4866,81.1,10,24.1
4872,81.2,11,22.4
4878,81.3,14,23.9
4884,81.4,8,24.4
4890,81.5,18,26.1
4896,81.6,12,25.5
4902,81.7,13,23.2
4908,81.8,7,23.6
4914,81.9,13,24.5
4920,82.0,17,28.6
4926,82.1,12,30.7
4932,82.2,7,33.9
4938,82.3,8,27.2
4944,82.4,6,26.2
4950,82.5,14,28.4
4956,82.6,7,26.7
4962,82.7,18,28.2
4968,82.8,12,33.1
4974,82.9,21,40.9
4980,83.0,14,32.1
4986,83.1,10,40.3
4992,83.2,12,41.8
4998,83.3,14,42.5
5004,83.4,20,40.0
5010,83.5,18,37.8
5016,83.6,12,27.4
5022,83.7,11,23.2
5028,83.8,10,22.6
5034,83.9,18,21.9
5040,84.0,22,25.1
5046,84.1,21,24.7
5052,84.2,16,24.8
5058,84.3,16,24.0
5064,84.4,11,23.6
5070,84.5,12,22.5
5076,84.6,8,25.6
5082,84.7,4,23.9
5088,84.8,6,24.3
5094,84.9,5,27.6
5100,85.0,5,36.4
5106,85.1,6,38.9
5112,85.2,7,38.3
5118,85.3,6,37.2
5124,85.4,7,37.0
5130,85.5,8,37.5
5136,85.6,12,38.8
5142,85.7,10,37.9
5148,85.8,16,38.4
5154,85.9,10,42.2
5160,86.0,10,39.6
5166,86.1,11,38.7
5172,86.2,10,39.4
5178,86.3,10,39.5
5184,86.4,9,39.0
5190,86.5,9,38.6
5196,86.6,8,37.1
5202,86.7,6,37.7
5208,86.8,7,41.5
5214,86.9,7,41.6
5220,87.0,4,27.9
5226,87.1,7,25.6
5232,87.2,11,24.1
5238,87.3,11,21.9
5244,87.4,9,28.2
5250,87.5,9,29.5
5256,87.6,12,28.7
5262,87.7,9,24.4
5268,87.8,17,28.8
5274,87.9,19,29.0
5280,88.0,16,26.6
5286,88.1,15,26.9
5292,88.2,22,25.2
5298,88.3,23,24.4
5304,88.4,22,25.1
5310,88.5,17,25.4
5316,88.6,22,26.3
5322,88.7,26,24.4
5328,88.8,20,24.0
5334,88.9,16,23.6
5340,89.0,19,24.6
5346,89.1,17,25.2
5352,89.2,7,21.4
5358,89.3,5,24.9
5364,89.4,3,27.2
5370,89.5,6,24.6
5376,89.6,5,23.8
5382,89.7,9,24.0
5388,89.8,9,23.3
5394,89.9,9,23.8
5400,90.0,12,24.0
5406,90.1,12,23.2
5412,90.2,16,22.8
5418,90.3,9,23.3
5424,90.4,13,25.2
5430,90.5,12,29.8
5436,90.6,3,29.7
5442,90.7,4,21.4
5448,90.8,3,22.0
5454,90.9,8,23.9
5460,91.0,7,24.8
5466,91.1,11,23.2
5472,91.2,8,23.1
5478,91.3,3,21.9
5484,91.4,10,30.3
5490,91.5,11,24.6
5496,91.6,14,32.0
5502,91.7,20,25.5
5508,91.8,11,25.1
5514,91.9,14,24.8
5520,92.0,10,24.9
5526,92.1,4,25.8
5532,92.2,3,24.1
5538,92.3,5,29.3
5544,92.4,9,29.6
5550,92.5,6,25.9
5556,92.6,6,27.6
5562,92.7,17,26.8
5568,92.8,14,30.2
5574,92.9,21,27.9
5580,93.0,29,28.8
5586,93.1,29,29.6
5592,93.2,25,27.7
5598,93.3,24,24.2
5604,93.4,24,27.1
5610,93.5,22,29.1
5616,93.6,21,27.2
5622,93.7,23,27.6
5628,93.8,31,28.9
5634,93.9,34,25.3
5640,94.0,26,25.1
5646,94.1,32,25.1
5652,94.2,19,26.7
5658,94.3,17,24.3
5664,94.4,16,23.1
5670,94.5,16,29.7
5676,94.6,7,22.4
5682,94.7,15,27.4
5688,94.8,14,25.0
5694,94.9,12,23.4
5700,95.0,18,24.8
5706,95.1,26,25.5
5712,95.2,25,32.0
5718,95.3,24,24.4
5724,95.4,28,31.1
5730,95.5,28,28.2
5736,95.6,34,27.3
5742,95.7,32,29.1
5748,95.8,39,26.9
5754,95.9,32,28.0
5760,96.0,48,30.9
5766,96.1,56,29.9
5772,96.2,46,28.8
5778,96.3,57,29.7
5784,96.4,58,27.1
5790,96.5,52,27.4
5796,96.6,53,30.0
5802,96.7,52,25.9
5808,96.8,44,26.0
5814,96.9,48,26.1
5820,97.0,44,24.6
5826,97.1,34,27.7
5832,97.2,22,27.5
5838,97.3,28,25.6
5844,97.4,22,25.9
5850,97.5,28,23.3
5856,97.6,23,23.8
5862,97.7,36,23.4
5868,97.8,27,26.1
5874,97.9,24,24.2
5880,98.0,23,26.5
5886,98.1,20,24.0
5892,98.2,21,25.1
5898,98.3,8,24.2
5904,98.4,5,23.0
5910,98.5,2,23.1
5916,98.6,4,22.7
5922,98.7,3,19.8
5928,98.8,5,20.6
5934,98.9,4,21.5
5940,99.0,2,19.5
5946,99.1,1,20.9
5976,99.6,1,21.3
5994,99.9,1,20.8
6000,100.0,1,22.1
6006,100.1,1,21.0
6018,100.3,1,21.0
6030,100.5,1,22.8
6036,100.6,3,22.0
6042,100.7,8,35.0
6048,100.8,13,24.5
6054,100.9,16,30.2
6060,101.0,19,33.9
6066,101.1,27,30.4
6072,101.2,32,32.3
6078,101.3,40,29.8
6084,101.4,36,32.7
6090,101.5,46,36.5
6096,101.6,53,35.7
6102,101.7,54,30.3
6108,101.8,52,31.3
6114,101.9,59,31.0
6120,102.0,50,34.2
6126,102.1,35,28.0
6132,102.2,32,32.6
6138,102.3,35,29.4
6144,102.4,17,27.3
6150,102.5,26,32.8
6156,102.6,18,32.6
6162,102.7,13,28.3
6168,102.8,10,22.4
6174,102.9,11,23.6
6180,103.0,2,20.8
6186,103.1,11,22.7
6192,103.2,9,28.2
6198,103.3,8,30.5
6204,103.4,11,32.0
6210,103.5,7,31.3
6216,103.6,12,33.3
6222,103.7,10,33.1
6228,103.8,11,36.5
6234,103.9,17,39.9
6240,104.0,20,40.0
6246,104.1,27,40.5
6252,104.2,29,41.9
6258,104.3,28,41.5
6264,104.4,32,39.8
6270,104.5,40,45.7
6276,104.6,30,45.8
6282,104.7,26,37.8
6288,104.8,33,44.0
6294,104.9,45,49.6
6300,105.0,31,47.9
6306,105.1,34,40.9
6312,105.2,23,35.9
6318,105.3,27,37.6
6324,105.4,30,51.0
6330,105.5,25,44.8
6336,105.6,19,42.3
6342,105.7,26,42.4
6348,105.8,25,52.1
6354,105.9,25,46.8
6360,106.0,13,29.6
6366,106.1,26,45.0
6372,106.2,19,43.6
6378,106.3,18,46.6
6384,106.4,26,43.4
6390,106.5,16,36.9
6396,106.6,20,48.1
6402,106.7,21,35.2
6408,106.8,20,44.8
6414,106.9,11,29.4
6420,107.0,9,29.9
6426,107.1,11,29.4
6432,107.2,9,30.4
6438,107.3,16,33.2
6444,107.4,14,32.3
6450,107.5,11,34.1
6456,107.6,12,33.7
6462,107.7,14,35.7
6468,107.8,15,35.0
6474,107.9,13,36.2
6480,108.0,13,35.4
6486,108.1,15,34.5
6492,108.2,13,34.3
6498,108.3,17,34.6
6504,108.4,14,35.4
6510,108.5,17,33.7
6516,108.6,15,32.8
6522,108.7,13,35.5
6528,108.8,12,33.5
6534,108.9,16,31.6
6540,109.0,21,32.3
6546,109.1,18,29.5
6552,109.2,23,43.7
6558,109.3,17,50.7
6564,109.4,22,54.6
6570,109.5,17,58.1
6576,109.6,17,49.9
6582,109.7,19,52.4
6588,109.8,17,51.7
6594,109.9,18,47.8
6600,110.0,18,31.4
6606,110.1,11,28.3
6612,110.2,17,38.9
6618,110.3,17,46.6
6624,110.4,19,47.8
6630,110.5,17,47.5
6636,110.6,17,50.7
6642,110.7,21,46.5
6648,110.8,22,50.1
6654,110.9,18,49.8
6660,111.0,27,51.3
6666,111.1,23,48.3
6672,111.2,23,48.4
6678,111.3,15,46.9
6684,111.4,13,39.6
6690,111.5,12,48.8
6696,111.6,18,50.5
6702,111.7,20,50.7
6708,111.8,17,39.9
6714,111.9,20,39.1
6720,112.0,18,40.0
6726,112.1,16,24.0
6732,112.2,23,45.0
6738,112.3,27,46.7
6744,112.4,26,45.8
6750,112.5,26,47.0
6756,112.6,21,43.8
6762,112.7,22,44.2
6768,112.8,31,43.7
6774,112.9,23,41.8
6780,113.0,30,44.8
6786,113.1,31,47.7
6792,113.2,30,49.9
6798,113.3,30,44.6
6804,113.4,26,43.6
6810,113.5,20,45.3
6816,113.6,23,45.7
6822,113.7,30,43.3
6828,113.8,27,46.0
6834,113.9,28,44.2
6840,114.0,27,44.9
6846,114.1,25,44.9
6852,114.2,23,43.7
6858,114.3,29,40.0
6864,114.4,27,42.0
6870,114.5,23,41.8
6876,114.6,18,39.3
6882,114.7,23,38.0
6888,114.8,26,40.3
6894,114.9,23,35.1
6900,115.0,33,44.9
6906,115.1,26,41.4
6912,115.2,28,40.4
6918,115.3,33,42.4
6924,115.4,25,43.6
6930,115.5,20,33.5
6936,115.6,24,38.9
6942,115.7,22,33.0
6948,115.8,24,37.3
6954,115.9,25,31.6
6960,116.0,24,30.3
6966,116.1,19,28.3
6972,116.2,23,29.3
6978,116.3,29,26.0
6984,116.4,43,26.3
6990,116.5,31,29.6
6996,116.6,30,27.8
7002,116.7,42,32.6
7008,116.8,42,32.2
7014,116.9,33,30.0
7020,117.0,42,29.7
7026,117.1,40,30.4
7032,117.2,47,34.7
7038,117.3,47,31.0
7044,117.4,49,32.1
7050,117.5,39,30.7
7056,117.6,41,26.1
7062,117.7,48,27.2
7068,117.8,55,29.8
7074,117.9,47,31.4
7080,118.0,45,30.4
7086,118.1,47,30.4
7092,118.2,52,25.5
7098,118.3,53,28.4
7104,118.4,44,32.5
7110,118.5,26,25.8
7116,118.6,32,30.2
7122,118.7,28,28.6
7128,118.8,26,26.0
7134,118.9,20,26.4
7140,119.0,31,28.8
7146,119.1,25,24.4
