frame,time_s,n_blobs,peak_score
12,0.2,1,21.9
18,0.3,2,23.6
24,0.4,2,22.3
30,0.5,2,22.8
36,0.6,1,19.3
42,0.7,2,21.2
48,0.8,3,22.1
54,0.9,1,19.2
96,1.6,1,21.4
102,1.7,2,21.2
108,1.8,2,20.2
300,5.0,1,21.2
324,5.4,1,20.5
330,5.5,1,22.9
336,5.6,1,22.3
360,6.0,1,19.1
498,8.3,1,28.2
504,8.4,1,23.9
576,9.6,1,19.6
618,10.3,1,21.3
642,10.7,1,21.0
648,10.8,1,19.6
660,11.0,1,20.5
702,11.7,1,19.4
720,12.0,1,18.7
726,12.1,1,19.8
732,12.2,2,22.0
744,12.4,1,19.9
750,12.5,4,20.4
846,14.1,1,21.9
858,14.3,2,21.5
864,14.4,1,21.4
870,14.5,1,22.4
876,14.6,2,19.9
882,14.7,1,22.2
888,14.8,2,29.5
954,15.9,1,20.7
1260,21.0,1,22.6
1680,28.0,1,19.2
1686,28.1,4,20.7
1692,28.2,1,19.6
1698,28.3,1,22.8
2238,37.3,1,20.2
2352,39.2,1,20.2
2490,41.5,1,20.7
2520,42.0,2,21.4
2526,42.1,1,26.3
2538,42.3,1,21.5
2574,42.9,1,19.0
2592,43.2,1,20.8
2640,44.0,1,20.7
2646,44.1,2,19.9
2658,44.3,1,21.4
2664,44.4,1,21.7
2676,44.6,1,19.8
2700,45.0,2,21.0
2706,45.1,2,22.3
2712,45.2,3,20.5
2724,45.4,2,22.7
2730,45.5,1,19.4
2736,45.6,17,22.9
2742,45.7,8,21.4
2748,45.8,11,27.2
2754,45.9,8,22.9
2760,46.0,11,22.5
2766,46.1,6,26.3
2772,46.2,3,19.9
2778,46.3,1,20.4
2784,46.4,1,21.6
2790,46.5,1,20.6
2802,46.7,1,27.6
2814,46.9,1,20.5
2850,47.5,3,20.2
2922,48.7,1,22.7
2946,49.1,1,19.7
2976,49.6,5,22.3
2982,49.7,9,21.4
2988,49.8,9,23.4
2994,49.9,6,22.3
3000,50.0,6,21.0
3006,50.1,8,21.4
3012,50.2,2,19.8
3018,50.3,3,20.9
3024,50.4,5,21.9
3030,50.5,5,22.3
3036,50.6,1,21.0
3054,50.9,1,21.6
3066,51.1,4,21.6
3072,51.2,3,22.3
3078,51.3,4,23.7
3084,51.4,4,21.9
3090,51.5,5,21.2
3096,51.6,7,27.3
3102,51.7,6,23.9
3108,51.8,6,24.9
3114,51.9,5,21.2
3120,52.0,11,23.7
3126,52.1,4,23.7
3132,52.2,3,23.9
3138,52.3,7,26.0
3144,52.4,5,21.9
3150,52.5,2,20.3
3156,52.6,5,22.6
3162,52.7,9,25.6
3168,52.8,7,27.0
3174,52.9,8,27.2
