frame,time_s,n_blobs,peak_score
0,0.0,177,42.0
6,0.1,181,40.4
12,0.2,181,41.7
18,0.3,186,41.7
24,0.4,187,42.0
30,0.5,185,40.5
36,0.6,169,39.1
42,0.7,167,40.3
48,0.8,176,42.1
54,0.9,160,39.4
60,1.0,143,32.8
66,1.1,143,39.0
72,1.2,136,38.7
78,1.3,135,39.5
84,1.4,135,38.3
90,1.5,147,37.6
96,1.6,136,35.4
102,1.7,106,39.7
108,1.8,120,37.7
114,1.9,124,36.3
120,2.0,115,36.6
126,2.1,128,38.7
132,2.2,113,35.2
138,2.3,118,31.6
144,2.4,113,32.4
150,2.5,93,31.7
156,2.6,94,32.0
162,2.7,91,32.0
168,2.8,96,33.0
174,2.9,102,31.8
180,3.0,79,29.4
186,3.1,99,35.6
192,3.2,74,30.5
198,3.3,104,30.9
204,3.4,78,28.9
210,3.5,107,33.3
216,3.6,66,27.2
222,3.7,108,31.0
228,3.8,64,28.4
234,3.9,66,29.6
240,4.0,65,27.6
246,4.1,58,28.7
252,4.2,61,29.3
258,4.3,50,27.4
264,4.4,62,24.6
270,4.5,40,23.8
276,4.6,56,24.8
282,4.7,38,25.9
288,4.8,34,24.1
294,4.9,52,31.2
300,5.0,40,27.3
306,5.1,47,24.9
312,5.2,51,25.8
318,5.3,44,27.3
324,5.4,41,28.3
330,5.5,32,28.8
336,5.6,25,25.2
342,5.7,11,24.7
348,5.8,20,25.2
354,5.9,27,25.3
360,6.0,28,25.6
366,6.1,31,25.6
372,6.2,45,25.4
378,6.3,58,24.6
384,6.4,58,24.8
390,6.5,74,26.5
396,6.6,63,25.4
402,6.7,99,26.3
408,6.8,87,26.8
414,6.9,85,26.0
420,7.0,113,25.7
426,7.1,79,24.9
432,7.2,70,25.5
438,7.3,100,27.6
444,7.4,73,25.4
450,7.5,82,27.0
456,7.6,94,26.2
462,7.7,104,25.5
468,7.8,84,27.8
474,7.9,81,23.9
480,8.0,103,25.3
486,8.1,76,24.0
492,8.2,98,26.4
498,8.3,77,25.7
504,8.4,74,25.3
510,8.5,56,25.1
516,8.6,64,26.2
522,8.7,76,24.9
528,8.8,69,27.0
534,8.9,42,26.0
540,9.0,51,24.9
546,9.1,34,25.1
552,9.2,32,23.5
558,9.3,53,24.4
564,9.4,30,23.3
570,9.5,25,23.2
576,9.6,28,25.2
582,9.7,13,24.5
588,9.8,11,26.5
594,9.9,8,27.0
600,10.0,5,22.1
606,10.1,8,25.5
612,10.2,6,25.0
618,10.3,6,21.3
624,10.4,7,21.4
630,10.5,9,22.9
636,10.6,5,25.2
642,10.7,2,24.6
648,10.8,4,26.5
654,10.9,2,22.9
660,11.0,4,22.7
666,11.1,4,25.1
672,11.2,3,30.1
678,11.3,4,19.9
690,11.5,2,22.2
696,11.6,1,20.0
702,11.7,3,26.4
714,11.9,1,19.9
750,12.5,1,22.4
756,12.6,2,23.0
762,12.7,1,21.0
768,12.8,6,23.3
792,13.2,1,19.6
798,13.3,1,20.3
804,13.4,1,19.4
810,13.5,1,20.0
822,13.7,1,19.0
828,13.8,4,21.1
834,13.9,2,20.4
840,14.0,4,20.4
846,14.1,3,19.7
852,14.2,4,20.0
858,14.3,8,23.4
864,14.4,21,23.4
