frame,time_s,n_blobs,peak_score
0,0.0,8,30.5
6,0.1,4,31.5
12,0.2,8,31.1
18,0.3,6,32.6
24,0.4,3,33.6
30,0.5,5,32.6
36,0.6,2,33.2
42,0.7,5,33.7
48,0.8,7,33.7
54,0.9,6,32.8
60,1.0,7,34.1
66,1.1,6,33.9
72,1.2,6,32.9
78,1.3,7,34.5
84,1.4,6,34.5
90,1.5,6,33.5
96,1.6,5,33.3
102,1.7,5,31.8
108,1.8,5,31.6
114,1.9,4,31.8
120,2.0,5,30.7
126,2.1,3,29.6
132,2.2,2,28.9
138,2.3,3,29.8
144,2.4,5,27.3
150,2.5,5,28.1
156,2.6,4,23.2
162,2.7,4,23.5
168,2.8,10,23.1
174,2.9,17,21.7
180,3.0,10,24.5
186,3.1,13,22.1
192,3.2,12,20.9
198,3.3,20,22.0
204,3.4,17,21.3
210,3.5,21,22.0
216,3.6,14,22.2
222,3.7,15,22.1
228,3.8,20,22.9
234,3.9,19,24.2
240,4.0,48,25.8
246,4.1,20,27.9
252,4.2,47,27.5
258,4.3,22,26.9
264,4.4,19,26.0
270,4.5,27,24.6
276,4.6,28,23.7
282,4.7,50,26.1
288,4.8,70,29.6
294,4.9,72,26.7
300,5.0,91,25.9
306,5.1,113,30.3
312,5.2,94,26.8
318,5.3,84,26.7
324,5.4,113,26.1
330,5.5,103,28.1
336,5.6,52,25.2
342,5.7,74,26.0
348,5.8,31,27.3
354,5.9,2,25.1
360,6.0,6,22.3
366,6.1,10,22.1
372,6.2,15,22.5
378,6.3,42,24.6
384,6.4,14,24.8
390,6.5,19,23.6
396,6.6,25,25.8
402,6.7,19,23.1
408,6.8,17,22.9
414,6.9,22,24.4
420,7.0,49,27.7
426,7.1,27,24.4
432,7.2,24,24.2
438,7.3,29,22.3
444,7.4,23,24.9
450,7.5,8,21.0
456,7.6,8,23.2
462,7.7,6,22.0
468,7.8,4,21.5
474,7.9,7,20.2
480,8.0,5,20.4
486,8.1,3,19.5
492,8.2,2,20.3
498,8.3,2,19.9
516,8.6,2,19.7
522,8.7,1,19.7
528,8.8,2,22.3
534,8.9,1,19.7
540,9.0,5,22.8
576,9.6,1,20.2
582,9.7,1,20.7
594,9.9,1,19.0
606,10.1,1,20.4
618,10.3,2,20.8
624,10.4,2,21.7
630,10.5,6,23.0
636,10.6,6,21.6
642,10.7,5,24.1
648,10.8,4,22.5
654,10.9,5,22.2
660,11.0,10,23.0
666,11.1,6,22.2
672,11.2,11,21.7
678,11.3,5,23.0
684,11.4,13,22.2
690,11.5,15,22.9
696,11.6,2,20.6
702,11.7,6,22.6
708,11.8,12,22.1
714,11.9,12,21.5
720,12.0,15,22.5
726,12.1,7,21.0
732,12.2,4,19.5
738,12.3,5,19.7
744,12.4,9,21.2
750,12.5,12,24.0
756,12.6,18,23.3
762,12.7,6,22.4
768,12.8,18,28.1
774,12.9,8,21.7
780,13.0,17,25.1
786,13.1,3,20.8
792,13.2,13,26.3
798,13.3,7,24.3
804,13.4,17,23.4
810,13.5,4,24.2
816,13.6,7,22.9
822,13.7,9,24.9
828,13.8,15,23.7
834,13.9,5,22.1
840,14.0,5,21.2
846,14.1,3,20.3
852,14.2,2,21.2
858,14.3,2,21.1
864,14.4,4,21.5
870,14.5,3,20.8
882,14.7,4,21.3
894,14.9,4,26.9
900,15.0,1,22.6
906,15.1,1,21.1
912,15.2,2,23.9
924,15.4,1,20.6
930,15.5,2,23.1
936,15.6,1,26.2
942,15.7,1,21.7
960,16.0,1,21.1
978,16.3,1,20.7
984,16.4,1,21.1
990,16.5,1,19.5
1020,17.0,2,19.5
1032,17.2,2,20.2
1044,17.4,2,20.3
1050,17.5,1,22.7
1056,17.6,8,21.4
1062,17.7,2,20.0
1068,17.8,10,21.8
1074,17.9,7,23.8
1080,18.0,3,23.4
1104,18.4,6,20.8
1110,18.5,2,20.5
1122,18.7,3,21.4
1128,18.8,4,22.6
1134,18.9,3,22.2
1140,19.0,4,21.4
1146,19.1,2,20.4
1152,19.2,4,22.2
1158,19.3,3,22.9
1164,19.4,3,20.6
1170,19.5,2,21.4
1176,19.6,6,21.0
1182,19.7,4,21.0
1188,19.8,4,23.9
1194,19.9,4,23.8
1200,20.0,4,24.4
1206,20.1,4,21.2
1212,20.2,3,20.4
1218,20.3,9,24.0
1224,20.4,2,20.6
1230,20.5,8,25.9
1236,20.6,6,24.2
1242,20.7,16,28.8
1248,20.8,4,21.8
1254,20.9,4,25.4
1260,21.0,14,27.1
1266,21.1,3,20.7
1272,21.2,1,19.6
1278,21.3,9,21.3
1284,21.4,6,22.5
1290,21.5,2,24.6
1296,21.6,3,20.7
1302,21.7,3,23.5
1308,21.8,6,23.0
1314,21.9,5,24.2
1320,22.0,4,20.6
1326,22.1,6,20.9
1332,22.2,3,26.5
1338,22.3,3,21.0
1344,22.4,4,23.5
1350,22.5,1,21.0
1356,22.6,2,20.5
1362,22.7,8,21.3
1368,22.8,2,22.2
1374,22.9,11,20.9
1380,23.0,2,22.8
1386,23.1,7,24.4
1392,23.2,6,21.5
1398,23.3,3,23.0
1404,23.4,12,20.8
1410,23.5,7,20.8
1416,23.6,3,21.5
1422,23.7,5,20.8
1428,23.8,11,22.2
1434,23.9,10,23.1
1440,24.0,10,23.6
1446,24.1,10,20.9
1452,24.2,5,20.1
1458,24.3,8,21.6
1464,24.4,4,20.8
1470,24.5,4,22.9
1476,24.6,4,20.0
1482,24.7,2,20.9
1488,24.8,2,21.0
1494,24.9,7,24.6
1500,25.0,5,34.5
1506,25.1,10,22.8
1512,25.2,7,24.8
1518,25.3,6,22.8
1524,25.4,2,21.4
1530,25.5,9,20.4
1536,25.6,2,21.4
1542,25.7,11,21.8
1548,25.8,8,22.4
1554,25.9,4,20.4
1560,26.0,10,21.6
1566,26.1,13,21.7
1572,26.2,10,21.2
1578,26.3,11,21.4
1584,26.4,11,21.6
1590,26.5,5,23.7
1596,26.6,4,22.5
1602,26.7,13,21.7
1608,26.8,9,24.4
1614,26.9,2,20.3
1620,27.0,8,23.5
1626,27.1,7,20.7
1632,27.2,3,20.5
1638,27.3,9,22.8
1644,27.4,14,23.0
1650,27.5,5,21.6
1656,27.6,7,24.4
1662,27.7,11,21.5
1668,27.8,5,22.7
1674,27.9,12,22.7
1680,28.0,8,23.2
1686,28.1,7,24.7
1692,28.2,5,22.0
1698,28.3,12,22.2
1704,28.4,11,22.5
1710,28.5,7,25.0
1716,28.6,3,25.4
1722,28.7,9,21.4
1728,28.8,10,22.6
1734,28.9,3,23.4
1740,29.0,5,21.9
1746,29.1,3,23.8
1752,29.2,5,24.3
1758,29.3,12,23.1
1764,29.4,17,22.8
1770,29.5,14,22.6
1776,29.6,17,25.1
1782,29.7,20,26.2
1788,29.8,17,24.5
1794,29.9,30,26.3
1800,30.0,35,23.9
1806,30.1,23,25.8
1812,30.2,37,25.4
1818,30.3,29,22.9
1824,30.4,24,23.2
1830,30.5,22,24.8
1836,30.6,21,24.8
1842,30.7,33,23.2
1848,30.8,21,24.0
1854,30.9,30,24.2
1860,31.0,36,25.0
1866,31.1,25,28.2
1872,31.2,15,27.7
1878,31.3,24,24.9
1884,31.4,28,23.6
1890,31.5,31,25.7
1896,31.6,19,24.6
1902,31.7,16,23.2
1908,31.8,31,25.5
1914,31.9,25,22.5
1920,32.0,34,23.7
1926,32.1,23,23.2
1932,32.2,20,24.1
1938,32.3,25,21.8
1944,32.4,16,22.8
1950,32.5,19,23.6
1956,32.6,20,23.2
1962,32.7,14,22.6
1968,32.8,20,22.5
1974,32.9,20,23.1
1980,33.0,40,23.1
1986,33.1,33,21.8
1992,33.2,27,24.5
1998,33.3,31,26.3
2004,33.4,25,24.2
2010,33.5,14,23.1
2016,33.6,19,24.2
2022,33.7,13,23.7
2028,33.8,7,20.9
2034,33.9,12,22.7
2040,34.0,43,23.6
2046,34.1,18,23.6
2052,34.2,19,24.7
2058,34.3,16,22.5
2064,34.4,13,21.4
2070,34.5,9,21.9
2076,34.6,7,21.7
2082,34.7,4,19.7
2088,34.8,7,21.0
2094,34.9,4,21.6
2100,35.0,6,22.9
2106,35.1,3,20.2
2112,35.2,4,20.1
2118,35.3,8,21.0
