frame,time_s,n_blobs,peak_score
0,0.0,46,25.1
6,0.1,45,24.8
12,0.2,51,24.3
18,0.3,55,24.5
24,0.4,48,27.0
30,0.5,45,25.5
36,0.6,56,25.3
42,0.7,46,26.0
48,0.8,40,26.2
54,0.9,38,25.1
60,1.0,27,26.6
66,1.1,33,25.3
72,1.2,40,24.8
78,1.3,42,25.4
84,1.4,36,24.9
90,1.5,23,25.8
96,1.6,29,25.8
102,1.7,19,24.0
108,1.8,39,24.9
114,1.9,27,27.0
120,2.0,25,24.2
126,2.1,28,23.3
132,2.2,25,23.5
138,2.3,21,23.6
144,2.4,21,24.4
150,2.5,17,23.6
156,2.6,18,23.1
162,2.7,22,25.1
168,2.8,12,35.7
174,2.9,15,27.8
180,3.0,17,30.4
186,3.1,9,23.9
192,3.2,14,25.0
198,3.3,13,25.4
204,3.4,25,25.8
210,3.5,26,33.1
216,3.6,15,28.3
222,3.7,13,27.9
228,3.8,11,27.2
234,3.9,9,26.7
240,4.0,11,28.8
246,4.1,3,26.8
252,4.2,4,24.3
258,4.3,3,24.9
270,4.5,1,20.2
276,4.6,1,21.2
282,4.7,2,20.9
288,4.8,1,19.6
318,5.3,1,21.4
324,5.4,1,20.0
330,5.5,1,20.4
354,5.9,3,19.6
360,6.0,1,19.6
366,6.1,3,20.8
372,6.2,2,23.1
378,6.3,1,20.8
384,6.4,4,23.7
390,6.5,6,25.2
396,6.6,8,21.6
402,6.7,6,21.0
408,6.8,7,21.2
414,6.9,6,21.3
420,7.0,3,20.3
426,7.1,4,20.9
432,7.2,2,20.7
444,7.4,1,20.2
456,7.6,2,20.3
462,7.7,2,19.7
468,7.8,3,21.8
474,7.9,4,22.1
480,8.0,1,23.7
486,8.1,4,24.4
492,8.2,3,21.0
498,8.3,8,22.3
504,8.4,10,20.9
510,8.5,8,21.9
516,8.6,15,22.4
522,8.7,8,22.2
528,8.8,11,22.6
534,8.9,7,22.4
540,9.0,12,23.6
546,9.1,5,22.8
552,9.2,5,22.9
558,9.3,5,20.9
564,9.4,6,22.5
570,9.5,6,22.2
576,9.6,9,20.9
582,9.7,5,24.4
588,9.8,7,23.4
594,9.9,7,22.0
600,10.0,4,21.4
606,10.1,6,21.5
612,10.2,1,21.1
618,10.3,2,22.0
630,10.5,4,20.6
636,10.6,2,23.0
642,10.7,1,22.8
648,10.8,1,19.6
654,10.9,1,22.6
660,11.0,1,24.0
678,11.3,1,22.2
684,11.4,4,24.9
690,11.5,2,21.0
702,11.7,1,22.3
708,11.8,2,19.7
714,11.9,1,21.4
720,12.0,4,20.1
726,12.1,2,25.9
732,12.2,1,20.7
738,12.3,5,21.2
744,12.4,4,20.2
750,12.5,4,22.2
756,12.6,10,26.3
762,12.7,9,22.2
768,12.8,15,25.1
774,12.9,19,24.0
780,13.0,15,23.4
786,13.1,19,24.0
792,13.2,22,23.4
798,13.3,22,24.3
804,13.4,17,26.7
810,13.5,26,27.0
816,13.6,17,24.5
822,13.7,23,25.0
828,13.8,21,24.2
834,13.9,15,23.6
840,14.0,16,24.0
846,14.1,15,22.0
852,14.2,12,21.7
858,14.3,18,22.2
864,14.4,9,23.4
870,14.5,7,21.3
876,14.6,7,21.5
882,14.7,5,19.7
888,14.8,1,21.5
900,15.0,3,20.2
906,15.1,11,27.4
912,15.2,13,22.2
918,15.3,6,21.7
924,15.4,5,22.6
930,15.5,6,22.2
936,15.6,4,22.0
942,15.7,8,23.6
948,15.8,2,22.1
954,15.9,3,20.0
960,16.0,3,20.3
966,16.1,3,21.2
972,16.2,5,21.4
978,16.3,4,20.0
984,16.4,1,19.7
990,16.5,3,21.7
996,16.6,2,19.1
1002,16.7,2,20.6
1008,16.8,1,23.6
1014,16.9,1,24.8
1020,17.0,1,25.2
1026,17.1,1,26.3
1032,17.2,1,26.4
1038,17.3,1,21.5
1068,17.8,1,19.7
1110,18.5,1,20.6
1116,18.6,1,21.3
1128,18.8,1,19.0
1134,18.9,1,21.8
1140,19.0,1,20.9
1146,19.1,1,21.2
1164,19.4,2,21.3
1176,19.6,3,20.0
1182,19.7,1,19.4
1206,20.1,1,19.4
1212,20.2,1,20.2
1242,20.7,1,22.6
1248,20.8,1,26.5
1254,20.9,1,27.5
1260,21.0,1,28.6
1266,21.1,1,27.9
1272,21.2,1,21.9
1284,21.4,1,19.5
1290,21.5,1,19.5
1296,21.6,1,20.7
1308,21.8,2,22.4
1314,21.9,2,21.0
1320,22.0,2,21.6
1326,22.1,2,22.6
1332,22.2,3,21.5
1338,22.3,1,18.9
1344,22.4,6,19.9
1350,22.5,1,20.2
1356,22.6,3,20.2
1416,23.6,1,22.1
1422,23.7,1,29.5
1428,23.8,3,26.4
1434,23.9,1,23.1
1440,24.0,1,22.8
1446,24.1,1,28.8
1452,24.2,2,28.3
1458,24.3,2,30.4
1464,24.4,2,31.6
1470,24.5,2,32.8
1476,24.6,2,32.5
1482,24.7,2,33.3
1488,24.8,2,33.1
1494,24.9,2,34.1
1500,25.0,3,35.0
1506,25.1,2,32.4
1512,25.2,3,35.6
1518,25.3,3,36.9
1524,25.4,3,36.2
1530,25.5,4,34.4
1536,25.6,4,36.5
1542,25.7,4,36.0
1548,25.8,4,35.3
1554,25.9,6,35.3
1560,26.0,3,32.9
1566,26.1,3,33.3
1572,26.2,4,34.6
1578,26.3,4,37.6
1584,26.4,4,34.8
1590,26.5,1,33.2
1596,26.6,2,36.1
1602,26.7,1,35.6
1608,26.8,2,35.8
1614,26.9,2,37.5
1620,27.0,1,19.3
1632,27.2,2,20.5
1638,27.3,1,19.5
1644,27.4,2,20.8
1650,27.5,2,22.1
1656,27.6,2,20.9
1662,27.7,4,25.5
1668,27.8,2,23.9
1674,27.9,2,20.9
1680,28.0,2,23.8
1686,28.1,3,21.3
1692,28.2,1,20.1
1704,28.4,1,28.3
1710,28.5,2,23.3
1722,28.7,1,20.0
1740,29.0,1,21.6
1746,29.1,1,22.0
1776,29.6,2,23.6
1782,29.7,2,24.0
1788,29.8,1,20.1
1794,29.9,3,26.9
1800,30.0,2,31.4
1806,30.1,1,26.2
1812,30.2,1,21.4
1818,30.3,2,33.4
1824,30.4,1,22.4
1860,31.0,1,20.6
1866,31.1,2,20.8
1872,31.2,2,20.3
1878,31.3,4,21.0
1890,31.5,2,19.9
1896,31.6,2,19.8
1902,31.7,1,19.8
1908,31.8,4,20.4
1914,31.9,6,22.3
1920,32.0,1,18.9
1926,32.1,4,20.3
1932,32.2,6,22.3
1938,32.3,1,26.4
1944,32.4,1,21.2
1950,32.5,2,21.0
1956,32.6,1,21.3
1968,32.8,3,20.7
1974,32.9,2,20.8
1986,33.1,5,21.7
1992,33.2,2,22.1
1998,33.3,2,20.5
2004,33.4,3,21.8
2010,33.5,4,22.7
2016,33.6,4,21.4
2022,33.7,4,22.3
2028,33.8,3,22.6
2034,33.9,6,22.4
2040,34.0,4,24.0
2046,34.1,1,22.1
2052,34.2,2,21.2
2064,34.4,3,20.8
2070,34.5,2,19.8
2076,34.6,3,20.7
2082,34.7,1,19.4
2088,34.8,3,20.0
2094,34.9,4,20.8
2106,35.1,1,19.7
2118,35.3,1,27.8
2124,35.4,1,23.3
2130,35.5,1,37.2
2136,35.6,1,34.5
2142,35.7,1,29.8
2148,35.8,1,23.5
2154,35.9,1,19.4
2166,36.1,2,20.8
2172,36.2,1,21.2
2202,36.7,1,20.7
2214,36.9,1,21.2
2226,37.1,2,21.5
2232,37.2,1,19.8
2238,37.3,1,19.6
2250,37.5,4,23.7
2256,37.6,3,23.6
2262,37.7,2,27.1
2268,37.8,1,23.2
2334,38.9,1,20.5
2346,39.1,1,20.1
2358,39.3,1,21.4
2394,39.9,1,20.1
2400,40.0,1,19.5
2412,40.2,1,19.4
2424,40.4,1,20.7
2484,41.4,2,20.0
2490,41.5,1,20.8
2496,41.6,2,22.1
2502,41.7,3,21.1
2514,41.9,1,22.9
2526,42.1,1,20.1
2532,42.2,1,19.3
2538,42.3,2,19.3
2544,42.4,1,20.9
2550,42.5,4,20.5
2556,42.6,4,22.3
2562,42.7,3,19.8
2574,42.9,1,19.3
2580,43.0,1,20.7
2586,43.1,2,20.8
2592,43.2,2,20.4
2604,43.4,1,20.1
2610,43.5,3,20.4
2616,43.6,2,21.8
2622,43.7,3,21.0
2628,43.8,4,20.8
2634,43.9,3,20.9
2640,44.0,2,20.0
2652,44.2,1,21.5
2658,44.3,2,20.3
2670,44.5,2,19.3
2676,44.6,3,20.3
2682,44.7,2,19.7
2688,44.8,3,20.9
2694,44.9,7,21.8
2700,45.0,10,21.3
2706,45.1,3,23.7
2712,45.2,6,25.3
2718,45.3,9,25.9
2724,45.4,8,25.8
2730,45.5,9,24.4
2736,45.6,6,27.3
2742,45.7,3,21.1
2748,45.8,2,22.1
2754,45.9,1,19.4
2760,46.0,12,25.2
2772,46.2,2,20.1
2778,46.3,4,19.9
2784,46.4,1,19.5
2790,46.5,1,21.3
2796,46.6,2,25.6
2802,46.7,4,28.7
2808,46.8,3,25.8
2814,46.9,4,28.8
2820,47.0,4,29.0
2826,47.1,8,22.8
2832,47.2,7,27.2
2838,47.3,5,28.5
2844,47.4,5,27.8
2850,47.5,3,27.4
2856,47.6,5,28.2
2862,47.7,3,24.4
2868,47.8,4,29.9
2874,47.9,2,28.0
2880,48.0,4,28.2
2886,48.1,3,30.2
2892,48.2,5,28.9
2898,48.3,5,29.1
2904,48.4,1,24.7
2910,48.5,2,24.1
2916,48.6,2,20.0
2928,48.8,1,19.3
2934,48.9,1,21.9
2940,49.0,1,20.5
2952,49.2,1,21.6
2958,49.3,1,29.8
2964,49.4,2,19.6
2970,49.5,1,20.1
2976,49.6,1,21.1
2982,49.7,1,18.1
3012,50.2,2,22.0
3018,50.3,1,19.6
3036,50.6,2,22.4
3048,50.8,1,20.4
3054,50.9,2,21.3
3060,51.0,4,21.2
3066,51.1,5,23.1
3072,51.2,2,19.9
3078,51.3,1,20.3
3084,51.4,4,21.6
3090,51.5,2,20.0
3102,51.7,1,25.7
3120,52.0,1,18.7
3162,52.7,1,19.8
3168,52.8,1,21.4
3198,53.3,1,19.7
3204,53.4,1,22.2
3210,53.5,1,21.6
3216,53.6,2,22.8
3228,53.8,2,20.0
3234,53.9,2,21.0
3258,54.3,1,21.2
3264,54.4,1,19.1
3288,54.8,1,18.5
3312,55.2,1,23.0
3318,55.3,1,21.4
3324,55.4,1,20.8
3336,55.6,1,21.8
3378,56.3,1,21.0
3438,57.3,1,21.1
3456,57.6,1,24.3
3492,58.2,1,20.0
3528,58.8,1,21.6
3564,59.4,1,21.0
3570,59.5,3,22.1
3576,59.6,3,23.0
3582,59.7,2,21.5
3588,59.8,1,19.3
3600,60.0,2,24.4
3630,60.5,1,20.2
3636,60.6,2,20.8
3648,60.8,2,24.5
3726,62.1,1,24.6
3744,62.4,1,19.3
3750,62.5,1,20.1
3768,62.8,1,20.4
3774,62.9,2,20.5
3780,63.0,2,19.6
3786,63.1,2,27.3
3792,63.2,3,22.9
3798,63.3,3,21.1
3804,63.4,1,20.0
3810,63.5,2,21.2
3816,63.6,2,22.7
3822,63.7,7,20.9
3840,64.0,4,25.2
3846,64.1,1,19.8
3852,64.2,1,18.1
3858,64.3,3,23.0
3864,64.4,4,20.4
3870,64.5,3,21.4
3876,64.6,2,20.7
3900,65.0,1,20.6
3918,65.3,1,20.1
3942,65.7,1,20.6
3954,65.9,1,21.1
3960,66.0,1,24.7
3978,66.3,2,19.8
4008,66.8,3,23.6
4026,67.1,3,27.6
4032,67.2,1,20.3
4038,67.3,2,22.3
4044,67.4,1,22.0
4050,67.5,2,21.9
4056,67.6,1,21.4
4062,67.7,3,28.0
4068,67.8,4,27.3
4074,67.9,2,22.5
4080,68.0,1,25.5
4086,68.1,2,27.1
4092,68.2,1,23.2
4098,68.3,3,25.8
4104,68.4,3,21.0
4110,68.5,3,26.1
4116,68.6,2,23.8
4122,68.7,2,20.8
4128,68.8,2,21.6
4140,69.0,2,21.9
4146,69.1,2,21.2
4152,69.2,1,21.3
4158,69.3,2,21.7
4164,69.4,2,22.1
4170,69.5,1,21.1
4176,69.6,1,20.6
4194,69.9,1,21.2
4200,70.0,2,21.5
4206,70.1,1,22.0
4212,70.2,4,21.2
4218,70.3,3,27.8
4224,70.4,5,22.3
4230,70.5,3,23.9
4236,70.6,5,33.4
4242,70.7,5,23.4
4248,70.8,2,22.8
4254,70.9,4,24.4
4260,71.0,4,25.8
4266,71.1,2,26.9
4272,71.2,3,23.7
4278,71.3,1,21.6
4284,71.4,3,30.6
4290,71.5,1,23.5
4308,71.8,1,20.4
4314,71.9,5,21.9
4320,72.0,7,23.6
4326,72.1,8,23.9
4332,72.2,12,24.1
4338,72.3,22,25.7
4344,72.4,32,24.7
4350,72.5,28,26.4
4356,72.6,32,23.7
4362,72.7,42,23.5
4368,72.8,27,26.5
4374,72.9,32,24.1
4380,73.0,44,26.9
4386,73.1,27,25.2
4392,73.2,46,27.0
4398,73.3,33,24.1
4404,73.4,35,25.8
4410,73.5,34,27.6
4416,73.6,11,23.8
4422,73.7,13,23.3
4428,73.8,25,29.0
4434,73.9,13,25.7
4440,74.0,4,21.2
4446,74.1,4,25.1
4452,74.2,4,25.0
4458,74.3,4,22.6
4464,74.4,1,19.4
4482,74.7,2,20.2
4494,74.9,2,26.7
4500,75.0,1,21.0
4506,75.1,1,24.6
4512,75.2,4,28.7
4518,75.3,1,26.4
4524,75.4,1,33.0
4530,75.5,1,20.0
4752,79.2,2,22.8
4872,81.2,1,19.3
4890,81.5,1,20.6
4896,81.6,2,21.4
4968,82.8,1,20.7
4992,83.2,1,22.5
4998,83.3,4,22.6
5022,83.7,2,26.9
5040,84.0,1,20.9
5130,85.5,1,20.8
5136,85.6,1,20.2
5292,88.2,1,19.2
5304,88.4,2,20.0
5316,88.6,2,21.3
5334,88.9,1,21.1
5340,89.0,4,22.0
5346,89.1,4,28.6
5352,89.2,5,25.2
5358,89.3,3,24.8
5364,89.4,6,27.7
5370,89.5,7,23.1
5376,89.6,5,25.9
5382,89.7,11,30.5
5388,89.8,11,28.8
5394,89.9,14,24.9
5400,90.0,16,25.2
5406,90.1,10,26.3
5412,90.2,7,27.9
5418,90.3,9,24.5
5424,90.4,12,27.5
5430,90.5,8,28.6
5436,90.6,11,24.8
5442,90.7,10,25.2
5448,90.8,8,29.8
5454,90.9,11,30.1
5460,91.0,9,28.3
5466,91.1,11,28.1
5472,91.2,7,26.0
5478,91.3,6,25.9
5484,91.4,6,25.4
5490,91.5,5,23.9
5496,91.6,5,22.6
5502,91.7,5,24.2
5508,91.8,5,24.7
5514,91.9,5,23.4
5520,92.0,4,22.7
5526,92.1,3,23.3
5532,92.2,3,22.1
5538,92.3,2,23.4
5544,92.4,2,23.6
5550,92.5,3,25.1
5556,92.6,6,24.0
5562,92.7,2,23.1
5568,92.8,4,24.2
5574,92.9,7,25.0
5580,93.0,4,25.2
5586,93.1,5,24.1
5592,93.2,3,23.5
5598,93.3,4,26.1
5604,93.4,2,25.9
5610,93.5,2,25.1
5616,93.6,2,24.4
5622,93.7,4,24.4
5628,93.8,1,30.5
5634,93.9,2,28.3
5640,94.0,1,28.6
5646,94.1,3,30.6
5652,94.2,2,29.4
5658,94.3,1,28.6
5664,94.4,3,32.0
5670,94.5,2,30.8
5676,94.6,2,30.5
5682,94.7,3,31.8
5688,94.8,3,31.8
5694,94.9,2,30.5
5700,95.0,5,33.6
5706,95.1,4,32.5
5712,95.2,2,30.8
5718,95.3,2,31.9
5724,95.4,1,30.2
5730,95.5,3,31.0
5736,95.6,3,33.2
5742,95.7,6,30.9
5748,95.8,4,32.4
5754,95.9,3,33.4
5760,96.0,3,32.3
5766,96.1,3,29.9
5772,96.2,4,28.4
5778,96.3,4,29.6
5784,96.4,1,28.7
5790,96.5,3,26.9
5796,96.6,1,29.2
5802,96.7,3,32.0
5808,96.8,1,19.8
5814,96.9,4,23.3
5820,97.0,2,22.8
5826,97.1,1,20.8
5832,97.2,1,20.1
5838,97.3,2,21.8
5844,97.4,1,22.1
5850,97.5,5,23.6
5856,97.6,4,21.9
5862,97.7,5,21.8
5868,97.8,6,22.0
5874,97.9,7,22.6
5880,98.0,3,22.4
5886,98.1,8,22.1
5892,98.2,2,21.1
5898,98.3,7,25.1
5904,98.4,3,23.0
5910,98.5,7,25.9
5916,98.6,3,24.5
5922,98.7,5,25.7
5928,98.8,5,24.0
5934,98.9,3,23.9
5940,99.0,7,23.6
5946,99.1,4,24.7
5952,99.2,6,23.3
5958,99.3,5,22.9
5964,99.4,5,22.3
5970,99.5,6,22.3
5976,99.6,11,23.6
5982,99.7,5,22.9
5988,99.8,14,24.7
5994,99.9,16,25.2
6000,100.0,16,24.9
6006,100.1,20,24.7
6012,100.2,25,25.2
6018,100.3,24,26.4
6024,100.4,33,29.4
6030,100.5,23,26.3
6036,100.6,11,30.7
6042,100.7,16,26.9
6048,100.8,13,27.1
6054,100.9,10,26.0
6060,101.0,2,20.5
6066,101.1,3,25.8
6072,101.2,1,25.1
6078,101.3,1,25.9
6084,101.4,1,26.1
6096,101.6,1,25.0
6102,101.7,1,19.1
6108,101.8,1,22.1
6114,101.9,1,21.1
6120,102.0,1,24.8
6126,102.1,1,22.7
6132,102.2,3,26.1
6138,102.3,4,31.6
6144,102.4,4,22.1
6150,102.5,6,23.8
6156,102.6,7,23.7
6162,102.7,3,20.4
6168,102.8,7,25.0
6174,102.9,5,23.8
6180,103.0,4,22.9
6186,103.1,5,22.4
6192,103.2,4,22.4
6198,103.3,4,22.4
6216,103.6,4,22.1
6222,103.7,8,25.9
6228,103.8,6,25.6
6234,103.9,2,22.7
6240,104.0,4,22.8
6246,104.1,4,21.0
6426,107.1,1,19.1
6582,109.7,1,23.2
6588,109.8,1,28.4
6594,109.9,1,23.2
6600,110.0,1,21.1
6606,110.1,1,20.7
6612,110.2,2,21.5
6630,110.5,1,18.7
6648,110.8,1,23.3
6714,111.9,1,20.6
6726,112.1,2,24.6
6732,112.2,1,20.0
6738,112.3,1,22.7
6744,112.4,1,20.3
6780,113.0,1,18.9
6918,115.3,1,19.3
6930,115.5,1,20.6
6972,116.2,1,20.5
6978,116.3,1,21.2
6996,116.6,1,31.4
7002,116.7,1,24.1
7008,116.8,1,23.8
7020,117.0,1,21.6
7032,117.2,1,21.9
7038,117.3,1,20.7
7116,118.6,1,22.0
7128,118.8,2,25.0
7134,118.9,2,20.2
7182,119.7,2,22.1
7194,119.9,2,22.8
7200,120.0,2,23.5
7212,120.2,1,21.1
7422,123.7,1,19.1
7716,128.6,1,22.3
7740,129.0,1,18.5
7746,129.1,2,21.2
7752,129.2,1,21.0
7770,129.5,1,21.3
7782,129.7,1,20.3
7788,129.8,1,21.4
7800,130.0,1,21.9
7842,130.7,1,25.7
7884,131.4,1,21.8
7896,131.6,1,19.4
7914,131.9,1,18.5
7920,132.0,4,23.8
7926,132.1,1,27.6
8010,133.5,1,21.0
8088,134.8,1,21.6
8094,134.9,1,19.5
8100,135.0,2,20.7
8220,137.0,1,20.5
8226,137.1,1,23.0
8232,137.2,1,28.6
8250,137.5,1,24.2
8274,137.9,2,22.0
8280,138.0,1,19.9
8286,138.1,1,21.3
8304,138.4,1,20.1
8322,138.7,4,26.5
8328,138.8,3,30.9
8334,138.9,3,33.9
8340,139.0,3,26.9
8346,139.1,4,28.1
8352,139.2,2,21.4
8358,139.3,3,20.9
8364,139.4,6,26.7
8370,139.5,2,20.3
8376,139.6,3,22.1
8400,140.0,2,30.4
8406,140.1,3,31.2
8412,140.2,5,27.8
8418,140.3,1,20.5
