video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
GolfDr_SHB_12.11.2025.mp4,0,0,108,0.0,1.8,1.8,18,30,21.1,41,0,640,228
GolfDr_SHB_12.11.2025.mp4,1,414,2772,6.9,46.2,39.3,370,2076,26.4,0,0,640,512
GolfDr_SHB_12.11.2025.mp4,2,2850,5214,47.5,86.9,39.4,350,3444,45.3,0,0,640,381
GolfDr_SHB_12.11.2025.mp4,3,5304,5418,88.4,90.3,1.9,11,5400,20.1,0,26,636,313
GolfDr_SHB_12.11.2025.mp4,4,5604,6174,93.4,102.9,9.5,70,6078,26.3,0,0,640,501
GolfDr_SHB_12.11.2025.mp4,5,6240,6528,104.0,108.8,4.8,48,6360,21.7,0,0,640,352
GolfDr_SHB_12.11.2025.mp4,6,6618,7026,110.3,117.1,6.8,39,6954,25.6,0,0,640,474
GolfDr_SHB_12.11.2025.mp4,7,7092,7122,118.2,118.7,0.5,2,7092,22.1,28,360,640,509
GolfDr_SHB_12.11.2025.mp4,8,7194,7320,119.9,122.0,2.1,17,7248,20.9,0,0,640,429
GolfDr_SHB_12.11.2025.mp4,9,7416,7476,123.6,124.6,1.0,8,7422,20.4,23,6,640,445
GolfDr_SHB_12.11.2025.mp4,10,7554,10218,125.9,170.3,44.4,349,8406,42.7,0,0,640,512
GolfDr_SHB_12.11.2025.mp4,11,10290,10632,171.5,177.2,5.7,45,10620,23.4,0,0,640,512
