frame,time_s,n_blobs,peak_score
0,0.0,2,20.1
6,0.1,2,20.6
12,0.2,4,19.4
18,0.3,3,21.1
24,0.4,6,20.6
30,0.5,5,21.1
36,0.6,5,20.2
42,0.7,3,19.8
48,0.8,2,19.6
54,0.9,1,18.6
60,1.0,1,20.2
66,1.1,2,20.5
72,1.2,3,20.7
78,1.3,4,19.3
84,1.4,4,20.0
96,1.6,1,17.9
102,1.7,1,18.6
108,1.8,1,19.3
312,5.2,1,20.1
414,6.9,1,20.3
432,7.2,1,20.5
438,7.3,1,21.2
444,7.4,2,20.7
450,7.5,1,20.5
456,7.6,2,21.1
462,7.7,1,21.6
468,7.8,3,21.9
516,8.6,1,20.8
534,8.9,4,21.5
540,9.0,4,20.3
546,9.1,4,20.3
552,9.2,3,21.2
558,9.3,3,20.0
564,9.4,4,21.5
570,9.5,3,21.2
576,9.6,3,21.1
582,9.7,2,19.7
588,9.8,2,19.9
594,9.9,2,21.7
600,10.0,4,21.3
606,10.1,3,20.6
612,10.2,3,21.6
618,10.3,1,19.5
624,10.4,3,20.8
630,10.5,4,20.3
636,10.6,4,20.5
642,10.7,2,20.6
648,10.8,8,20.8
654,10.9,9,22.5
660,11.0,3,20.0
666,11.1,6,19.7
672,11.2,5,20.0
678,11.3,3,20.5
684,11.4,2,19.8
690,11.5,1,19.0
696,11.6,1,19.8
702,11.7,3,20.3
708,11.8,2,20.0
714,11.9,4,20.0
720,12.0,4,21.5
726,12.1,3,19.6
732,12.2,2,19.8
738,12.3,2,20.0
744,12.4,2,20.4
750,12.5,3,19.7
756,12.6,3,20.0
762,12.7,3,20.8
768,12.8,7,20.9
774,12.9,8,20.1
780,13.0,8,21.0
786,13.1,8,21.1
792,13.2,7,20.3
798,13.3,9,20.8
804,13.4,11,20.6
810,13.5,11,21.4
816,13.6,12,21.5
822,13.7,11,21.9
828,13.8,19,22.3
834,13.9,19,21.0
840,14.0,17,21.1
846,14.1,21,21.9
852,14.2,20,21.5
858,14.3,24,21.6
864,14.4,20,21.9
870,14.5,22,22.0
876,14.6,21,21.7
882,14.7,18,21.8
888,14.8,18,21.7
894,14.9,18,21.5
900,15.0,18,22.1
906,15.1,19,21.8
912,15.2,18,21.6
918,15.3,21,21.4
924,15.4,21,21.6
930,15.5,21,21.7
936,15.6,21,21.2
942,15.7,21,21.6
948,15.8,13,21.0
954,15.9,18,21.3
960,16.0,17,21.2
966,16.1,18,21.6
972,16.2,17,21.3
978,16.3,16,21.5
984,16.4,16,21.3
990,16.5,17,21.2
996,16.6,11,21.5
1002,16.7,11,20.2
1008,16.8,14,20.9
1014,16.9,15,21.1
1020,17.0,20,20.8
1026,17.1,12,21.0
1032,17.2,17,21.1
1038,17.3,20,21.2
1044,17.4,19,21.3
1050,17.5,21,21.8
1056,17.6,18,22.1
1062,17.7,17,21.9
1068,17.8,20,22.4
1074,17.9,29,22.0
1080,18.0,20,21.8
1086,18.1,22,21.9
1092,18.2,24,21.3
1098,18.3,26,21.2
1104,18.4,18,21.6
1110,18.5,22,21.6
1116,18.6,18,21.8
1122,18.7,20,21.5
1128,18.8,20,21.4
1134,18.9,22,21.0
1140,19.0,21,20.9
1146,19.1,27,21.2
1152,19.2,19,21.6
1158,19.3,21,20.6
1164,19.4,22,21.1
1170,19.5,17,20.7
1176,19.6,22,21.7
1182,19.7,22,21.5
1188,19.8,21,21.6
1194,19.9,21,21.0
1200,20.0,23,21.4
1206,20.1,20,21.0
1212,20.2,23,21.1
1218,20.3,21,21.0
1224,20.4,21,21.4
1230,20.5,21,20.8
1236,20.6,20,20.9
1242,20.7,21,21.2
1248,20.8,25,21.1
1254,20.9,24,21.2
1260,21.0,19,22.1
1266,21.1,20,22.0
1272,21.2,20,22.2
1278,21.3,18,21.7
1284,21.4,19,22.2
1290,21.5,21,21.6
1296,21.6,23,21.6
1302,21.7,18,21.4
1308,21.8,20,21.7
1314,21.9,21,21.2
1320,22.0,18,21.0
1326,22.1,19,21.2
1332,22.2,22,20.9
1338,22.3,19,21.4
1344,22.4,17,21.1
1350,22.5,19,21.0
1356,22.6,16,21.1
1362,22.7,19,21.9
1368,22.8,22,21.3
1374,22.9,20,21.6
1380,23.0,23,21.2
1386,23.1,21,21.5
1392,23.2,19,21.4
1398,23.3,19,21.9
1404,23.4,18,21.6
1410,23.5,23,21.9
1416,23.6,17,21.5
1422,23.7,22,21.0
1428,23.8,21,21.2
1434,23.9,18,20.9
1440,24.0,18,21.0
1446,24.1,18,21.3
1452,24.2,20,21.2
1458,24.3,24,21.4
1464,24.4,19,21.4
1470,24.5,21,21.6
1476,24.6,25,21.3
1482,24.7,23,21.1
1488,24.8,23,21.4
1494,24.9,21,21.1
1500,25.0,18,21.2
1506,25.1,18,21.0
1512,25.2,20,20.9
1518,25.3,17,21.2
1524,25.4,16,20.5
1530,25.5,15,20.8
1536,25.6,22,21.2
1542,25.7,16,20.9
1548,25.8,21,20.8
1554,25.9,19,21.2
1560,26.0,15,21.1
1566,26.1,15,21.4
1572,26.2,21,21.7
1578,26.3,20,21.3
1584,26.4,22,20.9
1590,26.5,25,21.2
1596,26.6,16,21.3
1602,26.7,22,21.7
1608,26.8,17,20.8
1614,26.9,23,21.1
1620,27.0,20,21.3
1626,27.1,21,21.6
1632,27.2,17,20.9
1638,27.3,18,21.1
1644,27.4,17,21.1
1650,27.5,16,21.2
1656,27.6,16,21.3
1662,27.7,15,21.9
1668,27.8,15,21.7
1674,27.9,12,21.1
1680,28.0,10,21.5
1686,28.1,9,21.3
1692,28.2,11,21.1
1698,28.3,13,21.2
1704,28.4,15,21.4
