video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,0,0,366,0.0,6.1,6.1,45,96,22.9,0,0,640,512
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,1,864,882,14.4,14.7,0.3,4,870,21.1,28,3,275,75
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,2,1440,1446,24.01,24.11,0.1,2,1440,20.8,88,440,167,443
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,3,1506,2316,25.11,38.61,13.5,111,1686,41.9,0,0,640,512
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,4,2436,2814,40.61,46.91,6.3,53,2700,23.3,0,61,640,484
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,5,2874,3480,47.91,58.01,10.1,66,3354,47.3,0,0,640,512
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,6,3558,3570,59.32,59.52,0.2,2,3570,21.8,198,73,630,498
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,7,3690,4506,61.52,75.12,13.6,69,4146,23.5,0,74,640,512
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,8,4566,4578,76.12,76.32,0.2,3,4572,21.6,126,205,626,394
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,9,4644,4662,77.42,77.72,0.3,2,4644,19.9,37,345,69,354
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,10,4758,6864,79.32,114.43,35.11,321,6354,43.4,0,0,640,512
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,11,6942,6960,115.73,116.03,0.3,2,6942,20.1,0,43,455,85
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,12,7032,7464,117.23,124.43,7.2,50,7428,32.0,0,0,640,322
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,13,7548,8016,125.83,133.63,7.8,66,7836,29.2,7,12,640,512
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,14,8394,9162,139.94,152.74,12.8,121,8574,47.6,0,0,640,508
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,15,9252,9426,154.24,157.14,2.9,23,9390,36.4,0,6,622,297
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,16,9594,9666,159.94,161.14,1.2,7,9594,23.1,45,162,624,500
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,17,9738,9936,162.34,165.64,3.3,20,9894,36.0,0,0,640,503
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,18,10020,10410,167.04,173.54,6.5,47,10140,36.9,0,42,640,505
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,19,10830,10938,180.55,182.35,1.8,8,10830,22.9,534,191,640,227
NShelbyRd(blue)_SHB_12.11.2025_LS.mp4,20,11052,11172,184.25,186.25,2.0,12,11124,31.1,9,97,579,253
