frame,time_s,n_blobs,peak_score
0,0.0,2,20.1
6,0.1,3,22.3
12,0.2,5,21.0
18,0.3,2,20.4
24,0.4,3,21.0
30,0.5,1,20.0
36,0.6,2,20.1
42,0.7,2,21.3
54,0.9,1,20.7
78,1.3,1,20.4
84,1.4,2,21.8
90,1.5,1,21.0
96,1.6,1,22.9
102,1.7,2,21.0
108,1.8,1,21.1
138,2.3,3,19.1
144,2.4,3,19.9
150,2.5,2,19.8
162,2.7,2,20.1
174,2.9,1,20.2
180,3.0,1,20.0
186,3.1,1,19.8
192,3.2,2,21.2
198,3.3,2,20.1
204,3.4,3,20.2
210,3.5,1,19.5
216,3.6,1,19.2
222,3.7,2,20.9
228,3.8,3,20.4
234,3.9,3,20.6
246,4.1,3,21.4
276,4.6,1,22.1
282,4.7,3,20.7
288,4.8,4,20.9
294,4.9,3,20.2
300,5.0,7,21.0
306,5.1,5,20.7
312,5.2,2,20.2
318,5.3,3,20.1
324,5.4,5,20.2
330,5.5,2,19.6
342,5.7,4,21.7
348,5.8,1,20.0
354,5.9,1,19.8
366,6.1,1,20.4
720,12.0,1,19.9
780,13.0,1,21.5
864,14.4,2,21.1
870,14.5,1,21.1
876,14.6,1,20.5
882,14.7,1,19.8
990,16.5,2,20.7
1440,24.01,1,20.8
1446,24.11,1,19.3
1506,25.11,1,20.7
1524,25.41,1,20.5
1536,25.61,2,21.1
1542,25.71,2,20.6
1548,25.81,1,20.0
1560,26.01,1,19.0
1572,26.21,1,19.6
1578,26.31,1,20.8
1584,26.41,1,20.1
1590,26.51,1,18.4
1602,26.71,3,34.1
1608,26.81,2,32.5
1614,26.91,4,39.2
1620,27.01,6,41.3
1626,27.11,6,37.8
1632,27.21,9,39.2
1638,27.31,8,39.0
1644,27.41,14,40.7
1650,27.51,19,40.8
1656,27.61,21,40.9
1662,27.71,13,39.1
1668,27.81,15,40.0
1674,27.91,15,41.5
1680,28.01,10,41.0
1686,28.11,12,41.9
1692,28.21,6,36.0
1698,28.31,2,34.2
1704,28.41,1,38.0
1710,28.51,3,26.6
1734,28.91,1,19.4
1770,29.51,1,19.8
1782,29.71,1,18.2
1794,29.91,2,19.7
1800,30.01,1,19.5
1812,30.21,1,19.2
1818,30.31,4,21.6
1824,30.41,4,20.8
1830,30.51,1,19.4
1836,30.61,1,19.9
1842,30.71,1,20.1
1848,30.81,5,21.2
1854,30.91,3,21.3
1860,31.01,3,22.1
1866,31.11,2,21.2
1872,31.21,2,28.4
1878,31.31,4,19.8
1884,31.41,3,19.7
1890,31.51,1,19.9
1896,31.61,2,19.9
1902,31.71,2,19.9
1908,31.81,3,20.2
1914,31.91,2,19.9
1920,32.01,2,19.5
1938,32.31,2,20.3
1944,32.41,1,19.7
1956,32.61,2,20.0
1968,32.81,1,20.0
1974,32.91,2,20.0
1980,33.01,4,20.5
1992,33.21,1,19.5
1998,33.31,8,20.4
2004,33.41,1,19.1
2010,33.51,6,20.7
2016,33.61,5,22.0
2022,33.71,5,20.5
2028,33.81,5,19.8
2034,33.91,8,21.1
2040,34.01,12,21.7
2046,34.11,5,20.8
2052,34.21,5,20.2
2058,34.31,5,20.4
2064,34.41,6,21.5
2070,34.51,6,20.9
2076,34.61,3,20.2
2082,34.71,1,19.7
2088,34.81,3,22.9
2094,34.91,5,21.8
2100,35.01,3,20.7
2112,35.21,4,19.8
2118,35.31,3,20.3
2124,35.41,3,20.0
2130,35.51,4,20.1
2136,35.61,7,26.9
2142,35.71,3,20.4
2148,35.81,3,20.7
2154,35.91,8,25.3
2160,36.01,7,26.9
2166,36.11,3,29.7
2172,36.21,1,28.5
2178,36.31,2,27.0
2190,36.51,1,30.7
2196,36.61,4,37.2
2202,36.71,2,25.9
2208,36.81,2,32.2
2214,36.91,4,32.9
2220,37.01,11,26.6
2226,37.11,8,35.0
2232,37.21,8,25.1
2238,37.31,5,30.0
2244,37.41,3,20.6
2250,37.51,18,33.2
2256,37.61,13,37.0
2262,37.71,21,21.3
2268,37.81,10,20.5
2274,37.91,19,21.3
2280,38.01,8,22.1
2286,38.11,5,20.8
2292,38.21,7,20.5
2298,38.31,3,21.5
2310,38.51,4,19.8
2316,38.61,6,21.5
2436,40.61,1,19.2
2442,40.71,1,19.7
2454,40.91,1,19.4
2460,41.01,1,19.5
2466,41.11,1,19.8
2472,41.21,1,20.7
2484,41.41,1,19.3
2490,41.51,1,19.3
2496,41.61,1,19.1
2502,41.71,1,19.7
2508,41.81,1,19.8
2520,42.01,1,18.9
2526,42.11,2,20.4
2544,42.41,1,19.5
2550,42.51,1,19.7
2556,42.61,1,20.2
2592,43.21,1,19.5
2604,43.41,1,20.7
2610,43.51,6,20.5
2616,43.61,2,20.8
2622,43.71,2,19.9
2628,43.81,2,19.9
2634,43.91,1,19.7
2640,44.01,1,20.3
2646,44.11,3,20.9
2652,44.21,1,20.4
2658,44.31,1,19.4
2664,44.41,1,21.1
2670,44.51,1,20.5
2676,44.61,2,20.9
2682,44.71,1,20.0
2688,44.81,1,20.7
2694,44.91,1,21.4
2700,45.01,2,23.3
2706,45.11,2,22.3
2712,45.21,5,20.7
2718,45.31,5,20.9
2724,45.41,2,20.0
2730,45.51,4,22.8
2736,45.61,4,20.1
2742,45.71,7,21.8
2748,45.81,1,19.1
2754,45.91,10,21.9
2760,46.01,7,21.9
2766,46.11,5,20.2
2772,46.21,5,20.8
2778,46.31,3,22.6
2784,46.41,4,21.1
2790,46.51,3,20.7
2796,46.61,5,22.6
2802,46.71,2,21.8
2808,46.81,1,19.3
2814,46.91,4,20.8
2874,47.91,1,20.9
2880,48.01,2,20.4
2886,48.11,3,21.3
2892,48.21,4,19.8
2898,48.31,11,29.4
2904,48.41,15,31.1
2910,48.51,15,34.7
2916,48.61,14,28.4
2922,48.71,12,29.4
2928,48.81,16,32.9
2934,48.91,16,35.0
2940,49.01,7,29.7
2946,49.11,3,28.2
2952,49.21,2,19.9
2958,49.31,1,19.7
2964,49.41,3,20.2
3000,50.01,1,20.0
3006,50.11,1,18.8
3012,50.21,3,31.9
3018,50.31,4,31.1
3024,50.41,5,32.4
3030,50.51,6,32.2
3036,50.61,6,34.6
3042,50.71,7,33.8
3048,50.81,5,32.3
3054,50.91,10,31.5
3060,51.01,7,32.1
3066,51.11,5,32.0
3072,51.21,9,31.4
3078,51.31,10,21.4
3084,51.41,5,22.8
3090,51.51,6,20.9
3096,51.61,1,19.5
3108,51.81,2,21.9
3114,51.91,1,20.0
3120,52.01,1,20.5
3138,52.31,2,19.7
3174,52.91,1,19.8
3180,53.01,1,21.1
3186,53.11,4,21.2
3192,53.21,2,19.8
3198,53.31,3,20.6
3204,53.41,2,20.9
3210,53.51,1,20.4
3222,53.71,1,20.4
3234,53.91,1,21.1
3240,54.01,1,20.3
3294,54.91,2,27.9
3300,55.01,4,32.6
3306,55.11,4,32.7
3312,55.21,5,37.0
3318,55.31,4,40.1
3324,55.41,4,40.7
3330,55.51,5,41.0
3336,55.61,4,43.3
3342,55.71,5,44.1
3348,55.81,4,40.4
3354,55.91,2,47.3
3360,56.01,1,46.2
3402,56.71,2,20.5
3408,56.81,2,20.3
3414,56.91,3,21.5
3420,57.01,1,19.5
3456,57.61,1,20.3
3462,57.71,2,20.0
3480,58.01,1,20.1
3558,59.32,2,21.1
3570,59.52,1,21.8
3690,61.52,1,19.2
3726,62.12,1,19.5
3768,62.82,1,18.2
3780,63.02,1,20.6
3792,63.22,1,19.2
3840,64.02,2,22.8
3858,64.32,2,19.5
3894,64.92,1,20.5
3936,65.62,1,19.8
3960,66.02,2,20.5
3966,66.12,2,22.0
3978,66.32,1,20.5
4008,66.82,2,19.8
4014,66.92,1,19.3
4020,67.02,1,19.4
4026,67.12,2,21.2
4032,67.22,2,20.3
4038,67.32,3,20.8
4044,67.42,4,20.6
4050,67.52,2,21.7
4074,67.92,1,20.0
4092,68.22,1,20.2
4110,68.52,2,21.8
4116,68.62,4,22.1
4122,68.72,2,19.7
4128,68.82,1,19.8
4134,68.92,3,21.1
4140,69.02,3,22.9
4146,69.12,2,23.5
4152,69.22,2,19.5
4158,69.32,3,20.7
4164,69.42,5,21.3
4170,69.52,3,20.4
4176,69.62,1,20.6
4182,69.72,1,20.3
4194,69.92,1,18.7
4200,70.02,1,20.3
4206,70.12,1,20.0
4212,70.22,1,19.5
4218,70.32,1,20.7
4224,70.42,3,20.3
4236,70.62,1,20.2
4242,70.72,1,19.5
4248,70.82,3,21.7
4254,70.92,6,22.0
4260,71.02,1,20.4
4266,71.12,1,20.8
4272,71.22,2,21.6
4278,71.32,1,18.5
4290,71.52,3,21.7
4296,71.62,2,19.9
4302,71.72,1,20.2
4314,71.92,1,18.9
4320,72.02,1,20.6
4326,72.12,1,18.5
4332,72.22,1,20.8
4338,72.32,1,21.2
4356,72.62,1,19.7
4374,72.92,1,20.2
4380,73.02,1,19.3
4392,73.22,1,19.4
4398,73.32,1,19.9
4404,73.42,2,20.7
4410,73.52,1,19.9
4416,73.62,1,20.3
4422,73.72,1,21.0
4428,73.82,1,19.0
4470,74.52,1,20.2
4506,75.12,1,19.3
4566,76.12,2,21.2
4572,76.22,1,21.6
4578,76.32,1,19.1
4644,77.42,1,19.9
4662,77.72,1,18.1
4758,79.32,1,19.9
4764,79.42,1,20.5
4782,79.72,1,19.8
4788,79.82,2,20.3
4794,79.92,1,20.7
4800,80.02,2,21.1
4824,80.42,1,20.3
4830,80.52,1,22.5
4854,80.92,1,21.7
4878,81.32,1,20.8
4890,81.52,2,21.5
4896,81.62,4,20.8
4902,81.72,2,20.7
4908,81.82,3,21.0
4914,81.92,1,19.7
4920,82.02,3,20.4
4926,82.12,2,20.1
4932,82.22,3,20.4
4938,82.32,1,20.5
4944,82.42,1,19.6
4950,82.52,3,19.6
4956,82.62,2,20.2
4962,82.72,2,23.9
4968,82.82,2,24.0
4974,82.92,1,30.7
4980,83.02,1,19.9
4992,83.22,3,22.0
4998,83.32,4,20.6
5004,83.42,4,24.6
5010,83.52,6,21.1
5016,83.62,4,22.1
5022,83.72,3,21.0
5028,83.82,4,21.7
5034,83.92,2,20.3
5040,84.02,2,20.5
5046,84.12,4,21.5
5052,84.22,1,19.8
5058,84.32,1,19.1
5070,84.52,1,19.9
5076,84.62,2,20.6
5082,84.72,1,26.0
5088,84.82,2,20.7
5094,84.92,1,21.3
5100,85.02,3,20.2
5112,85.22,1,21.8
5118,85.32,2,20.5
5124,85.42,1,21.3
5130,85.52,1,21.5
5136,85.62,1,21.2
5142,85.72,2,19.5
5148,85.82,2,19.5
5166,86.12,1,21.0
5172,86.22,1,22.0
5178,86.32,1,20.4
5184,86.42,1,19.5
5196,86.62,2,20.2
5202,86.72,2,20.5
5208,86.82,6,22.0
5214,86.92,6,21.9
5220,87.02,7,24.2
5226,87.12,5,21.7
5232,87.22,8,23.3
5238,87.32,13,21.5
5244,87.42,12,25.0
5250,87.52,8,22.5
5256,87.62,12,23.0
5262,87.72,17,23.1
5268,87.82,13,23.0
5274,87.92,8,21.3
5280,88.02,9,21.6
