video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
NShelbyRd(green)_SHB_12.11.2025.mp4,0,0,846,0.0,14.13,14.13,104,750,50.9,0,0,640,497
NShelbyRd(green)_SHB_12.11.2025.mp4,1,906,1182,15.13,19.74,4.61,28,1086,27.4,22,5,625,493
NShelbyRd(green)_SHB_12.11.2025.mp4,2,1518,1584,25.35,26.45,1.1,4,1560,20.4,64,403,603,492
NShelbyRd(green)_SHB_12.11.2025.mp4,3,1656,1662,27.65,27.75,0.1,2,1662,20.9,84,440,196,492
NShelbyRd(green)_SHB_12.11.2025.mp4,4,1722,1728,28.75,28.85,0.1,2,1722,21.1,284,360,563,475
NShelbyRd(green)_SHB_12.11.2025.mp4,5,1806,1818,30.16,30.36,0.2,2,1818,20.0,175,456,526,492
NShelbyRd(green)_SHB_12.11.2025.mp4,6,2064,2160,34.46,36.07,1.6,5,2118,22.8,64,344,634,487
NShelbyRd(green)_SHB_12.11.2025.mp4,7,2268,2292,37.87,38.27,0.4,2,2268,21.7,12,167,607,203
NShelbyRd(green)_SHB_12.11.2025.mp4,8,2382,2436,39.77,40.68,0.9,2,2436,21.1,610,10,640,37
NShelbyRd(green)_SHB_12.11.2025.mp4,9,2508,2580,41.88,43.08,1.2,6,2514,20.8,31,0,515,449
NShelbyRd(green)_SHB_12.11.2025.mp4,10,3078,3168,51.4,52.9,1.5,7,3078,30.0,111,106,629,417
NShelbyRd(green)_SHB_12.11.2025.mp4,11,3264,3300,54.5,55.1,0.6,7,3300,30.4,24,108,603,146
NShelbyRd(green)_SHB_12.11.2025.mp4,12,4044,4068,67.53,67.93,0.4,2,4044,19.8,21,109,527,144
NShelbyRd(green)_SHB_12.11.2025.mp4,13,4158,4200,69.43,70.13,0.7,4,4188,21.7,9,462,544,491
NShelbyRd(green)_SHB_12.11.2025.mp4,14,4290,4764,71.63,79.55,7.91,39,4626,22.2,4,54,640,512
