frame,time_s,n_blobs,peak_score
0,0.0,2,22.0
6,0.1,3,21.1
12,0.2,3,21.3
18,0.3,4,22.0
24,0.4,1,20.3
30,0.5,2,20.1
36,0.6,1,19.6
42,0.7,2,20.8
66,1.1,2,20.9
72,1.2,2,21.9
84,1.4,1,20.2
102,1.7,2,19.8
108,1.8,3,21.7
114,1.9,1,22.8
120,2.0,2,24.2
126,2.1,2,24.9
132,2.2,1,22.4
138,2.3,1,21.5
144,2.4,1,22.1
150,2.5,1,21.6
156,2.6,1,22.1
162,2.71,2,22.2
174,2.91,1,22.8
180,3.01,2,21.4
186,3.11,2,20.7
192,3.21,1,21.5
198,3.31,1,19.2
204,3.41,1,19.9
210,3.51,1,21.0
216,3.61,1,20.3
240,4.01,1,20.6
258,4.31,1,21.4
264,4.41,1,21.6
276,4.61,2,22.4
282,4.71,1,20.4
288,4.81,1,21.8
294,4.91,1,21.7
300,5.01,1,21.8
318,5.31,1,22.2
324,5.41,1,20.9
330,5.51,1,21.7
336,5.61,1,21.6
342,5.71,1,21.7
348,5.81,1,21.7
354,5.91,1,22.1
396,6.61,1,19.6
414,6.91,1,20.2
420,7.01,1,20.9
426,7.11,1,21.1
474,7.91,1,19.4
528,8.82,1,27.8
534,8.92,4,33.3
540,9.02,6,35.6
546,9.12,7,28.9
552,9.22,6,26.9
558,9.32,6,35.0
564,9.42,8,23.3
570,9.52,8,32.7
576,9.62,4,32.0
582,9.72,8,28.7
588,9.82,7,39.0
594,9.92,8,41.2
600,10.02,6,46.2
606,10.12,6,46.4
612,10.22,6,39.1
618,10.32,7,31.6
624,10.42,8,40.0
630,10.52,6,44.6
636,10.62,6,45.1
642,10.72,3,46.0
648,10.82,3,45.4
654,10.92,2,44.7
660,11.02,3,44.5
666,11.12,3,25.7
672,11.22,1,34.3
678,11.32,3,30.6
684,11.42,2,31.2
690,11.52,5,32.3
696,11.62,4,26.9
702,11.72,4,29.2
708,11.82,3,32.7
714,11.92,3,38.6
720,12.02,3,39.5
726,12.12,5,45.4
732,12.22,6,27.9
738,12.32,6,27.7
744,12.42,7,42.8
750,12.52,7,50.9
756,12.62,6,48.8
762,12.72,5,49.0
768,12.82,7,49.0
774,12.92,7,30.6
780,13.02,10,27.5
786,13.12,4,31.0
792,13.22,7,27.5
798,13.32,4,30.0
804,13.43,6,25.9
810,13.53,5,26.7
816,13.63,3,32.0
822,13.73,3,24.5
828,13.83,4,23.7
834,13.93,3,23.8
840,14.03,3,26.9
846,14.13,1,28.0
906,15.13,1,17.8
912,15.23,1,21.4
924,15.43,1,19.3
930,15.53,1,20.0
936,15.63,1,19.6
954,15.93,1,24.1
960,16.03,1,23.5
972,16.23,1,19.3
978,16.33,1,21.8
984,16.43,1,25.1
990,16.53,1,25.3
996,16.63,2,26.2
1002,16.73,2,22.4
1008,16.83,1,23.9
1020,17.03,1,21.7
1026,17.13,1,25.8
1068,17.83,1,20.9
1080,18.03,1,22.9
1086,18.13,1,27.4
1092,18.23,1,25.4
1104,18.43,1,24.9
1128,18.84,1,25.4
1134,18.94,1,25.8
1140,19.04,1,24.8
1146,19.14,1,24.7
1170,19.54,1,26.5
1176,19.64,2,24.1
1182,19.74,1,23.0
1440,24.04,1,20.9
1518,25.35,1,18.6
1560,26.05,1,20.4
1578,26.35,1,19.9
1584,26.45,1,18.9
1656,27.65,1,19.4
1662,27.75,1,20.9
1722,28.75,1,21.1
1728,28.85,1,19.9
1806,30.16,2,19.9
1818,30.36,1,20.0
1896,31.66,1,20.2
1956,32.66,1,18.4
2064,34.46,1,21.0
2094,34.97,1,20.3
2118,35.37,1,22.8
2130,35.57,1,20.8
2160,36.07,1,20.4
2268,37.87,1,21.7
2292,38.27,1,20.9
2382,39.77,1,18.8
2436,40.68,3,21.1
2508,41.88,1,19.8
2514,41.98,1,20.8
2520,42.08,1,20.8
2526,42.18,2,19.5
2568,42.88,2,19.8
2580,43.08,2,20.7
2850,47.59,2,20.2
2934,48.99,1,19.7
3078,51.4,1,30.0
3084,51.5,1,30.0
3090,51.6,1,26.2
3096,51.7,1,26.2
3102,51.8,1,21.5
3114,52.0,1,22.1
3168,52.9,1,19.7
3264,54.5,1,26.5
3270,54.6,1,23.3
3276,54.7,1,24.4
3282,54.8,1,26.4
3288,54.9,1,26.7
3294,55.0,1,29.4
3300,55.1,1,30.4
4044,67.53,1,19.8
4068,67.93,1,19.2
4158,69.43,2,20.6
4164,69.53,1,20.1
4188,69.93,1,21.7
4200,70.13,1,19.4
4290,71.63,1,19.8
4296,71.73,1,20.9
4302,71.83,1,21.0
4308,71.93,2,20.4
4356,72.74,1,19.3
4380,73.14,1,19.4
4392,73.34,1,19.8
4410,73.64,1,20.1
4452,74.34,1,20.4
4476,74.74,1,19.5
4488,74.94,1,20.1
4494,75.04,2,20.3
4500,75.14,1,20.0
4524,75.54,1,20.2
4560,76.14,1,19.5
4566,76.24,1,19.9
4572,76.34,2,21.9
4584,76.54,1,20.5
4590,76.64,2,20.5
4596,76.74,1,20.7
4620,77.14,1,22.0
4626,77.24,1,22.2
4632,77.34,1,22.0
4638,77.44,1,20.0
4644,77.54,1,19.6
4650,77.65,1,19.8
4656,77.75,1,19.2
4662,77.85,1,20.0
4686,78.25,3,21.4
4704,78.55,1,21.0
4710,78.65,2,20.9
4722,78.85,3,21.3
4728,78.95,3,21.4
4734,79.05,2,20.8
4740,79.15,2,21.5
4746,79.25,3,20.8
4752,79.35,2,19.7
4758,79.45,3,21.9
4764,79.55,3,21.4
