video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,0,0,456,0.0,7.61,7.61,53,240,22.4,0,0,640,512
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,1,810,882,13.52,14.72,1.2,3,858,20.9,46,208,546,244
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,2,1278,1350,21.33,22.53,1.2,4,1284,21.0,8,70,549,234
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,3,1410,1416,23.53,23.63,0.1,2,1416,19.5,99,186,380,190
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,4,1638,1662,27.34,27.74,0.4,5,1662,31.3,91,293,640,344
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,5,1986,2052,33.14,34.25,1.1,5,2004,21.1,0,380,607,470
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,6,2448,2460,40.85,41.06,0.2,2,2460,19.3,149,0,218,2
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,7,2556,2640,42.66,44.06,1.4,12,2586,30.4,0,7,607,99
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,8,3036,3204,50.67,53.47,2.8,26,3120,32.3,261,26,630,60
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,9,3726,3876,62.18,64.69,2.5,19,3852,37.1,0,0,581,23
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,10,3942,4008,65.79,66.89,1.1,11,4002,30.0,14,29,542,62
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,11,4374,4512,73.0,75.3,2.3,24,4476,25.6,620,50,630,60
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,12,5460,5700,91.12,95.13,4.01,30,5550,33.6,21,50,630,502
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,13,5862,6120,97.83,102.14,4.31,41,5976,33.4,0,0,640,265
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,14,6684,7170,111.55,119.66,8.11,65,7164,35.2,0,12,640,499
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,15,7314,7386,122.06,123.27,1.2,6,7338,30.7,35,0,592,173
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,16,7446,7536,124.27,125.77,1.5,10,7446,22.5,0,0,619,52
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,17,7854,7866,131.08,131.28,0.2,3,7860,21.0,551,74,635,95
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,18,7932,8070,132.38,134.68,2.3,22,8040,24.0,620,50,630,60
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,19,8136,8166,135.78,136.28,0.5,2,8166,19.0,184,319,506,449
NShelbyRd(pink)_SHB_12.11.2025_LS.mp4,20,8586,9606,143.29,160.32,17.02,156,9114,56.8,0,0,640,512
