frame,time_s,n_blobs,peak_score
0,0.0,3,20.0
6,0.1,3,20.9
12,0.2,1,20.4
18,0.3,1,21.1
24,0.4,3,21.0
30,0.5,4,21.5
36,0.6,3,21.4
42,0.7,4,21.3
48,0.8,3,20.9
54,0.9,4,20.3
60,1.0,2,20.1
66,1.1,4,21.5
72,1.2,3,21.4
78,1.3,2,20.8
84,1.4,1,21.0
90,1.5,1,20.6
96,1.6,3,20.8
102,1.7,3,20.3
108,1.8,1,20.2
114,1.9,3,20.9
120,2.0,2,21.2
126,2.1,1,20.0
138,2.3,2,19.5
150,2.5,1,19.4
162,2.7,1,19.3
168,2.8,2,19.7
180,3.0,1,20.3
186,3.1,2,19.5
192,3.2,3,20.5
198,3.3,1,19.2
204,3.4,2,19.8
210,3.5,1,19.8
216,3.6,1,20.5
222,3.7,3,21.4
240,4.01,1,22.4
246,4.11,1,20.0
258,4.31,1,19.7
270,4.51,1,20.5
282,4.71,1,20.3
294,4.91,1,20.6
306,5.11,1,19.6
312,5.21,1,20.0
318,5.31,2,21.4
330,5.51,1,19.4
342,5.71,1,18.4
354,5.91,2,20.1
366,6.11,1,19.8
408,6.81,1,19.9
414,6.91,2,20.3
420,7.01,1,20.8
426,7.11,1,18.8
450,7.51,1,19.6
456,7.61,2,20.4
546,9.11,1,20.1
708,11.82,1,17.9
810,13.52,1,19.6
858,14.32,1,20.9
882,14.72,1,20.1
1278,21.33,1,19.8
1284,21.43,1,21.0
1326,22.13,2,20.5
1350,22.53,1,20.9
1410,23.53,1,19.1
1416,23.63,1,19.5
1638,27.34,1,19.8
1644,27.44,2,20.8
1650,27.54,2,21.2
1656,27.64,2,23.8
1662,27.74,2,31.3
1794,29.94,1,19.2
1986,33.14,1,19.2
1998,33.34,1,19.9
2004,33.44,1,21.1
2010,33.55,1,18.8
2052,34.25,1,20.4
2202,36.75,1,19.3
2448,40.85,1,19.3
2460,41.06,2,19.3
2556,42.66,1,21.2
2562,42.76,1,27.2
2568,42.86,2,25.5
2574,42.96,2,24.9
2580,43.06,2,27.8
2586,43.16,2,30.4
2598,43.36,1,23.1
2604,43.46,2,21.7
2610,43.56,2,23.0
2616,43.66,1,20.7
2622,43.76,1,19.2
2640,44.06,1,22.6
3036,50.67,1,22.0
3042,50.77,1,20.8
3066,51.17,1,30.5
3072,51.27,1,31.1
3078,51.37,1,31.9
3084,51.47,1,31.0
3090,51.57,1,31.1
3096,51.67,1,30.3
3102,51.77,1,30.8
3108,51.87,1,30.5
3114,51.97,1,28.9
3120,52.07,1,32.3
3126,52.17,1,28.3
3132,52.27,1,28.0
3138,52.37,1,27.7
3144,52.47,1,27.7
3150,52.57,1,29.3
3156,52.67,1,28.4
3162,52.77,1,29.0
3168,52.87,1,29.6
3174,52.97,1,29.6
3180,53.07,1,28.4
3186,53.17,1,28.3
3192,53.27,1,28.2
3198,53.37,1,27.8
3204,53.47,1,27.8
3726,62.18,1,31.6
3732,62.28,1,26.7
3738,62.38,1,31.9
3744,62.48,1,28.6
3750,62.58,1,26.7
3756,62.68,1,26.2
3762,62.78,1,33.6
3768,62.88,2,28.4
3774,62.98,2,31.9
3780,63.08,1,20.8
3786,63.18,1,25.9
3834,63.99,2,35.0
3840,64.09,3,36.6
3846,64.19,1,29.4
3852,64.29,1,37.1
3858,64.39,1,34.1
3864,64.49,2,28.8
3870,64.59,1,26.3
3876,64.69,1,21.1
3942,65.79,1,22.4
3948,65.89,1,22.7
3954,65.99,1,24.3
3960,66.09,1,25.7
3966,66.19,1,25.6
3972,66.29,1,25.5
3978,66.39,1,24.7
3990,66.59,1,28.5
3996,66.69,1,29.1
4002,66.79,1,30.0
4008,66.89,1,27.5
4374,73.0,1,23.6
4380,73.1,1,21.9
4386,73.2,1,22.1
4392,73.3,1,24.0
4398,73.4,1,22.8
4404,73.5,1,21.7
4410,73.6,1,23.9
4416,73.7,1,21.6
4422,73.8,1,23.5
4428,73.9,1,23.0
4434,74.0,1,23.9
4440,74.1,1,23.9
4446,74.2,1,22.6
4452,74.3,1,22.8
4458,74.4,1,22.9
4464,74.5,1,24.2
4470,74.6,1,25.1
4476,74.7,1,25.6
4482,74.8,1,25.1
4488,74.9,1,22.7
4494,75.0,1,21.8
4500,75.1,1,21.0
4506,75.2,1,20.2
4512,75.3,1,20.3
5046,84.21,2,20.2
5460,91.12,1,20.6
5466,91.22,1,20.4
5502,91.82,1,19.3
5520,92.12,1,19.5
5526,92.22,1,33.5
5532,92.32,1,27.7
5538,92.42,2,32.6
5544,92.52,1,29.4
5550,92.62,1,33.6
5556,92.72,1,29.3
5562,92.82,1,31.5
5568,92.92,1,31.3
5574,93.02,1,31.6
5580,93.13,1,29.9
5586,93.23,1,29.4
5592,93.33,1,28.5
5598,93.43,1,25.2
5604,93.53,1,24.5
5610,93.63,1,24.0
5616,93.73,1,26.8
5622,93.83,1,27.2
5628,93.93,1,27.0
5634,94.03,2,28.3
5640,94.13,1,28.1
5646,94.23,1,27.7
5652,94.33,1,27.6
5658,94.43,1,28.6
5664,94.53,1,28.5
5682,94.83,1,19.8
5700,95.13,1,19.6
5862,97.83,1,19.0
5874,98.03,2,32.6
5880,98.13,3,30.0
5886,98.23,3,26.2
5892,98.33,5,28.6
5898,98.43,8,30.4
5904,98.53,6,29.8
5910,98.63,10,30.4
5916,98.73,9,24.0
5922,98.83,3,28.2
5928,98.93,9,25.1
5934,99.03,5,23.2
5940,99.13,6,24.9
5946,99.23,12,25.1
5952,99.33,7,25.1
5958,99.43,20,27.3
5964,99.53,9,30.4
5970,99.63,11,32.5
5976,99.73,19,33.4
5982,99.83,9,32.1
5988,99.93,3,21.9
5994,100.03,7,31.0
6000,100.13,5,30.7
6006,100.23,4,29.7
6012,100.33,4,26.7
6018,100.43,2,32.1
6036,100.74,1,20.5
6042,100.84,3,20.7
6048,100.94,6,21.3
6054,101.04,4,20.2
6060,101.14,3,21.6
6066,101.24,3,20.5
6072,101.34,4,22.0
6078,101.44,2,21.6
6084,101.54,2,21.4
6090,101.64,2,20.0
6096,101.74,3,20.6
6102,101.84,5,21.4
6108,101.94,1,20.5
6114,102.04,2,20.8
6120,102.14,2,20.1
6684,111.55,1,25.9
6690,111.65,1,26.6
6696,111.75,1,27.4
6702,111.85,2,27.5
6708,111.95,1,28.6
6714,112.05,1,29.1
6720,112.15,1,28.8
6726,112.25,1,29.3
6732,112.35,1,30.6
6738,112.45,1,29.1
6744,112.55,1,29.1
6750,112.65,1,29.7
6756,112.75,1,29.2
6762,112.85,1,29.0
6768,112.95,1,26.6
6774,113.05,1,27.6
6780,113.15,1,28.5
6786,113.25,1,24.9
6792,113.35,1,27.1
6798,113.45,1,27.7
6804,113.55,1,30.0
6810,113.65,1,31.4
6816,113.75,1,31.2
6822,113.85,1,30.4
6870,114.65,1,21.0
6876,114.75,1,20.9
6882,114.85,1,20.0
6936,115.76,1,22.5
6942,115.86,1,24.2
6948,115.96,1,26.8
6954,116.06,1,30.3
6960,116.16,1,29.4
6966,116.26,1,31.7
6972,116.36,1,30.7
6978,116.46,2,29.9
6984,116.56,2,31.3
6990,116.66,2,31.7
6996,116.76,1,31.9
7002,116.86,1,28.6
7008,116.96,1,31.5
7014,117.06,1,28.1
7020,117.16,1,31.7
7026,117.26,1,30.9
7032,117.36,1,32.4
7038,117.46,1,30.7
7044,117.56,1,21.6
7050,117.66,1,29.5
7056,117.76,1,29.1
7062,117.86,1,30.1
7068,117.96,2,32.0
7074,118.06,1,30.8
7086,118.26,1,25.5
7092,118.36,1,30.5
7098,118.46,1,34.0
7104,118.56,1,32.7
7110,118.66,1,31.4
7116,118.76,1,31.3
7122,118.86,1,31.3
7128,118.96,2,33.0
7134,119.06,1,29.6
7140,119.16,1,27.9
7146,119.26,1,34.5
7152,119.36,1,29.4
7164,119.56,1,35.2
7170,119.66,1,27.5
7314,122.06,1,20.2
7332,122.36,1,21.6
7338,122.46,1,30.7
7368,122.97,1,19.9
7380,123.17,2,20.4
7386,123.27,1,20.8
7446,124.27,1,22.5
7470,124.67,1,21.1
7476,124.77,1,21.3
7482,124.87,1,22.4
7500,125.17,1,19.6
7506,125.27,4,20.7
7518,125.47,4,20.4
7524,125.57,2,21.4
7530,125.67,3,22.0
7536,125.77,1,19.9
7638,127.47,1,21.0
7854,131.08,1,20.8
7860,131.18,2,21.0
7866,131.28,1,20.3
7932,132.38,1,21.8
7938,132.48,1,20.2
7944,132.58,1,21.9
7950,132.68,1,23.1
7956,132.78,1,22.6
7962,132.88,1,21.9
7968,132.98,1,20.4
7974,133.08,1,22.0
7980,133.18,1,19.6
7992,133.38,1,19.0
7998,133.48,1,23.7
8004,133.58,1,21.7
8010,133.68,1,20.5
8016,133.78,1,22.7
8028,133.98,1,21.0
8034,134.08,1,22.1
8040,134.18,1,24.0
8046,134.28,1,23.6
8052,134.38,1,18.3
8058,134.48,1,19.2
8064,134.58,1,20.8
8070,134.68,1,19.9
8136,135.78,1,18.7
8166,136.28,1,19.0
8586,143.29,2,38.1
8592,143.39,1,36.0
8598,143.49,2,35.4
8628,143.99,1,19.4
8646,144.29,2,28.7
8652,144.39,2,25.4
8658,144.49,1,19.8
8670,144.69,1,32.5
8676,144.79,2,36.7
8694,145.09,1,27.4
8700,145.19,1,29.5
8706,145.3,3,33.3
8712,145.4,5,39.1
8718,145.5,3,25.2
8724,145.6,4,35.2
8730,145.7,6,35.1
8736,145.8,3,34.2
8742,145.9,3,33.9
8748,146.0,5,37.8
8754,146.1,5,35.5
8760,146.2,2,21.6
8766,146.3,1,38.7
8772,146.4,1,38.0
8778,146.5,1,40.9
8784,146.6,2,41.2
8790,146.7,1,40.5
8796,146.8,1,25.6
8808,147.0,5,39.8
8814,147.1,1,20.3
8820,147.2,1,28.7
8826,147.3,1,20.1
8832,147.4,1,20.4
8838,147.5,3,21.1
8844,147.6,2,20.7
8850,147.7,5,21.2
8856,147.8,5,23.7
8862,147.9,5,24.5
8868,148.0,2,21.3
8874,148.1,2,22.1
8880,148.2,5,22.1
8886,148.3,4,21.1
8892,148.4,1,19.5
8898,148.5,3,19.9
8904,148.6,2,22.3
8910,148.7,2,30.2
8916,148.8,5,32.3
8922,148.9,2,20.6
8928,149.0,3,20.9
8934,149.1,12,22.4
8940,149.2,9,21.2
8946,149.3,8,29.4
8952,149.4,16,34.4
8958,149.5,12,32.0
