video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
NWolfCreek(blue)_SHB_12.11.2025.mp4,0,0,204,0.0,3.4,3.4,35,30,44.3,0,219,363,374
NWolfCreek(blue)_SHB_12.11.2025.mp4,1,510,660,8.5,11.01,2.5,26,582,36.1,0,0,640,327
NWolfCreek(blue)_SHB_12.11.2025.mp4,2,720,804,12.01,13.41,1.4,6,804,24.1,126,49,613,323
NWolfCreek(blue)_SHB_12.11.2025.mp4,3,876,948,14.61,15.81,1.2,11,906,20.6,35,3,640,61
NWolfCreek(blue)_SHB_12.11.2025.mp4,4,1038,1062,17.31,17.71,0.4,5,1062,23.1,40,0,602,434
NWolfCreek(blue)_SHB_12.11.2025.mp4,5,1494,1530,24.91,25.51,0.6,5,1524,20.7,222,38,638,56
NWolfCreek(blue)_SHB_12.11.2025.mp4,6,1716,1860,28.61,31.01,2.4,17,1740,23.9,0,0,640,149
NWolfCreek(blue)_SHB_12.11.2025.mp4,7,1932,2046,32.22,34.12,1.9,9,2028,22.4,2,32,532,386
NWolfCreek(blue)_SHB_12.11.2025.mp4,8,2556,2700,42.62,45.02,2.4,13,2658,21.2,0,214,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,9,2844,2940,47.42,49.02,1.6,15,2928,21.8,0,0,640,159
NWolfCreek(blue)_SHB_12.11.2025.mp4,10,3162,3186,52.72,53.13,0.4,3,3186,20.2,40,440,540,447
NWolfCreek(blue)_SHB_12.11.2025.mp4,11,3540,3594,59.03,59.93,0.9,6,3564,27.0,45,285,373,297
NWolfCreek(blue)_SHB_12.11.2025.mp4,12,3666,3852,61.13,64.23,3.1,26,3762,23.5,0,0,640,442
NWolfCreek(blue)_SHB_12.11.2025.mp4,13,3918,4194,65.33,69.93,4.6,39,4014,24.0,0,0,640,507
NWolfCreek(blue)_SHB_12.11.2025.mp4,14,4272,4302,71.23,71.73,0.5,5,4296,33.1,56,341,639,385
NWolfCreek(blue)_SHB_12.11.2025.mp4,15,4596,4638,76.64,77.34,0.7,7,4626,28.7,58,302,524,399
NWolfCreek(blue)_SHB_12.11.2025.mp4,16,4974,5010,82.94,83.54,0.6,7,4986,33.4,0,357,606,396
NWolfCreek(blue)_SHB_12.11.2025.mp4,17,5202,5214,86.74,86.94,0.2,2,5214,20.7,413,0,606,10
NWolfCreek(blue)_SHB_12.11.2025.mp4,18,5616,6642,93.64,110.75,17.11,99,5748,28.0,0,0,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,19,6720,6750,112.05,112.55,0.5,6,6720,27.2,66,261,401,292
NWolfCreek(blue)_SHB_12.11.2025.mp4,20,6918,7194,115.35,119.96,4.6,19,7050,22.6,0,6,640,369
NWolfCreek(blue)_SHB_12.11.2025.mp4,21,7320,7548,122.06,125.86,3.8,10,7548,20.9,135,0,630,398
NWolfCreek(blue)_SHB_12.11.2025.mp4,22,7614,7896,126.96,131.66,4.7,15,7848,22.9,14,0,640,442
NWolfCreek(blue)_SHB_12.11.2025.mp4,23,8010,8298,133.56,138.37,4.8,15,8160,22.7,2,0,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,24,8400,8502,140.07,141.77,1.7,3,8502,20.4,0,90,431,454
NWolfCreek(blue)_SHB_12.11.2025.mp4,25,8568,8718,142.87,145.37,2.5,21,8694,23.3,398,0,630,80
NWolfCreek(blue)_SHB_12.11.2025.mp4,26,8928,8952,148.87,149.27,0.4,2,8928,22.3,581,218,592,226
NWolfCreek(blue)_SHB_12.11.2025.mp4,27,9060,9084,151.07,151.47,0.4,4,9072,32.1,268,0,640,448
NWolfCreek(blue)_SHB_12.11.2025.mp4,28,9156,9276,152.67,154.67,2.0,8,9198,21.0,0,0,640,459
NWolfCreek(blue)_SHB_12.11.2025.mp4,29,9426,9468,157.17,157.87,0.7,2,9468,19.8,125,34,596,66
NWolfCreek(blue)_SHB_12.11.2025.mp4,30,9582,9594,159.78,159.98,0.2,3,9594,21.4,69,460,208,489
NWolfCreek(blue)_SHB_12.11.2025.mp4,31,9726,9780,162.18,163.08,0.9,2,9780,20.3,345,0,595,5
NWolfCreek(blue)_SHB_12.11.2025.mp4,32,9870,9894,164.58,164.98,0.4,4,9888,21.3,100,252,617,453
NWolfCreek(blue)_SHB_12.11.2025.mp4,33,10326,10608,172.18,176.88,4.7,14,10482,23.0,0,0,640,509
NWolfCreek(blue)_SHB_12.11.2025.mp4,34,10692,10848,178.28,180.89,2.6,13,10692,23.9,52,295,633,497
NWolfCreek(blue)_SHB_12.11.2025.mp4,35,10974,11022,182.99,183.79,0.8,4,11022,20.6,592,0,640,441
NWolfCreek(blue)_SHB_12.11.2025.mp4,36,11100,11304,185.09,188.49,3.4,12,11238,26.5,50,0,640,504
NWolfCreek(blue)_SHB_12.11.2025.mp4,37,11382,11442,189.79,190.79,1.0,5,11406,21.4,58,387,627,501
NWolfCreek(blue)_SHB_12.11.2025.mp4,38,11838,11880,197.39,198.09,0.7,6,11862,22.7,29,351,640,501
NWolfCreek(blue)_SHB_12.11.2025.mp4,39,11940,12012,199.09,200.29,1.2,6,11958,31.9,30,11,389,315
NWolfCreek(blue)_SHB_12.11.2025.mp4,40,12222,12234,203.8,204.0,0.2,2,12222,20.4,113,235,172,310
NWolfCreek(blue)_SHB_12.11.2025.mp4,41,12342,14700,205.8,245.12,39.32,369,14016,44.6,0,0,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,42,14940,15180,249.12,253.12,4.0,19,14994,33.2,0,17,636,372
NWolfCreek(blue)_SHB_12.11.2025.mp4,43,15384,15426,256.52,257.22,0.7,2,15384,20.4,32,363,623,372
NWolfCreek(blue)_SHB_12.11.2025.mp4,44,15654,17502,261.02,291.84,30.81,260,16122,38.2,0,0,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,45,17598,19854,293.44,331.06,37.62,272,18792,41.2,0,0,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,46,19986,20334,333.26,339.06,5.8,30,20244,21.0,294,22,640,289
NWolfCreek(blue)_SHB_12.11.2025.mp4,47,20442,20928,340.86,348.96,8.1,44,20622,20.9,0,0,640,296
NWolfCreek(blue)_SHB_12.11.2025.mp4,48,21006,21024,350.27,350.57,0.3,2,21006,20.4,239,260,273,263
NWolfCreek(blue)_SHB_12.11.2025.mp4,49,21108,21384,351.97,356.57,4.6,24,21126,21.6,0,3,466,296
NWolfCreek(blue)_SHB_12.11.2025.mp4,50,21564,21768,359.57,362.97,3.4,32,21588,22.2,18,316,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,51,21900,22074,365.17,368.07,2.9,14,22038,20.8,257,5,640,76
NWolfCreek(blue)_SHB_12.11.2025.mp4,52,22134,22320,369.07,372.18,3.1,17,22254,23.9,0,29,640,486
NWolfCreek(blue)_SHB_12.11.2025.mp4,53,22386,22926,373.28,382.28,9.0,67,22590,24.9,43,0,640,431
NWolfCreek(blue)_SHB_12.11.2025.mp4,54,23142,23202,385.88,386.88,1.0,6,23154,22.0,64,47,640,492
NWolfCreek(blue)_SHB_12.11.2025.mp4,55,23298,23430,388.48,390.68,2.2,23,23412,21.2,0,392,379,468
NWolfCreek(blue)_SHB_12.11.2025.mp4,56,23628,23730,393.99,395.69,1.7,12,23634,20.8,339,288,640,441
NWolfCreek(blue)_SHB_12.11.2025.mp4,57,23880,24042,398.19,400.89,2.7,13,23988,21.8,0,26,640,341
NWolfCreek(blue)_SHB_12.11.2025.mp4,58,24186,24276,403.29,404.79,1.5,6,24258,21.1,273,8,635,301
NWolfCreek(blue)_SHB_12.11.2025.mp4,59,24336,24558,405.79,409.49,3.7,20,24342,20.7,0,0,561,490
NWolfCreek(blue)_SHB_12.11.2025.mp4,60,24684,24744,411.59,412.59,1.0,3,24744,20.0,442,25,609,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,61,24882,25896,414.9,431.8,16.91,119,25770,31.3,0,0,620,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,62,26028,26076,434.0,434.81,0.8,3,26028,21.2,81,0,497,440
NWolfCreek(blue)_SHB_12.11.2025.mp4,63,26160,26280,436.21,438.21,2.0,6,26160,20.2,0,0,640,478
NWolfCreek(blue)_SHB_12.11.2025.mp4,64,26340,26430,439.21,440.71,1.5,11,26388,30.0,0,0,640,163
NWolfCreek(blue)_SHB_12.11.2025.mp4,65,26490,26580,441.71,443.21,1.5,9,26580,21.0,0,0,640,399
NWolfCreek(blue)_SHB_12.11.2025.mp4,66,26652,26772,444.41,446.41,2.0,12,26772,21.7,0,8,557,442
NWolfCreek(blue)_SHB_12.11.2025.mp4,67,26832,27120,447.41,452.21,4.8,29,27090,22.8,0,0,640,477
NWolfCreek(blue)_SHB_12.11.2025.mp4,68,27216,27756,453.81,462.82,9.0,61,27228,23.2,0,0,638,500
NWolfCreek(blue)_SHB_12.11.2025.mp4,69,27918,28440,465.52,474.22,8.7,60,28212,26.9,0,0,640,491
NWolfCreek(blue)_SHB_12.11.2025.mp4,70,28728,29142,479.03,485.93,6.9,37,28968,23.2,0,0,640,500
NWolfCreek(blue)_SHB_12.11.2025.mp4,71,29202,29226,486.93,487.33,0.4,4,29214,19.5,414,58,419,66
NWolfCreek(blue)_SHB_12.11.2025.mp4,72,29298,30612,488.53,510.44,21.91,176,30300,26.9,0,0,640,476
NWolfCreek(blue)_SHB_12.11.2025.mp4,73,30714,31308,512.14,522.05,9.9,59,30900,21.4,0,0,640,461
NWolfCreek(blue)_SHB_12.11.2025.mp4,74,31368,31416,523.05,523.85,0.8,3,31416,19.8,0,0,486,38
NWolfCreek(blue)_SHB_12.11.2025.mp4,75,31494,31638,525.15,527.55,2.4,12,31584,21.5,0,0,640,407
NWolfCreek(blue)_SHB_12.11.2025.mp4,76,31722,31740,528.95,529.25,0.3,4,31722,20.9,342,0,454,11
NWolfCreek(blue)_SHB_12.11.2025.mp4,77,31968,31974,533.05,533.15,0.1,2,31974,20.4,4,255,14,427
NWolfCreek(blue)_SHB_12.11.2025.mp4,78,32064,32100,534.65,535.25,0.6,3,32100,20.3,350,18,600,370
NWolfCreek(blue)_SHB_12.11.2025.mp4,79,32382,32394,539.95,540.16,0.2,2,32394,20.7,52,420,592,501
NWolfCreek(blue)_SHB_12.11.2025.mp4,80,32544,33294,542.66,555.16,12.51,106,32706,41.5,0,0,640,475
NWolfCreek(blue)_SHB_12.11.2025.mp4,81,33402,33432,556.96,557.46,0.5,6,33426,23.8,0,485,356,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,82,33558,33624,559.56,560.66,1.1,8,33612,20.3,416,52,622,196
NWolfCreek(blue)_SHB_12.11.2025.mp4,83,34014,34410,567.17,573.77,6.6,55,34410,23.0,0,19,640,355
NWolfCreek(blue)_SHB_12.11.2025.mp4,84,34560,38874,576.27,648.21,71.93,713,34824,46.5,0,0,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,85,38940,38994,649.31,650.21,0.9,7,38946,25.5,185,248,400,272
NWolfCreek(blue)_SHB_12.11.2025.mp4,86,39108,39258,652.11,654.61,2.5,23,39138,21.0,0,274,601,336
NWolfCreek(blue)_SHB_12.11.2025.mp4,87,39888,40848,665.11,681.12,16.01,118,40002,37.8,0,0,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,88,40944,40986,682.72,683.42,0.7,6,40974,26.6,187,83,640,225
NWolfCreek(blue)_SHB_12.11.2025.mp4,89,41064,41094,684.72,685.22,0.5,4,41064,23.1,14,467,640,484
NWolfCreek(blue)_SHB_12.11.2025.mp4,90,41214,41244,687.22,687.72,0.5,3,41244,20.2,22,364,437,370
NWolfCreek(blue)_SHB_12.11.2025.mp4,91,41550,41568,692.83,693.13,0.3,2,41568,21.1,98,187,236,287
NWolfCreek(blue)_SHB_12.11.2025.mp4,92,41748,41796,696.13,696.93,0.8,5,41748,20.7,6,6,605,357
NWolfCreek(blue)_SHB_12.11.2025.mp4,93,41970,42480,699.83,708.33,8.5,57,42198,25.6,0,0,640,472
NWolfCreek(blue)_SHB_12.11.2025.mp4,94,42588,43236,710.14,720.94,10.81,67,42936,23.8,0,10,640,478
NWolfCreek(blue)_SHB_12.11.2025.mp4,95,43356,43614,722.94,727.24,4.3,25,43452,21.9,0,17,640,320
NWolfCreek(blue)_SHB_12.11.2025.mp4,96,43842,44076,731.05,734.95,3.9,30,43944,27.0,0,0,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,97,44136,44346,735.95,739.45,3.5,30,44298,21.9,0,12,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,98,44490,44496,741.85,741.95,0.1,2,44490,19.9,32,338,327,351
NWolfCreek(blue)_SHB_12.11.2025.mp4,99,44766,45552,746.45,759.56,13.11,109,45150,23.5,0,0,640,509
NWolfCreek(blue)_SHB_12.11.2025.mp4,100,45642,45702,761.06,762.06,1.0,5,45672,22.4,0,18,635,476
NWolfCreek(blue)_SHB_12.11.2025.mp4,101,45966,45996,766.46,766.96,0.5,3,45966,22.8,49,432,174,449
NWolfCreek(blue)_SHB_12.11.2025.mp4,102,46116,46206,768.96,770.46,1.5,5,46158,20.3,31,28,640,419
NWolfCreek(blue)_SHB_12.11.2025.mp4,103,46308,46362,772.16,773.07,0.9,9,46350,20.7,0,437,636,460
NWolfCreek(blue)_SHB_12.11.2025.mp4,104,46596,46680,776.97,778.37,1.4,3,46680,20.5,146,4,640,449
NWolfCreek(blue)_SHB_12.11.2025.mp4,105,46932,47178,782.57,786.67,4.1,22,47004,22.8,7,0,628,432
NWolfCreek(blue)_SHB_12.11.2025.mp4,106,47262,47280,788.07,788.37,0.3,3,47268,20.1,0,19,53,99
NWolfCreek(blue)_SHB_12.11.2025.mp4,107,47448,47754,791.17,796.28,5.1,26,47604,24.5,0,0,640,500
NWolfCreek(blue)_SHB_12.11.2025.mp4,108,47898,48042,798.68,801.08,2.4,11,47922,23.0,90,0,640,505
NWolfCreek(blue)_SHB_12.11.2025.mp4,109,48114,48606,802.28,810.48,8.2,70,48258,23.6,0,0,640,444
NWolfCreek(blue)_SHB_12.11.2025.mp4,110,48690,49002,811.88,817.09,5.2,48,48870,23.3,0,40,640,499
NWolfCreek(blue)_SHB_12.11.2025.mp4,111,49074,49350,818.29,822.89,4.6,30,49188,26.6,0,105,640,512
NWolfCreek(blue)_SHB_12.11.2025.mp4,112,49410,51378,823.89,856.7,32.82,265,51036,33.5,0,0,640,461
NWolfCreek(blue)_SHB_12.11.2025.mp4,113,51438,51462,857.71,858.11,0.4,3,51462,19.9,38,486,509,499
