frame,time_s,n_blobs,peak_score
0,0.0,7,43.3
6,0.1,8,43.3
12,0.2,8,42.2
18,0.3,10,41.5
24,0.4,7,43.8
30,0.5,6,44.3
36,0.6,9,43.6
42,0.7,5,43.3
48,0.8,4,42.0
54,0.9,7,42.5
60,1.0,9,43.0
66,1.1,10,40.2
72,1.2,7,42.7
78,1.3,8,42.0
84,1.4,5,39.3
90,1.5,4,41.8
96,1.6,4,37.9
102,1.7,6,41.0
108,1.8,4,41.1
114,1.9,9,38.7
120,2.0,7,39.1
126,2.1,8,39.2
132,2.2,6,38.2
138,2.3,10,40.2
144,2.4,6,36.6
150,2.5,3,38.4
156,2.6,4,36.4
162,2.7,5,40.5
168,2.8,4,37.5
174,2.9,5,38.2
180,3.0,5,38.2
186,3.1,5,35.4
192,3.2,4,34.7
198,3.3,1,18.8
204,3.4,2,19.2
372,6.2,1,20.3
510,8.5,4,26.1
516,8.6,2,21.0
522,8.7,6,25.7
528,8.8,5,25.5
534,8.9,13,26.5
540,9.0,24,26.9
546,9.1,15,28.1
552,9.2,15,35.6
558,9.3,17,26.3
564,9.4,14,27.6
570,9.5,11,27.1
576,9.6,8,27.7
582,9.7,8,36.1
588,9.8,9,33.7
594,9.9,14,27.3
600,10.0,14,34.0
606,10.1,18,28.5
612,10.2,15,28.9
618,10.3,20,28.7
624,10.4,16,28.2
630,10.5,14,23.7
636,10.61,9,25.0
642,10.71,7,24.8
648,10.81,1,18.9
654,10.91,1,19.8
660,11.01,3,20.5
720,12.01,1,19.2
738,12.31,2,19.7
744,12.41,1,19.8
750,12.51,2,19.4
786,13.11,1,20.8
804,13.41,1,24.1
876,14.61,1,19.1
888,14.81,1,19.1
900,15.01,1,20.0
906,15.11,1,20.6
912,15.21,3,20.3
918,15.31,1,20.0
924,15.41,2,19.9
930,15.51,3,20.2
936,15.61,2,19.7
942,15.71,1,20.2
948,15.81,1,20.2
1038,17.31,2,23.1
1044,17.41,1,21.2
1050,17.51,2,19.9
1056,17.61,1,19.8
1062,17.71,2,23.1
1494,24.91,2,19.5
1512,25.21,1,20.1
1518,25.31,1,20.4
1524,25.41,2,20.7
1530,25.51,1,19.3
1716,28.61,3,21.2
1722,28.71,2,21.4
1728,28.81,5,21.9
1734,28.91,3,21.3
1740,29.01,3,23.9
1746,29.11,1,20.3
1752,29.21,4,22.4
1758,29.31,7,20.8
1764,29.41,9,21.7
1770,29.51,4,21.0
1776,29.61,4,20.7
1782,29.71,4,20.6
1788,29.81,2,20.9
1794,29.91,1,19.5
1800,30.01,1,22.2
1806,30.11,2,20.4
1860,31.01,1,19.3
1932,32.22,1,20.0
1944,32.42,6,20.9
1950,32.52,3,19.6
1956,32.62,4,20.5
1968,32.82,3,20.8
1974,32.92,1,19.8
1980,33.02,1,19.7
2028,33.82,1,22.4
2046,34.12,1,20.8
2220,37.02,1,23.3
2556,42.62,1,19.6
2562,42.72,1,19.5
2610,43.52,1,20.5
2628,43.82,1,18.7
2640,44.02,1,19.9
2646,44.12,3,19.7
2658,44.32,4,21.2
2664,44.42,1,19.5
2670,44.52,2,19.4
2676,44.62,1,20.8
2688,44.82,2,20.3
2694,44.92,2,20.8
2700,45.02,1,19.8
2844,47.42,4,20.3
2850,47.52,7,21.7
2856,47.62,4,21.0
2862,47.72,3,20.1
2874,47.92,1,20.0
2880,48.02,1,19.0
2886,48.12,2,21.1
2898,48.32,2,19.9
2904,48.42,2,20.4
2910,48.52,3,20.7
2916,48.62,3,20.2
2922,48.72,7,20.9
2928,48.82,9,21.8
2934,48.92,5,20.9
2940,49.02,2,21.6
3162,52.72,1,19.5
3174,52.92,1,19.9
3186,53.13,1,20.2
3540,59.03,1,25.7
3546,59.13,1,18.6
3552,59.23,1,24.8
3558,59.33,1,23.8
3564,59.43,1,27.0
3594,59.93,1,25.6
3666,61.13,3,22.9
3672,61.23,3,20.9
3678,61.33,1,18.7
