video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,0,0,90,0.0,1.5,1.5,16,90,38.7,0,22,409,155
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,1,336,390,5.6,6.5,0.9,3,384,20.9,0,462,95,482
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,2,522,846,8.7,14.1,5.4,31,582,21.5,0,16,640,492
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,3,1374,1422,22.9,23.7,0.8,7,1416,23.6,0,267,338,293
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,4,1626,1716,27.1,28.6,1.5,16,1668,33.1,6,276,640,310
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,5,1998,2088,33.3,34.8,1.5,10,1998,22.9,0,468,617,512
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,6,2382,2400,39.7,40.0,0.3,2,2400,21.3,121,447,540,454
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,7,2676,2976,44.6,49.6,5.0,28,2826,35.9,2,78,640,460
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,8,5262,5340,87.7,89.0,1.3,4,5334,26.5,66,35,603,415
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,9,5508,5538,91.8,92.3,0.5,4,5514,20.8,39,448,601,460
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,10,6096,6120,101.6,102.0,0.4,2,6120,19.9,620,0,623,75
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,11,7002,7098,116.7,118.3,1.6,13,7086,29.8,37,253,599,280
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,12,7188,7308,119.8,121.8,2.0,21,7236,33.6,0,249,640,297
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,13,7608,7614,126.8,126.9,0.1,2,7614,19.9,208,480,398,484
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,14,8334,8478,138.9,141.3,2.4,24,8466,40.6,0,0,626,262
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,15,8586,8700,143.1,145.0,1.9,9,8688,21.1,0,244,614,512
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,16,9342,9378,155.7,156.3,0.6,6,9342,30.9,474,0,640,512
NWolfCreek(orange)_SHB_12.11.2025_LS.mp4,17,10248,10278,170.8,171.3,0.5,4,10248,23.4,618,228,640,499
