frame,time_s,n_blobs,peak_score
0,0.0,2,34.7
6,0.1,2,35.9
12,0.2,3,32.2
18,0.3,3,38.2
24,0.4,1,34.2
30,0.5,3,34.7
36,0.6,2,31.5
42,0.7,2,37.4
48,0.8,2,34.9
54,0.9,1,33.4
60,1.0,3,36.6
66,1.1,2,36.1
72,1.2,2,37.1
78,1.3,1,33.1
84,1.4,1,36.0
90,1.5,3,38.7
336,5.6,1,19.4
384,6.4,1,20.9
390,6.5,1,19.6
522,8.7,1,19.9
528,8.8,1,20.4
534,8.9,3,20.5
540,9.0,6,21.4
546,9.1,6,20.0
552,9.2,4,19.2
558,9.3,7,19.6
564,9.4,6,20.2
570,9.5,1,19.2
576,9.6,4,20.1
582,9.7,8,21.5
588,9.8,3,20.5
594,9.9,2,19.7
600,10.0,1,19.8
612,10.2,2,21.0
618,10.3,1,20.2
624,10.4,1,20.6
630,10.5,2,20.4
636,10.6,2,20.7
642,10.7,3,20.7
648,10.8,1,20.1
666,11.1,1,20.0
696,11.6,1,19.6
714,11.9,2,20.9
762,12.7,1,17.9
792,13.2,2,20.3
798,13.3,1,19.6
804,13.4,1,19.6
822,13.7,1,19.3
840,14.0,1,19.2
846,14.1,2,20.0
1374,22.9,2,20.0
1386,23.1,1,19.7
1392,23.2,1,23.1
1398,23.3,1,22.4
1404,23.4,1,20.4
1416,23.6,1,23.6
1422,23.7,2,22.7
1626,27.1,1,22.3
1632,27.2,2,21.4
1638,27.3,2,27.0
1644,27.4,3,23.8
1650,27.5,1,27.4
1656,27.6,1,25.1
1662,27.7,1,26.1
1668,27.8,1,33.1
1674,27.9,2,21.7
1680,28.0,1,27.2
1686,28.1,1,24.5
1692,28.2,1,27.7
1698,28.3,2,23.5
1704,28.4,1,27.1
1710,28.5,1,20.5
1716,28.6,1,26.3
1926,32.1,1,19.9
1998,33.3,1,22.9
2010,33.5,1,19.4
2022,33.7,2,20.5
2034,33.9,2,20.7
2040,34.0,2,21.0
2046,34.1,2,21.3
2052,34.2,4,21.1
2058,34.3,3,22.9
2064,34.4,1,19.8
2088,34.8,1,20.0
2382,39.7,1,21.3
2400,40.0,1,21.3
2676,44.6,1,19.9
2682,44.7,1,19.1
2694,44.9,1,21.7
2712,45.2,3,20.3
2718,45.3,5,20.6
2724,45.4,3,20.6
2730,45.5,3,20.7
2736,45.6,3,20.9
2766,46.1,1,21.2
2820,47.0,1,33.8
2826,47.1,1,35.9
2832,47.2,1,33.5
2838,47.3,1,29.9
2844,47.4,1,31.0
2850,47.5,1,30.8
2856,47.6,2,31.0
2862,47.7,2,28.7
2868,47.8,1,32.1
2874,47.9,1,29.2
2892,48.2,1,27.2
2898,48.3,1,24.9
2904,48.4,1,26.8
2910,48.5,2,25.9
2916,48.6,1,25.8
2940,49.0,2,20.2
2958,49.3,1,27.4
2964,49.4,1,25.8
2976,49.6,2,22.0
3648,60.8,1,20.5
3930,65.5,1,20.4
4266,71.1,1,20.9
4890,81.5,1,19.3
5262,87.7,1,19.0
5274,87.9,1,20.5
5334,88.9,1,26.5
5340,89.0,1,24.7
5508,91.8,1,20.1
5514,91.9,1,20.8
5520,92.0,1,19.9
5538,92.3,1,19.8
5958,99.3,1,19.7
6096,101.6,1,19.7
6120,102.0,1,19.9
7002,116.7,1,25.0
7008,116.8,1,20.3
7014,116.9,1,25.2
7020,117.0,1,24.5
7032,117.2,1,20.9
7038,117.3,1,27.2
7044,117.4,1,24.5
7062,117.7,1,20.8
7074,117.9,1,24.9
7080,118.0,1,23.2
7086,118.1,2,29.8
7092,118.2,1,29.7
7098,118.3,1,26.3
7188,119.8,1,27.7
7194,119.9,2,27.0
7200,120.0,1,22.2
7206,120.1,2,30.8
7212,120.2,1,21.1
7218,120.3,1,29.3
7224,120.4,3,23.7
7230,120.5,3,24.0
7236,120.6,6,33.6
7242,120.7,5,30.6
7248,120.8,7,28.9
7254,120.9,7,28.8
7260,121.0,4,31.1
7266,121.1,5,28.0
7272,121.2,8,31.4
7278,121.3,7,28.5
7284,121.4,6,26.9
7290,121.5,6,26.2
7296,121.6,5,30.1
7302,121.7,4,30.4
7308,121.8,4,32.2
7608,126.8,1,19.8
7614,126.9,1,19.9
7908,131.8,1,18.4
8334,138.9,1,32.1
8340,139.0,2,33.0
8346,139.1,1,31.9
8352,139.2,1,33.1
8364,139.4,2,30.3
8370,139.5,2,26.5
8376,139.6,2,24.7
8382,139.7,2,32.7
8388,139.8,3,30.2
8394,139.9,1,36.1
8400,140.0,2,37.5
8406,140.1,2,34.1
8412,140.2,2,27.1
8418,140.3,4,35.5
8424,140.4,2,37.8
8430,140.5,1,37.6
8436,140.6,1,32.2
8442,140.7,1,39.2
8448,140.8,1,39.4
8454,140.9,1,33.6
8460,141.0,2,33.3
8466,141.1,2,40.6
8472,141.2,1,33.3
8478,141.3,1,27.6
8586,143.1,2,21.1
8622,143.7,1,19.0
8628,143.8,4,20.3
8640,144.0,1,20.0
8646,144.1,1,18.2
8670,144.5,1,20.1
8688,144.8,1,21.1
8694,144.9,1,18.8
8700,145.0,1,19.7
9342,155.7,6,30.9
9348,155.8,2,30.4
9354,155.9,4,21.0
9360,156.0,10,28.3
9366,156.1,3,20.7
9378,156.3,2,20.4
10248,170.8,1,23.4
10266,171.1,1,19.1
10272,171.2,2,20.0
10278,171.3,3,21.7
