video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
OverlookDr_SHB_12.11.2025_LS.mp4,0,0,246,0.0,4.1,4.1,32,168,21.9,0,223,640,512
OverlookDr_SHB_12.11.2025_LS.mp4,1,888,906,14.81,15.11,0.3,2,888,21.2,75,396,342,399
OverlookDr_SHB_12.11.2025_LS.mp4,2,2454,2502,40.92,41.72,0.8,9,2496,30.2,43,128,607,230
OverlookDr_SHB_12.11.2025_LS.mp4,3,4350,4398,72.54,73.34,0.8,2,4398,20.8,611,430,632,454
OverlookDr_SHB_12.11.2025_LS.mp4,4,4938,4992,82.35,83.25,0.9,5,4962,20.2,47,490,616,509
OverlookDr_SHB_12.11.2025_LS.mp4,5,5712,5718,95.26,95.36,0.1,2,5718,20.4,91,449,213,453
OverlookDr_SHB_12.11.2025_LS.mp4,6,6018,6192,100.36,103.26,2.9,12,6102,20.9,0,320,623,474
OverlookDr_SHB_12.11.2025_LS.mp4,7,6642,6666,110.76,111.17,0.4,5,6642,24.8,0,115,609,121
OverlookDr_SHB_12.11.2025_LS.mp4,8,6954,7032,115.97,117.27,1.3,4,6996,24.0,8,350,540,429
OverlookDr_SHB_12.11.2025_LS.mp4,9,7158,7194,119.37,119.97,0.6,5,7176,21.4,196,156,624,423
OverlookDr_SHB_12.11.2025_LS.mp4,10,7260,7296,121.07,121.67,0.6,5,7260,20.5,520,195,640,398
OverlookDr_SHB_12.11.2025_LS.mp4,11,7524,8190,125.47,136.58,11.11,72,7644,22.6,0,3,640,512
OverlookDr_SHB_12.11.2025_LS.mp4,12,9504,9534,158.49,158.99,0.5,6,9528,31.9,218,499,596,510
OverlookDr_SHB_12.11.2025_LS.mp4,13,10260,10362,171.1,172.8,1.7,8,10296,32.2,16,423,496,438
OverlookDr_SHB_12.11.2025_LS.mp4,14,11106,11124,185.21,185.51,0.3,2,11106,26.8,211,423,587,483
OverlookDr_SHB_12.11.2025_LS.mp4,15,11346,11424,189.21,190.51,1.3,6,11400,29.9,169,63,634,84
OverlookDr_SHB_12.11.2025_LS.mp4,16,13722,13770,228.83,229.63,0.8,5,13722,22.1,0,329,86,354
OverlookDr_SHB_12.11.2025_LS.mp4,17,15120,15156,252.15,252.75,0.6,5,15156,27.7,221,350,591,363
OverlookDr_SHB_12.11.2025_LS.mp4,18,15432,15516,257.35,258.75,1.4,7,15516,24.3,0,498,534,512
OverlookDr_SHB_12.11.2025_LS.mp4,19,15732,15876,262.35,264.75,2.4,12,15852,22.6,9,160,587,190
OverlookDr_SHB_12.11.2025_LS.mp4,20,16188,16224,269.96,270.56,0.6,5,16212,26.0,120,355,574,368
OverlookDr_SHB_12.11.2025_LS.mp4,21,17268,17274,287.97,288.07,0.1,2,17274,25.4,8,85,69,88
OverlookDr_SHB_12.11.2025_LS.mp4,22,17736,17808,295.77,296.97,1.2,6,17742,20.8,8,16,620,498
OverlookDr_SHB_12.11.2025_LS.mp4,23,17928,17994,298.97,300.08,1.1,8,17958,21.7,77,280,602,507
OverlookDr_SHB_12.11.2025_LS.mp4,24,18144,18306,302.58,305.28,2.7,11,18216,23.3,14,269,624,493
OverlookDr_SHB_12.11.2025_LS.mp4,25,18798,18828,313.48,313.98,0.5,2,18828,19.6,525,116,614,139
OverlookDr_SHB_12.11.2025_LS.mp4,26,19356,19554,322.79,326.09,3.3,16,19428,21.8,71,308,604,508
OverlookDr_SHB_12.11.2025_LS.mp4,27,19644,19728,327.59,328.99,1.4,3,19674,21.4,0,348,630,455
OverlookDr_SHB_12.11.2025_LS.mp4,28,19872,19878,331.39,331.49,0.1,2,19878,20.9,12,259,89,263
OverlookDr_SHB_12.11.2025_LS.mp4,29,19944,20310,332.59,338.7,6.1,43,20214,23.9,0,168,640,388
OverlookDr_SHB_12.11.2025_LS.mp4,30,20898,21306,348.5,355.31,6.8,69,20964,39.2,0,190,640,422
OverlookDr_SHB_12.11.2025_LS.mp4,31,21396,21414,356.81,357.11,0.3,4,21414,27.6,0,185,555,391
OverlookDr_SHB_12.11.2025_LS.mp4,32,21930,22170,365.71,369.72,4.0,41,22002,48.3,0,75,640,271
OverlookDr_SHB_12.11.2025_LS.mp4,33,22380,22446,373.22,374.32,1.1,4,22440,32.4,638,86,640,479
OverlookDr_SHB_12.11.2025_LS.mp4,34,22596,22716,376.82,378.82,2.0,21,22716,47.3,0,99,623,120
OverlookDr_SHB_12.11.2025_LS.mp4,35,22818,22908,380.52,382.02,1.5,16,22860,31.3,33,143,640,161
OverlookDr_SHB_12.11.2025_LS.mp4,36,23028,23466,384.02,391.33,7.3,63,23214,25.9,0,265,628,445
