frame,time_s,n_blobs,peak_score
0,0.0,1,20.7
6,0.1,1,21.4
12,0.2,1,20.3
18,0.3,2,20.7
24,0.4,1,20.0
30,0.5,1,19.8
36,0.6,1,18.8
42,0.7,3,21.4
48,0.8,2,21.0
54,0.9,2,20.5
60,1.0,3,21.2
66,1.1,1,20.3
72,1.2,1,19.3
78,1.3,1,20.7
84,1.4,2,21.5
90,1.5,1,20.1
96,1.6,2,21.9
102,1.7,1,20.2
108,1.8,2,21.1
114,1.9,1,21.7
126,2.1,3,21.9
132,2.2,2,21.1
138,2.3,2,21.8
144,2.4,3,21.5
150,2.5,2,21.1
156,2.6,2,21.3
162,2.7,4,21.7
168,2.8,3,21.9
174,2.9,2,21.8
180,3.0,2,21.1
192,3.2,1,20.7
246,4.1,1,21.1
606,10.11,1,19.4
888,14.81,1,21.2
906,15.11,1,20.0
2454,40.92,1,22.8
2460,41.02,1,21.4
2466,41.12,1,24.6
2472,41.22,1,20.9
2478,41.32,1,26.7
2484,41.42,1,25.5
2490,41.52,1,27.0
2496,41.62,1,30.2
2502,41.72,1,27.2
3642,60.74,1,18.0
4092,68.24,1,20.8
4260,71.04,1,20.5
4350,72.54,1,20.1
4398,73.34,1,20.8
4506,75.14,1,26.3
4938,82.35,1,20.0
4944,82.45,1,19.9
4962,82.75,1,20.2
4980,83.05,1,20.0
4992,83.25,2,19.7
5124,85.45,1,20.5
5616,93.65,1,20.6
5712,95.26,1,20.3
5718,95.36,1,20.4
5940,99.06,1,19.5
6018,100.36,1,20.2
6048,100.86,1,20.0
6072,101.26,2,19.4
6078,101.36,2,19.6
6090,101.56,1,19.6
6102,101.76,1,20.9
6114,101.96,1,19.8
6144,102.46,1,19.4
6150,102.56,1,20.3
6162,102.76,1,19.6
6180,103.06,1,20.4
6192,103.26,1,19.7
6642,110.76,1,24.8
6648,110.86,1,24.4
6654,110.96,1,23.0
6660,111.06,1,23.8
6666,111.17,1,23.1
6954,115.97,1,20.7
6990,116.57,1,21.4
6996,116.67,1,24.0
7032,117.27,1,21.4
7098,118.37,1,20.9
