video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
RedFoxLn_SHB_12.11.2025_LS.mp4,0,0,456,0.0,7.6,7.6,68,384,22.8,0,16,640,332
RedFoxLn_SHB_12.11.2025_LS.mp4,1,528,1056,8.8,17.6,8.8,64,594,42.4,0,0,640,483
RedFoxLn_SHB_12.11.2025_LS.mp4,2,1116,1674,18.6,27.9,9.3,82,1662,32.8,0,0,640,501
RedFoxLn_SHB_12.11.2025_LS.mp4,3,1740,4674,29.0,77.91,48.91,470,2070,26.7,0,0,640,512
RedFoxLn_SHB_12.11.2025_LS.mp4,4,4842,4872,80.71,81.21,0.5,3,4854,19.3,308,7,608,506
RedFoxLn_SHB_12.11.2025_LS.mp4,5,4938,4956,82.31,82.61,0.3,2,4938,23.6,362,461,536,493
RedFoxLn_SHB_12.11.2025_LS.mp4,6,5016,5244,83.61,87.41,3.8,15,5220,31.8,47,83,630,496
RedFoxLn_SHB_12.11.2025_LS.mp4,7,5322,5616,88.71,93.61,4.9,34,5376,30.7,0,4,640,472
RedFoxLn_SHB_12.11.2025_LS.mp4,8,5790,6012,96.51,100.21,3.7,30,5868,20.6,5,0,640,327
RedFoxLn_SHB_12.11.2025_LS.mp4,9,6096,6846,101.61,114.12,12.5,108,6156,39.2,0,0,640,396
RedFoxLn_SHB_12.11.2025_LS.mp4,10,7044,10842,117.42,180.73,63.31,551,8586,49.6,0,0,640,512
RedFoxLn_SHB_12.11.2025_LS.mp4,11,10920,10926,182.03,182.13,0.1,2,10920,20.5,9,315,82,320
RedFoxLn_SHB_12.11.2025_LS.mp4,12,11280,11292,188.03,188.23,0.2,2,11280,20.5,14,473,640,494
RedFoxLn_SHB_12.11.2025_LS.mp4,13,11520,11682,192.03,194.73,2.7,17,11574,24.1,4,28,640,504
RedFoxLn_SHB_12.11.2025_LS.mp4,14,11880,12192,198.03,203.23,5.2,31,12024,22.4,1,0,640,452
RedFoxLn_SHB_12.11.2025_LS.mp4,15,12330,12558,205.53,209.33,3.8,31,12516,21.4,584,0,640,31
RedFoxLn_SHB_12.11.2025_LS.mp4,16,12648,13458,210.83,224.33,13.5,86,13164,24.2,0,0,640,445
RedFoxLn_SHB_12.11.2025_LS.mp4,17,13650,13686,227.53,228.13,0.6,7,13686,20.5,12,434,622,453
RedFoxLn_SHB_12.11.2025_LS.mp4,18,13896,13986,231.63,233.13,1.5,4,13938,19.8,0,24,428,456
RedFoxLn_SHB_12.11.2025_LS.mp4,19,14064,14148,234.43,235.83,1.4,3,14148,19.6,12,20,589,408
RedFoxLn_SHB_12.11.2025_LS.mp4,20,14280,14406,238.04,240.14,2.1,9,14334,22.4,0,330,640,395
RedFoxLn_SHB_12.11.2025_LS.mp4,21,14634,14640,243.94,244.04,0.1,2,14640,20.6,540,11,622,27
RedFoxLn_SHB_12.11.2025_LS.mp4,22,14712,15024,245.24,250.44,5.2,37,14724,23.0,0,0,640,487
RedFoxLn_SHB_12.11.2025_LS.mp4,23,15090,15126,251.54,252.14,0.6,7,15102,31.6,148,242,493,254
RedFoxLn_SHB_12.11.2025_LS.mp4,24,15378,15426,256.34,257.14,0.8,4,15378,21.9,0,9,229,112
RedFoxLn_SHB_12.11.2025_LS.mp4,25,15942,15960,265.74,266.04,0.3,2,15942,24.3,449,211,527,371
RedFoxLn_SHB_12.11.2025_LS.mp4,26,16104,16278,268.44,271.34,2.9,15,16218,26.7,0,195,640,470
RedFoxLn_SHB_12.11.2025_LS.mp4,27,16368,16386,272.84,273.14,0.3,4,16380,27.5,270,257,614,443
RedFoxLn_SHB_12.11.2025_LS.mp4,28,16488,17394,274.84,289.94,15.1,105,16986,33.0,0,0,640,475
RedFoxLn_SHB_12.11.2025_LS.mp4,29,17454,17856,290.94,297.64,6.7,62,17550,44.1,0,0,640,420
RedFoxLn_SHB_12.11.2025_LS.mp4,30,18018,18342,300.34,305.75,5.4,29,18036,26.4,4,0,640,470
RedFoxLn_SHB_12.11.2025_LS.mp4,31,18450,18540,307.55,309.05,1.5,5,18450,20.6,0,0,578,396
RedFoxLn_SHB_12.11.2025_LS.mp4,32,18600,18930,310.05,315.55,5.5,27,18750,26.2,0,14,640,500
RedFoxLn_SHB_12.11.2025_LS.mp4,33,19008,20316,316.85,338.65,21.8,176,20034,36.4,0,0,640,512
RedFoxLn_SHB_12.11.2025_LS.mp4,34,20394,20796,339.95,346.65,6.7,47,20478,30.1,0,0,640,450
RedFoxLn_SHB_12.11.2025_LS.mp4,35,20856,21738,347.65,362.35,14.7,147,21618,42.0,0,0,640,495
RedFoxLn_SHB_12.11.2025_LS.mp4,36,21930,21996,365.55,366.65,1.1,6,21996,23.8,12,307,614,338
RedFoxLn_SHB_12.11.2025_LS.mp4,37,22068,22728,367.85,378.86,11.0,77,22590,32.6,0,176,640,457
RedFoxLn_SHB_12.11.2025_LS.mp4,38,22800,23550,380.06,392.56,12.5,88,22866,43.6,0,0,640,402
RedFoxLn_SHB_12.11.2025_LS.mp4,39,23652,23832,394.26,397.26,3.0,27,23670,22.8,8,0,640,367
RedFoxLn_SHB_12.11.2025_LS.mp4,40,23916,24018,398.66,400.36,1.7,7,23982,21.1,4,348,640,389
RedFoxLn_SHB_12.11.2025_LS.mp4,41,24120,24174,402.06,402.96,0.9,3,24120,20.6,5,385,512,403
RedFoxLn_SHB_12.11.2025_LS.mp4,42,24258,24588,404.36,409.86,5.5,29,24588,21.9,0,0,640,471
RedFoxLn_SHB_12.11.2025_LS.mp4,43,24660,24846,411.06,414.16,3.1,29,24822,23.0,0,0,640,464
RedFoxLn_SHB_12.11.2025_LS.mp4,44,25002,25434,416.76,423.96,7.2,59,25056,34.9,0,46,640,396
RedFoxLn_SHB_12.11.2025_LS.mp4,45,25518,25602,425.36,426.76,1.4,8,25542,27.5,33,173,640,456
RedFoxLn_SHB_12.11.2025_LS.mp4,46,25680,26706,428.06,445.17,17.1,130,25830,25.7,0,0,640,397
RedFoxLn_SHB_12.11.2025_LS.mp4,47,26766,27918,446.17,465.37,19.2,113,26976,38.0,0,0,640,432
RedFoxLn_SHB_12.11.2025_LS.mp4,48,28020,28476,467.07,474.67,7.6,37,28290,22.5,0,0,640,491
RedFoxLn_SHB_12.11.2025_LS.mp4,49,28584,28806,476.47,480.17,3.7,11,28782,23.5,28,242,631,505
RedFoxLn_SHB_12.11.2025_LS.mp4,50,28944,29004,482.47,483.47,1.0,5,28944,20.9,0,216,638,238
RedFoxLn_SHB_12.11.2025_LS.mp4,51,29088,29718,484.87,495.37,10.5,61,29160,36.9,0,9,640,501
