frame,time_s,n_blobs,peak_score
0,0.0,3,20.2
6,0.1,2,20.6
12,0.2,3,19.7
18,0.3,3,19.9
24,0.4,1,19.8
30,0.5,1,19.3
36,0.6,4,20.5
42,0.7,6,20.4
48,0.8,3,21.5
54,0.9,3,21.6
66,1.1,1,19.4
72,1.2,1,20.9
78,1.3,2,19.7
84,1.4,3,20.1
90,1.5,5,19.8
96,1.6,5,21.0
102,1.7,3,20.7
108,1.8,5,21.2
114,1.9,6,20.9
120,2.0,4,20.8
126,2.1,6,20.8
132,2.2,2,21.1
138,2.3,5,20.8
144,2.4,5,20.6
150,2.5,3,20.5
156,2.6,4,21.4
162,2.7,2,20.4
174,2.9,2,22.0
180,3.0,1,22.2
186,3.1,5,21.4
192,3.2,3,20.9
198,3.3,2,20.9
204,3.4,4,20.1
210,3.5,1,19.8
216,3.6,2,19.4
222,3.7,4,20.4
228,3.8,1,19.8
234,3.9,2,20.4
240,4.0,3,20.1
246,4.1,3,20.2
252,4.2,1,19.9
258,4.3,1,20.5
264,4.4,1,21.0
294,4.9,2,20.4
300,5.0,2,19.4
306,5.1,3,20.6
312,5.2,1,20.3
318,5.3,1,19.7
330,5.5,1,20.8
342,5.7,1,21.0
348,5.8,1,21.9
354,5.9,1,21.8
360,6.0,1,20.6
366,6.1,1,20.4
372,6.2,2,21.9
378,6.3,3,22.2
384,6.4,2,22.8
390,6.5,2,22.6
396,6.6,2,21.8
402,6.7,4,21.6
408,6.8,2,22.3
414,6.9,2,21.3
420,7.0,1,19.9
432,7.2,2,21.0
438,7.3,1,21.4
444,7.4,1,21.4
450,7.5,1,21.6
456,7.6,1,21.4
528,8.8,2,21.2
534,8.9,5,38.0
540,9.0,7,35.0
546,9.1,7,38.7
552,9.2,11,40.7
558,9.3,9,39.4
564,9.4,7,38.9
570,9.5,13,41.0
576,9.6,12,39.8
582,9.7,22,40.3
588,9.8,19,39.0
594,9.9,16,42.4
600,10.0,19,35.4
606,10.1,25,39.8
612,10.2,19,39.7
618,10.3,18,39.9
624,10.4,16,37.1
630,10.5,15,37.1
636,10.6,16,39.9
642,10.7,16,39.7
648,10.8,23,39.7
654,10.9,21,39.8
660,11.0,26,37.9
666,11.1,26,31.3
672,11.2,21,28.5
678,11.3,20,24.8
684,11.4,16,26.1
690,11.5,19,24.4
696,11.6,11,25.1
702,11.7,12,22.0
708,11.8,13,28.2
714,11.9,12,24.7
720,12.0,12,26.2
726,12.1,9,25.0
732,12.2,4,22.4
738,12.3,1,22.3
744,12.4,3,23.7
756,12.6,2,24.3
762,12.7,2,24.8
768,12.8,4,25.4
774,12.9,1,25.4
780,13.0,1,20.3
792,13.2,2,20.3
798,13.3,1,20.0
834,13.9,1,20.2
846,14.1,1,19.3
858,14.3,1,20.0
864,14.4,1,20.5
900,15.0,1,23.0
912,15.2,1,20.0
930,15.5,2,20.0
942,15.7,1,20.1
972,16.2,1,20.7
978,16.3,1,20.5
984,16.4,2,20.1
996,16.6,1,20.9
1002,16.7,2,20.9
1008,16.8,2,20.3
1020,17.0,1,20.2
1026,17.1,1,20.0
1038,17.3,3,20.8
1044,17.4,2,20.5
1050,17.5,1,19.5
1056,17.6,1,19.6
1116,18.6,3,20.6
1122,18.7,4,22.0
1128,18.8,4,21.2
1134,18.9,6,22.3
1140,19.0,1,19.0
1146,19.1,3,20.8
1152,19.2,9,21.2
1158,19.3,4,21.4
1164,19.4,4,21.1
1170,19.5,3,19.6
1176,19.6,3,21.1
1182,19.7,6,20.4
1188,19.8,2,22.3
1194,19.9,5,23.0
1200,20.0,2,19.8
1206,20.1,3,20.0
1212,20.2,4,21.4
1218,20.3,2,20.4
1224,20.4,1,20.6
1230,20.5,5,21.8
1236,20.6,6,21.0
1242,20.7,6,20.1
1248,20.8,2,20.1
1254,20.9,3,20.0
1260,21.0,3,20.1
1266,21.1,4,19.8
1272,21.2,7,20.5
1278,21.3,4,19.0
1290,21.5,2,19.4
1296,21.6,1,19.1
1302,21.7,2,20.3
1308,21.8,2,19.2
1314,21.9,2,19.5
1320,22.0,1,19.5
1326,22.1,2,20.3
1332,22.2,5,20.7
1338,22.3,2,20.0
1344,22.4,2,20.0
1356,22.6,1,20.7
1362,22.7,1,19.6
1368,22.8,2,19.4
1374,22.9,1,22.0
1380,23.0,1,21.2
1386,23.1,1,21.5
1392,23.2,1,21.2
1398,23.3,1,20.0
1410,23.5,1,19.9
1416,23.6,1,19.9
1422,23.7,1,19.2
1428,23.8,1,20.7
1434,23.9,1,20.5
1440,24.0,3,22.4
1446,24.1,3,22.7
1452,24.2,3,22.3
1458,24.3,4,23.0
1464,24.4,5,24.3
1470,24.5,4,25.2
1476,24.6,2,27.5
1482,24.7,1,22.4
1488,24.8,2,19.3
1494,24.9,4,25.7
1500,25.0,4,26.9
1506,25.1,4,27.2
1512,25.2,3,19.0
1518,25.3,4,20.1
1524,25.4,1,19.2
1530,25.5,3,20.0
1584,26.4,1,21.4
1590,26.5,1,22.3
1596,26.6,3,22.8
1602,26.7,1,28.8
1608,26.8,2,32.3
1614,26.9,1,30.5
1620,27.0,1,31.3
1626,27.1,2,27.8
1632,27.2,3,28.9
1638,27.3,2,30.3
1644,27.4,1,22.1
1656,27.6,1,27.0
1662,27.7,1,32.8
1668,27.8,1,30.6
1674,27.9,1,23.8
1740,29.0,1,19.3
1746,29.1,1,20.9
1752,29.2,2,22.4
1758,29.3,2,22.9
1764,29.4,3,21.6
1770,29.5,4,21.0
1776,29.6,2,21.0
1782,29.7,2,22.8
1788,29.8,2,21.1
1794,29.9,3,20.8
1800,30.0,4,21.0
1806,30.1,3,22.9
1812,30.2,3,22.1
1818,30.3,2,20.7
1824,30.4,2,20.7
1830,30.5,1,20.8
1836,30.6,2,21.7
1842,30.7,1,21.8
1848,30.8,2,20.1
1854,30.9,1,18.7
1860,31.0,3,21.9
1866,31.1,1,21.5
1872,31.2,4,22.4
1878,31.3,1,21.1
1884,31.4,3,21.6
1890,31.5,4,21.3
1896,31.6,2,21.2
1902,31.7,3,22.6
1908,31.8,4,23.0
1914,31.9,4,23.6
1920,32.0,3,22.8
1926,32.1,3,21.8
1932,32.2,5,22.7
1938,32.3,4,22.5
1944,32.4,5,20.2
1950,32.5,5,20.9
1956,32.6,1,21.0
1962,32.7,3,21.3
1968,32.8,8,21.3
1974,32.9,6,21.7
1980,33.0,3,22.9
1986,33.1,4,23.2
1992,33.2,4,21.8
1998,33.3,5,23.5
2004,33.4,6,22.5
2010,33.5,8,22.9
2016,33.6,10,23.1
2022,33.7,8,23.2
2028,33.8,11,24.7
2034,33.91,10,24.5
2040,34.01,9,25.8
2046,34.11,9,24.5
2052,34.21,11,25.6
2058,34.31,13,24.8
2064,34.41,13,26.3
2070,34.51,14,26.7
2076,34.61,15,25.2
2082,34.71,15,23.6
2088,34.81,14,24.7
2094,34.91,10,25.5
2100,35.01,14,25.1
2106,35.11,13,24.5
2112,35.21,14,24.5
2118,35.31,16,25.3
2124,35.41,14,25.9
2130,35.51,15,23.7
2136,35.61,13,24.3
2142,35.71,12,24.4
2148,35.81,14,25.0
2154,35.91,17,26.1
2160,36.01,16,25.6
2166,36.11,16,25.3
2172,36.21,15,25.6
2178,36.31,19,25.8
2184,36.41,15,26.6
2190,36.51,15,25.7
2196,36.61,14,24.8
2202,36.71,15,24.7
2208,36.81,14,24.4
2214,36.91,13,24.3
2220,37.01,13,24.0
2226,37.11,13,22.2
2232,37.21,12,23.7
2238,37.31,14,24.2
2244,37.41,14,23.6
2250,37.51,12,23.2
2256,37.61,14,24.0
2262,37.71,15,24.0
2268,37.81,19,23.2
2274,37.91,17,23.3
2280,38.01,17,24.4
2286,38.11,15,23.8
2292,38.21,16,24.2
2298,38.31,14,23.7
2304,38.41,17,24.6
2310,38.51,14,22.9
2316,38.61,15,23.7
2322,38.71,14,22.8
2328,38.81,12,22.6
2334,38.91,13,23.2
