video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
WolfCreekRd_SHB_12.11.2025_LS.mp4,0,0,534,0.0,8.91,8.91,64,360,25.6,0,0,640,505
WolfCreekRd_SHB_12.11.2025_LS.mp4,1,636,768,10.61,12.82,2.2,17,666,22.2,4,3,640,404
WolfCreekRd_SHB_12.11.2025_LS.mp4,2,852,996,14.22,16.62,2.4,14,954,20.8,11,0,623,503
WolfCreekRd_SHB_12.11.2025_LS.mp4,3,1680,1686,28.04,28.14,0.1,2,1686,20.3,68,0,567,34
WolfCreekRd_SHB_12.11.2025_LS.mp4,4,1962,3306,32.74,55.17,22.43,159,2118,42.2,0,3,640,506
WolfCreekRd_SHB_12.11.2025_LS.mp4,5,3426,3438,57.18,57.38,0.2,2,3438,19.5,507,150,557,174
WolfCreekRd_SHB_12.11.2025_LS.mp4,6,3666,3954,61.18,65.99,4.81,34,3954,57.2,8,49,640,512
WolfCreekRd_SHB_12.11.2025_LS.mp4,7,4278,4638,71.4,77.4,6.01,34,4572,25.1,0,193,640,507
WolfCreekRd_SHB_12.11.2025_LS.mp4,8,4758,4836,79.41,80.71,1.3,10,4794,21.1,5,328,640,460
WolfCreekRd_SHB_12.11.2025_LS.mp4,9,5088,5232,84.91,87.32,2.4,25,5094,38.3,620,50,630,60
WolfCreekRd_SHB_12.11.2025_LS.mp4,10,5454,5520,91.02,92.12,1.1,6,5520,21.2,111,344,606,482
WolfCreekRd_SHB_12.11.2025_LS.mp4,11,5592,5628,93.32,93.93,0.6,4,5628,23.1,27,340,635,479
WolfCreekRd_SHB_12.11.2025_LS.mp4,12,5700,5952,95.13,99.33,4.21,17,5778,22.6,40,406,571,512
WolfCreekRd_SHB_12.11.2025_LS.mp4,13,6030,6102,100.63,101.84,1.2,4,6030,20.3,12,429,502,452
WolfCreekRd_SHB_12.11.2025_LS.mp4,14,6480,7140,108.14,119.16,11.01,68,6486,35.3,13,50,640,496
WolfCreekRd_SHB_12.11.2025_LS.mp4,15,7296,7728,121.76,128.97,7.21,42,7452,38.9,0,6,640,230
WolfCreekRd_SHB_12.11.2025_LS.mp4,16,7830,7968,130.67,132.98,2.3,24,7896,36.6,58,50,630,438
WolfCreekRd_SHB_12.11.2025_LS.mp4,17,8184,8220,136.58,137.18,0.6,3,8202,19.5,372,95,546,125
WolfCreekRd_SHB_12.11.2025_LS.mp4,18,8412,8904,140.39,148.6,8.21,76,8826,54.6,0,51,640,449
