frame,time_s,n_blobs,peak_score
0,0.0,3,24.2
6,0.1,4,22.2
12,0.2,3,22.4
18,0.3,3,23.9
24,0.4,3,23.5
30,0.5,3,23.8
36,0.6,1,20.1
48,0.8,1,21.5
66,1.1,1,21.7
114,1.9,1,18.9
120,2.0,1,20.8
126,2.1,1,20.7
132,2.2,3,20.0
138,2.3,1,19.5
150,2.5,3,20.1
156,2.6,3,22.5
162,2.7,3,20.6
168,2.8,4,20.8
174,2.9,7,22.2
180,3.0,6,20.9
186,3.1,4,20.7
192,3.2,5,20.2
198,3.3,11,20.8
204,3.4,7,20.4
210,3.5,7,20.3
216,3.6,12,20.6
222,3.7,7,21.5
228,3.81,8,22.4
234,3.91,10,21.5
240,4.01,12,21.2
246,4.11,12,21.6
252,4.21,5,20.9
258,4.31,11,20.9
264,4.41,10,21.7
270,4.51,6,20.2
276,4.61,4,20.0
282,4.71,8,21.1
288,4.81,5,21.4
294,4.91,6,21.6
300,5.01,6,21.4
306,5.11,2,20.4
324,5.41,1,19.9
336,5.61,5,22.5
342,5.71,2,23.3
348,5.81,2,21.2
354,5.91,3,21.8
360,6.01,6,25.6
366,6.11,5,22.9
372,6.21,5,20.2
378,6.31,4,20.7
384,6.41,4,24.0
390,6.51,5,22.6
396,6.61,11,23.5
402,6.71,15,24.3
408,6.81,15,21.5
414,6.91,8,21.2
420,7.01,9,23.4
426,7.11,8,23.3
432,7.21,7,24.0
438,7.31,3,21.9
450,7.51,2,23.1
492,8.21,2,20.2
504,8.41,1,20.2
534,8.91,1,21.0
636,10.61,1,20.4
642,10.71,1,19.5
648,10.81,1,19.9
654,10.91,1,18.3
660,11.01,1,20.3
666,11.11,3,22.2
678,11.32,2,20.6
684,11.42,3,21.2
690,11.52,1,19.5
696,11.62,3,20.3
702,11.72,6,21.6
708,11.82,1,19.8
720,12.02,4,21.0
726,12.12,2,21.0
732,12.22,2,20.0
744,12.42,1,20.4
768,12.82,1,20.5
852,14.22,1,20.1
864,14.42,1,19.4
870,14.52,1,19.6
900,15.02,1,19.5
906,15.12,1,20.1
912,15.22,1,20.0
918,15.32,1,20.7
924,15.42,2,20.3
954,15.92,1,20.8
972,16.22,1,19.0
978,16.32,2,20.0
984,16.42,2,19.3
990,16.52,1,19.9
996,16.62,1,20.0
1464,24.43,1,19.1
1680,28.04,1,19.6
1686,28.14,1,20.3
1800,30.04,1,19.5
1962,32.74,1,19.9
1980,33.04,1,19.6
1992,33.24,1,25.3
1998,33.34,4,27.1
2004,33.44,2,28.1
2010,33.54,7,27.1
2022,33.75,1,23.5
2028,33.85,3,25.9
2034,33.95,4,30.2
2040,34.05,5,27.4
2046,34.15,4,33.7
2052,34.25,5,38.2
2058,34.35,9,36.6
2064,34.45,6,41.1
2070,34.55,9,30.0
2076,34.65,9,34.7
2082,34.75,3,25.8
2088,34.85,2,31.0
2100,35.05,1,19.7
2106,35.15,2,19.9
2112,35.25,2,20.4
2118,35.35,1,42.2
2124,35.45,1,37.7
2130,35.55,3,35.2
2136,35.65,1,34.0
2142,35.75,1,31.4
2148,35.85,1,33.1
2154,35.95,2,28.8
2160,36.05,3,32.6
2166,36.15,1,26.2
2202,36.75,1,25.2
2208,36.85,1,24.5
2220,37.05,2,26.9
2226,37.15,1,25.2
2232,37.25,1,21.6
2238,37.35,1,27.8
2244,37.45,1,25.8
2250,37.55,2,27.9
2256,37.65,4,23.5
2262,37.75,6,23.4
2268,37.85,9,25.4
2274,37.95,2,27.4
2280,38.05,3,27.3
2286,38.15,2,20.4
2292,38.25,3,20.1
2304,38.45,3,21.1
2316,38.65,2,21.1
2322,38.75,6,20.3
2328,38.85,3,20.5
2358,39.35,2,19.7
2370,39.55,2,21.2
2376,39.65,1,19.5
2394,39.95,2,20.5
2400,40.05,2,20.3
2412,40.25,2,19.4
2418,40.35,2,23.1
2424,40.45,4,26.1
2430,40.55,4,19.6
2436,40.65,6,21.1
2442,40.75,3,20.5
2448,40.85,3,21.2
2466,41.16,1,20.0
2472,41.26,1,20.2
2478,41.36,1,20.9
2484,41.46,1,20.0
2520,42.06,1,19.9
2574,42.96,1,21.9
2580,43.06,2,20.7
2586,43.16,4,21.7
2592,43.26,4,20.7
2598,43.36,7,21.0
2604,43.46,2,21.1
2610,43.56,1,19.3
2622,43.76,1,19.2
2640,44.06,1,21.3
2652,44.26,2,20.2
2658,44.36,2,19.3
2664,44.46,3,22.0
2670,44.56,4,21.8
2676,44.66,1,21.7
2682,44.76,3,21.6
2688,44.86,1,20.1
2712,45.26,1,20.6
2730,45.56,1,20.9
2742,45.76,1,19.2
2766,46.16,1,19.9
2784,46.46,1,20.9
2838,47.36,3,29.7
2844,47.46,3,29.1
2850,47.56,2,31.4
2856,47.66,2,31.3
2862,47.76,4,31.0
2868,47.86,5,31.7
2874,47.96,4,30.9
2880,48.06,5,27.6
2886,48.16,5,27.4
2892,48.26,3,25.8
2898,48.36,2,23.2
2904,48.46,3,23.8
2910,48.56,3,25.6
2916,48.67,3,21.7
2922,48.77,4,26.5
2928,48.87,5,26.2
2934,48.97,4,26.2
2940,49.07,3,27.2
2946,49.17,2,22.8
2952,49.27,3,25.3
2958,49.37,2,21.5
2970,49.57,1,21.9
2976,49.67,7,23.4
2982,49.77,6,24.1
2988,49.87,12,24.6
2994,49.97,8,25.0
3000,50.07,6,26.1
3006,50.17,9,27.9
3012,50.27,9,27.5
3018,50.37,7,30.9
3024,50.47,5,26.1
3030,50.57,4,27.4
3036,50.67,6,23.7
3042,50.77,2,26.6
3048,50.87,9,24.8
3054,50.97,11,23.1
