video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
HogThief_SHW_01.18.2026_LS.mp4,0,204,378,3.4,6.3,2.9,21,204,24.1,4,258,640,512
HogThief_SHW_01.18.2026_LS.mp4,1,888,924,14.8,15.4,0.6,2,924,19.6,307,441,435,478
HogThief_SHW_01.18.2026_LS.mp4,2,1446,1542,24.1,25.71,1.6,3,1542,19.5,91,0,608,83
HogThief_SHW_01.18.2026_LS.mp4,3,1662,1878,27.71,31.31,3.6,19,1788,21.0,0,0,622,476
HogThief_SHW_01.18.2026_LS.mp4,4,1980,2064,33.01,34.41,1.4,12,2064,22.8,0,0,554,434
HogThief_SHW_01.18.2026_LS.mp4,5,2232,3498,37.21,58.31,21.1,177,2460,39.5,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,6,4032,4830,67.21,80.52,13.3,114,4326,36.6,0,0,640,342
HogThief_SHW_01.18.2026_LS.mp4,7,4902,6978,81.72,116.32,34.61,331,5250,43.5,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,8,7158,7164,119.32,119.42,0.1,2,7158,20.8,64,8,85,27
HogThief_SHW_01.18.2026_LS.mp4,9,7398,8454,123.33,140.93,17.6,79,8040,30.0,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,10,8514,8760,141.93,146.03,4.1,21,8640,21.1,6,119,640,505
HogThief_SHW_01.18.2026_LS.mp4,11,8886,9156,148.13,152.63,4.5,20,9090,23.3,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,12,9396,9420,156.63,157.03,0.4,2,9396,19.4,228,34,260,422
HogThief_SHW_01.18.2026_LS.mp4,13,9492,9534,158.23,158.93,0.7,3,9534,19.7,600,391,628,512
HogThief_SHW_01.18.2026_LS.mp4,14,9732,10368,162.23,172.84,10.6,72,10260,29.7,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,15,10440,10542,174.04,175.74,1.7,7,10512,20.2,41,403,583,504
HogThief_SHW_01.18.2026_LS.mp4,16,10602,10860,176.74,181.04,4.3,33,10722,23.2,41,255,640,512
HogThief_SHW_01.18.2026_LS.mp4,17,11268,11538,187.84,192.34,4.5,32,11472,26.4,0,0,613,181
HogThief_SHW_01.18.2026_LS.mp4,18,11616,11838,193.64,197.34,3.7,33,11760,29.1,0,0,618,359
HogThief_SHW_01.18.2026_LS.mp4,19,12102,12150,201.74,202.54,0.8,2,12150,20.5,358,413,623,438
HogThief_SHW_01.18.2026_LS.mp4,20,12300,12690,205.04,211.54,6.5,50,12588,26.3,0,50,640,512
HogThief_SHW_01.18.2026_LS.mp4,21,12906,13164,215.14,219.45,4.3,26,13038,23.0,10,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,22,13242,13272,220.75,221.25,0.5,2,13242,21.7,40,9,170,502
HogThief_SHW_01.18.2026_LS.mp4,23,13440,13608,224.05,226.85,2.8,16,13596,26.1,0,0,537,501
HogThief_SHW_01.18.2026_LS.mp4,24,13680,14100,228.05,235.05,7.0,44,14004,26.5,0,0,640,189
HogThief_SHW_01.18.2026_LS.mp4,25,14760,14898,246.05,248.35,2.3,7,14802,23.8,0,0,622,458
HogThief_SHW_01.18.2026_LS.mp4,26,15108,15360,251.85,256.05,4.2,19,15312,26.2,0,111,640,481
HogThief_SHW_01.18.2026_LS.mp4,27,15666,16044,261.15,267.45,6.3,38,16020,28.6,0,0,640,505
HogThief_SHW_01.18.2026_LS.mp4,28,16104,16146,268.46,269.16,0.7,4,16146,20.4,0,2,639,485
HogThief_SHW_01.18.2026_LS.mp4,29,16206,16626,270.16,277.16,7.0,64,16404,23.7,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,30,16722,16746,278.76,279.16,0.4,4,16728,23.0,98,8,640,508
HogThief_SHW_01.18.2026_LS.mp4,31,17424,17496,290.46,291.66,1.2,6,17472,20.1,51,77,640,485
HogThief_SHW_01.18.2026_LS.mp4,32,17688,17892,294.86,298.26,3.4,19,17694,22.7,0,0,640,240
HogThief_SHW_01.18.2026_LS.mp4,33,17988,18012,299.86,300.26,0.4,4,18006,20.6,7,0,632,500
HogThief_SHW_01.18.2026_LS.mp4,34,18078,18144,301.36,302.46,1.1,8,18144,21.0,28,0,640,477
HogThief_SHW_01.18.2026_LS.mp4,35,18234,18288,303.96,304.86,0.9,4,18270,22.0,64,117,640,455
HogThief_SHW_01.18.2026_LS.mp4,36,18492,18546,308.26,309.16,0.9,2,18546,20.4,33,491,625,512
HogThief_SHW_01.18.2026_LS.mp4,37,18714,18780,311.96,313.06,1.1,4,18732,20.9,0,305,640,512
HogThief_SHW_01.18.2026_LS.mp4,38,18840,18930,314.06,315.56,1.5,4,18918,21.4,3,462,640,503
HogThief_SHW_01.18.2026_LS.mp4,39,19008,19044,316.87,317.47,0.6,4,19044,21.0,42,322,534,477
HogThief_SHW_01.18.2026_LS.mp4,40,19710,19734,328.57,328.97,0.4,4,19734,32.3,89,181,540,363
HogThief_SHW_01.18.2026_LS.mp4,41,20292,20298,338.27,338.37,0.1,2,20292,19.8,497,41,629,78
HogThief_SHW_01.18.2026_LS.mp4,42,20364,21504,339.47,358.47,19.0,130,20850,29.6,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,43,21618,21708,360.37,361.87,1.5,4,21630,23.7,16,13,617,477
HogThief_SHW_01.18.2026_LS.mp4,44,21828,21882,363.87,364.77,0.9,5,21828,21.7,37,36,588,424
HogThief_SHW_01.18.2026_LS.mp4,45,22116,22560,368.68,376.08,7.4,59,22452,32.4,0,25,640,512
HogThief_SHW_01.18.2026_LS.mp4,46,22722,24114,378.78,401.98,23.2,161,22740,28.6,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,47,24192,24372,403.28,406.28,3.0,25,24228,25.4,0,0,630,461
HogThief_SHW_01.18.2026_LS.mp4,48,24468,24540,407.88,409.08,1.2,4,24522,23.4,19,24,458,501
HogThief_SHW_01.18.2026_LS.mp4,49,24618,24666,410.38,411.18,0.8,3,24630,24.7,97,48,496,369
HogThief_SHW_01.18.2026_LS.mp4,50,24744,24768,412.48,412.88,0.4,2,24744,19.1,541,449,628,471
HogThief_SHW_01.18.2026_LS.mp4,51,24846,24984,414.19,416.49,2.3,5,24882,21.3,237,19,619,504
HogThief_SHW_01.18.2026_LS.mp4,52,25386,25428,423.19,423.89,0.7,2,25428,19.2,12,322,118,457
HogThief_SHW_01.18.2026_LS.mp4,53,25590,25620,426.59,427.09,0.5,4,25596,21.1,249,59,515,206
HogThief_SHW_01.18.2026_LS.mp4,54,25806,26046,430.19,434.19,4.0,17,26046,23.7,18,0,601,505
HogThief_SHW_01.18.2026_LS.mp4,55,26142,26544,435.79,442.49,6.7,58,26262,25.0,0,0,640,512
HogThief_SHW_01.18.2026_LS.mp4,56,26622,27612,443.79,460.29,16.5,125,27468,30.9,0,0,640,512
