frame,time_s,n_blobs,peak_score
204,3.4,2,24.1
210,3.5,3,20.3
216,3.6,2,20.3
222,3.7,2,20.0
228,3.8,1,20.3
234,3.9,3,20.3
240,4.0,7,22.5
246,4.1,4,22.4
252,4.2,6,21.3
258,4.3,7,21.4
264,4.4,6,22.0
270,4.5,1,19.8
276,4.6,4,20.9
282,4.7,1,19.7
306,5.1,1,20.8
312,5.2,1,19.2
318,5.3,2,20.7
330,5.5,1,20.6
360,6.0,1,20.0
372,6.2,1,19.8
378,6.3,1,19.7
792,13.2,1,20.0
888,14.8,1,18.7
924,15.4,1,19.6
1446,24.1,1,18.5
1494,24.91,1,19.4
1542,25.71,1,19.5
1662,27.71,1,20.8
1668,27.81,1,20.1
1674,27.91,3,20.7
1680,28.01,4,20.1
1686,28.11,4,19.9
1692,28.21,1,20.4
1704,28.41,1,20.4
1716,28.61,1,19.9
1734,28.91,2,20.2
1740,29.01,2,19.7
1752,29.21,1,19.8
1758,29.31,1,19.4
1764,29.41,3,19.3
1782,29.71,2,20.7
1788,29.81,1,21.0
1818,30.31,1,20.8
1824,30.41,1,18.4
1842,30.71,1,19.9
1878,31.31,1,20.2
1980,33.01,1,18.4
1992,33.21,1,19.1
1998,33.31,1,19.5
2004,33.41,2,19.9
2010,33.51,2,19.7
2022,33.71,1,19.7
2034,33.91,3,20.5
2040,34.01,2,20.8
2046,34.11,3,20.2
2052,34.21,2,21.0
2058,34.31,3,22.6
2064,34.41,3,22.8
2232,37.21,1,26.1
2286,38.11,2,24.8
2304,38.41,1,20.0
2322,38.71,3,21.6
2328,38.81,3,20.3
2334,38.91,4,21.1
2340,39.01,6,22.6
2346,39.11,9,25.9
2352,39.21,11,24.1
2358,39.31,24,24.3
2364,39.41,25,26.7
2370,39.51,17,31.7
2376,39.61,12,30.9
2382,39.71,16,24.4
2388,39.81,10,21.8
2394,39.91,22,24.1
2400,40.01,14,25.1
2406,40.11,20,27.6
2412,40.21,21,28.1
2418,40.31,16,22.2
2424,40.41,18,24.9
2430,40.51,12,24.5
2436,40.61,19,25.2
2442,40.71,22,27.0
2448,40.81,18,28.1
2454,40.91,11,27.9
2460,41.01,15,39.5
2466,41.11,14,26.3
2472,41.21,10,32.4
2478,41.31,10,27.4
2484,41.41,9,27.9
2490,41.51,12,24.3
2496,41.61,13,23.9
2502,41.71,7,26.3
2508,41.81,6,24.7
2514,41.91,3,23.9
2520,42.01,2,22.0
2526,42.11,1,28.5
2532,42.21,1,20.6
2544,42.41,1,20.4
2550,42.51,1,19.2
2568,42.81,3,21.1
2574,42.91,3,24.1
2604,43.41,1,18.3
2610,43.51,2,22.2
2616,43.61,5,21.9
2622,43.71,11,27.8
2628,43.81,7,27.9
2634,43.91,9,35.4
2640,44.01,14,28.7
2646,44.11,18,30.0
2652,44.21,15,28.8
2658,44.31,13,24.6
2664,44.41,11,27.0
2670,44.51,11,25.6
2676,44.61,14,27.9
2682,44.71,8,27.0
2688,44.81,8,25.1
2694,44.91,7,29.7
2700,45.01,10,33.6
2706,45.11,11,29.1
2712,45.21,7,24.5
2718,45.31,11,28.7
2724,45.41,6,22.9
2730,45.51,3,24.1
2736,45.61,2,26.7
2742,45.71,3,26.2
2748,45.81,1,19.3
2754,45.91,2,20.2
2760,46.01,1,19.4
2766,46.11,3,20.1
2772,46.21,2,28.2
2778,46.31,2,20.9
2784,46.41,3,20.4
2790,46.51,1,20.6
2796,46.61,1,20.4
2802,46.71,2,20.9
2808,46.81,2,20.7
2814,46.91,5,24.2
2820,47.01,6,23.9
2826,47.11,5,22.0
2832,47.21,7,27.9
2838,47.31,7,29.1
2844,47.41,7,24.0
2850,47.51,3,21.7
2856,47.61,6,20.7
2862,47.71,5,24.1
2868,47.81,3,22.6
2874,47.91,5,20.9
2880,48.01,4,20.7
2886,48.11,2,20.0
2892,48.21,1,19.8
2898,48.31,2,25.8
2904,48.41,3,22.8
2910,48.51,12,24.6
2916,48.61,5,25.8
2922,48.71,5,23.0
2928,48.81,7,21.1
2934,48.91,7,22.9
2940,49.01,15,24.9
2946,49.11,12,28.8
2952,49.21,10,27.2
2958,49.31,5,23.8
2964,49.41,5,24.3
2970,49.51,3,24.9
2976,49.61,3,21.7
2982,49.71,1,25.7
3036,50.61,1,21.0
3066,51.11,3,23.3
3072,51.21,2,22.0
3078,51.31,2,24.2
3084,51.41,4,28.7
3090,51.51,4,26.6
3096,51.61,3,22.0
3102,51.71,8,23.9
3108,51.81,5,21.9
3114,51.91,5,22.5
3120,52.01,5,22.6
3126,52.11,9,24.9
3132,52.21,7,25.5
3138,52.31,9,30.9
3144,52.41,9,29.0
3150,52.51,10,27.9
3156,52.61,9,26.5
3162,52.71,8,26.3
3168,52.81,11,27.8
3174,52.91,12,28.1
3180,53.01,11,26.6
3186,53.11,13,24.4
3192,53.21,13,25.1
3198,53.31,15,26.0
3204,53.41,13,26.5
3210,53.51,13,26.0
3216,53.61,11,26.0
3222,53.71,10,27.8
3228,53.81,12,27.2
3234,53.91,14,26.8
3240,54.01,14,28.1
3246,54.11,13,27.5
3252,54.21,13,28.5
3258,54.31,9,29.0
3264,54.41,11,25.0
3270,54.51,10,25.4
3276,54.61,9,24.6
3282,54.71,10,25.2
3288,54.81,12,28.6
3294,54.91,8,27.1
3300,55.01,8,33.8
3306,55.11,9,33.8
3312,55.21,9,33.3
3318,55.31,8,28.4
3324,55.41,7,26.2
3330,55.51,6,23.8
3336,55.61,6,23.5
3342,55.71,9,24.5
3348,55.81,9,25.1
3354,55.91,12,23.7
3360,56.01,7,25.1
3366,56.11,9,23.7
3372,56.21,10,24.4
3378,56.31,7,22.2
3384,56.41,12,23.3
3390,56.51,9,23.0
3396,56.61,6,23.8
3402,56.71,7,23.9
3408,56.81,5,24.1
3414,56.91,5,23.5
3420,57.01,5,22.8
3426,57.11,4,23.4
3444,57.41,1,19.7
3456,57.61,1,19.5
3468,57.81,5,19.8
3474,57.91,1,19.6
3480,58.01,2,19.3
3486,58.11,2,19.6
3492,58.21,2,20.0
3498,58.31,1,19.2
3594,59.91,1,19.4
3690,61.51,1,21.5
3972,66.21,1,20.7
4032,67.21,1,19.5
4044,67.41,1,19.9
4056,67.61,1,18.9
4074,67.91,1,18.5
4086,68.11,3,23.8
4092,68.21,2,19.7
4098,68.31,4,24.5
4104,68.41,4,23.8
4110,68.51,3,21.9
4116,68.61,2,21.8
4122,68.71,2,23.5
4128,68.81,2,22.4
4134,68.91,3,21.5
4140,69.01,2,22.4
4146,69.11,3,25.7
4152,69.21,3,23.7
4158,69.31,2,24.9
4164,69.41,3,25.7
4170,69.51,2,25.0
4176,69.61,2,25.1
4182,69.71,3,26.0
4188,69.81,2,23.9
4194,69.91,2,23.2
4200,70.01,3,25.3
4206,70.11,2,23.9
4212,70.21,3,22.0
4218,70.31,4,24.6
4224,70.41,5,24.5
4230,70.51,5,25.3
4236,70.61,5,26.5
4242,70.71,5,25.3
4248,70.81,8,24.3
4254,70.91,8,22.7
4260,71.01,7,25.8
4266,71.11,7,23.4
4272,71.21,8,25.3
4278,71.31,8,28.1
4284,71.41,9,24.8
4290,71.51,9,24.0
4296,71.61,5,24.8
4302,71.71,8,21.9
4308,71.81,10,21.7
4314,71.91,9,22.5
4320,72.01,13,30.5
4326,72.11,12,36.6
4332,72.21,7,31.9
4338,72.31,9,29.7
4344,72.41,8,27.8
4350,72.51,14,31.8
4356,72.61,14,28.8
4362,72.71,15,31.9
4368,72.81,12,31.2
4374,72.91,14,29.7
4380,73.01,13,29.5
4386,73.12,26,30.2
4392,73.22,16,30.1
4398,73.32,18,34.4
4404,73.42,9,34.1
4410,73.52,13,34.1
4416,73.62,9,28.8
4422,73.72,9,29.1
4428,73.82,6,26.1
4434,73.92,1,19.3
4440,74.02,1,21.3
4446,74.12,1,24.4
4470,74.52,1,20.0
4518,75.32,4,21.3
4524,75.42,4,27.3
4530,75.52,4,24.0
4536,75.62,5,20.8
4542,75.72,5,22.0
4548,75.82,3,23.3
4554,75.92,6,24.3
4560,76.02,7,26.1
4566,76.12,5,27.6
4572,76.22,8,27.7
4578,76.32,9,25.7
4584,76.42,4,28.3
4590,76.52,2,27.5
4596,76.62,3,23.7
4602,76.72,3,22.8
4608,76.82,7,26.1
4614,76.92,3,20.6
4620,77.02,3,24.0
4626,77.12,4,25.7
4632,77.22,3,24.2
