video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
LowerRichland_SHW_01.18.2026_LS.mp4,0,6,2346,0.1,39.12,39.02,302,180,30.4,0,0,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,1,2448,3204,40.82,53.43,12.61,97,2742,28.0,0,0,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,2,3282,3624,54.73,60.43,5.7,27,3522,21.6,11,0,640,504
LowerRichland_SHW_01.18.2026_LS.mp4,3,3726,3840,62.13,64.03,1.9,8,3810,21.1,2,75,640,503
LowerRichland_SHW_01.18.2026_LS.mp4,4,3930,3942,65.53,65.73,0.2,2,3942,19.6,513,126,618,485
LowerRichland_SHW_01.18.2026_LS.mp4,5,4092,4194,68.23,69.93,1.7,7,4158,21.0,6,93,600,482
LowerRichland_SHW_01.18.2026_LS.mp4,6,4260,4542,71.04,75.74,4.7,15,4314,21.7,24,0,634,425
LowerRichland_SHW_01.18.2026_LS.mp4,7,4608,5004,76.84,83.44,6.6,33,4956,26.4,23,0,640,347
LowerRichland_SHW_01.18.2026_LS.mp4,8,5076,5490,84.64,91.55,6.9,27,5484,35.1,8,18,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,9,5556,5898,92.65,98.35,5.7,30,5748,35.0,0,3,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,10,6294,6306,104.95,105.15,0.2,2,6294,19.7,290,86,544,479
LowerRichland_SHW_01.18.2026_LS.mp4,11,6384,6426,106.45,107.15,0.7,3,6384,21.1,163,99,607,470
LowerRichland_SHW_01.18.2026_LS.mp4,12,6504,6648,108.45,110.86,2.4,13,6540,25.2,0,0,640,458
LowerRichland_SHW_01.18.2026_LS.mp4,13,6780,6792,113.06,113.26,0.2,3,6780,21.4,43,0,118,25
LowerRichland_SHW_01.18.2026_LS.mp4,14,7332,7458,122.26,124.36,2.1,12,7386,22.3,20,102,635,499
LowerRichland_SHW_01.18.2026_LS.mp4,15,7572,7584,126.26,126.46,0.2,2,7584,19.4,523,64,564,116
LowerRichland_SHW_01.18.2026_LS.mp4,16,7698,7704,128.36,128.46,0.1,2,7704,20.6,228,0,241,26
LowerRichland_SHW_01.18.2026_LS.mp4,17,8112,8166,135.27,136.17,0.9,2,8112,20.5,73,49,609,75
LowerRichland_SHW_01.18.2026_LS.mp4,18,8550,8688,142.57,144.87,2.3,9,8610,21.1,12,47,611,359
LowerRichland_SHW_01.18.2026_LS.mp4,19,8790,9876,146.57,164.68,18.11,106,9696,22.8,0,0,640,496
LowerRichland_SHW_01.18.2026_LS.mp4,20,9984,10110,166.48,168.58,2.1,8,9996,20.5,26,113,640,387
LowerRichland_SHW_01.18.2026_LS.mp4,21,10236,10470,170.69,174.59,3.9,25,10308,22.6,0,0,640,487
LowerRichland_SHW_01.18.2026_LS.mp4,22,10578,11316,176.39,188.69,12.31,56,10782,27.5,0,0,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,23,11994,12162,200.0,202.8,2.8,8,12144,21.0,5,198,633,506
LowerRichland_SHW_01.18.2026_LS.mp4,24,12240,13782,204.1,229.81,25.71,234,13692,28.0,0,0,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,25,13992,14136,233.32,235.72,2.4,17,14112,21.5,0,239,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,26,14226,14286,237.22,238.22,1.0,4,14286,21.6,106,373,640,490
LowerRichland_SHW_01.18.2026_LS.mp4,27,14370,14376,239.62,239.72,0.1,2,14370,20.3,153,167,624,488
LowerRichland_SHW_01.18.2026_LS.mp4,28,14442,14772,240.82,246.32,5.5,28,14670,23.4,6,219,632,507
LowerRichland_SHW_01.18.2026_LS.mp4,29,14862,14868,247.82,247.92,0.1,2,14868,20.7,458,476,640,489
LowerRichland_SHW_01.18.2026_LS.mp4,30,14982,15066,249.82,251.23,1.4,6,15018,20.4,81,205,630,495
LowerRichland_SHW_01.18.2026_LS.mp4,31,15150,15192,252.63,253.33,0.7,2,15150,20.8,500,428,565,487
LowerRichland_SHW_01.18.2026_LS.mp4,32,15438,15570,257.43,259.63,2.2,10,15558,21.9,0,133,622,512
LowerRichland_SHW_01.18.2026_LS.mp4,33,16344,16458,272.54,274.44,1.9,7,16404,21.5,21,137,629,467
LowerRichland_SHW_01.18.2026_LS.mp4,34,16596,16668,276.74,277.94,1.2,3,16596,19.9,97,65,540,442
LowerRichland_SHW_01.18.2026_LS.mp4,35,16896,16992,281.74,283.34,1.6,7,16938,21.2,15,143,608,450
LowerRichland_SHW_01.18.2026_LS.mp4,36,17064,17094,284.54,285.04,0.5,4,17088,20.7,5,268,623,476
LowerRichland_SHW_01.18.2026_LS.mp4,37,17172,17676,286.34,294.75,8.4,41,17436,23.0,0,106,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,38,17976,18018,299.75,300.45,0.7,7,18006,22.2,35,200,603,392
LowerRichland_SHW_01.18.2026_LS.mp4,39,18096,18150,301.75,302.65,0.9,5,18132,20.4,137,367,576,506
LowerRichland_SHW_01.18.2026_LS.mp4,40,18324,18456,305.55,307.75,2.2,6,18426,20.5,84,69,640,421
LowerRichland_SHW_01.18.2026_LS.mp4,41,18528,18612,308.95,310.35,1.4,5,18612,20.6,274,91,640,390
LowerRichland_SHW_01.18.2026_LS.mp4,42,18696,18732,311.76,312.36,0.6,6,18720,21.5,0,66,565,508
LowerRichland_SHW_01.18.2026_LS.mp4,43,18810,18900,313.66,315.16,1.5,8,18840,20.2,25,124,598,455
LowerRichland_SHW_01.18.2026_LS.mp4,44,18996,19068,316.76,317.96,1.2,3,19068,20.2,34,189,560,487
LowerRichland_SHW_01.18.2026_LS.mp4,45,19248,19434,320.96,324.06,3.1,10,19434,20.9,12,151,615,472
LowerRichland_SHW_01.18.2026_LS.mp4,46,19614,19692,327.06,328.36,1.3,6,19662,21.3,7,326,259,405
LowerRichland_SHW_01.18.2026_LS.mp4,47,19890,19914,331.67,332.07,0.4,4,19890,21.5,509,339,640,498
LowerRichland_SHW_01.18.2026_LS.mp4,48,19974,19980,333.07,333.17,0.1,2,19980,21.4,537,472,622,512
LowerRichland_SHW_01.18.2026_LS.mp4,49,20238,20364,337.47,339.57,2.1,12,20358,23.9,55,169,635,510
LowerRichland_SHW_01.18.2026_LS.mp4,50,20430,20448,340.67,340.97,0.3,2,20430,20.4,417,30,542,110
LowerRichland_SHW_01.18.2026_LS.mp4,51,20532,20580,342.37,343.17,0.8,5,20538,21.1,13,0,640,354
LowerRichland_SHW_01.18.2026_LS.mp4,52,20802,20826,346.87,347.27,0.4,5,20808,20.9,41,89,539,432
LowerRichland_SHW_01.18.2026_LS.mp4,53,20886,20916,348.27,348.77,0.5,6,20910,20.8,411,56,619,133
LowerRichland_SHW_01.18.2026_LS.mp4,54,21354,21378,356.08,356.48,0.4,2,21354,26.7,5,9,580,135
LowerRichland_SHW_01.18.2026_LS.mp4,55,21438,21594,357.48,360.08,2.6,17,21456,35.2,3,64,630,241
LowerRichland_SHW_01.18.2026_LS.mp4,56,21756,21840,362.78,364.18,1.4,5,21840,21.3,27,112,632,450
LowerRichland_SHW_01.18.2026_LS.mp4,57,21918,21972,365.48,366.38,0.9,2,21918,19.7,44,191,635,495
LowerRichland_SHW_01.18.2026_LS.mp4,58,22038,22068,367.48,367.98,0.5,2,22038,19.4,62,207,556,444
LowerRichland_SHW_01.18.2026_LS.mp4,59,22176,22668,369.78,377.99,8.2,36,22266,23.7,0,96,640,506
LowerRichland_SHW_01.18.2026_LS.mp4,60,22728,22812,378.99,380.39,1.4,7,22728,24.1,254,82,636,502
LowerRichland_SHW_01.18.2026_LS.mp4,61,22884,23010,381.59,383.69,2.1,5,22974,20.4,20,103,627,485
LowerRichland_SHW_01.18.2026_LS.mp4,62,23160,23274,386.19,388.09,1.9,4,23232,21.8,572,97,626,466
LowerRichland_SHW_01.18.2026_LS.mp4,63,23364,23574,389.59,393.1,3.5,14,23394,40.0,2,0,634,512
LowerRichland_SHW_01.18.2026_LS.mp4,64,23688,23718,395.0,395.5,0.5,4,23688,24.4,485,201,640,456
LowerRichland_SHW_01.18.2026_LS.mp4,65,23796,23802,396.8,396.9,0.1,2,23796,20.7,537,27,590,34
LowerRichland_SHW_01.18.2026_LS.mp4,66,24030,24042,400.7,400.9,0.2,2,24030,19.7,628,153,640,222
LowerRichland_SHW_01.18.2026_LS.mp4,67,24336,24990,405.8,416.71,10.91,92,24444,24.7,0,0,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,68,25098,25182,418.51,419.91,1.4,6,25134,21.3,92,0,479,133
LowerRichland_SHW_01.18.2026_LS.mp4,69,25242,25350,420.91,422.71,1.8,6,25290,20.7,95,0,627,490
LowerRichland_SHW_01.18.2026_LS.mp4,70,25464,25500,424.61,425.21,0.6,2,25500,20.1,612,245,640,489
LowerRichland_SHW_01.18.2026_LS.mp4,71,25764,25932,429.61,432.42,2.8,22,25866,37.4,0,35,630,268
LowerRichland_SHW_01.18.2026_LS.mp4,72,26148,26166,436.02,436.32,0.3,3,26166,24.4,105,11,634,125
LowerRichland_SHW_01.18.2026_LS.mp4,73,26232,26262,437.42,437.92,0.5,2,26262,25.7,105,7,383,494
LowerRichland_SHW_01.18.2026_LS.mp4,74,26478,26664,441.52,444.62,3.1,7,26478,23.5,66,23,616,503
LowerRichland_SHW_01.18.2026_LS.mp4,75,27720,27792,462.23,463.43,1.2,8,27750,31.3,262,62,430,88
LowerRichland_SHW_01.18.2026_LS.mp4,76,28842,28884,480.94,481.64,0.7,4,28878,31.2,190,3,559,474
LowerRichland_SHW_01.18.2026_LS.mp4,77,28980,29676,483.24,494.85,11.61,62,29676,37.3,0,0,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,78,29736,29826,495.85,497.35,1.5,4,29802,20.7,115,0,637,493
LowerRichland_SHW_01.18.2026_LS.mp4,79,30144,30162,502.65,502.95,0.3,3,30162,29.7,164,218,291,277
LowerRichland_SHW_01.18.2026_LS.mp4,80,30318,30360,505.55,506.25,0.7,2,30318,20.6,46,327,519,468
LowerRichland_SHW_01.18.2026_LS.mp4,81,30516,30912,508.85,515.46,6.6,38,30720,38.1,1,0,640,436
LowerRichland_SHW_01.18.2026_LS.mp4,82,31008,31860,517.06,531.26,14.21,71,31470,34.8,0,0,640,512
LowerRichland_SHW_01.18.2026_LS.mp4,83,31926,32058,532.37,534.57,2.2,19,32040,21.3,11,76,640,448
LowerRichland_SHW_01.18.2026_LS.mp4,84,32124,33216,535.67,553.88,18.21,102,32544,23.9,4,0,640,488
LowerRichland_SHW_01.18.2026_LS.mp4,85,33456,33744,557.88,562.68,4.8,21,33618,21.8,0,84,640,486
