frame,time_s,n_blobs,peak_score
6,0.1,2,23.6
12,0.2,3,21.1
18,0.3,2,20.4
24,0.4,4,22.1
30,0.5,2,21.9
36,0.6,3,22.1
42,0.7,1,19.6
48,0.8,2,21.3
54,0.9,2,19.9
60,1.0,1,19.3
72,1.2,1,19.3
78,1.3,3,19.4
84,1.4,4,22.0
90,1.5,4,22.5
96,1.6,5,20.1
102,1.7,11,26.3
108,1.8,10,25.3
114,1.9,6,23.7
120,2.0,8,24.1
126,2.1,21,25.3
132,2.2,16,24.2
138,2.3,12,23.9
144,2.4,10,24.3
150,2.5,4,24.8
156,2.6,6,22.9
162,2.7,7,26.5
168,2.8,4,20.2
174,2.9,4,22.8
180,3.0,7,30.4
186,3.1,8,21.7
192,3.2,3,21.6
198,3.3,5,21.2
204,3.4,9,24.0
210,3.5,4,25.5
216,3.6,3,22.8
222,3.7,1,21.1
228,3.8,5,22.6
234,3.9,6,22.2
240,4.0,1,20.5
246,4.1,4,21.9
252,4.2,4,20.1
258,4.3,6,20.2
264,4.4,6,21.3
270,4.5,3,22.8
276,4.6,5,22.7
282,4.7,4,22.9
288,4.8,7,23.6
294,4.9,6,22.4
300,5.0,7,21.1
306,5.1,7,24.0
312,5.2,5,22.5
318,5.3,6,28.0
324,5.4,9,29.9
330,5.5,9,26.0
336,5.6,8,26.7
342,5.7,8,27.2
348,5.8,7,25.0
354,5.9,7,22.1
360,6.0,8,23.1
366,6.1,4,22.3
372,6.2,5,21.9
378,6.3,2,22.3
384,6.4,3,21.7
390,6.5,3,22.6
396,6.6,3,22.2
402,6.7,3,23.5
408,6.8,2,23.4
414,6.9,2,23.6
420,7.0,4,23.3
426,7.1,4,22.3
432,7.2,6,21.5
438,7.3,9,23.6
444,7.4,9,22.6
450,7.5,8,22.8
456,7.6,4,22.2
462,7.7,7,23.6
468,7.8,6,22.1
474,7.9,2,23.3
480,8.0,5,23.7
486,8.1,3,24.4
492,8.2,3,25.2
498,8.3,11,23.1
504,8.4,4,21.0
510,8.5,7,21.3
516,8.6,3,20.5
522,8.7,4,19.7
528,8.8,8,20.9
534,8.9,8,20.1
540,9.0,6,22.5
546,9.1,4,20.7
552,9.2,4,20.3
558,9.3,5,23.6
564,9.4,4,23.6
570,9.5,1,19.1
576,9.6,6,24.3
582,9.7,1,18.9
588,9.8,4,21.8
594,9.9,5,21.1
600,10.0,2,20.6
606,10.11,4,22.1
612,10.21,1,20.9
618,10.31,1,19.5
624,10.41,6,21.2
630,10.51,2,20.8
636,10.61,5,22.3
642,10.71,6,21.1
648,10.81,2,20.9
654,10.91,2,21.7
660,11.01,1,20.9
666,11.11,2,21.1
672,11.21,1,19.7
678,11.31,4,23.5
684,11.41,2,20.8
690,11.51,5,20.8
696,11.61,2,21.4
702,11.71,4,21.4
708,11.81,5,24.8
714,11.91,6,24.0
720,12.01,9,21.0
726,12.11,5,21.5
732,12.21,3,20.3
738,12.31,4,20.0
744,12.41,3,21.0
750,12.51,2,22.2
756,12.61,6,20.5
762,12.71,3,22.1
768,12.81,4,22.1
774,12.91,3,21.7
780,13.01,1,20.5
786,13.11,1,20.0
792,13.21,3,22.6
798,13.31,5,21.7
804,13.41,3,21.4
810,13.51,4,22.6
816,13.61,8,22.8
822,13.71,4,21.9
828,13.81,6,20.9
834,13.91,5,21.3
840,14.01,3,21.5
846,14.11,4,22.6
852,14.21,5,22.0
858,14.31,6,22.5
864,14.41,1,19.1
870,14.51,7,20.5
876,14.61,2,20.5
882,14.71,3,20.6
