video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
Melvin_SHW_01.18.2026_LS.mp4,0,0,4608,0.0,76.8,76.8,690,1080,36.2,0,0,640,512
Melvin_SHW_01.18.2026_LS.mp4,1,4806,4860,80.1,81.0,0.9,5,4806,20.2,21,281,552,456
Melvin_SHW_01.18.2026_LS.mp4,2,4980,5028,83.0,83.8,0.8,2,4980,19.5,184,233,512,359
Melvin_SHW_01.18.2026_LS.mp4,3,5364,5496,89.4,91.6,2.2,15,5400,35.5,157,31,623,471
Melvin_SHW_01.18.2026_LS.mp4,4,5688,5712,94.8,95.2,0.4,2,5688,20.0,376,300,463,370
Melvin_SHW_01.18.2026_LS.mp4,5,5904,5946,98.4,99.1,0.7,4,5910,19.8,29,200,618,512
Melvin_SHW_01.18.2026_LS.mp4,6,6012,6606,100.2,110.1,9.9,60,6072,31.9,36,0,638,512
Melvin_SHW_01.18.2026_LS.mp4,7,6684,6792,111.4,113.2,1.8,9,6756,21.3,3,0,364,496
Melvin_SHW_01.18.2026_LS.mp4,8,6882,7200,114.7,120.0,5.3,17,7032,33.9,0,46,634,509
Melvin_SHW_01.18.2026_LS.mp4,9,7428,7602,123.8,126.7,2.9,25,7470,25.8,70,359,620,512
Melvin_SHW_01.18.2026_LS.mp4,10,7710,8034,128.5,133.9,5.4,44,7932,32.5,0,0,640,512
Melvin_SHW_01.18.2026_LS.mp4,11,8244,8262,137.4,137.7,0.3,3,8244,19.8,419,349,423,353
Melvin_SHW_01.18.2026_LS.mp4,12,8526,10062,142.1,167.7,25.6,224,9330,32.6,0,0,640,512
Melvin_SHW_01.18.2026_LS.mp4,13,10146,10230,169.1,170.5,1.4,4,10158,26.2,492,175,603,495
Melvin_SHW_01.18.2026_LS.mp4,14,10296,10470,171.6,174.5,2.9,17,10470,32.8,0,200,609,501
Melvin_SHW_01.18.2026_LS.mp4,15,10602,11100,176.7,185.0,8.3,40,10674,24.7,0,0,640,512
Melvin_SHW_01.18.2026_LS.mp4,16,11220,11310,187.0,188.5,1.5,7,11310,21.6,20,344,636,500
Melvin_SHW_01.18.2026_LS.mp4,17,12078,12444,201.3,207.4,6.1,43,12312,24.6,0,93,640,510
Melvin_SHW_01.18.2026_LS.mp4,18,12546,12564,209.1,209.4,0.3,3,12552,20.7,548,452,640,499
Melvin_SHW_01.18.2026_LS.mp4,19,12630,13164,210.5,219.4,8.9,74,12972,28.0,0,101,640,512
Melvin_SHW_01.18.2026_LS.mp4,20,13254,13584,220.9,226.4,5.5,33,13500,23.1,0,55,640,507
Melvin_SHW_01.18.2026_LS.mp4,21,14130,14202,235.5,236.7,1.2,6,14166,22.7,19,180,599,506
Melvin_SHW_01.18.2026_LS.mp4,22,14310,14352,238.5,239.2,0.7,3,14322,21.0,13,138,627,362
Melvin_SHW_01.18.2026_LS.mp4,23,14424,14712,240.4,245.2,4.8,22,14514,23.9,0,0,640,512
Melvin_SHW_01.18.2026_LS.mp4,24,14778,14976,246.3,249.6,3.3,24,14862,22.0,0,231,640,512
