frame,time_s,n_blobs,peak_score
0,0.0,3,26.1
6,0.1,2,21.9
12,0.2,2,22.3
18,0.3,4,26.5
24,0.4,1,24.4
30,0.5,5,23.9
36,0.6,1,22.3
42,0.7,3,22.5
48,0.8,4,22.0
54,0.9,3,24.9
60,1.0,4,24.1
66,1.1,5,26.2
72,1.2,5,26.4
78,1.3,5,23.2
84,1.4,4,24.2
90,1.5,8,22.9
96,1.6,11,22.6
102,1.7,10,25.9
108,1.8,13,25.5
114,1.9,8,27.7
120,2.0,13,29.6
126,2.1,12,27.8
132,2.2,16,24.3
138,2.3,12,26.8
144,2.4,13,27.7
150,2.5,16,31.5
156,2.6,16,24.8
162,2.7,9,23.9
168,2.8,20,24.6
174,2.9,26,25.2
180,3.0,20,27.8
186,3.1,23,25.2
192,3.2,21,25.9
198,3.3,27,28.9
204,3.4,29,29.2
210,3.5,18,24.7
216,3.6,22,24.9
222,3.7,34,27.1
228,3.8,42,27.7
234,3.9,27,24.5
240,4.0,32,24.3
246,4.1,40,26.5
252,4.2,47,24.3
258,4.3,35,24.8
264,4.4,43,25.8
270,4.5,40,27.7
276,4.6,56,27.3
282,4.7,50,25.3
288,4.8,51,26.4
294,4.9,50,28.1
300,5.0,40,27.5
306,5.1,39,25.2
312,5.2,37,24.1
318,5.3,37,23.7
324,5.4,24,24.0
330,5.5,21,24.5
336,5.6,23,24.8
342,5.7,17,24.3
348,5.8,15,23.9
354,5.9,15,22.1
360,6.0,17,25.0
366,6.1,9,22.2
372,6.2,3,23.4
378,6.3,4,22.7
384,6.4,2,19.8
390,6.5,3,19.8
396,6.6,3,21.6
402,6.7,5,22.8
408,6.8,6,22.0
414,6.9,5,22.8
420,7.0,5,20.5
426,7.1,6,22.3
432,7.2,4,23.8
438,7.3,2,19.6
444,7.4,4,21.6
450,7.5,1,19.0
456,7.6,2,21.2
462,7.7,1,18.8
468,7.8,1,19.8
474,7.9,2,19.5
486,8.1,4,20.4
492,8.2,2,21.5
498,8.3,1,18.8
504,8.4,3,21.0
510,8.5,1,20.4
516,8.6,4,20.5
522,8.7,4,20.6
528,8.8,3,23.8
534,8.9,1,20.8
540,9.0,9,21.2
546,9.1,5,22.7
552,9.2,8,20.9
558,9.3,1,20.0
564,9.4,5,20.7
570,9.5,8,20.6
576,9.6,6,21.1
582,9.7,10,23.7
588,9.8,8,23.6
594,9.9,10,21.1
600,10.0,11,22.8
606,10.1,9,22.5
612,10.2,15,23.0
618,10.3,17,24.8
624,10.4,14,23.1
630,10.5,20,22.0
636,10.6,18,23.8
642,10.7,21,22.2
648,10.8,10,22.8
654,10.9,11,24.3
660,11.0,17,22.9
666,11.1,11,22.3
672,11.2,9,21.7
678,11.3,8,22.4
684,11.4,7,22.8
690,11.5,9,21.8
696,11.6,15,22.2
702,11.7,13,21.6
708,11.8,14,21.1
714,11.9,11,23.4
720,12.0,9,21.7
726,12.1,13,23.4
732,12.2,6,20.4
738,12.3,8,21.3
744,12.4,6,21.2
750,12.5,8,22.8
756,12.6,4,21.0
762,12.7,5,23.8
768,12.8,7,21.1
774,12.9,7,21.0
780,13.0,4,21.8
786,13.1,3,22.1
792,13.2,8,23.0
798,13.3,1,20.0
804,13.4,3,20.3
810,13.5,4,21.1
816,13.6,6,24.8
822,13.7,5,24.1
828,13.8,13,21.8
834,13.9,6,21.6
840,14.0,5,22.5
846,14.1,3,21.6
852,14.2,2,21.7
858,14.3,6,22.1
864,14.4,7,22.2
870,14.5,3,21.4
876,14.6,4,20.6
882,14.7,5,21.5
888,14.8,2,23.2
894,14.9,3,20.3
900,15.0,1,19.6
906,15.1,1,19.6
912,15.2,4,21.1
918,15.3,4,20.1
924,15.4,1,19.5
930,15.5,3,20.6
936,15.6,3,23.5
942,15.7,1,20.1
954,15.9,2,19.9
960,16.0,3,21.2
972,16.2,3,20.1
978,16.3,1,20.0
984,16.4,4,20.8
