video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
NBassett_SHW_01.18.2026_LS.mp4,0,234,372,3.9,6.2,2.3,7,360,22.1,34,0,485,465
NBassett_SHW_01.18.2026_LS.mp4,1,1458,1506,24.31,25.11,0.8,2,1506,20.3,0,0,88,502
NBassett_SHW_01.18.2026_LS.mp4,2,1638,1644,27.31,27.41,0.1,2,1644,22.2,100,0,116,5
NBassett_SHW_01.18.2026_LS.mp4,3,1734,1758,28.91,29.31,0.4,4,1758,29.8,0,0,191,22
NBassett_SHW_01.18.2026_LS.mp4,4,1884,2298,31.41,38.32,6.9,62,2058,41.5,0,0,640,506
NBassett_SHW_01.18.2026_LS.mp4,5,2412,2466,40.22,41.12,0.9,7,2466,25.8,0,0,586,512
NBassett_SHW_01.18.2026_LS.mp4,6,2610,2790,43.52,46.52,3.0,10,2712,29.3,133,130,636,215
NBassett_SHW_01.18.2026_LS.mp4,7,3036,3108,50.62,51.82,1.2,5,3066,26.7,0,0,620,416
NBassett_SHW_01.18.2026_LS.mp4,8,3186,3210,53.12,53.52,0.4,3,3204,23.6,12,0,98,33
NBassett_SHW_01.18.2026_LS.mp4,9,3852,4038,64.23,67.33,3.1,10,3930,22.0,128,347,640,512
NBassett_SHW_01.18.2026_LS.mp4,10,4122,4176,68.73,69.63,0.9,4,4122,20.5,362,450,631,512
NBassett_SHW_01.18.2026_LS.mp4,11,4338,4524,72.33,75.43,3.1,9,4470,25.0,33,155,640,512
NBassett_SHW_01.18.2026_LS.mp4,12,4596,4746,76.63,79.13,2.5,20,4656,22.8,0,120,640,500
NBassett_SHW_01.18.2026_LS.mp4,13,4866,4890,81.14,81.54,0.4,2,4866,20.7,54,454,266,478
NBassett_SHW_01.18.2026_LS.mp4,14,4968,5424,82.84,90.44,7.6,41,5304,37.6,0,0,389,70
NBassett_SHW_01.18.2026_LS.mp4,15,5868,6090,97.84,101.54,3.7,14,6054,27.8,0,0,522,490
NBassett_SHW_01.18.2026_LS.mp4,16,6348,6384,105.85,106.45,0.6,4,6384,24.6,0,0,595,140
NBassett_SHW_01.18.2026_LS.mp4,17,7122,7176,118.75,119.65,0.9,4,7152,20.2,273,456,555,499
NBassett_SHW_01.18.2026_LS.mp4,18,7266,7332,121.15,122.25,1.1,8,7332,30.3,59,168,640,512
NBassett_SHW_01.18.2026_LS.mp4,19,7782,8034,129.76,133.96,4.2,40,7854,38.8,0,0,322,72
NBassett_SHW_01.18.2026_LS.mp4,20,8118,8208,135.36,136.86,1.5,9,8190,32.6,0,0,91,42
NBassett_SHW_01.18.2026_LS.mp4,21,8340,8418,139.06,140.36,1.3,5,8412,34.0,0,0,557,429
NBassett_SHW_01.18.2026_LS.mp4,22,8490,8496,141.56,141.66,0.1,2,8490,25.2,0,0,44,3
NBassett_SHW_01.18.2026_LS.mp4,23,8568,10482,142.86,174.78,31.91,261,9180,45.5,0,0,640,512
NBassett_SHW_01.18.2026_LS.mp4,24,10602,10620,176.78,177.08,0.3,3,10620,19.2,379,316,631,476
NBassett_SHW_01.18.2026_LS.mp4,25,10848,10902,180.88,181.78,0.9,5,10890,25.4,84,45,640,478
NBassett_SHW_01.18.2026_LS.mp4,26,11010,11016,183.58,183.68,0.1,2,11010,20.7,441,439,632,503
NBassett_SHW_01.18.2026_LS.mp4,27,11088,11106,184.88,185.18,0.3,2,11088,19.7,545,337,640,464
NBassett_SHW_01.18.2026_LS.mp4,28,11166,11202,186.18,186.78,0.6,4,11178,20.0,49,165,616,504
NBassett_SHW_01.18.2026_LS.mp4,29,11298,11334,188.38,188.98,0.6,4,11298,23.4,3,8,115,117
NBassett_SHW_01.18.2026_LS.mp4,30,11412,11424,190.28,190.48,0.2,2,11412,19.7,445,376,608,426
NBassett_SHW_01.18.2026_LS.mp4,31,11898,11946,198.39,199.19,0.8,6,11910,30.3,0,0,211,270
NBassett_SHW_01.18.2026_LS.mp4,32,12132,12318,202.29,205.39,3.1,32,12234,50.3,0,0,476,109
NBassett_SHW_01.18.2026_LS.mp4,33,12504,12534,208.49,208.99,0.5,6,12504,21.3,1,405,177,499
NBassett_SHW_01.18.2026_LS.mp4,34,12600,12606,210.09,210.19,0.1,2,12606,24.1,315,216,361,237
NBassett_SHW_01.18.2026_LS.mp4,35,13686,13902,228.2,231.8,3.6,16,13848,45.1,0,0,523,495
NBassett_SHW_01.18.2026_LS.mp4,36,14154,14262,236.0,237.8,1.8,8,14262,29.7,0,0,423,410
NBassett_SHW_01.18.2026_LS.mp4,37,14460,16740,241.11,279.12,38.02,364,16050,93.6,0,0,640,512
NBassett_SHW_01.18.2026_LS.mp4,38,17904,18144,298.53,302.53,4.0,23,17934,34.1,0,0,633,499
NBassett_SHW_01.18.2026_LS.mp4,39,18288,18960,304.93,316.14,11.2,104,18534,33.1,0,0,640,512
NBassett_SHW_01.18.2026_LS.mp4,40,19062,19236,317.84,320.74,2.9,17,19074,29.9,0,0,637,67
NBassett_SHW_01.18.2026_LS.mp4,41,19296,19332,321.74,322.34,0.6,5,19314,21.7,17,0,557,128
NBassett_SHW_01.18.2026_LS.mp4,42,19410,19740,323.64,329.14,5.5,40,19584,39.7,0,0,625,490
