frame,time_s,n_blobs,peak_score
234,3.9,1,20.7
264,4.4,1,19.2
318,5.3,1,20.5
324,5.4,1,20.6
330,5.5,1,19.6
360,6.0,1,22.1
372,6.2,1,20.9
966,16.11,1,20.8
1080,18.01,1,20.2
1458,24.31,1,18.9
1506,25.11,1,20.3
1638,27.31,1,21.8
1644,27.41,1,22.2
1734,28.91,2,27.9
1740,29.01,1,19.7
1752,29.21,1,22.8
1758,29.31,1,29.8
1818,30.31,1,20.2
1884,31.41,1,22.3
1896,31.61,2,20.5
1908,31.81,1,20.5
1920,32.01,4,26.0
1932,32.21,3,21.6
1938,32.31,3,24.0
1944,32.41,12,31.9
1950,32.51,15,29.5
1956,32.61,17,25.2
1962,32.71,14,27.5
1968,32.81,3,26.1
1974,32.91,6,22.0
1980,33.01,15,30.4
1986,33.11,20,28.3
1992,33.21,20,33.7
1998,33.31,32,35.1
2004,33.41,29,27.5
2010,33.51,42,35.2
2016,33.61,38,33.2
2022,33.71,40,29.5
2028,33.81,36,36.6
2034,33.91,37,28.7
2040,34.01,38,35.8
2046,34.11,41,33.0
2052,34.22,40,31.0
2058,34.32,55,41.5
2064,34.42,35,34.8
2070,34.52,32,29.5
2076,34.62,29,26.3
2082,34.72,26,33.3
2088,34.82,22,32.2
2094,34.92,17,29.4
2100,35.02,22,32.8
2106,35.12,19,25.9
2112,35.22,10,31.6
2118,35.32,26,28.1
2124,35.42,26,30.0
2130,35.52,20,27.4
2136,35.62,17,31.1
2142,35.72,21,30.3
2148,35.82,28,32.0
2154,35.92,31,29.7
2160,36.02,26,35.0
2166,36.12,33,26.5
2172,36.22,19,30.7
2178,36.32,8,25.4
2184,36.42,5,28.1
2190,36.52,17,38.8
2196,36.62,10,29.1
2202,36.72,13,26.6
2208,36.82,11,29.9
2214,36.92,13,30.2
2220,37.02,11,27.8
2226,37.12,6,29.1
2232,37.22,4,28.6
2238,37.32,2,26.7
2244,37.42,2,26.7
2250,37.52,1,23.6
2256,37.62,3,22.2
2274,37.92,1,18.9
2280,38.02,1,19.0
2298,38.32,1,20.3
2412,40.22,4,21.1
2418,40.32,6,25.6
2424,40.42,2,20.5
2448,40.82,1,20.1
2454,40.92,6,20.2
2460,41.02,1,21.2
2466,41.12,2,25.8
2610,43.52,1,26.7
2628,43.82,1,20.7
2658,44.32,1,23.9
2694,44.92,3,20.3
2700,45.02,1,20.0
2712,45.22,1,29.3
2724,45.42,1,24.9
2778,46.32,1,26.4
2784,46.42,1,28.7
2790,46.52,1,20.2
2874,47.92,1,23.5
3036,50.62,1,24.4
3042,50.72,1,19.7
3066,51.12,4,26.7
3072,51.22,1,20.4
3108,51.82,2,20.9
3186,53.12,2,22.1
3204,53.42,1,23.6
3210,53.52,1,18.7
3594,59.93,1,19.4
3738,62.33,1,19.9
3852,64.23,1,20.2
3900,65.03,1,20.5
3906,65.13,1,19.9
3930,65.53,1,22.0
3936,65.63,4,20.6
3990,66.53,1,19.2
4002,66.73,1,18.5
4008,66.83,1,21.1
4020,67.03,1,19.7
4038,67.33,1,17.8
4122,68.73,2,20.5
4128,68.83,1,19.4
4170,69.53,1,19.7
4176,69.63,1,20.1
4272,71.23,1,20.0
4338,72.33,1,20.5
4374,72.93,1,19.5
4386,73.13,1,19.7
4416,73.63,1,22.3
4470,74.53,2,25.0
4476,74.63,1,22.4
4482,74.73,1,22.1
4512,75.23,1,18.1
4524,75.43,1,22.8
4596,76.63,1,20.1
4602,76.73,2,20.1
4608,76.83,1,19.3
4614,76.93,1,20.0
4620,77.03,2,20.1
4626,77.13,1,20.5
4632,77.23,1,20.5
4638,77.33,1,20.4
4644,77.43,3,21.3
4650,77.53,1,21.4
4656,77.63,1,22.8
4662,77.73,1,20.5
4674,77.93,1,19.7
4680,78.03,1,22.0
4686,78.13,3,20.3
4692,78.23,2,20.2
4704,78.43,1,19.7
4710,78.53,1,22.1
4734,78.93,1,20.1
4746,79.13,2,20.0
4866,81.14,1,20.7
4890,81.54,1,19.7
4968,82.84,1,25.5
4974,82.94,1,19.4
5010,83.54,1,17.9
5064,84.44,2,27.5
5070,84.54,2,25.1
5076,84.64,1,23.4
5082,84.74,1,21.5
5094,84.94,1,20.2
5112,85.24,1,25.5
5136,85.64,3,24.6
5178,86.34,2,26.3
5184,86.44,2,27.5
5190,86.54,2,20.4
5196,86.64,1,22.5
5202,86.74,1,21.3
5208,86.84,3,23.7
5220,87.04,1,20.0
5226,87.14,7,24.7
5238,87.34,4,30.4
5244,87.44,4,29.4
