video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
NIron_SHW_01.18.2026_LS.mp4,0,0,72,0.0,1.2,1.2,7,0,34.0,355,116,415,237
NIron_SHW_01.18.2026_LS.mp4,1,456,588,7.6,9.8,2.2,11,582,27.0,0,132,619,512
NIron_SHW_01.18.2026_LS.mp4,2,768,948,12.81,15.81,3.0,5,948,20.4,113,49,621,492
NIron_SHW_01.18.2026_LS.mp4,3,1218,1278,20.31,21.31,1.0,3,1278,20.7,496,381,617,502
NIron_SHW_01.18.2026_LS.mp4,4,2178,2202,36.32,36.72,0.4,3,2202,20.4,105,189,592,319
NIron_SHW_01.18.2026_LS.mp4,5,2322,2442,38.72,40.72,2.0,21,2346,51.2,0,41,640,435
NIron_SHW_01.18.2026_LS.mp4,6,2664,2676,44.42,44.62,0.2,3,2664,26.1,110,42,464,120
NIron_SHW_01.18.2026_LS.mp4,7,3474,3582,57.93,59.73,1.8,12,3522,33.9,0,0,640,502
NIron_SHW_01.18.2026_LS.mp4,8,3744,3798,62.43,63.33,0.9,8,3786,35.3,95,7,603,507
NIron_SHW_01.18.2026_LS.mp4,9,3918,4032,65.33,67.23,1.9,17,3942,28.2,73,274,640,512
NIron_SHW_01.18.2026_LS.mp4,10,4146,4218,69.13,70.33,1.2,3,4146,20.6,534,434,640,504
NIron_SHW_01.18.2026_LS.mp4,11,4350,4362,72.53,72.73,0.2,2,4362,20.5,437,481,588,496
NIron_SHW_01.18.2026_LS.mp4,12,4764,4866,79.44,81.14,1.7,5,4800,20.6,369,463,600,507
NIron_SHW_01.18.2026_LS.mp4,13,5034,5988,83.94,99.85,15.91,128,5136,43.2,0,0,640,199
NIron_SHW_01.18.2026_LS.mp4,14,6294,6444,104.95,107.45,2.5,17,6372,33.4,3,0,636,247
NIron_SHW_01.18.2026_LS.mp4,15,6738,6816,112.35,113.65,1.3,14,6774,26.6,0,305,637,512
NIron_SHW_01.18.2026_LS.mp4,16,6942,6990,115.75,116.55,0.8,3,6990,20.7,77,345,536,475
NIron_SHW_01.18.2026_LS.mp4,17,7212,7392,120.26,123.26,3.0,26,7386,27.3,198,294,640,512
NIron_SHW_01.18.2026_LS.mp4,18,7452,7494,124.26,124.96,0.7,6,7452,21.1,33,225,623,474
NIron_SHW_01.18.2026_LS.mp4,19,7584,7902,126.46,131.76,5.3,38,7710,24.8,0,161,640,512
NIron_SHW_01.18.2026_LS.mp4,20,8388,8706,139.86,145.17,5.3,38,8526,36.1,0,0,640,512
NIron_SHW_01.18.2026_LS.mp4,21,8766,10350,146.17,172.58,26.41,195,9444,34.0,0,0,640,512
NIron_SHW_01.18.2026_LS.mp4,22,10434,11172,173.98,186.29,12.31,80,10914,26.3,4,0,640,507
NIron_SHW_01.18.2026_LS.mp4,23,11268,12552,187.89,209.3,21.41,186,12072,40.4,0,0,640,512
NIron_SHW_01.18.2026_LS.mp4,24,12660,13266,211.1,221.2,10.1,91,12834,46.3,0,0,628,190
NIron_SHW_01.18.2026_LS.mp4,25,13518,13590,225.4,226.6,1.2,10,13560,28.7,273,0,457,30
NIron_SHW_01.18.2026_LS.mp4,26,13944,13998,232.51,233.41,0.9,2,13944,22.2,0,0,3,4
NIron_SHW_01.18.2026_LS.mp4,27,14340,14694,239.11,245.01,5.9,54,14526,51.0,0,0,438,161
NIron_SHW_01.18.2026_LS.mp4,28,15078,15156,251.42,252.72,1.3,13,15102,28.4,0,196,611,512
NIron_SHW_01.18.2026_LS.mp4,29,16242,16296,270.83,271.73,0.9,6,16242,26.1,35,201,572,414
NIron_SHW_01.18.2026_LS.mp4,30,16356,16368,272.73,272.93,0.2,2,16368,23.9,95,337,537,484
NIron_SHW_01.18.2026_LS.mp4,31,16830,16836,280.63,280.73,0.1,2,16836,20.1,574,123,625,135
NIron_SHW_01.18.2026_LS.mp4,32,17046,17382,284.23,289.83,5.6,37,17106,25.2,0,59,635,512
NIron_SHW_01.18.2026_LS.mp4,33,17454,17466,291.03,291.23,0.2,3,17460,21.7,0,341,158,478
NIron_SHW_01.18.2026_LS.mp4,34,17898,18042,298.44,300.84,2.4,10,17940,21.3,29,114,631,507
NIron_SHW_01.18.2026_LS.mp4,35,18612,18636,310.34,310.74,0.4,5,18612,25.2,9,13,607,77
NIron_SHW_01.18.2026_LS.mp4,36,18834,19152,314.05,319.35,5.3,23,18978,23.4,10,0,640,407
NIron_SHW_01.18.2026_LS.mp4,37,19404,19434,323.55,324.05,0.5,2,19404,20.3,80,220,637,458
NIron_SHW_01.18.2026_LS.mp4,38,19518,19668,325.45,327.95,2.5,11,19602,22.0,0,5,640,512
NIron_SHW_01.18.2026_LS.mp4,39,19728,19746,328.95,329.25,0.3,2,19746,21.8,0,186,574,345
NIron_SHW_01.18.2026_LS.mp4,40,19932,19986,332.35,333.25,0.9,2,19932,21.2,7,11,640,333
NIron_SHW_01.18.2026_LS.mp4,41,21270,21288,354.66,354.96,0.3,2,21288,20.5,600,89,627,168
NIron_SHW_01.18.2026_LS.mp4,42,21378,21396,356.47,356.77,0.3,2,21378,20.1,5,232,615,500
NIron_SHW_01.18.2026_LS.mp4,43,21594,21726,360.07,362.27,2.2,11,21606,26.1,36,3,640,427
NIron_SHW_01.18.2026_LS.mp4,44,22146,22188,369.27,369.97,0.7,3,22158,25.6,0,454,486,512
NIron_SHW_01.18.2026_LS.mp4,45,22572,22662,376.37,377.88,1.5,5,22614,22.7,20,135,576,496
NIron_SHW_01.18.2026_LS.mp4,46,23316,23346,388.78,389.28,0.5,3,23340,21.8,16,183,640,347
NIron_SHW_01.18.2026_LS.mp4,47,23484,23868,391.58,397.98,6.4,58,23670,28.3,0,0,640,512
NIron_SHW_01.18.2026_LS.mp4,48,24504,24552,408.59,409.39,0.8,2,24504,20.6,48,300,615,502
NIron_SHW_01.18.2026_LS.mp4,49,24876,24894,414.79,415.09,0.3,4,24888,22.6,21,223,558,381
NIron_SHW_01.18.2026_LS.mp4,50,25140,25200,419.19,420.19,1.0,11,25170,32.5,90,69,640,207
NIron_SHW_01.18.2026_LS.mp4,51,25416,25470,423.8,424.7,0.9,3,25458,19.8,29,429,264,484
NIron_SHW_01.18.2026_LS.mp4,52,25602,25830,426.9,430.7,3.8,17,25680,21.1,2,171,640,495
NIron_SHW_01.18.2026_LS.mp4,53,26160,26178,436.2,436.5,0.3,2,26160,20.3,182,336,640,505
NIron_SHW_01.18.2026_LS.mp4,54,26256,26280,437.8,438.2,0.4,2,26256,21.3,456,480,567,501
NIron_SHW_01.18.2026_LS.mp4,55,26418,26580,440.5,443.21,2.7,11,26574,21.3,8,0,635,504
NIron_SHW_01.18.2026_LS.mp4,56,26664,26670,444.61,444.71,0.1,2,26664,21.0,91,254,570,477
NIron_SHW_01.18.2026_LS.mp4,57,26808,26868,447.01,448.01,1.0,11,26850,32.8,0,162,640,512
NIron_SHW_01.18.2026_LS.mp4,58,26946,27126,449.31,452.31,3.0,14,27114,23.1,0,0,640,512
NIron_SHW_01.18.2026_LS.mp4,59,27444,27480,457.61,458.21,0.6,5,27474,20.7,108,0,604,105
NIron_SHW_01.18.2026_LS.mp4,60,27588,27708,460.01,462.01,2.0,10,27618,21.0,11,17,640,456
NIron_SHW_01.18.2026_LS.mp4,61,27972,27984,466.42,466.62,0.2,2,27972,20.0,541,264,640,435
