frame,time_s,n_blobs,peak_score
0,0.0,3,34.0
6,0.1,4,32.6
12,0.2,5,28.6
18,0.3,2,25.2
24,0.4,2,29.8
36,0.6,1,24.0
72,1.2,1,20.0
456,7.6,1,19.4
480,8.0,1,20.5
510,8.5,1,20.9
528,8.8,1,20.8
552,9.2,1,24.9
558,9.3,2,23.4
564,9.4,1,23.1
570,9.5,1,24.7
576,9.6,1,25.8
582,9.7,1,27.0
588,9.8,1,24.3
768,12.81,1,19.2
822,13.71,1,20.1
852,14.21,1,19.9
894,14.91,1,19.9
948,15.81,1,20.4
1218,20.31,1,20.6
1224,20.41,1,19.7
1278,21.31,1,20.7
2178,36.32,1,19.8
2184,36.42,1,20.2
2202,36.72,1,20.4
2322,38.72,1,32.0
2328,38.82,3,34.3
2334,38.92,2,42.5
2340,39.02,6,35.0
2346,39.12,5,51.2
2352,39.22,5,36.6
2358,39.32,10,38.1
2364,39.42,7,40.5
2370,39.52,4,41.7
2376,39.62,9,41.2
2382,39.72,12,41.1
2388,39.82,11,40.3
2394,39.92,13,42.8
2400,40.02,11,41.7
2406,40.12,10,41.0
2412,40.22,12,38.8
2418,40.32,9,38.7
2424,40.42,7,38.6
2430,40.52,4,39.5
2436,40.62,4,39.0
2442,40.72,4,38.2
2664,44.42,1,26.1
2670,44.52,1,23.8
2676,44.62,1,24.3
2946,49.12,1,21.2
3474,57.93,3,25.1
3480,58.03,3,30.1
3486,58.13,2,28.2
3492,58.23,3,28.6
3498,58.33,5,27.9
3504,58.43,5,32.8
3510,58.53,7,31.7
3516,58.63,11,31.1
3522,58.73,10,33.9
3528,58.83,10,30.6
3534,58.93,2,27.9
3582,59.73,1,20.7
3654,60.93,1,20.2
3744,62.43,1,20.7
3750,62.53,1,20.0
3756,62.63,1,20.3
3768,62.83,1,24.1
3780,63.03,2,34.2
3786,63.13,1,35.3
3792,63.23,2,32.8
3798,63.33,1,30.4
3918,65.33,2,26.1
3924,65.43,1,23.1
3930,65.53,2,28.1
3936,65.63,2,26.7
3942,65.73,2,28.2
3948,65.83,1,19.7
3954,65.93,1,20.8
3960,66.03,1,19.1
3966,66.13,1,19.7
3990,66.53,2,21.4
3996,66.63,1,21.2
4002,66.73,2,20.5
4008,66.83,3,20.8
4014,66.93,1,19.7
4020,67.03,2,20.6
4026,67.13,2,22.0
4032,67.23,2,20.2
4146,69.13,1,20.6
4200,70.03,1,19.6
4218,70.33,1,19.4
4350,72.53,1,19.5
4362,72.73,2,20.5
4662,77.74,1,20.4
4764,79.44,1,19.7
4800,80.04,1,20.6
4830,80.54,1,20.0
4860,81.04,1,19.2
4866,81.14,1,19.2
5034,83.94,1,19.4
5076,84.64,1,20.6
5082,84.74,4,23.6
5088,84.84,3,24.2
5094,84.94,7,22.7
5100,85.04,8,28.8
5106,85.14,4,24.5
5112,85.24,22,29.6
5118,85.34,17,27.4
5124,85.44,30,24.3
5130,85.54,32,27.6
5136,85.64,27,43.2
5142,85.74,30,40.9
5148,85.84,28,29.6
5154,85.94,39,29.6
5160,86.04,30,30.1
5166,86.14,31,30.4
5172,86.24,40,32.0
5178,86.34,37,33.1
5184,86.44,31,32.3
5190,86.54,22,32.5
5196,86.64,22,32.5
5202,86.74,14,33.1
5208,86.84,15,32.1
5214,86.94,13,35.2
5226,87.14,3,27.9
5232,87.24,5,32.4
5238,87.34,4,29.0
5244,87.44,5,24.4
5250,87.54,1,20.8
5262,87.74,2,23.5
5268,87.84,3,26.8
5274,87.94,6,25.4
5280,88.04,6,29.6
5286,88.14,2,21.1
5292,88.24,3,23.1
5298,88.34,7,25.1
5304,88.44,4,30.9
5316,88.64,11,34.2
5322,88.74,6,24.0
5328,88.84,7,32.0
5334,88.94,5,23.6
5340,89.04,4,30.1
5346,89.14,8,25.7
5352,89.24,4,26.3
5358,89.34,8,25.4
5364,89.44,2,24.3
5370,89.54,4,25.6
5382,89.74,3,22.6
5394,89.94,5,26.6
5400,90.04,7,25.8
5406,90.14,5,22.0
5412,90.24,5,27.7
5418,90.34,5,35.4
5424,90.44,4,25.4
5430,90.54,11,27.9
5436,90.64,4,24.1
5442,90.74,6,26.2
5448,90.84,7,29.1
5454,90.94,16,26.7
5460,91.04,6,30.0
5466,91.14,8,26.1
5472,91.24,10,23.8
5478,91.34,3,20.5
5484,91.44,4,26.1
5490,91.54,9,37.0
5496,91.64,7,32.5
5502,91.74,9,30.7
5508,91.84,6,26.4
5514,91.94,8,26.7
5520,92.04,7,25.9
5526,92.14,6,25.7
5532,92.24,6,25.7
5538,92.34,6,26.9
5544,92.44,4,23.5
5550,92.54,1,25.2
5556,92.64,1,29.2
5562,92.74,1,27.3
5568,92.84,1,27.6
5574,92.94,1,24.6
5580,93.04,2,21.4
5586,93.14,1,30.3
5598,93.34,4,27.4
5604,93.44,3,26.3
5610,93.54,3,28.4
5616,93.64,1,28.1
5622,93.74,1,24.7
5628,93.84,1,24.7
5646,94.14,1,23.9
5676,94.64,1,21.6
5682,94.74,1,20.5
5688,94.84,1,30.0
5694,94.94,3,23.6
5700,95.04,1,27.6
5706,95.14,1,21.0
5712,95.24,1,22.7
5718,95.34,1,29.7
5730,95.54,1,23.3
5754,95.94,1,27.3
5766,96.14,1,21.4
5772,96.24,2,22.2
5778,96.34,2,22.3
5784,96.44,2,23.8
5790,96.54,3,32.8
5796,96.64,3,30.2
5802,96.74,2,29.9
5808,96.84,2,27.5
5814,96.94,3,26.5
5820,97.04,2,25.6
5826,97.15,3,27.2
5832,97.25,3,30.4
5838,97.35,3,30.7
5844,97.45,3,28.2
5850,97.55,1,28.4
5856,97.65,2,27.0
5862,97.75,1,25.7
5868,97.85,2,28.7
5874,97.95,2,30.6
5880,98.05,2,31.4
5886,98.15,2,28.9
5898,98.35,2,23.0
5910,98.55,2,29.0
5916,98.65,2,32.3
5922,98.75,2,33.2
5928,98.85,2,34.3
5934,98.95,1,23.0
5970,99.55,1,20.6
5988,99.85,3,22.3
6210,103.55,1,28.9
6294,104.95,1,26.9
6336,105.65,1,19.2
6342,105.75,1,20.2
6348,105.85,2,19.8
6354,105.95,3,25.8
6372,106.25,1,33.4
6378,106.35,4,25.7
6384,106.45,3,29.8
6390,106.55,6,31.6
6396,106.65,2,28.2
6402,106.75,1,31.6
6408,106.85,1,26.1
6414,106.95,1,20.0
6426,107.15,1,25.2
6432,107.25,1,25.5
6438,107.35,1,25.7
6444,107.45,1,28.8
6738,112.35,1,20.9
6744,112.45,1,23.3
6750,112.55,3,22.1
6756,112.65,7,23.1
6762,112.75,5,23.4
6768,112.85,7,24.3
6774,112.95,9,26.6
6780,113.05,8,26.2
6786,113.15,4,25.2
6792,113.25,6,26.5
6798,113.35,8,23.8
6804,113.45,8,24.8
6810,113.55,4,21.5
6816,113.65,3,24.9
6942,115.75,1,19.3
6954,115.95,1,18.2
6990,116.55,1,20.7
7056,117.65,1,20.0
7212,120.26,3,22.4
7218,120.36,3,23.9
7224,120.46,7,22.5
7230,120.56,5,21.9
7236,120.66,5,22.6
7242,120.76,1,22.0
7248,120.86,4,23.8
7254,120.96,1,22.0
7260,121.06,1,21.9
7284,121.46,2,19.9
7290,121.56,1,22.5
7296,121.66,1,20.3
7302,121.76,2,23.3
7308,121.86,1,18.6
7320,122.06,1,20.2
7326,122.16,5,21.4
7332,122.26,10,23.4
7338,122.36,9,25.1
7344,122.46,1,18.5
7356,122.66,1,19.3
7362,122.76,4,20.8
7368,122.86,4,21.6
7374,122.96,1,21.1
7380,123.06,4,22.8
7386,123.16,3,27.3
7392,123.26,2,22.7
7452,124.26,1,21.1
7464,124.46,1,19.5
7470,124.56,2,20.1
7482,124.76,1,20.5
7488,124.86,1,20.6
7494,124.96,1,20.8
7584,126.46,1,21.6
7608,126.86,2,20.5
7614,126.96,1,20.0
7620,127.06,1,22.3
7626,127.16,1,21.1
7632,127.26,1,19.4
7638,127.36,1,21.0
7644,127.46,1,20.9
7650,127.56,1,20.5
7656,127.66,2,20.0
7662,127.76,1,23.4
7668,127.86,8,20.7
7674,127.96,6,20.7
7680,128.06,3,22.3
7686,128.16,8,22.0
7692,128.26,3,20.2
7698,128.36,4,22.2
7704,128.46,6,22.6
7710,128.56,3,24.8
7722,128.76,1,22.5
7770,129.56,2,20.4
7782,129.76,3,21.4
7788,129.86,2,20.0
7794,129.96,1,20.9
7800,130.06,4,22.6
7806,130.16,8,21.2
7812,130.26,4,20.8
7818,130.36,5,20.5
7824,130.46,3,20.6
7830,130.56,3,20.7
7836,130.66,4,21.6
7848,130.86,4,21.0
7872,131.26,2,20.6
7878,131.36,2,24.6
7884,131.46,1,23.4
7890,131.56,3,21.5
7896,131.66,1,24.5
7902,131.76,2,21.6
8388,139.86,1,22.2
8400,140.06,2,20.5
8448,140.87,1,22.3
8472,141.27,2,20.0
8478,141.37,2,21.2
8484,141.47,1,20.3
8490,141.57,6,25.4
8496,141.67,9,24.7
8502,141.77,17,27.4
8508,141.87,14,26.9
8514,141.97,23,29.4
8520,142.07,16,28.4
8526,142.17,18,36.1
8532,142.27,15,33.2
8538,142.37,8,22.9
8544,142.47,15,25.9
8550,142.57,14,25.1
8556,142.67,14,27.5
8562,142.77,21,25.0
8568,142.87,17,24.9
8574,142.97,22,23.2
8580,143.07,25,24.5
8586,143.17,22,24.1
8592,143.27,26,21.9
8598,143.37,21,21.7
8604,143.47,9,20.9
8610,143.57,4,20.4
8622,143.77,1,22.1
8628,143.87,1,20.2
8640,144.07,1,20.5
8658,144.37,1,20.8
8670,144.57,2,20.0
8676,144.67,2,20.2
8682,144.77,1,20.8
8688,144.87,1,19.5
8694,144.97,1,19.4
8700,145.07,1,21.8
8706,145.17,2,20.5
8766,146.17,1,24.5
8772,146.27,2,22.0
8778,146.37,3,24.1
8784,146.47,5,22.0
8790,146.57,9,26.9
8796,146.67,10,23.1
8802,146.77,13,25.7
8808,146.87,12,23.6
8814,146.97,12,25.6
8820,147.07,13,25.0
8826,147.17,11,24.8
8832,147.27,13,23.9
8838,147.37,16,25.2
8844,147.47,15,27.6
8850,147.57,14,27.9
8856,147.67,14,30.5
8862,147.77,17,24.3
8868,147.87,18,30.6
8874,147.97,18,23.8
8880,148.07,14,23.9
8886,148.17,14,25.1
8892,148.27,12,25.5
8898,148.37,9,24.8
8904,148.47,10,28.3
8910,148.57,9,21.2
8916,148.67,8,22.3
8922,148.77,4,22.3
8928,148.87,4,20.7
8934,148.97,1,20.7
8952,149.27,1,20.3
8964,149.47,1,21.1
8970,149.57,1,19.5
8982,149.77,1,22.5
8988,149.87,1,19.6
9000,150.07,1,19.8
9024,150.47,1,19.9
9036,150.67,2,21.2
9048,150.87,2,20.7
9066,151.17,1,19.6
9072,151.27,1,19.9
9084,151.47,1,20.0
9096,151.67,3,20.9
9102,151.77,1,20.3
9108,151.87,1,19.0
9114,151.97,2,23.6
9120,152.07,3,21.3
9126,152.17,8,21.4
9132,152.27,5,20.7
9138,152.37,5,21.1
9144,152.47,2,20.0
9150,152.57,3,20.9
9156,152.67,2,20.4
9162,152.77,2,20.8
9168,152.87,3,21.3
9174,152.97,1,19.0
9180,153.07,5,20.6
9186,153.17,1,19.9
9192,153.27,3,20.0
9198,153.37,3,20.6
9204,153.47,1,19.8
9210,153.57,2,19.3
9216,153.67,1,19.9
9222,153.77,4,20.4
9228,153.87,3,21.1
9234,153.97,7,22.7
9240,154.07,5,25.1
9252,154.27,3,22.6
9258,154.37,1,20.5
9264,154.47,2,20.8
9270,154.57,6,21.6
9276,154.67,5,26.6
9282,154.77,3,21.0
9288,154.87,4,20.7
9294,154.97,2,20.2
9306,155.17,8,23.2
9312,155.27,5,21.3
9318,155.37,6,20.8
9324,155.47,6,21.3
9330,155.57,5,21.1
9336,155.67,5,20.8
9342,155.77,3,21.7
9348,155.87,3,21.8
9354,155.97,5,21.6
9360,156.07,3,22.5
9366,156.17,6,20.5
9372,156.27,8,20.5
9378,156.37,1,27.9
9384,156.47,3,22.6
9390,156.57,3,21.2
9396,156.67,1,18.8
9402,156.77,8,26.0
9408,156.87,8,28.5
9414,156.97,6,21.0
9420,157.07,13,21.4
9426,157.17,21,24.4
9432,157.27,23,28.9
9438,157.37,29,28.5
9444,157.47,39,34.0
9450,157.57,27,25.1
9456,157.67,45,30.2
9462,157.77,42,25.4
9468,157.87,56,29.0
9474,157.97,38,27.7
9480,158.07,43,26.2
9486,158.17,40,25.1
9492,158.27,30,25.1
9498,158.37,17,23.0
9504,158.47,7,22.7
9510,158.57,6,22.4
9516,158.67,4,21.0
9522,158.77,3,20.9
9528,158.87,1,19.8
9534,158.97,4,20.6
9540,159.07,2,23.7
9546,159.17,1,20.4
9552,159.27,3,22.1
9558,159.37,3,20.4
9564,159.47,3,19.3
9570,159.57,2,20.7
9576,159.67,1,20.1
9582,159.77,1,23.2
9588,159.87,1,20.1
9606,160.17,1,22.8
9624,160.47,2,21.1
9630,160.57,1,19.3
9636,160.67,1,19.8
9642,160.77,1,20.1
9666,161.17,1,18.8
9678,161.37,1,20.5
9684,161.47,1,19.5
9690,161.57,1,19.3
9720,162.08,1,19.3
9726,162.18,1,19.5
9732,162.28,1,19.3
9738,162.38,2,20.6
9768,162.88,1,19.5
9774,162.98,1,19.5
9780,163.08,3,20.6
9792,163.28,2,20.9
9804,163.48,1,22.9
9834,163.98,1,20.1
9840,164.08,1,21.0
9852,164.28,2,20.7
9858,164.38,2,20.8
9864,164.48,2,22.1
9870,164.58,2,20.5
9882,164.78,1,19.6
9888,164.88,1,21.4
9894,164.98,2,20.9
9900,165.08,3,19.9
9906,165.18,2,21.0
9918,165.38,1,19.8
9930,165.58,1,20.8
9936,165.68,1,20.4
9942,165.78,1,18.9
9948,165.88,3,20.1
9960,166.08,2,22.9
9966,166.18,2,21.1
9978,166.38,1,19.5
9984,166.48,3,20.0
9990,166.58,3,20.0
9996,166.68,5,21.5
10002,166.78,3,20.6
10008,166.88,1,19.5
10014,166.98,2,21.8
10026,167.18,2,20.7
10038,167.38,5,21.4
10044,167.48,3,21.7
10050,167.58,1,21.3
10056,167.68,2,23.3
10068,167.88,1,19.8
10074,167.98,2,21.4
10086,168.18,2,22.3
10098,168.38,1,19.6
10104,168.48,1,20.3
10110,168.58,1,20.1
10122,168.78,1,22.0
10128,168.88,3,21.0
10140,169.08,1,20.8
10182,169.78,2,19.7
10188,169.88,1,20.7
10212,170.28,1,22.4
10218,170.38,1,21.2
10230,170.58,1,19.1
10236,170.68,1,20.6
10242,170.78,1,21.9
10254,170.98,1,20.1
10260,171.08,1,18.5
10266,171.18,1,21.0
10272,171.28,1,20.9
10284,171.48,1,18.3
10290,171.58,1,20.9
10296,171.68,1,20.8
10332,172.28,1,18.6
10350,172.58,1,20.2
10434,173.98,1,20.0
10464,174.48,1,19.0
10476,174.68,3,22.1
10482,174.78,1,20.8
10488,174.88,3,20.7
10500,175.08,1,21.2
10536,175.68,2,20.4
10554,175.98,1,20.6
10572,176.28,1,19.3
10578,176.38,1,21.0
10584,176.48,3,20.1
10590,176.58,6,23.4
10596,176.68,4,21.3
10602,176.78,5,21.0
10614,176.98,3,21.7
10620,177.08,1,19.8
10626,177.18,4,20.8
10632,177.28,5,20.9
10638,177.38,1,20.9
10644,177.48,3,21.7
10650,177.58,3,23.8
10656,177.68,5,22.4
10662,177.78,2,20.3
10668,177.88,5,22.8
10674,177.98,1,20.5
10680,178.08,8,22.5
10686,178.18,3,24.7
10692,178.28,3,24.0
10698,178.38,4,21.1
10704,178.48,2,21.6
10710,178.58,1,21.9
10716,178.68,2,22.3
10728,178.88,1,21.5
10734,178.98,2,22.0
10764,179.48,1,20.2
10782,179.78,2,20.2
10788,179.88,1,20.9
10794,179.98,1,19.5
10800,180.08,3,25.0
10806,180.18,3,22.6
10812,180.28,1,21.5
10818,180.38,6,20.5
10824,180.48,1,19.9
10830,180.58,7,25.1
10836,180.68,3,21.1
10842,180.78,1,19.4
10854,180.98,4,23.8
10860,181.08,2,21.9
10872,181.28,1,19.6
10884,181.48,1,21.3
10890,181.58,4,23.4
10896,181.68,1,20.2
10908,181.88,4,25.3
10914,181.98,3,26.3
10920,182.08,2,24.9
10926,182.18,4,22.4
10938,182.38,1,20.1
10944,182.48,1,24.7
10950,182.58,1,19.8
10956,182.68,3,20.7
10962,182.78,6,20.3
10968,182.88,1,19.0
10974,182.98,2,21.9
10992,183.28,1,23.7
10998,183.38,2,24.2
11004,183.48,1,21.7
11016,183.69,1,24.2
11028,183.89,4,22.6
11034,183.99,6,25.0
11040,184.09,1,22.2
11052,184.29,1,20.3
11064,184.49,1,20.4
11076,184.69,1,18.9
11094,184.99,2,25.7
11106,185.19,4,21.0
11112,185.29,3,21.1
