video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
PleasantHick_SHW_01.18.2026_LS.mp4,0,0,726,0.0,12.11,12.11,98,450,25.6,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,1,810,822,13.51,13.71,0.2,3,810,25.9,10,391,38,411
PleasantHick_SHW_01.18.2026_LS.mp4,2,1020,1128,17.01,18.81,1.8,4,1062,20.9,0,0,42,25
PleasantHick_SHW_01.18.2026_LS.mp4,3,1188,1230,19.81,20.51,0.7,4,1230,20.8,71,7,630,137
PleasantHick_SHW_01.18.2026_LS.mp4,4,2538,2556,42.32,42.62,0.3,3,2538,20.8,501,253,640,344
PleasantHick_SHW_01.18.2026_LS.mp4,5,2616,2682,43.62,44.72,1.1,5,2616,20.6,463,206,629,424
PleasantHick_SHW_01.18.2026_LS.mp4,6,2760,2874,46.02,47.92,1.9,9,2766,21.4,0,40,562,422
PleasantHick_SHW_01.18.2026_LS.mp4,7,3000,3048,50.02,50.82,0.8,2,3000,20.3,28,398,529,417
PleasantHick_SHW_01.18.2026_LS.mp4,8,3114,3126,51.92,52.12,0.2,2,3114,21.8,100,382,231,476
PleasantHick_SHW_01.18.2026_LS.mp4,9,3240,3246,54.03,54.13,0.1,2,3246,21.5,0,20,38,289
PleasantHick_SHW_01.18.2026_LS.mp4,10,3354,3360,55.93,56.03,0.1,2,3354,20.6,172,188,550,340
PleasantHick_SHW_01.18.2026_LS.mp4,11,3546,4008,59.13,66.83,7.7,30,3882,24.6,0,149,617,510
PleasantHick_SHW_01.18.2026_LS.mp4,12,4212,4230,70.23,70.53,0.3,2,4230,20.6,486,38,500,512
PleasantHick_SHW_01.18.2026_LS.mp4,13,4302,5286,71.73,88.14,16.41,110,5244,33.3,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,14,5364,5658,89.44,94.34,4.9,20,5514,30.0,16,34,585,498
PleasantHick_SHW_01.18.2026_LS.mp4,15,5790,5898,96.55,98.35,1.8,5,5838,26.6,34,9,580,465
PleasantHick_SHW_01.18.2026_LS.mp4,16,5994,7584,99.95,126.46,26.51,159,6618,33.5,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,17,7668,8424,127.86,140.47,12.61,84,7914,29.9,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,18,8670,8730,144.57,145.57,1.0,5,8670,20.9,340,279,640,491
PleasantHick_SHW_01.18.2026_LS.mp4,19,8970,9132,149.57,152.27,2.7,11,9102,20.7,183,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,20,9300,9534,155.07,158.97,3.9,15,9372,26.9,0,0,625,512
PleasantHick_SHW_01.18.2026_LS.mp4,21,9594,9714,159.97,161.98,2.0,13,9666,22.6,0,2,609,488
PleasantHick_SHW_01.18.2026_LS.mp4,22,9786,10494,163.18,174.98,11.81,56,10404,26.0,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,23,10578,11028,176.38,183.89,7.5,47,10866,21.5,0,0,640,505
PleasantHick_SHW_01.18.2026_LS.mp4,24,11100,11172,185.09,186.29,1.2,4,11136,22.9,258,108,611,502
PleasantHick_SHW_01.18.2026_LS.mp4,25,11292,11838,188.29,197.39,9.1,52,11622,31.0,0,0,640,498
PleasantHick_SHW_01.18.2026_LS.mp4,26,11946,12486,199.19,208.2,9.0,49,12456,27.5,0,0,640,495
PleasantHick_SHW_01.18.2026_LS.mp4,27,12582,12696,209.8,211.7,1.9,7,12612,21.7,422,388,628,512
PleasantHick_SHW_01.18.2026_LS.mp4,28,12912,14148,215.3,235.91,20.61,148,12948,34.9,0,0,640,492
PleasantHick_SHW_01.18.2026_LS.mp4,29,14418,14658,240.41,244.41,4.0,20,14484,26.1,0,0,158,102
PleasantHick_SHW_01.18.2026_LS.mp4,30,14730,15036,245.62,250.72,5.1,38,14994,29.8,0,0,628,475
PleasantHick_SHW_01.18.2026_LS.mp4,31,15108,15378,251.92,256.42,4.5,16,15312,21.7,0,156,640,491
PleasantHick_SHW_01.18.2026_LS.mp4,32,15516,16362,258.72,272.83,14.11,105,15876,24.2,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,33,16452,16620,274.33,277.13,2.8,16,16500,24.8,9,223,640,503
PleasantHick_SHW_01.18.2026_LS.mp4,34,16728,18090,278.93,301.64,22.71,137,17238,28.5,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,35,18504,18558,308.54,309.44,0.9,4,18504,20.0,5,117,607,339
PleasantHick_SHW_01.18.2026_LS.mp4,36,18852,19032,314.35,317.35,3.0,12,18954,21.2,0,35,640,506
PleasantHick_SHW_01.18.2026_LS.mp4,37,19170,19302,319.65,321.85,2.2,20,19302,22.0,0,7,640,384
PleasantHick_SHW_01.18.2026_LS.mp4,38,19530,19602,325.65,326.85,1.2,6,19530,22.2,20,134,608,428
PleasantHick_SHW_01.18.2026_LS.mp4,39,19806,19830,330.25,330.65,0.4,3,19812,21.0,135,96,635,476
PleasantHick_SHW_01.18.2026_LS.mp4,40,19896,19962,331.76,332.86,1.1,4,19902,21.4,41,381,608,496
PleasantHick_SHW_01.18.2026_LS.mp4,41,20094,20982,335.06,349.86,14.81,89,20838,27.6,4,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,42,21126,21210,352.26,353.67,1.4,6,21204,21.6,6,126,640,497
PleasantHick_SHW_01.18.2026_LS.mp4,43,21312,21354,355.37,356.07,0.7,4,21330,20.6,57,269,603,466
PleasantHick_SHW_01.18.2026_LS.mp4,44,21588,21642,359.97,360.87,0.9,3,21588,22.4,70,73,627,440
PleasantHick_SHW_01.18.2026_LS.mp4,45,21858,22572,364.47,376.38,11.91,70,22056,26.6,9,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,46,22968,23028,382.98,383.98,1.0,4,23028,22.0,34,0,613,477
PleasantHick_SHW_01.18.2026_LS.mp4,47,23088,23154,384.98,386.08,1.1,3,23154,19.8,0,46,609,491
PleasantHick_SHW_01.18.2026_LS.mp4,48,23226,23394,387.28,390.08,2.8,12,23394,22.9,0,26,631,491
PleasantHick_SHW_01.18.2026_LS.mp4,49,23460,23844,391.18,397.59,6.4,41,23658,24.1,0,59,640,509
PleasantHick_SHW_01.18.2026_LS.mp4,50,23904,23946,398.59,399.29,0.7,4,23934,23.2,3,244,190,503
PleasantHick_SHW_01.18.2026_LS.mp4,51,24096,24204,401.79,403.59,1.8,10,24132,22.8,20,49,605,485
PleasantHick_SHW_01.18.2026_LS.mp4,52,24444,24642,407.59,410.89,3.3,30,24564,24.5,0,8,640,496
PleasantHick_SHW_01.18.2026_LS.mp4,53,24726,24768,412.29,412.99,0.7,4,24750,20.4,306,67,600,477
PleasantHick_SHW_01.18.2026_LS.mp4,54,24852,25890,414.39,431.7,17.31,145,25188,26.7,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,55,26046,26118,434.3,435.5,1.2,9,26064,22.3,89,28,625,395
PleasantHick_SHW_01.18.2026_LS.mp4,56,26184,26208,436.6,437.0,0.4,3,26184,24.9,544,40,605,73
PleasantHick_SHW_01.18.2026_LS.mp4,57,26268,27090,438.01,451.71,13.71,67,26514,26.9,0,0,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,58,27150,28350,452.71,472.72,20.01,120,28050,27.4,0,29,640,512
PleasantHick_SHW_01.18.2026_LS.mp4,59,28986,29004,483.33,483.63,0.3,2,28986,19.8,579,263,635,284
PleasantHick_SHW_01.18.2026_LS.mp4,60,29100,29256,485.23,487.83,2.6,7,29124,20.7,35,244,512,487
