frame,time_s,n_blobs,peak_score
0,0.0,21,24.3
6,0.1,14,23.0
12,0.2,17,23.2
18,0.3,14,23.7
24,0.4,12,23.0
30,0.5,17,22.8
36,0.6,14,24.3
42,0.7,15,23.6
48,0.8,19,24.5
54,0.9,15,24.5
60,1.0,12,22.1
66,1.1,11,24.3
72,1.2,8,21.5
78,1.3,12,21.4
84,1.4,9,23.1
90,1.5,3,21.4
96,1.6,6,20.5
102,1.7,2,20.1
108,1.8,6,21.2
114,1.9,4,20.3
120,2.0,5,22.7
126,2.1,7,20.5
132,2.2,5,20.1
138,2.3,3,20.4
144,2.4,8,21.4
150,2.5,3,20.6
156,2.6,5,20.6
162,2.7,5,21.8
168,2.8,5,21.4
174,2.9,5,20.6
180,3.0,2,20.2
186,3.1,6,20.4
192,3.2,6,22.8
198,3.3,5,20.0
204,3.4,4,22.2
210,3.5,3,21.4
216,3.6,3,20.5
228,3.8,2,20.7
240,4.0,1,19.2
246,4.1,4,21.7
252,4.2,5,20.6
258,4.3,4,20.3
264,4.4,2,20.5
270,4.5,1,19.4
288,4.8,4,22.8
294,4.9,2,23.1
300,5.0,1,19.0
306,5.1,3,24.5
312,5.2,2,21.7
330,5.5,2,23.5
342,5.7,3,21.9
348,5.8,4,23.3
354,5.9,4,22.1
360,6.0,1,20.5
366,6.1,2,21.6
372,6.2,1,23.7
378,6.3,2,23.9
384,6.4,1,21.8
390,6.5,2,22.5
396,6.6,3,24.8
402,6.7,4,22.2
408,6.8,5,25.4
414,6.9,3,22.1
420,7.0,5,21.8
426,7.1,3,20.6
432,7.2,5,22.4
438,7.3,6,21.5
444,7.4,4,21.7
450,7.5,6,25.6
456,7.6,4,23.5
462,7.7,5,23.2
468,7.8,6,23.5
474,7.9,6,22.1
480,8.0,5,24.2
486,8.1,1,20.7
492,8.2,4,23.3
498,8.3,8,23.8
504,8.4,12,23.7
510,8.5,6,24.0
516,8.6,7,24.3
522,8.7,3,21.8
528,8.8,1,23.6
534,8.9,2,23.6
