video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
Robinson_SHW_01.18.2026_LS.mp4,0,0,798,0.0,13.31,13.31,82,372,27.1,0,0,640,512
Robinson_SHW_01.18.2026_LS.mp4,1,888,894,14.81,14.91,0.1,2,894,20.0,2,312,143,475
Robinson_SHW_01.18.2026_LS.mp4,2,1074,1164,17.91,19.41,1.5,11,1086,21.4,0,89,631,483
Robinson_SHW_01.18.2026_LS.mp4,3,1230,1344,20.51,22.41,1.9,10,1236,20.4,12,238,605,512
Robinson_SHW_01.18.2026_LS.mp4,4,1422,1440,23.71,24.01,0.3,3,1440,19.8,12,108,244,198
Robinson_SHW_01.18.2026_LS.mp4,5,1626,1962,27.11,32.72,5.6,32,1770,22.1,0,143,640,512
Robinson_SHW_01.18.2026_LS.mp4,6,2118,2658,35.32,44.32,9.0,72,2388,44.2,0,0,640,502
Robinson_SHW_01.18.2026_LS.mp4,7,3162,3192,52.73,53.23,0.5,3,3162,20.7,14,370,132,449
Robinson_SHW_01.18.2026_LS.mp4,8,3372,3450,56.23,57.53,1.3,7,3450,21.1,62,241,585,504
Robinson_SHW_01.18.2026_LS.mp4,9,3690,4602,61.53,76.74,15.21,118,3942,35.8,0,0,640,505
Robinson_SHW_01.18.2026_LS.mp4,10,5022,5058,83.75,84.35,0.6,3,5058,20.5,458,253,632,472
Robinson_SHW_01.18.2026_LS.mp4,11,5310,5406,88.55,90.15,1.6,9,5388,27.1,0,0,441,236
Robinson_SHW_01.18.2026_LS.mp4,12,5484,5682,91.45,94.75,3.3,19,5652,26.2,0,0,599,215
Robinson_SHW_01.18.2026_LS.mp4,13,5748,5784,95.85,96.45,0.6,2,5784,19.3,298,18,430,48
Robinson_SHW_01.18.2026_LS.mp4,14,5886,6300,98.15,105.06,6.9,48,6042,31.4,0,0,638,411
Robinson_SHW_01.18.2026_LS.mp4,15,6618,6708,110.36,111.86,1.5,6,6624,20.6,205,61,640,447
Robinson_SHW_01.18.2026_LS.mp4,16,6804,6978,113.46,116.36,2.9,16,6924,31.8,0,0,640,475
Robinson_SHW_01.18.2026_LS.mp4,17,7518,7998,125.37,133.37,8.0,54,7614,25.8,0,0,585,512
Robinson_SHW_01.18.2026_LS.mp4,18,8574,8580,142.98,143.08,0.1,2,8574,19.9,177,19,418,93
Robinson_SHW_01.18.2026_LS.mp4,19,8664,8718,144.48,145.38,0.9,9,8682,24.0,0,0,610,216
Robinson_SHW_01.18.2026_LS.mp4,20,9126,9270,152.18,154.58,2.4,15,9192,23.7,0,0,592,505
Robinson_SHW_01.18.2026_LS.mp4,21,9420,9804,157.09,163.49,6.4,56,9762,46.5,0,0,640,489
Robinson_SHW_01.18.2026_LS.mp4,22,9966,10410,166.19,173.59,7.4,63,10182,38.1,0,0,636,432
Robinson_SHW_01.18.2026_LS.mp4,23,10542,10704,175.8,178.5,2.7,6,10680,21.4,7,0,175,25
Robinson_SHW_01.18.2026_LS.mp4,24,11082,11262,184.8,187.8,3.0,26,11112,26.3,0,0,152,65
Robinson_SHW_01.18.2026_LS.mp4,25,11760,11766,196.11,196.21,0.1,2,11766,19.9,439,366,640,435
Robinson_SHW_01.18.2026_LS.mp4,26,12204,12210,203.51,203.61,0.1,2,12204,20.9,3,372,41,457
Robinson_SHW_01.18.2026_LS.mp4,27,12384,12402,206.51,206.81,0.3,2,12402,20.6,40,141,634,361
Robinson_SHW_01.18.2026_LS.mp4,28,12756,12822,212.72,213.82,1.1,6,12756,34.2,0,0,96,6
Robinson_SHW_01.18.2026_LS.mp4,29,13038,13236,217.42,220.72,3.3,22,13158,38.8,0,0,618,489
Robinson_SHW_01.18.2026_LS.mp4,30,13302,13422,221.82,223.82,2.0,16,13416,26.6,0,0,631,507
Robinson_SHW_01.18.2026_LS.mp4,31,13500,13530,225.12,225.62,0.5,4,13500,26.9,246,442,640,512
Robinson_SHW_01.18.2026_LS.mp4,32,13824,13830,230.53,230.63,0.1,2,13824,19.9,84,15,103,47
Robinson_SHW_01.18.2026_LS.mp4,33,13902,14022,231.83,233.83,2.0,8,13956,33.3,0,0,548,505
Robinson_SHW_01.18.2026_LS.mp4,34,14214,14262,237.03,237.83,0.8,2,14262,20.7,63,15,380,110
Robinson_SHW_01.18.2026_LS.mp4,35,14394,14472,240.03,241.33,1.3,4,14418,19.8,195,328,634,490
Robinson_SHW_01.18.2026_LS.mp4,36,14586,14622,243.23,243.83,0.6,7,14586,23.5,151,18,631,504
Robinson_SHW_01.18.2026_LS.mp4,37,14688,16212,244.93,270.35,25.41,196,14790,44.5,0,0,640,512
Robinson_SHW_01.18.2026_LS.mp4,38,16986,16998,283.25,283.45,0.2,2,16998,21.1,478,434,538,450
Robinson_SHW_01.18.2026_LS.mp4,39,17370,17736,289.66,295.76,6.1,44,17646,46.8,0,0,639,512
Robinson_SHW_01.18.2026_LS.mp4,40,17832,18006,297.36,300.26,2.9,28,18006,26.9,3,0,640,439
