frame,time_s,n_blobs,peak_score
0,0.0,2,22.4
6,0.1,3,21.8
12,0.2,1,22.8
18,0.3,1,22.0
24,0.4,1,21.8
30,0.5,1,22.1
36,0.6,1,21.2
42,0.7,3,22.2
48,0.8,2,23.2
54,0.9,2,22.2
60,1.0,1,22.2
66,1.1,2,22.7
72,1.2,2,23.1
78,1.3,2,22.6
84,1.4,2,20.4
90,1.5,3,22.5
96,1.6,3,20.4
102,1.7,2,20.5
108,1.8,2,21.7
114,1.9,2,21.3
120,2.0,3,22.2
126,2.1,4,21.4
132,2.2,3,20.9
138,2.3,2,20.8
144,2.4,1,18.2
156,2.6,1,19.5
204,3.4,1,20.1
210,3.5,2,20.7
240,4.0,1,20.7
294,4.9,1,20.0
306,5.1,2,21.8
312,5.2,2,20.6
318,5.3,1,19.9
324,5.4,1,19.8
342,5.7,1,20.2
354,5.9,1,24.3
360,6.0,1,20.8
366,6.1,1,24.0
372,6.2,1,27.1
378,6.3,1,26.1
432,7.2,1,19.0
444,7.4,2,20.4
450,7.5,2,20.9
456,7.6,1,20.2
462,7.7,1,19.4
468,7.8,2,23.3
474,7.9,1,20.2
480,8.0,3,21.3
486,8.1,3,22.6
492,8.2,2,19.3
498,8.3,1,20.9
510,8.5,5,21.5
516,8.6,5,21.0
528,8.8,7,22.6
534,8.9,3,22.6
540,9.0,5,22.0
546,9.1,5,24.9
552,9.2,7,23.8
558,9.31,3,20.4
564,9.41,6,22.0
570,9.51,3,21.1
576,9.61,4,22.1
582,9.71,6,20.7
588,9.81,3,22.7
594,9.91,3,21.2
600,10.01,5,22.2
606,10.11,3,21.3
612,10.21,3,20.3
618,10.31,1,20.1
624,10.41,1,20.3
630,10.51,3,22.1
636,10.61,3,20.7
642,10.71,4,22.3
648,10.81,2,21.0
684,11.41,1,20.1
690,11.51,1,20.3
702,11.71,2,19.6
708,11.81,1,19.7
714,11.91,1,19.4
732,12.21,1,21.9
750,12.51,2,19.7
798,13.31,1,19.7
888,14.81,1,19.8
894,14.91,1,20.0
1074,17.91,1,18.3
1086,18.11,1,21.4
1098,18.31,1,18.9
1104,18.41,1,21.1
1110,18.51,2,20.0
1122,18.71,1,20.1
1128,18.81,3,20.6
1134,18.91,1,20.0
1146,19.11,1,19.6
1152,19.21,5,21.0
1164,19.41,1,17.4
1230,20.51,1,20.0
1236,20.61,1,20.4
1248,20.81,1,19.6
1254,20.91,1,19.9
1260,21.01,1,20.0
1266,21.11,3,20.3
1278,21.31,1,19.2
1320,22.01,2,20.2
1332,22.21,1,18.7
1344,22.41,1,20.2
1422,23.71,1,19.5
1434,23.91,1,19.4
1440,24.01,1,19.8
1500,25.01,1,19.4
1626,27.11,1,19.5
1650,27.51,1,19.2
1662,27.72,1,19.7
1668,27.82,1,20.3
1674,27.92,1,19.2
1680,28.02,1,20.3
1734,28.92,3,19.6
1740,29.02,2,20.6
1746,29.12,3,20.4
1752,29.22,1,20.0
1764,29.42,2,21.8
1770,29.52,4,22.1
1776,29.62,2,21.1
1782,29.72,6,20.7
1788,29.82,1,20.1
1794,29.92,5,21.5
1800,30.02,4,20.9
1806,30.12,1,19.2
1812,30.22,3,21.2
1818,30.32,4,19.8
1824,30.42,2,20.8
1830,30.52,3,21.0
1842,30.72,4,20.5
1848,30.82,3,21.1
1860,31.02,2,20.3
1872,31.22,1,19.8
1896,31.62,1,19.7
1908,31.82,3,20.2
1926,32.12,1,19.5
1932,32.22,1,19.0
1938,32.32,1,20.4
1962,32.72,2,19.5
2118,35.32,1,21.6
2148,35.82,1,20.3
2160,36.02,1,22.8
2166,36.12,1,18.5
2172,36.22,4,23.5
2184,36.42,1,20.2
2196,36.62,1,20.7
2208,36.82,1,21.6
2220,37.02,1,23.6
2232,37.22,2,24.8
2250,37.52,1,21.6
2256,37.62,2,23.2
2262,37.72,3,39.5
2268,37.82,1,33.7
2274,37.92,1,22.7
2280,38.02,2,23.8
2286,38.12,1,27.2
2292,38.22,1,32.8
2298,38.32,3,27.7
2310,38.52,2,29.4
2316,38.62,1,24.6
2328,38.82,2,26.8
2340,39.02,3,30.9
2346,39.12,2,31.6
2358,39.32,5,36.7
2370,39.52,5,37.3
2376,39.62,6,33.2
2382,39.72,5,32.4
2388,39.82,5,44.2
2394,39.92,4,26.6
2400,40.02,3,25.1
2406,40.12,2,23.0
2412,40.22,4,23.4
2418,40.32,4,23.8
2424,40.42,3,23.1
2430,40.52,2,21.5
2436,40.62,6,23.7
2442,40.72,3,22.2
2448,40.82,7,24.7
2454,40.92,8,23.5
2460,41.02,14,23.6
2466,41.12,7,24.1
2472,41.22,7,29.8
2478,41.32,9,26.3
2484,41.42,9,25.3
2490,41.52,11,24.3
2496,41.62,8,24.0
2502,41.72,9,24.9
2508,41.82,5,22.9
2514,41.92,8,25.3
2520,42.02,10,27.8
2526,42.12,12,25.8
2532,42.22,9,29.8
2538,42.32,6,30.9
2544,42.42,3,24.8
2550,42.52,5,24.5
2562,42.72,3,21.6
2568,42.82,8,22.8
2574,42.92,10,24.8
2580,43.02,10,26.9
2586,43.12,5,24.7
2592,43.22,2,20.8
2598,43.32,2,21.1
2604,43.42,2,23.1
2610,43.52,3,20.4
2616,43.62,6,22.5
2622,43.72,3,20.9
2628,43.82,3,22.4
2634,43.92,3,22.4
2640,44.02,2,20.7
2652,44.22,1,19.7
2658,44.32,1,20.0
3042,50.73,1,19.7
3162,52.73,1,20.7
3168,52.83,1,20.4
3192,53.23,2,20.0
3312,55.23,1,20.2
3372,56.23,1,20.1
3402,56.73,1,19.4
3420,57.03,1,20.5
3432,57.23,1,18.7
3438,57.33,2,20.9
3444,57.43,2,19.2
3450,57.53,2,21.1
3690,61.53,1,26.2
3696,61.63,4,26.9
3702,61.73,5,27.5
3708,61.83,9,28.6
3714,61.93,7,26.1
3720,62.03,4,27.3
3726,62.13,9,24.9
3732,62.23,7,23.7
3738,62.33,7,24.1
3744,62.43,6,22.1
3750,62.53,10,29.0
3756,62.63,12,26.7
3762,62.73,18,23.6
3768,62.83,21,25.2
3774,62.93,8,22.8
3780,63.03,11,24.7
3786,63.13,18,27.0
3792,63.23,13,25.3
3798,63.33,9,24.2
3804,63.43,7,23.6
3810,63.53,10,23.5
3816,63.63,10,24.7
3822,63.73,5,29.2
3828,63.83,14,23.4
3834,63.93,6,25.3
3840,64.03,12,26.4
3846,64.13,20,26.0
3852,64.23,13,25.1
3858,64.33,17,24.1
3864,64.43,23,24.4
3870,64.54,22,23.6
3876,64.64,19,26.3
3882,64.74,12,28.0
3888,64.84,15,23.6
3894,64.94,12,25.9
3900,65.04,13,30.0
3906,65.14,22,24.1
3912,65.24,20,28.5
3918,65.34,23,24.4
3924,65.44,25,26.8
3930,65.54,15,25.8
3936,65.64,23,26.3
3942,65.74,14,35.8
3948,65.84,16,24.7
3954,65.94,11,25.1
3960,66.04,8,25.0
3966,66.14,7,24.4
3972,66.24,16,26.3
3978,66.34,13,24.9
3984,66.44,14,24.6
3990,66.54,7,25.6
3996,66.64,10,23.9
4002,66.74,6,23.5
4008,66.84,4,23.3
4014,66.94,2,21.2
4020,67.04,2,21.4
4026,67.14,2,26.9
4044,67.44,2,20.9
4050,67.54,1,20.1
4056,67.64,1,26.0
4068,67.84,1,23.7
4080,68.04,3,27.7
4104,68.44,1,19.9
4158,69.34,2,21.3
4194,69.94,1,19.0
4206,70.14,1,21.1
4212,70.24,3,24.1
4230,70.54,2,23.4
4236,70.64,2,21.7
4242,70.74,1,20.1
4248,70.84,1,21.0
4254,70.94,1,20.2
4260,71.04,1,19.2
4272,71.24,1,19.7
4278,71.34,1,19.5
4290,71.54,3,22.8
4296,71.64,2,23.9
4302,71.74,3,21.8
4308,71.84,2,20.4
4314,71.94,3,20.5
4320,72.04,1,21.4
4326,72.14,1,24.0
4332,72.24,3,22.1
4338,72.34,3,22.7
4344,72.44,3,20.9
4350,72.54,2,23.4
4356,72.64,2,20.1
4362,72.74,3,24.7
4368,72.84,2,20.0
4374,72.94,1,18.8
4380,73.04,2,20.9
4386,73.14,2,20.1
4398,73.34,3,21.4
4404,73.44,3,20.9
4410,73.54,4,24.2
4416,73.64,7,23.9
4422,73.74,1,25.6
4428,73.84,5,27.1
4434,73.94,6,24.2
4440,74.04,1,21.0
4452,74.24,3,21.8
4458,74.34,2,21.3
4464,74.44,2,21.2
4470,74.54,2,21.9
4476,74.64,3,29.1
4482,74.74,1,23.1
4500,75.04,3,23.4
4506,75.14,1,19.6
4512,75.24,2,23.0
4518,75.34,4,29.8
4524,75.44,1,24.6
4530,75.54,3,27.1
4536,75.64,2,18.8
4542,75.74,1,26.9
4560,76.04,2,21.8
4566,76.14,1,20.3
4572,76.24,1,20.0
4602,76.74,1,19.0
4926,82.14,1,19.9
5022,83.75,2,19.8
5046,84.15,1,19.8
5058,84.35,2,20.5
5310,88.55,1,22.2
5316,88.65,1,18.2
5328,88.85,2,23.4
5346,89.15,2,22.7
5358,89.35,1,21.8
5364,89.45,1,18.7
5382,89.75,2,22.6
5388,89.85,1,27.1
5406,90.15,1,20.4
5484,91.45,1,19.6
5538,92.35,1,20.2
5544,92.45,4,22.1
5550,92.55,4,23.6
5568,92.85,2,21.2
5580,93.05,1,19.0
5586,93.15,1,19.4
5604,93.45,1,20.4
5610,93.55,1,23.2
5616,93.65,2,24.5
5622,93.75,1,20.8
5634,93.95,6,23.2
5640,94.05,3,21.6
5646,94.15,3,20.0
5652,94.25,2,26.2
5658,94.35,2,21.2
5664,94.45,2,23.0
5670,94.55,2,22.3
5682,94.75,2,21.5
5748,95.85,2,18.8
5784,96.45,1,19.3
5886,98.15,1,22.0
5922,98.75,1,23.9
5928,98.85,7,21.1
5940,99.05,1,25.2
5946,99.15,1,20.0
5952,99.25,1,19.4
5958,99.35,1,19.3
5964,99.45,3,20.9
5970,99.55,2,19.5
5976,99.65,2,21.4
5982,99.75,3,20.8
5988,99.85,5,24.4
5994,99.95,2,23.5
6000,100.05,3,20.0
6006,100.15,4,24.0
6018,100.35,5,23.4
6036,100.65,6,23.3
6042,100.75,2,31.4
6060,101.05,2,21.9
6066,101.15,1,19.8
6072,101.25,2,21.0
6078,101.36,2,19.6
6084,101.46,2,20.0
6090,101.56,1,22.9
6102,101.76,1,20.0
6108,101.86,2,21.7
6114,101.96,7,21.5
6120,102.06,6,23.8
6126,102.16,8,23.8
6132,102.26,10,25.0
6138,102.36,8,25.9
6144,102.46,8,23.5
6150,102.56,11,25.4
6162,102.76,4,26.9
6168,102.86,5,21.6
6174,102.96,8,24.1
6192,103.26,1,19.6
6198,103.36,1,20.8
6204,103.46,1,23.0
6210,103.56,2,21.0
6216,103.66,3,20.9
6222,103.76,3,26.4
6228,103.86,2,21.0
