video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
SBassett_SHW_01.18.2026_LS.mp4,0,0,306,0.0,5.1,5.1,35,0,32.3,0,16,640,512
SBassett_SHW_01.18.2026_LS.mp4,1,408,414,6.8,6.9,0.1,2,414,23.6,635,509,640,512
SBassett_SHW_01.18.2026_LS.mp4,2,600,936,10.0,15.6,5.6,39,876,29.6,0,164,640,512
SBassett_SHW_01.18.2026_LS.mp4,3,1008,1080,16.8,18.0,1.2,13,1038,32.8,0,152,640,450
SBassett_SHW_01.18.2026_LS.mp4,4,1452,1458,24.2,24.3,0.1,2,1458,21.2,8,312,67,332
SBassett_SHW_01.18.2026_LS.mp4,5,1704,1800,28.4,30.0,1.6,16,1710,26.2,0,204,640,496
SBassett_SHW_01.18.2026_LS.mp4,6,1914,2010,31.9,33.5,1.6,9,1974,24.6,17,337,468,512
SBassett_SHW_01.18.2026_LS.mp4,7,2082,2148,34.7,35.8,1.1,5,2082,21.4,428,400,640,477
SBassett_SHW_01.18.2026_LS.mp4,8,3480,3486,58.0,58.1,0.1,2,3486,23.9,0,0,101,13
SBassett_SHW_01.18.2026_LS.mp4,9,3750,3756,62.51,62.61,0.1,2,3756,20.3,65,450,95,473
SBassett_SHW_01.18.2026_LS.mp4,10,3942,4188,65.71,69.81,4.1,26,4110,31.1,0,0,640,512
SBassett_SHW_01.18.2026_LS.mp4,11,5094,5754,84.91,95.91,11.0,86,5604,34.8,0,0,640,512
SBassett_SHW_01.18.2026_LS.mp4,12,6018,6138,100.31,102.31,2.0,9,6036,24.0,0,0,634,228
SBassett_SHW_01.18.2026_LS.mp4,13,6252,6258,104.21,104.31,0.1,2,6252,20.2,12,461,208,485
SBassett_SHW_01.18.2026_LS.mp4,14,6348,6378,105.81,106.31,0.5,2,6348,20.9,0,24,335,435
SBassett_SHW_01.18.2026_LS.mp4,15,6942,7992,115.71,133.21,17.5,120,7194,30.9,0,0,618,307
SBassett_SHW_01.18.2026_LS.mp4,16,8124,9444,135.41,157.41,22.0,212,9006,52.5,0,0,640,499
SBassett_SHW_01.18.2026_LS.mp4,17,9558,9564,159.31,159.41,0.1,2,9564,22.1,0,0,530,24
SBassett_SHW_01.18.2026_LS.mp4,18,9708,10464,161.81,174.41,12.6,112,10182,52.8,0,0,640,472
SBassett_SHW_01.18.2026_LS.mp4,19,12186,12222,203.12,203.72,0.6,2,12186,21.1,225,0,244,9
SBassett_SHW_01.18.2026_LS.mp4,20,12408,12420,206.82,207.02,0.2,3,12408,22.0,19,0,160,33
SBassett_SHW_01.18.2026_LS.mp4,21,12492,12558,208.22,209.32,1.1,5,12528,23.3,0,0,110,32
SBassett_SHW_01.18.2026_LS.mp4,22,12636,14334,210.62,238.92,28.3,255,13998,53.0,0,0,640,512
SBassett_SHW_01.18.2026_LS.mp4,23,14598,14610,243.32,243.52,0.2,2,14610,20.8,183,0,207,16
SBassett_SHW_01.18.2026_LS.mp4,24,14736,14922,245.62,248.72,3.1,22,14808,41.1,0,0,640,495
SBassett_SHW_01.18.2026_LS.mp4,25,14982,15030,249.72,250.52,0.8,2,15030,22.8,53,306,590,440
SBassett_SHW_01.18.2026_LS.mp4,26,15150,15492,252.52,258.22,5.7,33,15468,27.9,0,0,640,311
SBassett_SHW_01.18.2026_LS.mp4,27,15714,16848,261.92,280.82,18.9,169,16452,41.8,0,0,640,508
SBassett_SHW_01.18.2026_LS.mp4,28,17142,17160,285.72,286.02,0.3,3,17142,24.6,40,203,97,217
SBassett_SHW_01.18.2026_LS.mp4,29,17232,19122,287.22,318.73,31.5,301,18300,49.4,0,0,640,512
SBassett_SHW_01.18.2026_LS.mp4,30,19218,19272,320.33,321.23,0.9,5,19218,23.7,0,0,509,393
SBassett_SHW_01.18.2026_LS.mp4,31,19716,20382,328.63,339.73,11.1,94,19878,41.5,0,0,640,510
SBassett_SHW_01.18.2026_LS.mp4,32,20442,20496,340.73,341.63,0.9,5,20442,21.0,266,84,640,396
SBassett_SHW_01.18.2026_LS.mp4,33,20616,20634,343.63,343.93,0.3,2,20634,20.9,23,207,336,336
