frame,time_s,n_blobs,peak_score
0,0.0,1,32.3
6,0.1,1,27.6
42,0.7,1,23.9
48,0.8,1,19.7
66,1.1,2,20.1
72,1.2,3,21.3
78,1.3,1,21.8
90,1.5,1,20.3
96,1.6,2,22.1
102,1.7,1,20.0
108,1.8,2,21.6
114,1.9,3,23.2
120,2.0,5,23.9
126,2.1,6,25.8
132,2.2,7,22.7
138,2.3,4,25.3
144,2.4,3,26.6
150,2.5,1,22.4
156,2.6,2,20.6
162,2.7,1,22.2
168,2.8,1,22.4
174,2.9,1,23.3
180,3.0,1,21.7
186,3.1,1,22.8
192,3.2,1,21.2
198,3.3,1,21.1
210,3.5,1,22.6
222,3.7,1,20.0
240,4.0,1,20.7
246,4.1,1,20.7
264,4.4,1,21.2
270,4.5,1,22.7
288,4.8,1,20.0
294,4.9,1,21.4
306,5.1,1,22.0
408,6.8,1,19.4
414,6.9,1,23.6
600,10.0,1,21.2
606,10.1,2,22.2
612,10.2,1,19.6
624,10.4,4,22.3
630,10.5,2,21.4
636,10.6,1,24.0
642,10.7,1,20.4
648,10.8,3,23.8
654,10.9,4,22.7
660,11.0,4,20.8
696,11.6,2,20.9
702,11.7,1,21.3
708,11.8,1,20.9
714,11.9,1,20.0
726,12.1,2,20.1
732,12.2,2,21.7
750,12.5,1,20.5
768,12.8,1,19.7
774,12.9,4,22.6
792,13.2,1,19.8
798,13.3,2,22.7
804,13.4,5,21.9
810,13.5,8,24.1
816,13.6,16,25.2
822,13.7,14,24.6
828,13.8,15,25.3
834,13.9,18,27.5
840,14.0,17,27.9
846,14.1,13,27.1
852,14.2,13,27.8
858,14.3,5,26.1
864,14.4,9,25.3
870,14.5,1,19.5
876,14.6,1,29.6
882,14.7,2,20.9
888,14.8,2,20.4
894,14.9,1,19.4
912,15.2,1,22.1
936,15.6,2,21.0
1008,16.8,3,24.8
1014,16.9,7,23.5
1020,17.0,8,24.3
1026,17.1,14,24.6
1032,17.2,12,30.0
1038,17.3,12,32.8
1044,17.4,14,27.4
1050,17.5,8,25.4
1056,17.6,9,24.7
1062,17.7,15,22.6
1068,17.8,11,32.3
1074,17.9,11,28.2
1080,18.0,1,25.8
