video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
SHog_SHW_01.18.2026_LS.mp4,0,0,1590,0.0,26.51,26.51,228,288,24.0,0,51,640,512
SHog_SHW_01.18.2026_LS.mp4,1,1710,5238,28.51,87.32,58.81,537,3816,50.2,0,0,640,512
SHog_SHW_01.18.2026_LS.mp4,2,5622,6030,93.72,100.52,6.8,45,5748,23.3,0,0,614,479
SHog_SHW_01.18.2026_LS.mp4,3,6336,6378,105.62,106.32,0.7,6,6348,21.1,0,0,214,103
SHog_SHW_01.18.2026_LS.mp4,4,6450,6636,107.52,110.63,3.1,10,6630,22.9,0,93,579,203
SHog_SHW_01.18.2026_LS.mp4,5,6726,7350,112.13,122.53,10.4,93,6990,57.7,0,0,640,512
SHog_SHW_01.18.2026_LS.mp4,6,7632,7818,127.23,130.33,3.1,31,7686,47.8,0,0,624,433
SHog_SHW_01.18.2026_LS.mp4,7,7938,7950,132.33,132.53,0.2,2,7950,21.7,5,319,333,418
SHog_SHW_01.18.2026_LS.mp4,8,8088,9258,134.83,154.34,19.5,122,8766,33.9,0,0,640,512
SHog_SHW_01.18.2026_LS.mp4,9,9336,9354,155.64,155.94,0.3,2,9336,20.7,558,488,616,512
SHog_SHW_01.18.2026_LS.mp4,10,9420,9828,157.04,163.84,6.8,34,9564,27.0,0,161,640,512
SHog_SHW_01.18.2026_LS.mp4,11,10074,10194,167.94,169.94,2.0,9,10074,24.1,16,373,633,499
SHog_SHW_01.18.2026_LS.mp4,12,10290,10386,171.54,173.14,1.6,12,10338,24.3,57,294,592,495
SHog_SHW_01.18.2026_LS.mp4,13,10446,11730,174.14,195.54,21.4,180,10902,42.2,0,0,640,512
SHog_SHW_01.18.2026_LS.mp4,14,11796,11826,196.64,197.14,0.5,5,11796,20.6,223,423,556,512
SHog_SHW_01.18.2026_LS.mp4,15,12018,12102,200.35,201.75,1.4,5,12102,24.3,75,288,640,512
SHog_SHW_01.18.2026_LS.mp4,16,12198,13752,203.35,229.25,25.91,215,13128,41.3,0,0,640,512
SHog_SHW_01.18.2026_LS.mp4,17,13920,16716,232.05,278.66,46.61,434,15204,48.6,0,0,640,512
