frame,time_s,n_blobs,peak_score
0,0.0,17,20.9
6,0.1,17,23.2
12,0.2,10,21.9
18,0.3,15,22.1
24,0.4,12,22.4
30,0.5,8,22.3
36,0.6,7,22.2
42,0.7,7,22.4
48,0.8,5,23.0
54,0.9,8,23.2
60,1.0,7,23.5
66,1.1,8,22.2
72,1.2,3,22.3
78,1.3,6,22.5
84,1.4,5,23.1
90,1.5,3,21.6
96,1.6,7,23.2
102,1.7,6,22.7
108,1.8,8,21.6
114,1.9,9,23.1
120,2.0,11,23.1
126,2.1,8,20.9
132,2.2,7,23.8
138,2.3,2,20.8
144,2.4,6,21.4
150,2.5,4,21.1
156,2.6,2,20.4
162,2.7,4,20.5
168,2.8,2,20.1
174,2.9,6,20.8
180,3.0,9,21.0
186,3.1,3,20.9
192,3.2,6,22.4
198,3.3,7,21.1
204,3.4,7,21.7
210,3.5,6,21.0
216,3.6,3,20.1
222,3.7,11,23.2
228,3.8,6,21.2
234,3.9,11,21.7
240,4.0,5,21.7
246,4.1,5,21.0
252,4.2,3,21.2
258,4.3,7,22.2
264,4.4,7,21.6
270,4.5,3,20.3
276,4.6,7,22.5
282,4.7,8,23.3
288,4.8,14,24.0
294,4.9,11,22.8
300,5.0,7,21.3
306,5.1,6,22.0
312,5.2,7,22.1
318,5.3,9,22.4
324,5.4,10,22.0
330,5.5,11,21.1
336,5.6,8,22.2
342,5.7,5,20.7
348,5.8,6,23.0
354,5.9,6,22.4
360,6.0,7,22.1
366,6.1,9,22.7
372,6.2,1,19.6
378,6.3,8,22.8
384,6.4,10,23.9
390,6.5,10,22.6
396,6.6,7,22.5
402,6.7,7,23.9
408,6.8,6,23.9
414,6.9,8,22.0
420,7.0,3,22.0
426,7.1,2,21.3
432,7.2,5,21.3
438,7.3,5,21.8
444,7.4,4,21.9
450,7.5,6,22.8
456,7.6,2,23.3
462,7.7,5,21.4
468,7.8,10,23.9
474,7.9,6,22.9
480,8.0,5,23.1
486,8.1,2,21.9
492,8.2,2,22.3
498,8.3,2,23.9
504,8.4,3,22.7
510,8.5,7,22.0
516,8.6,2,23.7
522,8.7,2,21.1
528,8.8,2,21.9
534,8.9,2,21.8
540,9.0,5,20.4
546,9.1,4,20.4
552,9.2,3,21.6
558,9.3,3,20.7
564,9.4,1,20.3
570,9.5,2,20.3
576,9.6,3,19.9
582,9.7,2,20.7
588,9.8,2,20.6
594,9.9,4,21.5
600,10.0,2,19.5
606,10.1,4,20.6
612,10.2,2,23.3
618,10.3,7,21.6
624,10.4,1,19.8
630,10.5,1,20.1
636,10.6,1,19.3
642,10.7,5,21.7
648,10.8,5,20.1
654,10.9,2,19.6
660,11.0,6,20.4
666,11.1,5,21.7
672,11.2,5,21.2
678,11.3,11,21.3
684,11.4,4,19.6
690,11.5,6,21.4
696,11.6,6,21.0
702,11.7,3,21.0
708,11.8,4,20.3
714,11.9,5,21.1
720,12.0,2,21.4
726,12.1,1,19.4
732,12.2,3,20.0
738,12.3,2,20.6
744,12.4,3,20.4
750,12.5,5,21.1
756,12.6,5,21.3
762,12.7,4,20.2
768,12.8,4,20.1
774,12.9,2,21.3
780,13.0,4,21.1
786,13.1,1,19.0
792,13.2,1,21.4
798,13.3,2,21.2
804,13.4,2,20.0
810,13.5,5,20.8
816,13.6,2,19.5
822,13.7,1,19.0
828,13.8,3,20.7
834,13.9,1,20.0
840,14.0,6,20.6
852,14.2,3,19.9
858,14.3,4,20.2
864,14.4,9,23.2
870,14.5,4,21.7
876,14.6,4,20.3
882,14.7,2,20.0
888,14.8,2,20.3
894,14.9,2,21.3
900,15.0,2,19.6
906,15.1,2,20.3
912,15.2,2,19.0
918,15.3,1,20.6
930,15.5,2,20.5
936,15.6,2,20.0
948,15.8,2,21.3
954,15.9,2,20.6
960,16.0,2,21.1
966,16.1,1,20.2
972,16.2,3,20.4
978,16.3,1,19.0
996,16.6,1,19.4
1002,16.7,2,20.4
1014,16.9,2,19.3
1020,17.0,2,20.2
1038,17.3,2,22.0
1044,17.4,2,20.5
1050,17.5,3,20.5
1056,17.6,1,19.1
1062,17.7,2,20.6
1068,17.8,2,20.2
1080,18.0,1,19.8
1086,18.1,1,20.5
1104,18.4,2,19.8
1110,18.5,1,19.0
1122,18.7,2,20.0
1134,18.9,5,23.0
1140,19.0,1,20.0
1146,19.1,2,20.0
1152,19.2,2,21.3
1158,19.3,1,19.7
1170,19.5,1,17.4
1188,19.8,1,18.8
1194,19.9,3,20.8
1200,20.0,2,20.7
1206,20.1,1,20.2
1212,20.2,4,21.4
1218,20.3,5,19.6
1224,20.4,2,20.3
1230,20.5,3,19.6
1236,20.6,2,18.7
1248,20.8,1,20.0
1266,21.1,3,21.2
1272,21.2,2,20.7
1278,21.3,1,20.0
1284,21.4,1,19.0
1290,21.5,1,20.9
1302,21.7,1,20.7
1308,21.8,3,20.3
1314,21.9,2,20.2
1320,22.01,2,19.6
1332,22.21,1,19.7
1338,22.31,2,19.8
1356,22.61,1,19.4
1368,22.81,1,20.6
1374,22.91,1,18.9
1380,23.01,1,18.7
1386,23.11,1,19.4
1398,23.31,2,20.9
1410,23.51,2,20.2
1416,23.61,2,20.7
1428,23.81,4,21.0
1434,23.91,2,20.1
1440,24.01,1,19.7
1446,24.11,1,18.8
1452,24.21,2,22.3
1458,24.31,1,18.9
1464,24.41,1,19.7
1494,24.91,4,19.6
1500,25.01,5,23.1
1506,25.11,2,19.1
1512,25.21,1,19.9
1518,25.31,1,19.2
1548,25.81,1,18.5
1554,25.91,2,21.8
1572,26.21,2,19.7
1584,26.41,3,21.0
1590,26.51,2,20.5
1710,28.51,1,19.8
1716,28.61,1,20.7
1722,28.71,1,19.9
1728,28.81,1,20.3
1734,28.91,1,19.4
1740,29.01,2,35.4
1746,29.11,2,30.2
1752,29.21,3,26.4
1758,29.31,3,25.7
1764,29.41,2,27.0
1770,29.51,1,26.6
1776,29.61,5,31.9
1782,29.71,2,22.1
1788,29.81,3,28.5
1794,29.91,7,21.5
1800,30.01,6,31.8
1806,30.11,4,26.3
1812,30.21,5,23.2
1818,30.31,5,23.3
1824,30.41,3,22.4
1830,30.51,9,22.0
1836,30.61,9,23.1
1842,30.71,8,24.0
1848,30.81,9,23.9
1854,30.91,4,20.9
1860,31.01,3,21.7
1866,31.11,3,21.6
1872,31.21,2,22.2
1878,31.31,3,23.5
1884,31.41,2,25.0
1890,31.51,1,22.4
1896,31.61,1,23.0
1902,31.71,3,21.0
1908,31.81,3,24.9
1914,31.91,2,21.6
1920,32.01,3,23.5
1926,32.11,1,21.5
1932,32.21,3,25.9
1938,32.31,2,20.4
1944,32.41,2,21.5
1950,32.51,1,19.4
1956,32.61,3,22.5
1962,32.71,4,20.8
1968,32.81,6,20.4
1974,32.91,3,21.4
1980,33.01,1,19.1
1992,33.21,1,21.0
2022,33.71,4,21.7
2028,33.81,5,23.0
2034,33.91,3,24.1
2040,34.01,12,21.7
2046,34.11,18,23.2
2052,34.21,25,24.3
2058,34.31,12,23.3
2064,34.41,22,26.5
2070,34.51,21,26.4
2076,34.61,27,30.1
2082,34.71,29,29.5
2088,34.81,18,30.4
2094,34.91,29,28.0
2100,35.01,32,29.6
2106,35.11,33,30.5
2112,35.21,12,28.2
2118,35.31,12,29.1
2124,35.41,6,21.8
2130,35.51,16,24.0
2136,35.61,15,30.1
2142,35.71,9,26.9
2148,35.81,26,26.9
2154,35.91,30,28.6
2160,36.01,24,25.6
2166,36.11,21,27.0
2172,36.21,30,27.0
2178,36.31,23,27.9
2184,36.41,19,23.8
2190,36.51,15,24.2
2196,36.61,8,24.7
2202,36.71,10,23.0
2208,36.81,9,21.9
2214,36.91,11,23.0
2220,37.01,14,22.3
2226,37.11,13,21.9
2232,37.21,8,21.4
2238,37.31,12,22.8
2244,37.41,10,23.0
2250,37.51,8,22.9
2256,37.61,10,23.3
2262,37.71,11,24.1
2268,37.81,14,22.5
2274,37.91,12,24.5
2280,38.01,19,22.9
2286,38.11,13,25.0
2292,38.21,12,21.8
2298,38.31,20,24.2
2304,38.41,13,22.0
2310,38.51,7,25.6
2316,38.61,17,24.5
2322,38.71,21,24.3
2328,38.81,15,23.7
2334,38.91,17,27.9
2340,39.01,17,27.2
2346,39.11,13,25.5
2352,39.21,16,24.7
2358,39.31,15,21.4
2364,39.41,32,23.0
2370,39.51,26,25.1
2376,39.61,24,22.6
2382,39.71,29,27.3
2388,39.81,31,25.1
2394,39.91,23,22.7
2400,40.01,17,24.0
2406,40.11,15,22.7
2412,40.21,21,23.9
2418,40.31,19,23.7
2424,40.41,19,24.0
2430,40.51,14,23.8
2436,40.61,25,25.1
2442,40.71,20,28.9
2448,40.81,16,26.2
2454,40.91,27,28.1
2460,41.01,29,26.4
2466,41.11,20,29.8
2472,41.21,22,27.7
2478,41.31,20,23.1
2484,41.41,18,26.4
2490,41.51,17,23.5
2496,41.61,14,24.1
2502,41.71,14,23.8
2508,41.81,21,27.2
2514,41.91,10,21.9
2520,42.01,6,24.3
2526,42.11,7,22.2
2532,42.21,5,21.5
2538,42.31,5,21.3
2544,42.41,9,23.7
2550,42.51,7,27.5
2556,42.61,8,22.4
2562,42.71,13,25.3
2568,42.81,15,23.5
2574,42.91,14,31.6
2580,43.01,15,29.1
2586,43.11,8,31.2
2592,43.21,6,28.7
2598,43.31,9,28.9
2604,43.41,14,27.8
2610,43.51,14,26.3
2616,43.61,15,27.3
2622,43.71,14,24.2
2628,43.81,8,21.7
2634,43.91,10,22.1
2640,44.01,19,24.9
2646,44.11,11,22.9
2652,44.21,5,30.0
2658,44.31,5,28.8
2664,44.41,4,25.5
2670,44.51,10,21.8
2676,44.61,10,24.0
2682,44.71,8,22.5
2688,44.81,9,22.1
2694,44.91,16,23.2
2700,45.01,15,27.4
2706,45.11,18,29.4
2712,45.21,15,31.2
2718,45.31,19,27.4
2724,45.41,10,24.6
2730,45.51,6,24.8
2736,45.61,15,23.5
2742,45.71,8,22.2
2748,45.81,13,22.9
2754,45.91,15,25.6
2760,46.01,12,23.7
