video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
SIron_SHW_01.18.2026_LS.mp4,0,0,60,0.0,1.0,1.0,11,12,34.2,0,0,640,192
SIron_SHW_01.18.2026_LS.mp4,1,150,534,2.5,8.9,6.4,52,348,34.2,0,0,640,464
SIron_SHW_01.18.2026_LS.mp4,2,1092,1194,18.2,19.9,1.7,8,1164,22.1,19,0,640,457
SIron_SHW_01.18.2026_LS.mp4,3,1320,1842,22.0,30.7,8.7,72,1362,29.7,0,0,640,494
SIron_SHW_01.18.2026_LS.mp4,4,1926,5958,32.1,99.3,67.2,633,3930,62.5,0,0,640,512
SIron_SHW_01.18.2026_LS.mp4,5,6216,7014,103.6,116.9,13.3,121,6480,39.8,0,0,640,512
SIron_SHW_01.18.2026_LS.mp4,6,7590,7674,126.5,127.9,1.4,9,7662,32.7,0,0,127,197
SIron_SHW_01.18.2026_LS.mp4,7,7782,8166,129.7,136.1,6.4,53,8100,49.4,0,0,640,512
SIron_SHW_01.18.2026_LS.mp4,8,8310,9888,138.5,164.8,26.3,225,8898,41.3,0,0,640,492
SIron_SHW_01.18.2026_LS.mp4,9,10122,10722,168.7,178.7,10.0,89,10326,35.7,0,0,566,271
SIron_SHW_01.18.2026_LS.mp4,10,10812,10842,180.2,180.7,0.5,4,10842,30.6,0,0,130,467
SIron_SHW_01.18.2026_LS.mp4,11,10938,11028,182.3,183.8,1.5,15,11022,23.8,0,0,623,431
SIron_SHW_01.18.2026_LS.mp4,12,11280,11286,188.0,188.1,0.1,2,11280,25.0,430,168,571,201
SIron_SHW_01.18.2026_LS.mp4,13,11808,11820,196.8,197.0,0.2,2,11820,23.2,566,89,618,102
SIron_SHW_01.18.2026_LS.mp4,14,12096,12534,201.6,208.9,7.3,31,12108,22.8,4,27,640,512
SIron_SHW_01.18.2026_LS.mp4,15,12636,12678,210.6,211.3,0.7,7,12636,30.6,70,107,633,240
SIron_SHW_01.18.2026_LS.mp4,16,13566,13662,226.1,227.7,1.6,17,13602,36.9,0,141,640,512
SIron_SHW_01.18.2026_LS.mp4,17,13806,13962,230.1,232.7,2.6,20,13860,35.2,4,91,640,437
SIron_SHW_01.18.2026_LS.mp4,18,14034,14232,233.9,237.2,3.3,19,14190,28.4,0,5,596,512
SIron_SHW_01.18.2026_LS.mp4,19,14400,15816,240.0,263.6,23.6,206,14670,35.2,0,0,640,512
