frame,time_s,n_blobs,peak_score
0,0.0,9,31.3
6,0.1,8,30.0
12,0.2,11,34.2
18,0.3,14,28.0
24,0.4,8,29.3
30,0.5,6,24.5
36,0.6,3,27.7
42,0.7,6,25.1
48,0.8,4,23.9
54,0.9,2,21.7
60,1.0,1,20.6
150,2.5,1,21.0
186,3.1,1,19.8
192,3.2,1,22.5
198,3.3,3,22.1
204,3.4,6,31.0
210,3.5,5,27.5
216,3.6,7,28.6
222,3.7,6,27.3
228,3.8,5,29.1
234,3.9,4,30.1
240,4.0,6,30.5
246,4.1,4,31.6
252,4.2,5,29.8
258,4.3,9,30.9
264,4.4,6,28.3
270,4.5,8,28.4
276,4.6,6,28.7
282,4.7,8,29.7
288,4.8,8,33.2
294,4.9,7,25.7
300,5.0,9,30.4
306,5.1,10,31.9
312,5.2,9,31.9
318,5.3,10,33.2
324,5.4,13,31.0
330,5.5,15,30.3
336,5.6,12,33.2
342,5.7,12,32.9
348,5.8,11,34.2
354,5.9,10,33.6
360,6.0,9,32.2
366,6.1,9,29.6
372,6.2,8,27.5
378,6.3,9,30.1
384,6.4,9,30.1
390,6.5,7,30.8
396,6.6,9,30.5
402,6.7,12,29.0
408,6.8,6,29.4
414,6.9,6,32.5
420,7.0,8,31.0
426,7.1,5,29.0
432,7.2,4,28.2
438,7.3,5,30.8
444,7.4,3,26.8
450,7.5,3,27.3
456,7.6,4,26.0
462,7.7,2,30.0
468,7.8,2,26.3
474,7.9,1,22.2
498,8.3,1,20.9
534,8.9,1,19.8
1092,18.2,1,19.8
1098,18.3,1,21.4
1104,18.4,1,20.0
1110,18.5,2,20.2
1134,18.9,1,20.6
1158,19.3,5,20.4
1164,19.4,2,22.1
1194,19.9,1,19.9
1320,22.0,1,19.7
1356,22.6,1,26.1
1362,22.7,1,29.7
1368,22.8,2,24.1
1374,22.9,1,23.8
1380,23.0,3,24.5
1386,23.1,1,22.8
1392,23.2,3,21.6
1398,23.3,1,24.5
1404,23.4,1,22.4
1410,23.5,2,26.3
1416,23.6,3,28.6
1422,23.7,3,28.7
1428,23.8,2,22.1
1434,23.9,7,23.3
1440,24.0,5,24.6
1446,24.1,8,23.4
1452,24.2,11,27.3
1458,24.3,9,28.4
1464,24.4,5,26.4
1470,24.5,9,28.3
1476,24.6,9,29.4
1482,24.7,13,27.0
1488,24.8,10,29.5
1494,24.9,11,26.6
1500,25.0,8,25.8
1506,25.1,10,25.5
1512,25.2,7,26.8
1518,25.3,12,23.7
1524,25.4,15,25.2
1530,25.5,17,28.9
1536,25.6,11,24.8
1542,25.7,12,27.3
1548,25.8,14,26.3
1554,25.9,11,25.5
1560,26.0,13,25.9
1566,26.1,6,24.8
1572,26.2,14,25.3
1578,26.3,6,24.3
1584,26.4,13,25.7
1590,26.5,8,22.8
1596,26.6,3,22.2
1602,26.7,4,21.8
1608,26.8,8,22.8
1614,26.9,8,24.4
1620,27.0,8,21.9
1626,27.1,5,21.6
1632,27.2,4,22.9
1638,27.3,3,25.0
1644,27.4,7,22.8
1650,27.5,3,23.0
1656,27.6,4,21.1
1662,27.7,1,20.8
1668,27.8,1,19.3
1674,27.9,1,20.6
1686,28.1,1,18.3
1698,28.3,1,19.9
1704,28.4,2,19.8
1710,28.5,2,24.3
1716,28.6,2,21.3
1722,28.7,1,20.6
1734,28.9,2,23.4
1740,29.0,1,21.1
1752,29.2,3,24.7
1758,29.3,2,22.9
1770,29.5,2,20.6
1776,29.6,2,27.5
1782,29.7,4,21.6
1788,29.8,3,21.1
1800,30.0,1,22.0
1830,30.5,2,20.0
1842,30.7,4,21.9
1926,32.1,2,19.8
1932,32.2,4,22.9
1938,32.3,3,24.6
1944,32.4,1,20.8
1950,32.5,3,21.7
1962,32.7,4,21.3
1968,32.8,2,22.8
1992,33.2,3,21.6
2010,33.5,2,20.7
2016,33.6,2,19.8
2022,33.7,1,20.0
2028,33.8,1,20.5
2034,33.9,1,21.0
2058,34.3,4,24.3
2064,34.4,1,20.5
2070,34.5,2,26.0
2076,34.6,5,23.5
2082,34.7,5,24.0
2088,34.8,3,23.9
2100,35.0,2,19.7
2112,35.2,3,21.6
2118,35.3,1,19.5
2124,35.4,9,24.9
2130,35.5,8,21.8
2136,35.6,12,28.0
2142,35.7,14,24.6
2148,35.8,17,24.4
2154,35.9,21,25.7
2160,36.0,16,27.9
2166,36.1,28,25.8
2172,36.2,28,26.8
2178,36.3,33,28.1
2184,36.4,43,34.5
2190,36.5,29,38.2
2196,36.6,24,36.6
2202,36.7,30,28.5
2208,36.8,20,28.4
2214,36.9,13,24.7
2220,37.0,21,26.1
2226,37.1,14,22.8
2232,37.2,21,27.0
2238,37.3,19,26.0
2244,37.4,13,25.0
2250,37.5,9,23.1
2256,37.6,15,22.9
2262,37.7,15,27.8
2268,37.8,23,26.2
2274,37.9,26,27.4
2280,38.0,14,26.3
2286,38.1,13,25.9
2292,38.2,13,24.6
2298,38.3,14,26.9
2304,38.4,10,23.8
2310,38.5,9,27.2
2316,38.6,3,22.3
2322,38.7,6,22.8
2328,38.8,3,20.5
2334,38.9,1,21.2
2340,39.0,7,24.8
2346,39.1,4,20.9
2352,39.2,1,21.4
