video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
UpperRichland_SHW_01.18.2026_LS.mp4,0,0,282,0.0,4.72,4.72,19,30,36.0,0,3,640,507
UpperRichland_SHW_01.18.2026_LS.mp4,1,378,606,6.33,10.15,3.82,21,606,28.1,0,122,618,505
UpperRichland_SHW_01.18.2026_LS.mp4,2,882,1368,14.77,22.91,8.14,42,1368,28.3,0,54,615,490
UpperRichland_SHW_01.18.2026_LS.mp4,3,1770,1872,29.65,31.36,1.71,17,1836,28.1,0,258,622,512
UpperRichland_SHW_01.18.2026_LS.mp4,4,2046,2106,34.27,35.27,1.0,4,2052,21.1,26,243,626,451
UpperRichland_SHW_01.18.2026_LS.mp4,5,2208,2274,36.98,38.09,1.11,3,2208,29.7,24,15,600,60
UpperRichland_SHW_01.18.2026_LS.mp4,6,2448,2472,41.0,41.41,0.4,2,2448,26.3,140,137,248,171
UpperRichland_SHW_01.18.2026_LS.mp4,7,3096,3234,51.86,54.17,2.31,6,3210,21.3,21,0,640,491
UpperRichland_SHW_01.18.2026_LS.mp4,8,3360,3402,56.28,56.98,0.7,7,3372,23.4,0,0,176,420
UpperRichland_SHW_01.18.2026_LS.mp4,9,3726,3936,62.41,65.93,3.52,26,3870,31.3,85,50,630,504
UpperRichland_SHW_01.18.2026_LS.mp4,10,4272,4398,71.55,73.67,2.11,8,4386,25.4,0,0,640,487
UpperRichland_SHW_01.18.2026_LS.mp4,11,4488,4590,75.17,76.88,1.71,9,4512,28.1,73,164,600,512
UpperRichland_SHW_01.18.2026_LS.mp4,12,4710,4734,78.89,79.29,0.4,4,4734,22.6,11,370,88,391
UpperRichland_SHW_01.18.2026_LS.mp4,13,4794,4878,80.3,81.71,1.41,7,4812,20.9,420,7,633,423
UpperRichland_SHW_01.18.2026_LS.mp4,14,5016,5154,84.02,86.33,2.31,24,5094,28.5,7,15,630,487
UpperRichland_SHW_01.18.2026_LS.mp4,15,5268,5496,88.24,92.06,3.82,21,5496,22.5,0,23,640,504
UpperRichland_SHW_01.18.2026_LS.mp4,16,5598,5610,93.76,93.97,0.2,2,5598,19.6,198,453,338,499
UpperRichland_SHW_01.18.2026_LS.mp4,17,6024,6036,100.9,101.1,0.2,2,6024,19.6,43,63,614,293
UpperRichland_SHW_01.18.2026_LS.mp4,18,6300,6438,105.52,107.83,2.31,24,6402,28.0,620,50,630,60
UpperRichland_SHW_01.18.2026_LS.mp4,19,7062,7254,118.29,121.5,3.22,8,7062,21.8,5,46,631,452
UpperRichland_SHW_01.18.2026_LS.mp4,20,7464,7806,125.02,130.75,5.73,33,7620,31.8,21,26,630,506
UpperRichland_SHW_01.18.2026_LS.mp4,21,8130,8142,136.18,136.38,0.2,2,8142,19.7,596,377,607,463
UpperRichland_SHW_01.18.2026_LS.mp4,22,8790,8838,147.23,148.03,0.8,6,8820,20.9,91,342,617,512
UpperRichland_SHW_01.18.2026_LS.mp4,23,8982,9138,150.45,153.06,2.61,25,9114,31.2,53,50,630,467
