frame,time_s,n_blobs,peak_score
0,0.0,8,28.4
6,0.1,6,28.2
12,0.2,5,31.3
18,0.3,5,29.8
24,0.4,5,31.0
30,0.5,7,36.0
36,0.6,3,33.6
42,0.7,1,22.0
96,1.61,1,20.1
150,2.51,1,20.6
162,2.71,1,19.2
168,2.81,1,20.3
192,3.22,1,19.1
210,3.52,1,19.2
228,3.82,2,19.8
240,4.02,2,21.5
264,4.42,1,21.3
276,4.62,1,20.6
282,4.72,1,20.8
378,6.33,1,20.4
384,6.43,1,20.4
414,6.93,1,19.6
438,7.34,1,19.9
444,7.44,1,19.8
450,7.54,1,21.5
474,7.94,1,21.0
480,8.04,1,20.1
486,8.14,1,24.8
516,8.64,1,21.8
522,8.74,1,23.3
534,8.94,1,20.2
546,9.15,1,20.8
558,9.35,1,21.1
570,9.55,1,26.2
576,9.65,1,26.1
582,9.75,1,19.7
588,9.85,1,22.9
594,9.95,1,25.3
600,10.05,1,20.2
606,10.15,1,28.1
714,11.96,1,19.5
882,14.77,1,23.3
936,15.68,1,21.0
942,15.78,1,20.3
954,15.98,1,21.2
966,16.18,1,19.7
972,16.28,1,22.0
978,16.38,1,20.4
1014,16.98,2,22.2
1020,17.08,1,26.5
1026,17.19,1,27.1
1032,17.29,2,27.0
1038,17.39,1,24.1
1044,17.49,1,22.8
1050,17.59,1,19.5
1056,17.69,4,25.1
1062,17.79,1,19.9
1068,17.89,1,19.6
1098,18.39,1,20.9
1110,18.59,1,21.4
1122,18.79,1,23.1
1128,18.89,2,22.2
1134,18.99,2,23.3
1140,19.09,6,24.4
1146,19.2,1,22.0
1170,19.6,1,22.0
1176,19.7,1,21.0
1200,20.1,1,22.5
1212,20.3,2,23.8
1218,20.4,3,21.9
1224,20.5,1,22.5
1230,20.6,2,23.3
1236,20.7,1,20.6
1266,21.21,1,21.7
1272,21.31,1,23.8
1320,22.11,1,20.3
1332,22.31,1,28.3
1338,22.41,2,23.3
1344,22.51,1,22.7
1350,22.61,1,23.0
1356,22.71,1,23.1
1362,22.81,1,25.7
1368,22.91,1,28.3
1608,26.93,1,19.0
1770,29.65,1,20.2
1776,29.75,1,23.5
1782,29.85,1,22.2
1788,29.95,1,19.2
1794,30.05,1,20.9
1800,30.15,1,22.6
1806,30.25,2,22.2
1812,30.35,2,22.2
1818,30.45,2,22.9
1824,30.55,4,23.9
1830,30.65,3,24.2
1836,30.75,4,28.1
1842,30.85,3,26.4
1848,30.95,5,23.3
1854,31.05,1,20.1
1860,31.15,1,20.2
1872,31.36,1,19.2
2046,34.27,1,20.7
2052,34.37,1,21.1
2082,34.87,1,19.7
2106,35.27,1,18.3
2208,36.98,1,29.7
2226,37.28,1,19.8
2274,38.09,1,25.3
2448,41.0,1,26.3
2472,41.41,1,25.7
2952,49.45,1,19.7
3096,51.86,1,18.7
3126,52.36,1,20.0
3156,52.86,1,18.6
3168,53.06,2,19.6
3210,53.77,1,21.3
3234,54.17,1,19.7
3360,56.28,1,19.8
3366,56.38,2,22.2
3372,56.48,2,23.4
3378,56.58,2,19.5
3390,56.78,2,23.4
3396,56.88,1,20.3
3402,56.98,3,21.3
3726,62.41,2,19.9
3744,62.71,1,19.8
3798,63.62,1,22.9
3804,63.72,1,22.7
3810,63.82,1,23.8
3816,63.92,1,27.5
3822,64.02,1,25.9
3828,64.12,1,27.2
3834,64.22,1,28.0
3840,64.32,1,27.2
3846,64.42,1,27.8
3852,64.52,1,28.8
3858,64.62,1,24.0
3864,64.72,1,29.3
3870,64.82,1,31.3
3876,64.92,1,30.2
3882,65.02,1,28.3
3888,65.12,1,28.6
3894,65.22,1,26.6
3900,65.32,1,24.9
3906,65.42,1,24.6
3912,65.52,1,28.9
3918,65.63,1,26.3
3924,65.73,1,26.0
3930,65.83,1,26.4
3936,65.93,1,26.4
4164,69.75,1,19.3
4272,71.55,2,20.7
4284,71.76,1,19.1
4302,72.06,2,21.9
4326,72.46,1,19.7
4380,73.36,1,21.8
4386,73.46,1,25.4
4392,73.56,5,21.6
4398,73.67,2,19.8
4488,75.17,1,25.0
4494,75.27,1,25.3
4500,75.37,1,24.5
4506,75.47,1,23.9
4512,75.57,1,28.1
