video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
WhoopieCatDam_SHW_01.18.2026_LS.mp4,0,0,294,0.0,4.9,4.9,48,192,50.4,0,0,601,400
WhoopieCatDam_SHW_01.18.2026_LS.mp4,1,366,480,6.1,8.0,1.9,6,456,31.5,0,0,209,221
WhoopieCatDam_SHW_01.18.2026_LS.mp4,2,786,840,13.1,14.0,0.9,3,786,26.9,0,0,168,502
WhoopieCatDam_SHW_01.18.2026_LS.mp4,3,2100,2118,35.0,35.3,0.3,4,2118,21.9,16,386,290,493
WhoopieCatDam_SHW_01.18.2026_LS.mp4,4,2430,2442,40.5,40.7,0.2,3,2442,20.8,412,397,619,477
WhoopieCatDam_SHW_01.18.2026_LS.mp4,5,2688,2712,44.8,45.2,0.4,5,2700,21.3,203,366,621,512
WhoopieCatDam_SHW_01.18.2026_LS.mp4,6,2838,3018,47.3,50.3,3.0,24,2874,34.6,0,186,640,453
WhoopieCatDam_SHW_01.18.2026_LS.mp4,7,3282,3324,54.7,55.4,0.7,5,3282,20.5,430,422,638,483
WhoopieCatDam_SHW_01.18.2026_LS.mp4,8,3786,3792,63.1,63.2,0.1,2,3786,21.0,211,112,461,170
WhoopieCatDam_SHW_01.18.2026_LS.mp4,9,4104,4116,68.4,68.6,0.2,3,4104,27.3,77,0,144,9
WhoopieCatDam_SHW_01.18.2026_LS.mp4,10,4188,4398,69.8,73.3,3.5,24,4266,33.9,0,0,344,117
WhoopieCatDam_SHW_01.18.2026_LS.mp4,11,4518,4542,75.3,75.7,0.4,5,4536,22.1,187,406,533,500
WhoopieCatDam_SHW_01.18.2026_LS.mp4,12,4932,5592,82.2,93.2,11.0,72,5394,36.8,0,0,632,512
WhoopieCatDam_SHW_01.18.2026_LS.mp4,13,5658,5694,94.3,94.9,0.6,2,5658,21.1,0,479,613,495
