frame,time_s,n_blobs,peak_score
0,0.0,7,22.0
6,0.1,8,22.5
12,0.2,9,26.1
18,0.3,2,21.8
24,0.4,2,21.3
30,0.5,6,26.2
36,0.6,4,27.6
42,0.7,6,23.3
48,0.8,10,26.6
54,0.9,3,29.1
60,1.0,5,28.4
66,1.1,1,21.4
72,1.2,1,23.1
78,1.3,4,21.6
84,1.4,4,21.8
90,1.5,13,25.1
96,1.6,15,26.0
102,1.7,12,26.6
108,1.8,12,24.6
114,1.9,13,24.2
120,2.0,5,22.4
126,2.1,4,35.5
132,2.2,4,22.7
138,2.3,5,21.6
144,2.4,1,24.6
150,2.5,2,23.5
156,2.6,3,22.6
162,2.7,3,22.7
168,2.8,8,27.5
174,2.9,2,21.7
180,3.0,4,27.9
186,3.1,14,32.7
192,3.2,7,50.4
198,3.3,13,42.0
204,3.4,19,32.8
210,3.5,17,34.1
216,3.6,18,38.9
222,3.7,17,31.4
228,3.8,7,27.8
234,3.9,5,27.1
240,4.0,1,22.0
246,4.1,1,23.0
252,4.2,1,21.6
258,4.3,1,21.5
264,4.4,1,20.6
276,4.6,1,22.4
282,4.7,1,24.2
294,4.9,1,19.8
366,6.1,1,19.7
372,6.2,1,24.2
420,7.0,1,20.1
450,7.5,1,26.9
456,7.6,1,31.5
480,8.0,1,21.3
714,11.9,1,19.4
786,13.1,1,26.9
798,13.3,1,20.1
840,14.0,1,21.1
1974,32.9,1,19.4
2100,35.0,1,20.2
2106,35.1,1,19.9
2112,35.2,1,20.1
2118,35.3,1,21.9
2430,40.5,1,19.3
2436,40.6,2,20.7
2442,40.7,2,20.8
2688,44.8,1,21.0
2694,44.9,1,20.3
2700,45.0,1,21.3
2706,45.1,1,20.6
2712,45.2,1,20.8
2838,47.3,1,32.5
2844,47.4,1,29.1
2850,47.5,1,30.7
2856,47.6,3,30.0
2868,47.8,2,29.4
2874,47.9,4,34.6
2880,48.0,1,31.6
2886,48.1,2,29.3
2892,48.2,1,23.8
2916,48.6,2,26.8
2922,48.7,1,21.4
2928,48.8,1,23.4
2934,48.9,2,28.2
2940,49.0,1,28.1
2946,49.1,1,21.9
2952,49.2,2,21.1
2958,49.3,1,22.9
2964,49.4,3,26.3
2970,49.5,2,21.2
2976,49.6,3,28.3
2982,49.7,4,30.8
3006,50.1,4,27.2
3012,50.2,1,25.7
3018,50.3,1,29.7
3282,54.7,1,20.5
3288,54.8,1,20.0
3294,54.9,2,20.2
3300,55.0,1,20.0
3324,55.4,1,19.7
3636,60.6,1,20.3
3786,63.1,2,21.0
3792,63.2,1,20.7
3858,64.3,1,19.2
4104,68.4,2,27.3
4110,68.5,1,19.8
4116,68.6,1,20.4
4188,69.8,1,22.9
4206,70.1,1,20.2
4212,70.2,1,21.2
4230,70.5,4,23.8
4236,70.6,11,23.7
4242,70.7,15,26.9
4248,70.8,6,25.1
4254,70.9,1,19.5
4266,71.1,3,33.9
4272,71.2,2,30.8
4278,71.3,4,31.1
4284,71.4,3,22.8
4290,71.5,2,23.4
4296,71.6,4,23.0
4302,71.7,5,28.5
4308,71.8,4,24.9
4314,71.9,4,24.3
4320,72.0,6,30.4
4326,72.1,1,19.9
4332,72.2,3,23.2
4338,72.3,1,17.8
4344,72.4,1,20.8
4350,72.5,1,19.3
4398,73.3,2,21.2
4518,75.3,1,20.9
4524,75.4,1,20.1
4530,75.5,1,20.5
4536,75.6,1,22.1
4542,75.7,1,20.8
4620,77.0,1,21.2
4818,80.3,1,19.6
4932,82.2,2,20.8
4938,82.3,2,20.9
4944,82.4,2,19.5
4950,82.5,3,21.9
4956,82.6,2,20.6
4962,82.7,2,20.4
4968,82.8,1,19.8
4974,82.9,1,20.1
4986,83.1,1,20.3
4992,83.2,1,20.5
4998,83.3,1,19.9
5004,83.4,2,21.2
5010,83.5,3,21.2
5016,83.6,3,23.6
5022,83.7,2,20.4
5028,83.8,1,20.0
5034,83.9,2,21.2
5052,84.2,1,19.0
5058,84.3,2,20.4
5064,84.4,1,19.8
5070,84.5,2,21.4
5076,84.6,1,19.2
5088,84.8,1,19.8
5094,84.9,1,20.0
5142,85.7,1,21.7
5184,86.4,1,18.9
5196,86.6,1,21.3
5202,86.7,1,20.9
5208,86.8,2,20.1
5250,87.5,3,27.6
5256,87.6,3,22.2
5262,87.7,5,27.0
5268,87.8,1,19.2
5298,88.3,1,22.4
5304,88.4,1,20.4
5310,88.5,2,31.7
5316,88.6,1,18.2
5322,88.7,6,24.6
5328,88.8,10,28.8
5334,88.9,13,30.6
5340,89.0,8,26.3
5346,89.1,3,25.1
5352,89.2,1,20.7
5358,89.3,3,21.2
5364,89.4,6,24.5
5370,89.5,9,26.1
5376,89.6,15,30.4
5382,89.7,10,28.1
5388,89.8,14,34.1
5394,89.9,19,36.8
5400,90.0,9,30.6
5406,90.1,5,27.3
5412,90.2,4,24.9
5418,90.3,2,23.5
5424,90.4,1,22.6
5436,90.6,1,19.0
5442,90.7,3,24.9
5448,90.8,4,25.0
5454,90.9,4,20.1
5460,91.0,1,21.7
5472,91.2,1,20.5
5484,91.4,1,20.0
5490,91.5,2,21.2
5496,91.6,3,21.0
5502,91.7,1,21.7
5514,91.9,2,20.2
5562,92.7,1,20.8
5568,92.8,2,24.1
5574,92.9,1,19.9
5580,93.0,1,19.8
5586,93.1,2,21.2
5592,93.2,1,20.0
5658,94.3,1,21.1
5694,94.9,1,19.2
