frame,time_s,n_blobs,peak_score
0,0.0,76,34.8
6,0.1,76,34.4
12,0.2,68,35.0
18,0.3,70,33.8
24,0.4,73,34.2
30,0.5,65,37.0
36,0.6,64,41.5
42,0.7,72,40.2
48,0.8,62,45.9
54,0.9,64,40.6
60,1.0,62,40.7
66,1.1,63,38.0
72,1.2,54,40.1
78,1.3,54,42.4
84,1.4,55,41.8
90,1.5,65,41.3
96,1.6,66,43.0
102,1.7,55,42.5
108,1.8,55,43.5
114,1.9,46,37.7
120,2.0,61,34.3
126,2.1,57,32.6
132,2.2,55,38.8
138,2.3,58,37.3
144,2.4,55,34.2
150,2.5,66,37.7
156,2.6,67,41.2
162,2.7,55,36.3
168,2.8,66,33.9
174,2.9,49,44.0
180,3.0,67,34.9
186,3.1,53,48.5
192,3.2,57,37.2
198,3.3,56,39.3
204,3.4,49,49.6
210,3.5,38,38.4
216,3.6,43,41.7
222,3.7,46,39.6
228,3.8,42,39.0
234,3.9,36,40.1
240,4.0,29,40.2
246,4.1,38,45.4
252,4.2,42,41.5
258,4.3,40,45.0
264,4.4,39,52.8
270,4.5,22,40.3
276,4.6,41,45.9
282,4.7,54,51.7
288,4.8,75,46.2
294,4.9,51,46.5
300,5.0,52,41.3
306,5.1,69,50.1
312,5.2,67,38.9
318,5.3,79,37.4
324,5.4,86,42.9
330,5.5,95,42.0
336,5.6,98,40.7
342,5.7,110,39.1
348,5.8,113,42.2
354,5.9,103,41.2
360,6.0,164,42.4
366,6.1,113,40.2
372,6.2,124,39.5
378,6.3,88,40.2
384,6.4,108,39.1
390,6.5,117,40.2
396,6.6,137,38.1
402,6.7,161,36.1
408,6.8,134,35.0
414,6.9,98,34.8
420,7.0,59,28.4
426,7.1,116,40.7
432,7.2,209,43.4
438,7.3,180,46.0
444,7.4,226,42.3
450,7.5,240,46.8
456,7.6,148,38.2
462,7.7,104,39.3
468,7.8,89,42.7
474,7.9,82,36.2
480,8.0,55,42.3
486,8.1,59,41.0
492,8.2,52,37.0
498,8.3,55,43.1
504,8.4,69,41.2
510,8.5,69,35.9
516,8.6,42,39.7
522,8.7,54,39.0
528,8.8,52,34.4
534,8.9,56,39.3
540,9.0,64,38.2
546,9.1,47,45.6
552,9.2,45,46.5
558,9.3,49,38.9
564,9.4,41,38.3
570,9.5,63,49.1
576,9.6,78,36.5
582,9.7,69,38.0
588,9.8,66,33.6
594,9.9,65,46.8
600,10.0,83,42.8
606,10.1,71,41.0
612,10.2,57,34.3
618,10.3,68,38.6
624,10.4,66,41.5
630,10.5,54,39.7
636,10.6,62,44.5
642,10.7,57,43.8
648,10.8,53,45.9
654,10.9,40,49.4
660,11.0,43,49.9
666,11.1,53,33.3
672,11.2,60,34.7
678,11.3,49,32.9
684,11.4,44,34.1
690,11.5,47,39.7
696,11.6,50,32.4
702,11.7,46,34.1
708,11.8,47,32.0
714,11.9,54,30.8
720,12.0,46,32.4
726,12.1,59,30.5
732,12.2,55,38.1
738,12.3,58,34.2
744,12.4,59,32.1
750,12.5,65,29.3
756,12.6,62,32.0
762,12.7,62,31.4
768,12.8,67,48.9
774,12.9,79,40.9
780,13.0,89,33.5
786,13.1,80,34.8
792,13.2,83,36.7
798,13.3,88,44.1
804,13.4,73,45.7
810,13.5,90,48.6
816,13.6,90,33.3
822,13.7,88,36.0
828,13.8,81,38.4
834,13.9,102,42.2
840,14.0,107,45.6
846,14.1,101,34.1
852,14.2,81,39.1
858,14.3,79,38.1
864,14.4,65,38.3
870,14.5,84,35.8
876,14.6,76,41.2
882,14.7,70,35.5
888,14.8,77,37.6
