frame,time_s,n_blobs,peak_score
0,0.0,174,42.3
6,0.1,226,41.3
12,0.2,195,40.9
18,0.3,167,44.6
24,0.4,162,40.9
30,0.5,144,51.3
36,0.6,81,42.0
42,0.7,91,42.1
48,0.8,85,41.4
54,0.9,88,42.5
60,1.0,110,48.3
66,1.1,100,42.1
72,1.2,100,46.6
78,1.3,77,39.6
84,1.4,68,40.6
90,1.5,83,37.0
96,1.6,67,35.0
102,1.7,71,39.8
108,1.8,70,38.7
114,1.9,72,38.1
120,2.0,72,40.8
126,2.1,72,37.4
132,2.2,73,38.0
138,2.3,81,40.0
144,2.4,93,38.6
150,2.5,91,42.4
156,2.6,99,34.9
162,2.7,94,35.9
168,2.8,108,48.2
174,2.9,81,37.8
180,3.0,63,34.3
186,3.1,63,37.1
192,3.2,66,34.8
198,3.3,74,34.3
204,3.4,75,35.9
210,3.5,68,36.7
216,3.6,62,35.2
222,3.7,69,35.2
228,3.8,84,37.5
234,3.9,70,40.9
240,4.0,93,34.4
246,4.1,84,37.8
252,4.2,75,39.5
258,4.3,87,34.5
264,4.4,89,33.1
270,4.5,90,34.3
276,4.6,86,34.4
282,4.7,107,32.7
288,4.8,83,32.2
294,4.9,76,30.9
300,5.0,95,34.5
306,5.1,102,36.8
312,5.2,78,32.5
318,5.3,88,35.4
324,5.4,67,30.4
330,5.5,106,31.5
336,5.6,372,38.3
342,5.7,90,34.4
348,5.8,181,34.1
354,5.9,161,44.6
360,6.0,114,50.1
366,6.1,35,50.4
372,6.2,20,42.2
378,6.3,21,43.3
384,6.4,22,46.0
390,6.5,24,43.2
396,6.6,26,40.0
402,6.7,16,44.9
408,6.8,18,33.5
414,6.9,25,39.0
420,7.0,18,38.3
426,7.1,19,38.8
432,7.2,25,38.9
438,7.3,18,34.5
444,7.4,27,47.7
450,7.5,20,32.0
456,7.6,20,41.3
462,7.7,31,34.7
468,7.8,34,39.9
474,7.9,22,33.3
480,8.0,39,45.7
486,8.1,36,43.0
492,8.2,26,38.2
498,8.3,36,44.3
504,8.4,34,38.0
510,8.5,42,41.1
516,8.6,47,39.7
522,8.7,42,48.6
528,8.8,25,45.4
534,8.9,34,37.3
540,9.0,30,50.6
546,9.1,36,53.0
552,9.2,50,37.2
558,9.3,36,35.6
564,9.4,32,36.4
570,9.5,33,36.2
576,9.6,27,36.1
582,9.7,32,36.4
588,9.8,33,36.9
594,9.9,41,38.2
600,10.0,41,38.6
