video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
GiantCityRd_TON_12.03.25_LS.mp4,0,0,672,0.0,11.22,11.22,105,558,43.5,0,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,1,900,912,15.03,15.23,0.2,2,900,19.2,24,351,60,370
GiantCityRd_TON_12.03.25_LS.mp4,2,984,1074,16.43,17.93,1.5,5,1068,21.0,3,310,392,512
GiantCityRd_TON_12.03.25_LS.mp4,3,1146,1158,19.13,19.33,0.2,3,1146,21.6,372,402,604,408
GiantCityRd_TON_12.03.25_LS.mp4,4,1308,1368,21.84,22.84,1.0,3,1362,20.6,138,409,588,458
GiantCityRd_TON_12.03.25_LS.mp4,5,1500,1554,25.04,25.95,0.9,9,1500,35.5,0,189,604,225
GiantCityRd_TON_12.03.25_LS.mp4,6,1728,1806,28.85,30.15,1.3,10,1752,26.2,6,0,603,509
GiantCityRd_TON_12.03.25_LS.mp4,7,1896,1902,31.66,31.76,0.1,2,1902,20.9,177,498,503,506
GiantCityRd_TON_12.03.25_LS.mp4,8,2082,2112,34.76,35.26,0.5,2,2082,21.5,99,6,456,477
GiantCityRd_TON_12.03.25_LS.mp4,9,2214,2286,36.96,38.17,1.2,9,2256,22.8,27,0,485,63
GiantCityRd_TON_12.03.25_LS.mp4,10,2376,2712,39.67,45.28,5.61,31,2700,26.2,0,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,11,2862,2934,47.78,48.99,1.2,8,2862,21.5,75,0,578,455
GiantCityRd_TON_12.03.25_LS.mp4,12,3042,3498,50.79,58.4,7.61,42,3162,25.9,0,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,13,3600,4332,60.1,72.33,12.22,91,3882,47.2,0,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,14,4440,4506,74.13,75.23,1.1,5,4488,21.2,341,4,629,80
GiantCityRd_TON_12.03.25_LS.mp4,15,4566,5970,76.23,99.67,23.44,142,5796,36.3,0,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,16,6204,6216,103.58,103.78,0.2,2,6216,24.2,112,287,451,306
GiantCityRd_TON_12.03.25_LS.mp4,17,6498,6522,108.49,108.89,0.4,4,6510,20.4,5,371,635,500
GiantCityRd_TON_12.03.25_LS.mp4,18,6798,6834,113.5,114.1,0.6,4,6822,23.4,85,122,640,492
GiantCityRd_TON_12.03.25_LS.mp4,19,6900,7158,115.2,119.51,4.31,26,7146,25.9,0,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,20,7464,7470,124.62,124.72,0.1,2,7464,25.1,13,471,127,474
GiantCityRd_TON_12.03.25_LS.mp4,21,7596,8076,126.82,134.83,8.01,30,7662,31.7,9,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,22,8136,8232,135.84,137.44,1.6,13,8160,22.1,61,0,640,468
GiantCityRd_TON_12.03.25_LS.mp4,23,8298,8388,138.54,140.04,1.5,12,8340,32.8,36,0,629,467
GiantCityRd_TON_12.03.25_LS.mp4,24,8502,8826,141.95,147.36,5.41,28,8520,23.8,0,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,25,8892,9018,148.46,150.56,2.1,12,8922,20.9,0,25,640,512
GiantCityRd_TON_12.03.25_LS.mp4,26,9108,9192,152.06,153.47,1.4,11,9162,27.0,5,21,625,503
GiantCityRd_TON_12.03.25_LS.mp4,27,9270,9276,154.77,154.87,0.1,2,9270,21.0,99,2,304,11
GiantCityRd_TON_12.03.25_LS.mp4,28,9348,9390,156.07,156.77,0.7,2,9390,20.3,380,0,631,12
GiantCityRd_TON_12.03.25_LS.mp4,29,9678,9870,161.58,164.79,3.21,16,9786,27.5,0,19,640,512
GiantCityRd_TON_12.03.25_LS.mp4,30,9942,9972,165.99,166.49,0.5,5,9954,21.9,64,414,628,507
GiantCityRd_TON_12.03.25_LS.mp4,31,10032,10794,167.49,180.21,12.72,62,10140,27.5,0,4,640,512
GiantCityRd_TON_12.03.25_LS.mp4,32,10908,11004,182.12,183.72,1.6,7,10998,22.4,0,399,640,487
GiantCityRd_TON_12.03.25_LS.mp4,33,11112,11484,185.52,191.73,6.21,26,11322,22.9,11,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,34,11562,11850,193.04,197.84,4.81,41,11790,43.3,0,0,640,512
GiantCityRd_TON_12.03.25_LS.mp4,35,11940,12084,199.35,201.75,2.4,16,11952,32.4,0,50,630,508
GiantCityRd_TON_12.03.25_LS.mp4,36,12294,12366,205.26,206.46,1.2,6,12306,23.2,29,0,547,14
