frame,time_s,n_blobs,peak_score
0,0.0,47,39.3
6,0.1,47,32.4
12,0.2,46,35.0
18,0.3,48,38.1
24,0.4,43,34.8
30,0.5,43,33.5
36,0.6,42,36.0
42,0.7,40,37.2
48,0.8,48,34.7
54,0.9,46,32.3
60,1.0,44,37.2
66,1.1,35,35.9
72,1.2,46,32.8
78,1.3,47,37.7
84,1.4,54,32.6
90,1.5,54,33.5
96,1.6,48,32.7
102,1.7,44,31.9
108,1.8,45,32.9
114,1.9,43,34.0
120,2.0,32,33.2
126,2.1,31,35.2
132,2.2,36,35.1
138,2.3,35,34.1
144,2.4,40,35.5
150,2.5,39,36.6
156,2.6,36,35.6
162,2.7,34,34.1
168,2.8,35,34.4
174,2.91,28,33.0
180,3.01,28,33.5
186,3.11,36,33.1
192,3.21,34,31.3
198,3.31,36,34.4
204,3.41,47,35.9
210,3.51,41,32.0
216,3.61,40,32.1
222,3.71,38,37.6
228,3.81,38,33.4
234,3.91,44,34.6
240,4.01,40,34.5
246,4.11,36,32.5
252,4.21,43,36.5
258,4.31,52,36.8
264,4.41,49,38.3
270,4.51,52,37.5
276,4.61,58,37.1
282,4.71,56,37.4
288,4.81,58,33.4
294,4.91,54,33.9
300,5.01,44,36.1
306,5.11,48,36.9
312,5.21,53,33.4
318,5.31,63,36.8
324,5.41,68,36.2
330,5.51,55,36.9
336,5.61,52,30.6
342,5.71,37,35.0
348,5.81,48,36.6
354,5.91,40,33.5
360,6.01,49,36.2
366,6.11,49,36.2
372,6.21,46,33.7
378,6.31,36,34.0
384,6.41,35,36.6
390,6.51,33,42.6
396,6.61,34,35.5
402,6.71,48,36.2
408,6.81,46,36.9
414,6.91,39,37.1
420,7.01,44,34.3
426,7.11,37,33.1
432,7.21,36,39.2
438,7.31,41,36.9
444,7.41,38,41.7
450,7.51,53,35.5
456,7.61,55,34.8
462,7.71,56,32.5
468,7.81,60,37.0
474,7.91,60,33.5
480,8.01,65,31.8
486,8.11,62,33.6
492,8.21,68,38.4
498,8.31,55,28.3
504,8.41,65,32.8
510,8.51,68,32.6
516,8.61,69,37.6
522,8.72,71,32.8
528,8.82,66,39.4
534,8.92,63,38.6
540,9.02,70,36.5
546,9.12,58,35.8
552,9.22,48,29.2
558,9.32,54,43.5
564,9.42,59,42.1
570,9.52,53,33.0
576,9.62,38,27.3
582,9.72,43,28.9
588,9.82,30,27.5
594,9.92,22,30.1
600,10.02,12,22.1
606,10.12,10,23.1
