video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
NatureTrail_TON_12.03.25_LS.mp4,0,0,534,0.0,8.9,8.9,81,258,28.2,0,0,640,509
NatureTrail_TON_12.03.25_LS.mp4,1,630,654,10.5,10.9,0.4,3,630,21.9,9,0,617,512
NatureTrail_TON_12.03.25_LS.mp4,2,768,1284,12.81,21.41,8.6,62,990,24.1,0,0,640,510
NatureTrail_TON_12.03.25_LS.mp4,3,1392,1440,23.21,24.01,0.8,4,1398,24.8,103,17,523,342
NatureTrail_TON_12.03.25_LS.mp4,4,1500,1782,25.01,29.71,4.7,22,1566,33.8,18,0,596,476
NatureTrail_TON_12.03.25_LS.mp4,5,1854,3420,30.91,57.03,26.11,189,2814,33.6,0,0,640,512
NatureTrail_TON_12.03.25_LS.mp4,6,3498,3840,58.33,64.03,5.7,49,3630,26.6,0,0,640,116
NatureTrail_TON_12.03.25_LS.mp4,7,3930,5160,65.53,86.04,20.51,142,4482,29.6,0,0,640,512
NatureTrail_TON_12.03.25_LS.mp4,8,5226,5310,87.14,88.54,1.4,8,5286,22.4,0,0,222,22
NatureTrail_TON_12.03.25_LS.mp4,9,5514,5652,91.94,94.24,2.3,7,5598,27.5,24,0,613,40
NatureTrail_TON_12.03.25_LS.mp4,10,5712,5718,95.24,95.34,0.1,2,5712,25.0,33,16,630,176
NatureTrail_TON_12.03.25_LS.mp4,11,5970,5982,99.54,99.74,0.2,2,5970,21.4,10,437,47,500
NatureTrail_TON_12.03.25_LS.mp4,12,6042,6084,100.75,101.45,0.7,2,6042,21.0,8,426,102,445
NatureTrail_TON_12.03.25_LS.mp4,13,6216,7566,103.65,126.16,22.51,136,7530,32.1,0,0,640,512
NatureTrail_TON_12.03.25_LS.mp4,14,7734,7752,128.96,129.26,0.3,3,7752,22.6,353,0,427,42
NatureTrail_TON_12.03.25_LS.mp4,15,7872,10308,131.26,171.88,40.62,377,10080,32.7,0,0,640,512
NatureTrail_TON_12.03.25_LS.mp4,16,10374,10584,172.98,176.48,3.5,23,10542,29.1,26,0,623,512
NatureTrail_TON_12.03.25_LS.mp4,17,10824,11358,180.48,189.38,8.9,80,10962,30.2,0,0,640,512
NatureTrail_TON_12.03.25_LS.mp4,18,11424,11544,190.49,192.49,2.0,14,11478,32.8,0,146,639,506
NatureTrail_TON_12.03.25_LS.mp4,19,11628,15288,193.89,254.91,61.03,512,12834,33.9,0,0,640,512
NatureTrail_TON_12.03.25_LS.mp4,20,15348,15444,255.91,257.52,1.6,6,15348,25.6,29,3,616,512
NatureTrail_TON_12.03.25_LS.mp4,21,15522,15900,258.82,265.12,6.3,19,15624,22.0,0,0,607,508
NatureTrail_TON_12.03.25_LS.mp4,22,16116,16608,268.72,276.92,8.2,49,16446,29.1,0,0,640,512
NatureTrail_TON_12.03.25_LS.mp4,23,16668,17832,277.92,297.33,19.41,111,17256,45.4,0,0,640,512
NatureTrail_TON_12.03.25_LS.mp4,24,17910,18498,298.63,308.44,9.8,84,18096,29.3,0,0,640,472
NatureTrail_TON_12.03.25_LS.mp4,25,18582,19422,309.84,323.85,14.01,102,18918,29.6,0,0,640,512
