frame,time_s,n_blobs,peak_score
0,0.0,14,26.2
6,0.1,19,24.8
12,0.2,16,24.6
18,0.3,19,25.4
24,0.4,15,25.9
30,0.5,16,23.7
36,0.6,12,24.2
42,0.7,13,25.1
48,0.8,8,24.7
54,0.9,14,23.8
60,1.0,8,23.4
66,1.1,10,23.1
72,1.2,9,23.1
78,1.3,8,22.7
84,1.4,8,23.2
90,1.5,5,24.4
96,1.6,6,23.7
102,1.7,6,22.1
108,1.8,5,23.6
114,1.9,4,23.1
120,2.0,7,23.5
126,2.1,8,24.6
132,2.2,9,24.4
138,2.3,5,21.7
144,2.4,14,21.6
150,2.5,13,23.6
156,2.6,10,24.2
162,2.7,11,27.0
168,2.8,8,23.1
174,2.9,6,21.8
180,3.0,1,21.4
186,3.1,3,22.0
192,3.2,6,21.6
198,3.3,9,22.1
204,3.4,5,21.7
210,3.5,2,20.3
216,3.6,3,20.7
222,3.7,2,20.4
228,3.8,3,20.5
240,4.0,3,21.7
246,4.1,9,23.9
252,4.2,2,20.1
258,4.3,4,28.2
264,4.4,4,25.4
270,4.5,5,27.7
276,4.6,13,24.3
282,4.7,11,21.7
288,4.8,13,22.2
294,4.9,10,24.6
300,5.0,9,23.6
306,5.1,14,22.6
312,5.2,15,24.2
318,5.3,12,23.1
324,5.4,12,22.1
330,5.5,8,21.8
336,5.6,6,21.3
342,5.7,3,21.1
354,5.9,1,20.2
360,6.0,1,19.4
366,6.1,1,21.1
372,6.2,1,20.5
378,6.3,1,20.7
384,6.4,1,19.5
402,6.7,2,21.1
414,6.9,1,20.6
426,7.1,2,19.4
432,7.2,1,19.7
438,7.3,2,20.3
444,7.4,2,20.6
450,7.5,2,20.9
456,7.6,2,20.9
462,7.7,1,19.0
468,7.8,1,18.2
474,7.9,4,22.4
480,8.0,3,23.4
486,8.1,3,22.0
492,8.2,2,22.5
498,8.3,2,23.0
504,8.4,1,22.1
528,8.8,4,20.6
534,8.9,2,21.2
630,10.5,2,21.9
648,10.8,1,20.3
654,10.9,1,21.2
768,12.81,1,20.2
774,12.91,1,20.0
780,13.01,1,19.2
786,13.11,2,20.1
792,13.21,1,20.9
798,13.31,1,23.7
816,13.61,2,20.0
822,13.71,2,20.6
828,13.81,2,20.1
834,13.91,2,21.2
840,14.01,3,21.7
846,14.11,4,20.3
852,14.21,1,19.0
858,14.31,2,23.1
864,14.41,2,21.1
870,14.51,2,21.1
876,14.61,1,21.2
882,14.71,2,20.7
888,14.81,1,21.0
924,15.41,1,19.1
930,15.51,1,19.5
936,15.61,3,20.1
954,15.91,2,21.8
960,16.01,1,21.5
966,16.11,1,19.2
972,16.21,3,20.9
978,16.31,2,20.3
984,16.41,2,20.1
990,16.51,2,24.1
996,16.61,3,22.1
1002,16.71,1,19.9
1008,16.81,1,20.0
1014,16.91,2,20.8
1026,17.11,1,20.5
1032,17.21,1,19.8
1038,17.31,1,20.4
1044,17.41,1,21.8
