video,event_id,start_frame,end_frame,start_s,end_s,duration_s,n_hits,peak_frame,peak_score,x0,y0,x1,y1
OikosRd_TON_12.03.25_LS.mp4,0,0,1842,0.0,30.71,30.71,298,1362,53.2,0,0,640,512
OikosRd_TON_12.03.25_LS.mp4,1,1908,1914,31.81,31.91,0.1,2,1908,20.6,33,407,88,409
OikosRd_TON_12.03.25_LS.mp4,2,1986,2916,33.11,48.62,15.5,153,2412,32.0,0,0,640,512
OikosRd_TON_12.03.25_LS.mp4,3,3030,3072,50.52,51.22,0.7,2,3072,19.5,446,442,535,484
OikosRd_TON_12.03.25_LS.mp4,4,3138,3444,52.32,57.42,5.1,40,3150,30.1,3,0,640,512
OikosRd_TON_12.03.25_LS.mp4,5,3504,4470,58.42,74.52,16.1,143,4236,59.1,0,0,640,512
OikosRd_TON_12.03.25_LS.mp4,6,4554,4566,75.92,76.12,0.2,3,4560,22.8,2,308,602,496
OikosRd_TON_12.03.25_LS.mp4,7,4650,4764,77.52,79.42,1.9,4,4716,20.6,33,31,640,446
OikosRd_TON_12.03.25_LS.mp4,8,4890,4980,81.53,83.03,1.5,12,4908,34.2,4,0,640,502
OikosRd_TON_12.03.25_LS.mp4,9,5076,6600,84.63,110.03,25.41,165,6084,31.3,0,0,640,512
OikosRd_TON_12.03.25_LS.mp4,10,6690,7110,111.53,118.54,7.0,48,6744,24.8,0,0,640,512
OikosRd_TON_12.03.25_LS.mp4,11,7194,7242,119.94,120.74,0.8,5,7236,20.6,111,427,613,512
OikosRd_TON_12.03.25_LS.mp4,12,7308,7440,121.84,124.04,2.2,15,7332,30.4,0,0,629,504
OikosRd_TON_12.03.25_LS.mp4,13,7512,8220,125.24,137.04,11.8,103,7824,36.7,0,0,640,512
OikosRd_TON_12.03.25_LS.mp4,14,8352,12216,139.24,203.66,64.42,615,8898,33.3,0,0,640,512
OikosRd_TON_12.03.25_LS.mp4,15,12276,15390,204.66,256.58,51.92,507,15186,50.0,0,0,640,512
